Date,Hospitalizations
2020-01-11,0
2020-01-12,0
2020-01-25,5
2020-02-01,6
2020-02-08,5
2020-02-15,9
2020-02-22,6
2020-02-29,7
2020-03-07,25
2020-03-14,32
2020-03-21,134
2020-03-28,377
2020-04-04,581
2020-04-11,534
2020-04-18,465
2020-04-25,519
2020-05-02,461
2020-05-09,332
2020-05-16,274
2020-05-23,214
2020-05-30,230
2020-06-06,158
2020-06-13,122
2020-06-20,70
2020-06-27,55
2020-07-04,47
2020-07-11,46
2020-07-18,47
2020-07-25,40
2020-08-01,49
2020-08-08,32
2020-08-15,20
2020-08-22,39
2020-08-29,48
2020-09-05,41
2020-09-12,47
2020-09-19,71
2020-09-26,129
2020-10-03,156
2020-10-10,196
2020-10-17,207
2020-10-24,218
2020-10-31,253
2020-11-07,293
2020-11-14,405
2020-11-21,399
2020-11-28,464
2020-12-05,514
2020-12-12,572
2020-12-19,625
2020-12-26,733
2021-01-02,818
2021-01-09,940
2021-01-16,806
2021-01-23,757
2021-01-30,565
2021-02-06,518
2021-02-13,434
2021-02-20,383
2021-02-27,391
2021-03-06,386
2021-03-13,459
2021-03-20,553
2021-03-27,669
2021-04-03,899
2021-04-10,1229
2021-04-17,1511
2021-04-24,1380
2021-05-01,1197
2021-05-08,998
2021-05-15,739
2021-05-22,625
2021-05-29,408
2021-06-05,320
2021-06-12,255
2021-06-19,190
2021-06-26,160
2021-07-03,117
2021-07-10,103
2021-07-17,80
2021-07-24,63
2021-07-31,55
2021-08-07,93
2021-08-14,112
2021-08-21,179
2021-08-28,224
2021-09-04,261
2021-09-11,226
2021-09-18,213
2021-09-25,212
2021-10-02,180
2021-10-09,178
2021-10-16,164
2021-10-23,164
2021-10-30,125
2021-11-06,170
2021-11-13,205
2021-11-20,199
2021-11-27,206
2021-12-04,238
2021-12-11,280
2021-12-18,317
2021-12-25,405
2022-01-01,953
2022-01-08,1542
2022-01-15,1890
2022-01-22,1769
2022-01-29,1240
2022-02-05,910
2022-02-12,633
2022-02-19,467
2022-02-26,387
2022-03-05,355
2022-03-12,340
2022-03-19,352
2022-03-26,432
2022-04-02,526
2022-04-09,685
2022-04-16,810
2022-04-23,783
2022-04-30,658
2022-05-07,566
2022-05-14,445
2022-05-21,409
2022-05-28,283
2022-06-04,247
2022-06-11,209
2022-06-18,221
2022-06-25,279
2022-07-02,374
2022-07-09,458
2022-07-16,639
2022-07-23,618
2022-07-30,550
2022-08-06,553
2022-08-13,459
2022-08-20,548
2022-08-27,469
2022-09-03,478
2022-09-10,459
2022-09-17,428
2022-09-24,521
2022-10-01,574
2022-10-08,612
2022-10-15,757
2022-10-22,697
2022-10-29,690
2022-11-05,660
2022-11-12,535
2022-11-19,403
2022-11-26,415
2022-12-03,387
2022-12-10,385
2022-12-17,444
2022-12-24,481
2022-12-31,569
2023-01-07,553
2023-01-14,380
2023-01-21,354
2023-01-28,332
2023-02-04,337
2023-02-11,339
2023-02-18,318
2023-02-25,318
2023-03-04,336
2023-03-11,286
2023-03-18,265
2023-03-25,288
2023-04-01,261
2023-04-08,237
2023-04-15,266
2023-04-22,205
2023-04-29,170
2023-05-06,167
2023-05-13,134
2023-05-20,128
2023-05-27,119
2023-06-03,129
2023-06-10,85
2023-06-17,90
2023-06-24,63
2023-07-01,59
2023-07-08,59
2023-07-15,55
2023-07-22,65
2023-07-29,62
2023-08-05,68
2023-08-12,78
2023-08-19,86
2023-08-26,126
2023-09-02,164
2023-09-09,177
2023-09-16,187
2023-09-23,284
2023-09-30,300
2023-10-07,275
2023-10-14,246
2023-10-21,293
2023-10-28,317
2023-11-04,271
2023-11-11,320
2023-11-18,377
2023-11-25,423
2023-12-02,441
2023-12-09,365
2023-12-16,387
2023-12-23,368
2023-12-30,378
