Start,Memory,Lead,Forecast,Buffer,Capacity,Top,Power,ARIMA,SVR,MODEL,Succeeded,Failed,Lost,Arrived,Remaining,Time
1,8,1,0,100,None,5,None,[P-[2]_D-[0]_Q-[2]],None,False,72036,4580,0,211647,139611,4:15
1,8,1,0,100,None,5,None,[P-[2]_D-[2]_Q-[1]],None,False,53486,23130,0,53486,0,1:40
1,8,1,0,100,None,5,None,[P-[1]_D-[2]_Q-[1]],None,False,53395,23221,0,53395,0,1:26
1,8,1,0,100,None,5,None,[P-[2]_D-[2]_Q-[2]],None,False,53378,23238,0,53378,0,2:15
1,8,1,0,100,None,5,None,[P-[1]_D-[2]_Q-[2]],None,False,53246,23370,0,53246,0,2:28
1,8,1,0,100,None,5,None,[P-[2]_D-[2]_Q-[0]],None,False,53233,23383,0,53233,0,1:08
1,8,1,0,100,None,5,None,[P-[1]_D-[2]_Q-[0]],None,False,53155,23461,0,53155,0,0:19
1,8,1,0,100,None,5,None,[P-[0]_D-[2]_Q-[2]],None,False,53093,23523,0,53093,0,0:41
1,8,1,0,100,None,5,None,[P-[0]_D-[2]_Q-[1]],None,False,52937,23679,0,52937,0,0:35
1,8,1,0,100,None,5,None,[P-[0]_D-[2]_Q-[0]],None,False,52742,23874,0,52742,0,0:08
1,8,1,0,100,None,5,None,[P-[2]_D-[1]_Q-[2]],None,False,52647,23969,0,52647,0,2:25
1,8,1,0,100,None,5,None,[P-[2]_D-[1]_Q-[0]],None,False,52556,24060,0,52556,0,1:11
1,8,1,0,100,None,5,None,[P-[1]_D-[1]_Q-[2]],None,False,52383,24233,0,52383,0,1:18
1,8,1,0,100,None,5,None,[P-[2]_D-[1]_Q-[1]],None,False,52362,24254,0,52362,0,2:01
1,8,1,0,100,None,5,None,[P-[1]_D-[1]_Q-[0]],None,False,52274,24342,0,52274,0,0:15
1,8,1,0,100,None,5,None,[P-[1]_D-[1]_Q-[1]],None,False,52253,24363,0,52253,0,0:53
1,8,1,0,100,None,5,None,[P-[0]_D-[1]_Q-[2]],None,False,51759,24857,0,51759,0,0:49
1,8,1,0,100,None,5,None,[P-[2]_D-[0]_Q-[0]],None,False,51678,24938,0,51678,0,1:57
1,8,1,0,100,None,5,None,[P-[2]_D-[0]_Q-[1]],None,False,51677,24939,0,51677,0,3:23
1,8,1,0,100,None,5,None,[P-[0]_D-[1]_Q-[1]],None,False,51119,25497,0,51119,0,0:25
1,8,1,0,100,None,5,None,[P-[1]_D-[0]_Q-[2]],None,False,50894,25722,0,50894,0,2:04
1,8,1,0,100,None,5,None,[P-[1]_D-[0]_Q-[1]],None,False,50855,25761,0,50855,0,1:31
1,8,1,0,100,None,5,None,[P-[0]_D-[1]_Q-[0]],None,False,50094,26522,0,50094,0,0:08
1,8,1,0,100,None,5,None,[P-[0]_D-[0]_Q-[2]],None,False,50087,26529,0,50087,0,1:15
1,8,1,0,100,None,5,None,[P-[1]_D-[0]_Q-[0]],None,False,49756,26860,0,49756,0,0:33
1,8,1,0,100,None,5,None,[P-[0]_D-[0]_Q-[1]],None,False,49496,27120,0,49496,0,0:43
1,8,1,0,100,None,5,None,[P-[0]_D-[0]_Q-[0]],None,False,49042,27574,0,49042,0,0:14
