Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,100,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,0,89,5,5,0,0
6,84,0,84,9,9,0,0
7,75,21,96,6,6,0,0
8,90,9,99,7,7,0,0
9,92,3,95,25,25,0,0
10,70,22,92,32,32,0,0
11,60,0,60,134,60,74,0
12,0,5,5,377,5,372,0
13,0,97,97,581,97,484,0
14,0,25,25,534,25,509,0
15,0,488,488,465,465,0,0
16,23,1000,1023,519,519,0,0
17,504,538,1042,461,461,0,0
18,581,0,581,332,332,0,0
19,249,65,314,274,274,0,0
20,40,651,691,214,214,0,0
21,477,293,770,230,230,0,0
22,540,218,758,158,158,0,0
23,600,178,778,122,122,0,0
24,656,63,719,70,70,0,0
25,649,85,734,55,55,0,0
26,679,4,683,47,47,0,0
27,636,0,636,46,46,0,0
28,590,0,590,47,47,0,0
29,543,0,543,40,40,0,0
30,503,0,503,49,49,0,0
31,454,0,454,32,32,0,0
32,422,0,422,20,20,0,0
33,402,0,402,39,39,0,0
34,363,0,363,48,48,0,0
35,315,0,315,41,41,0,0
36,274,0,274,47,47,0,0
37,227,0,227,71,71,0,0
38,156,0,156,129,129,0,0
39,27,0,27,156,27,129,0
40,0,16,16,196,16,180,0
41,0,185,185,207,185,22,0
42,0,406,406,218,218,0,0
43,188,0,188,253,188,65,0
44,0,130,130,293,130,163,0
45,0,219,219,405,219,186,0
46,0,220,220,399,220,179,0
47,0,359,359,464,359,105,0
48,0,259,259,514,259,255,0
49,0,687,687,572,572,0,0
50,115,119,234,625,234,391,0
51,0,379,379,733,379,354,0
52,0,476,476,818,476,342,0
53,0,826,826,940,826,114,0
54,0,378,378,806,378,428,0
55,0,866,866,757,757,0,0
56,109,637,746,565,565,0,0
57,181,1000,1181,518,518,0,0
58,663,146,809,434,434,0,0
59,375,663,1038,383,383,0,0
60,655,385,1040,391,391,0,0
61,649,384,1033,386,386,0,0
62,647,239,886,459,459,0,0
63,427,157,584,553,553,0,0
64,31,200,231,669,231,438,0
65,0,230,230,899,230,669,0
66,0,513,513,1229,513,716,0
67,0,937,937,1511,937,574,0
68,0,631,631,1380,631,749,0
69,0,1000,1000,1197,1000,197,0
70,0,1000,1000,998,998,0,0
71,2,1000,1002,739,739,0,0
72,263,1000,1263,625,625,0,0
73,638,987,1625,408,408,0,0
74,1217,744,1961,320,320,0,0
75,1641,487,2128,255,255,0,0
76,1873,318,2191,190,190,0,0
77,2001,0,2001,160,160,0,0
78,1841,0,1841,117,117,0,0
79,1724,0,1724,103,103,0,0
80,1621,0,1621,80,80,0,0
81,1541,0,1541,63,63,0,0
82,1478,0,1478,55,55,0,0
83,1423,0,1423,93,93,0,0
84,1330,0,1330,112,112,0,0
85,1218,0,1218,179,179,0,0
86,1039,0,1039,224,224,0,0
87,815,0,815,261,261,0,0
88,554,0,554,226,226,0,0
89,328,0,328,213,213,0,0
90,115,64,179,212,179,33,0
91,0,315,315,180,180,0,0
92,135,87,222,178,178,0,0
93,44,200,244,164,164,0,0
94,80,189,269,164,164,0,0
95,105,126,231,125,125,0,0
96,106,163,269,170,170,0,0
97,99,131,230,205,205,0,0
98,25,132,157,199,157,42,0
99,0,79,79,206,79,127,0
100,0,158,158,238,158,80,0
101,0,283,283,280,280,0,0
102,3,156,159,317,159,158,0
103,0,127,127,405,127,278,0
104,0,301,301,953,301,652,0
105,0,424,424,1542,424,1118,0
106,0,261,261,1890,261,1629,0
107,0,564,564,1769,564,1205,0
108,0,1000,1000,1240,1000,240,0
109,0,1000,1000,910,910,0,0
110,90,1000,1090,633,633,0,0
111,457,1000,1457,467,467,0,0
112,990,1000,1990,387,387,0,0
113,1603,1000,2603,355,355,0,0
114,2248,365,2613,340,340,0,0
115,2273,0,2273,352,352,0,0
116,1921,0,1921,432,432,0,0
117,1489,0,1489,526,526,0,0
118,963,0,963,685,685,0,0
119,278,0,278,810,278,532,0
120,0,135,135,783,135,648,0
121,0,745,745,658,658,0,0
122,87,1000,1087,566,566,0,0
123,521,878,1399,445,445,0,0
124,954,0,954,409,409,0,0
125,545,276,821,283,283,0,0
126,538,455,993,247,247,0,0
127,746,321,1067,209,209,0,0
128,858,265,1123,221,221,0,0
129,902,62,964,279,279,0,0
130,685,15,700,374,374,0,0
131,326,0,326,458,326,132,0
132,0,49,49,639,49,590,0
133,0,291,291,618,291,327,0
134,0,761,761,550,550,0,0
135,211,501,712,553,553,0,0
136,159,890,1049,459,459,0,0
137,590,0,590,548,548,0,0
138,42,221,263,469,263,206,0
139,0,562,562,478,478,0,0
140,84,346,430,459,430,29,0
141,0,610,610,428,428,0,0
142,182,187,369,521,369,152,0
143,0,423,423,574,423,151,0
144,0,377,377,612,377,235,0
145,0,364,364,757,364,393,0
146,0,385,385,697,385,312,0
147,0,616,616,690,616,74,0
148,0,633,633,660,633,27,0
149,0,1000,1000,535,535,0,0
150,465,153,618,403,403,0,0
151,215,419,634,415,415,0,0
152,219,602,821,387,387,0,0
153,434,411,845,385,385,0,0
154,460,272,732,444,444,0,0
155,288,280,568,481,481,0,0
156,87,227,314,569,314,255,0
157,0,258,258,553,258,295,0
158,0,433,433,380,380,0,0
159,53,568,621,354,354,0,0
160,267,650,917,332,332,0,0
161,585,156,741,337,337,0,0
162,404,124,528,339,339,0,0
163,189,279,468,318,318,0,0
164,150,258,408,318,318,0,0
165,90,268,358,336,336,0,0
166,22,246,268,286,268,18,0
167,0,248,248,265,248,17,0
168,0,267,267,288,267,21,0
169,0,333,333,261,261,0,0
170,72,231,303,237,237,0,0
171,66,198,264,266,264,2,0
172,0,260,260,205,205,0,0
173,55,213,268,170,170,0,0
174,98,193,291,167,167,0,0
175,124,270,394,134,134,0,0
176,260,142,402,128,128,0,0
177,274,102,376,119,119,0,0
178,257,116,373,129,129,0,0
179,244,66,310,85,85,0,0
180,225,66,291,90,90,0,0
181,201,65,266,63,63,0,0
182,203,97,300,59,59,0,0
183,241,30,271,59,59,0,0
184,212,56,268,55,55,0,0
185,213,22,235,65,65,0,0
186,170,20,190,62,62,0,0
187,128,29,157,68,68,0,0
188,89,28,117,78,78,0,0
189,39,62,101,86,86,0,0
190,15,47,62,126,62,64,0
191,0,79,79,164,79,85,0
192,0,111,111,177,111,66,0
193,0,119,119,187,119,68,0
194,0,221,221,284,221,63,0
195,0,206,206,300,206,94,0
196,0,85,85,275,85,190,0
197,0,178,178,246,178,68,0
198,0,791,791,293,293,0,0
199,498,0,498,317,317,0,0
200,181,0,181,271,181,90,0
201,0,102,102,320,102,218,0
202,0,386,386,377,377,0,0
203,9,344,353,423,353,70,0
204,0,146,146,441,146,295,0
205,0,131,131,365,131,234,0
206,0,567,567,387,387,0,0
207,180,576,756,368,368,0,0
208,388,157,545,378,378,0,0
