Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207
2020-01-11,0,5,11,16,25,31,38,63,95,229,606,1187,1721,2186,2705,3166,3498,3772,3986,4216,4374,4496,4566,4621,4668,4714,4761,4801,4850,4882,4902,4941,4989,5030,5077,5148,5277,5433,5629,5836,6054,6307,6600,7005,7404,7868,8382,8954,9579,10312,11130,12070,12876,13633,14198,14716,15150,15533,15924,16310,16769,17322,17991,18890,20119,21630,23010,24207,25205,25944,26569,26977,27297,27552,27742,27902,28019,28122,28202,28265,28320,28413,28525,28704,28928,29189,29415,29628,29840,30020,30198,30362,30526,30651,30821,31026,31225,31431,31669,31949,32266,32671,33624,35166,37056,38825,40065,40975,41608,42075,42462,42817,43157,43509,43941,44467,45152,45962,46745,47403,47969,48414,48823,49106,49353,49562,49783,50062,50436,50894,51533,52151,52701,53254,53713,54261,54730,55208,55667,56095,56616,57190,57802,58559,59256,59946,60606,61141,61544,61959,62346,62731,63175,63656,64225,64778,65158,65512,65844,66181,66520,66838,67156,67492,67778,68043,68331,68592,68829,69095,69300,69470,69637,69771,69899,70018,70147,70232,70322,70385,70444,70503,70558,70623,70685,70753,70831,70917,71043,71207,71384,71571,71855,72155,72430,72676,72969,73286,73557,73877,74254,74677,75118,75483,75870,76238,76616
2020-01-12,5,11,16,25,31,38,63,95,229,606,1187,1721,2186,2705,3166,3498,3772,3986,4216,4374,4496,4566,4621,4668,4714,4761,4801,4850,4882,4902,4941,4989,5030,5077,5148,5277,5433,5629,5836,6054,6307,6600,7005,7404,7868,8382,8954,9579,10312,11130,12070,12876,13633,14198,14716,15150,15533,15924,16310,16769,17322,17991,18890,20119,21630,23010,24207,25205,25944,26569,26977,27297,27552,27742,27902,28019,28122,28202,28265,28320,28413,28525,28704,28928,29189,29415,29628,29840,30020,30198,30362,30526,30651,30821,31026,31225,31431,31669,31949,32266,32671,33624,35166,37056,38825,40065,40975,41608,42075,42462,42817,43157,43509,43941,44467,45152,45962,46745,47403,47969,48414,48823,49106,49353,49562,49783,50062,50436,50894,51533,52151,52701,53254,53713,54261,54730,55208,55667,56095,56616,57190,57802,58559,59256,59946,60606,61141,61544,61959,62346,62731,63175,63656,64225,64778,65158,65512,65844,66181,66520,66838,67156,67492,67778,68043,68331,68592,68829,69095,69300,69470,69637,69771,69899,70018,70147,70232,70322,70385,70444,70503,70558,70623,70685,70753,70831,70917,71043,71207,71384,71571,71855,72155,72430,72676,72969,73286,73557,73877,74254,74677,75118,75483,75870,76238,76616,-1
2020-01-25,6,11,20,26,33,58,90,224,601,1182,1716,2181,2700,3161,3493,3767,3981,4211,4369,4491,4561,4616,4663,4709,4756,4796,4845,4877,4897,4936,4984,5025,5072,5143,5272,5428,5624,5831,6049,6302,6595,7000,7399,7863,8377,8949,9574,10307,11125,12065,12871,13628,14193,14711,15145,15528,15919,16305,16764,17317,17986,18885,20114,21625,23005,24202,25200,25939,26564,26972,27292,27547,27737,27897,28014,28117,28197,28260,28315,28408,28520,28699,28923,29184,29410,29623,29835,30015,30193,30357,30521,30646,30816,31021,31220,31426,31664,31944,32261,32666,33619,35161,37051,38820,40060,40970,41603,42070,42457,42812,43152,43504,43936,44462,45147,45957,46740,47398,47964,48409,48818,49101,49348,49557,49778,50057,50431,50889,51528,52146,52696,53249,53708,54256,54725,55203,55662,56090,56611,57185,57797,58554,59251,59941,60601,61136,61539,61954,62341,62726,63170,63651,64220,64773,65153,65507,65839,66176,66515,66833,67151,67487,67773,68038,68326,68587,68824,69090,69295,69465,69632,69766,69894,70013,70142,70227,70317,70380,70439,70498,70553,70618,70680,70748,70826,70912,71038,71202,71379,71566,71850,72150,72425,72671,72964,73281,73552,73872,74249,74672,75113,75478,75865,76233,76611,-1,-1
2020-02-01,5,14,20,27,52,84,218,595,1176,1710,2175,2694,3155,3487,3761,3975,4205,4363,4485,4555,4610,4657,4703,4750,4790,4839,4871,4891,4930,4978,5019,5066,5137,5266,5422,5618,5825,6043,6296,6589,6994,7393,7857,8371,8943,9568,10301,11119,12059,12865,13622,14187,14705,15139,15522,15913,16299,16758,17311,17980,18879,20108,21619,22999,24196,25194,25933,26558,26966,27286,27541,27731,27891,28008,28111,28191,28254,28309,28402,28514,28693,28917,29178,29404,29617,29829,30009,30187,30351,30515,30640,30810,31015,31214,31420,31658,31938,32255,32660,33613,35155,37045,38814,40054,40964,41597,42064,42451,42806,43146,43498,43930,44456,45141,45951,46734,47392,47958,48403,48812,49095,49342,49551,49772,50051,50425,50883,51522,52140,52690,53243,53702,54250,54719,55197,55656,56084,56605,57179,57791,58548,59245,59935,60595,61130,61533,61948,62335,62720,63164,63645,64214,64767,65147,65501,65833,66170,66509,66827,67145,67481,67767,68032,68320,68581,68818,69084,69289,69459,69626,69760,69888,70007,70136,70221,70311,70374,70433,70492,70547,70612,70674,70742,70820,70906,71032,71196,71373,71560,71844,72144,72419,72665,72958,73275,73546,73866,74243,74666,75107,75472,75859,76227,76605,-1,-1,-1
2020-02-08,9,15,22,47,79,213,590,1171,1705,2170,2689,3150,3482,3756,3970,4200,4358,4480,4550,4605,4652,4698,4745,4785,4834,4866,4886,4925,4973,5014,5061,5132,5261,5417,5613,5820,6038,6291,6584,6989,7388,7852,8366,8938,9563,10296,11114,12054,12860,13617,14182,14700,15134,15517,15908,16294,16753,17306,17975,18874,20103,21614,22994,24191,25189,25928,26553,26961,27281,27536,27726,27886,28003,28106,28186,28249,28304,28397,28509,28688,28912,29173,29399,29612,29824,30004,30182,30346,30510,30635,30805,31010,31209,31415,31653,31933,32250,32655,33608,35150,37040,38809,40049,40959,41592,42059,42446,42801,43141,43493,43925,44451,45136,45946,46729,47387,47953,48398,48807,49090,49337,49546,49767,50046,50420,50878,51517,52135,52685,53238,53697,54245,54714,55192,55651,56079,56600,57174,57786,58543,59240,59930,60590,61125,61528,61943,62330,62715,63159,63640,64209,64762,65142,65496,65828,66165,66504,66822,67140,67476,67762,68027,68315,68576,68813,69079,69284,69454,69621,69755,69883,70002,70131,70216,70306,70369,70428,70487,70542,70607,70669,70737,70815,70901,71027,71191,71368,71555,71839,72139,72414,72660,72953,73270,73541,73861,74238,74661,75102,75467,75854,76222,76600,-1,-1,-1,-1
2020-02-15,6,13,38,70,204,581,1162,1696,2161,2680,3141,3473,3747,3961,4191,4349,4471,4541,4596,4643,4689,4736,4776,4825,4857,4877,4916,4964,5005,5052,5123,5252,5408,5604,5811,6029,6282,6575,6980,7379,7843,8357,8929,9554,10287,11105,12045,12851,13608,14173,14691,15125,15508,15899,16285,16744,17297,17966,18865,20094,21605,22985,24182,25180,25919,26544,26952,27272,27527,27717,27877,27994,28097,28177,28240,28295,28388,28500,28679,28903,29164,29390,29603,29815,29995,30173,30337,30501,30626,30796,31001,31200,31406,31644,31924,32241,32646,33599,35141,37031,38800,40040,40950,41583,42050,42437,42792,43132,43484,43916,44442,45127,45937,46720,47378,47944,48389,48798,49081,49328,49537,49758,50037,50411,50869,51508,52126,52676,53229,53688,54236,54705,55183,55642,56070,56591,57165,57777,58534,59231,59921,60581,61116,61519,61934,62321,62706,63150,63631,64200,64753,65133,65487,65819,66156,66495,66813,67131,67467,67753,68018,68306,68567,68804,69070,69275,69445,69612,69746,69874,69993,70122,70207,70297,70360,70419,70478,70533,70598,70660,70728,70806,70892,71018,71182,71359,71546,71830,72130,72405,72651,72944,73261,73532,73852,74229,74652,75093,75458,75845,76213,76591,-1,-1,-1,-1,-1
2020-02-22,7,32,64,198,575,1156,1690,2155,2674,3135,3467,3741,3955,4185,4343,4465,4535,4590,4637,4683,4730,4770,4819,4851,4871,4910,4958,4999,5046,5117,5246,5402,5598,5805,6023,6276,6569,6974,7373,7837,8351,8923,9548,10281,11099,12039,12845,13602,14167,14685,15119,15502,15893,16279,16738,17291,17960,18859,20088,21599,22979,24176,25174,25913,26538,26946,27266,27521,27711,27871,27988,28091,28171,28234,28289,28382,28494,28673,28897,29158,29384,29597,29809,29989,30167,30331,30495,30620,30790,30995,31194,31400,31638,31918,32235,32640,33593,35135,37025,38794,40034,40944,41577,42044,42431,42786,43126,43478,43910,44436,45121,45931,46714,47372,47938,48383,48792,49075,49322,49531,49752,50031,50405,50863,51502,52120,52670,53223,53682,54230,54699,55177,55636,56064,56585,57159,57771,58528,59225,59915,60575,61110,61513,61928,62315,62700,63144,63625,64194,64747,65127,65481,65813,66150,66489,66807,67125,67461,67747,68012,68300,68561,68798,69064,69269,69439,69606,69740,69868,69987,70116,70201,70291,70354,70413,70472,70527,70592,70654,70722,70800,70886,71012,71176,71353,71540,71824,72124,72399,72645,72938,73255,73526,73846,74223,74646,75087,75452,75839,76207,76585,-1,-1,-1,-1,-1,-1
2020-02-29,25,57,191,568,1149,1683,2148,2667,3128,3460,3734,3948,4178,4336,4458,4528,4583,4630,4676,4723,4763,4812,4844,4864,4903,4951,4992,5039,5110,5239,5395,5591,5798,6016,6269,6562,6967,7366,7830,8344,8916,9541,10274,11092,12032,12838,13595,14160,14678,15112,15495,15886,16272,16731,17284,17953,18852,20081,21592,22972,24169,25167,25906,26531,26939,27259,27514,27704,27864,27981,28084,28164,28227,28282,28375,28487,28666,28890,29151,29377,29590,29802,29982,30160,30324,30488,30613,30783,30988,31187,31393,31631,31911,32228,32633,33586,35128,37018,38787,40027,40937,41570,42037,42424,42779,43119,43471,43903,44429,45114,45924,46707,47365,47931,48376,48785,49068,49315,49524,49745,50024,50398,50856,51495,52113,52663,53216,53675,54223,54692,55170,55629,56057,56578,57152,57764,58521,59218,59908,60568,61103,61506,61921,62308,62693,63137,63618,64187,64740,65120,65474,65806,66143,66482,66800,67118,67454,67740,68005,68293,68554,68791,69057,69262,69432,69599,69733,69861,69980,70109,70194,70284,70347,70406,70465,70520,70585,70647,70715,70793,70879,71005,71169,71346,71533,71817,72117,72392,72638,72931,73248,73519,73839,74216,74639,75080,75445,75832,76200,76578,-1,-1,-1,-1,-1,-1,-1
2020-03-07,32,166,543,1124,1658,2123,2642,3103,3435,3709,3923,4153,4311,4433,4503,4558,4605,4651,4698,4738,4787,4819,4839,4878,4926,4967,5014,5085,5214,5370,5566,5773,5991,6244,6537,6942,7341,7805,8319,8891,9516,10249,11067,12007,12813,13570,14135,14653,15087,15470,15861,16247,16706,17259,17928,18827,20056,21567,22947,24144,25142,25881,26506,26914,27234,27489,27679,27839,27956,28059,28139,28202,28257,28350,28462,28641,28865,29126,29352,29565,29777,29957,30135,30299,30463,30588,30758,30963,31162,31368,31606,31886,32203,32608,33561,35103,36993,38762,40002,40912,41545,42012,42399,42754,43094,43446,43878,44404,45089,45899,46682,47340,47906,48351,48760,49043,49290,49499,49720,49999,50373,50831,51470,52088,52638,53191,53650,54198,54667,55145,55604,56032,56553,57127,57739,58496,59193,59883,60543,61078,61481,61896,62283,62668,63112,63593,64162,64715,65095,65449,65781,66118,66457,66775,67093,67429,67715,67980,68268,68529,68766,69032,69237,69407,69574,69708,69836,69955,70084,70169,70259,70322,70381,70440,70495,70560,70622,70690,70768,70854,70980,71144,71321,71508,71792,72092,72367,72613,72906,73223,73494,73814,74191,74614,75055,75420,75807,76175,76553,-1,-1,-1,-1,-1,-1,-1,-1
2020-03-14,134,511,1092,1626,2091,2610,3071,3403,3677,3891,4121,4279,4401,4471,4526,4573,4619,4666,4706,4755,4787,4807,4846,4894,4935,4982,5053,5182,5338,5534,5741,5959,6212,6505,6910,7309,7773,8287,8859,9484,10217,11035,11975,12781,13538,14103,14621,15055,15438,15829,16215,16674,17227,17896,18795,20024,21535,22915,24112,25110,25849,26474,26882,27202,27457,27647,27807,27924,28027,28107,28170,28225,28318,28430,28609,28833,29094,29320,29533,29745,29925,30103,30267,30431,30556,30726,30931,31130,31336,31574,31854,32171,32576,33529,35071,36961,38730,39970,40880,41513,41980,42367,42722,43062,43414,43846,44372,45057,45867,46650,47308,47874,48319,48728,49011,49258,49467,49688,49967,50341,50799,51438,52056,52606,53159,53618,54166,54635,55113,55572,56000,56521,57095,57707,58464,59161,59851,60511,61046,61449,61864,62251,62636,63080,63561,64130,64683,65063,65417,65749,66086,66425,66743,67061,67397,67683,67948,68236,68497,68734,69000,69205,69375,69542,69676,69804,69923,70052,70137,70227,70290,70349,70408,70463,70528,70590,70658,70736,70822,70948,71112,71289,71476,71760,72060,72335,72581,72874,73191,73462,73782,74159,74582,75023,75388,75775,76143,76521,-1,-1,-1,-1,-1,-1,-1,-1,-1
