Forecast,Baseline,Unmasked,Masked
1,-2.33,27.67,20.19
2,-5.88,4.90,18.70
3,-11.48,-7.62,23.60
4,-18.49,-23.31,1.56
5,-29.09,-40.73,-36.69
6,-41.23,-59.16,-31.82
7,-53.81,-94.00,-65.73
8,-65.99,-106.70,-79.84
9,-77.48,-114.35,-86.29
10,-92.34,-124.73,-79.51
11,-106.80,-148.28,-123.81
12,-118.15,-126.77,-91.82
13,-129.68,,
14,-141.63,,
15,-151.66,,
16,-153.02,,
17,-152.27,,
18,-149.61,,
19,-142.99,,
20,-132.02,,
21,-119.56,,
22,-105.67,,
23,-90.84,,
24,-76.29,,
25,-60.63,,
26,-45.48,,
27,-30.41,,
28,-15.96,,
29,-5.32,,
30,5.72,,
31,10.01,,
32,15.27,,
33,18.73,,
34,20.82,,
35,16.86,,
36,11.80,,
37,-0.02,,
38,-23.37,,
39,-41.75,,
40,-65.02,,
41,-93.86,,
42,-118.40,,
43,-147.43,,
44,-186.93,,
45,-222.28,,
46,-257.18,,
47,-296.11,,
48,-333.77,,
49,-369.13,,
50,-408.40,,
51,-452.43,,
52,-537.61,,
53,-624.89,,
54,-688.12,,
55,-740.18,,
56,-775.73,,
57,-811.26,,
58,-854.33,,
59,-894.35,,
60,-972.71,,
61,-1088.46,,
62,-1214.12,,
63,-1342.69,,
64,-1489.85,,
65,-1590.71,,
66,-1676.49,,
67,-1740.62,,
68,-1770.14,,
69,-1806.25,,
70,-1846.12,,
71,-1881.77,,
72,-1943.91,,
73,-1975.62,,
74,-2041.46,,
75,-2107.79,,
76,-2200.73,,
77,-2303.30,,
78,-2340.39,,
79,-2347.09,,
80,-2318.57,,
81,-2268.49,,
82,-2214.54,,
83,-2176.33,,
84,-2153.37,,
85,-2182.77,,
86,-2227.91,,
87,-2324.97,,
88,-2462.88,,
89,-2656.45,,
90,-2864.26,,
91,-3020.38,,
92,-3108.07,,
93,-3155.29,,
94,-3167.66,,
95,-3175.65,,
96,-3191.43,,
97,-3222.93,,
98,-3293.54,,
99,-3445.12,,
100,-3732.58,,
101,-4184.56,,
102,-4900.71,,
103,-5682.49,,
104,-6293.32,,
105,-6606.87,,
106,-6635.04,,
107,-6611.24,,
108,-6563.81,,
109,-6491.21,,
110,-6399.71,,
111,-6303.18,,
112,-6209.00,,
113,-6094.83,,
114,-5955.29,,
115,-5836.25,,
116,-5715.94,,
117,-5601.73,,
118,-5486.33,,
119,-5386.17,,
120,-5283.86,,
121,-5187.09,,
122,-5109.08,,
123,-5008.31,,
124,-4879.50,,
125,-4709.88,,
126,-4527.94,,
127,-4322.31,,
128,-4120.85,,
129,-3928.93,,
130,-3750.00,,
131,-3578.33,,
132,-3431.53,,
133,-3301.87,,
134,-3212.60,,
135,-3164.36,,
136,-3173.67,,
137,-3325.57,,
138,-3554.76,,
139,-3958.91,,
140,-4500.23,,
141,-5169.73,,
142,-5931.82,,
143,-6504.61,,
144,-6849.99,,
145,-7035.35,,
146,-7139.15,,
147,-7175.29,,
148,-7158.54,,
149,-7144.60,,
150,-7125.05,,
151,-7142.66,,
152,-7221.89,,
153,-7337.18,,
154,-7595.41,,
155,-7891.97,,
156,-8289.68,,
157,-8596.88,,
158,-8841.23,,
159,-9004.65,,
160,-9128.50,,
161,-9208.42,,
162,-9249.96,,
163,-9241.31,,
164,-9237.34,,
165,-9144.71,,
166,-9020.06,,
167,-8867.25,,
168,-8705.14,,
169,-8533.67,,
170,-8329.18,,
171,-8101.98,,
172,-7826.12,,
173,-7529.78,,
174,-7227.89,,
175,-6931.41,,
176,-6626.84,,
177,-6305.75,,
178,-5994.49,,
179,-5697.58,,
180,-5392.70,,
181,-5093.79,,
182,-4793.96,,
183,-4494.98,,
184,-4203.10,,
185,-3924.51,,
186,-3692.69,,
187,-3493.98,,
188,-3360.63,,
189,-3213.74,,
190,-3122.06,,
191,-3084.43,,
192,-3167.48,,
193,-3305.41,,
194,-3394.44,,
195,-3548.94,,
196,-3748.22,,
197,-3754.78,,
198,-3530.46,,
199,-3207.20,,
200,-2876.03,,
201,-2525.84,,
202,-2173.44,,
203,-1821.53,,
204,-1463.59,,
205,-1104.90,,
206,-738.43,,
207,-370.13,,
