Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207
2020-01-11,0,-5,-11,-16,-25,-31,-38,-63,-95,-229,-606,-1187,-1721,-2186,-2705,-3166,-3498,-3772,-3986,-4216,-4374,-4496,-4566,-4621,-4668,-4714,-4761,-4801,-4850,-4882,-4902,-4941,-4989,-5030,-5077,-5148,-5277,-5433,-5629,-5836,-6054,-6307,-6600,-7005,-7404,-7868,-8382,-8954,-9579,-10312,-11130,-12070,-12876,-13633,-14198,-14716,-15150,-15533,-15924,-16310,-16769,-17322,-17991,-18890,-20119,-21630,-23010,-24207,-25205,-25944,-26569,-26977,-27297,-27552,-27742,-27902,-28019,-28122,-28202,-28265,-28320,-28413,-28525,-28704,-28928,-29189,-29415,-29628,-29840,-30020,-30198,-30362,-30526,-30651,-30821,-31026,-31225,-31431,-31669,-31949,-32266,-32671,-33624,-35166,-37056,-38825,-40065,-40975,-41608,-42075,-42462,-42817,-43157,-43509,-43941,-44467,-45152,-45962,-46745,-47403,-47969,-48414,-48823,-49106,-49353,-49562,-49783,-50062,-50436,-50894,-51533,-52151,-52701,-53254,-53713,-54261,-54730,-55208,-55667,-56095,-56616,-57190,-57802,-58559,-59256,-59946,-60606,-61141,-61544,-61959,-62346,-62731,-63175,-63656,-64225,-64778,-65158,-65512,-65844,-66181,-66520,-66838,-67156,-67492,-67778,-68043,-68331,-68592,-68829,-69095,-69300,-69470,-69637,-69771,-69899,-70018,-70147,-70232,-70322,-70385,-70444,-70503,-70558,-70623,-70685,-70753,-70831,-70917,-71043,-71207,-71384,-71571,-71855,-72155,-72430,-72676,-72969,-73286,-73557,-73877,-74254,-74677,-75118,-75483,-75870,-76238,-76616
2020-01-12,-5,-11,-16,-25,-31,-38,-63,-95,-229,-606,-1187,-1721,-2186,-2705,-3166,-3498,-3772,-3986,-4216,-4374,-4496,-4566,-4621,-4668,-4714,-4761,-4801,-4850,-4882,-4902,-4941,-4989,-5030,-5077,-5148,-5277,-5433,-5629,-5836,-6054,-6307,-6600,-7005,-7404,-7868,-8382,-8954,-9579,-10312,-11130,-12070,-12876,-13633,-14198,-14716,-15150,-15533,-15924,-16310,-16769,-17322,-17991,-18890,-20119,-21630,-23010,-24207,-25205,-25944,-26569,-26977,-27297,-27552,-27742,-27902,-28019,-28122,-28202,-28265,-28320,-28413,-28525,-28704,-28928,-29189,-29415,-29628,-29840,-30020,-30198,-30362,-30526,-30651,-30821,-31026,-31225,-31431,-31669,-31949,-32266,-32671,-33624,-35166,-37056,-38825,-40065,-40975,-41608,-42075,-42462,-42817,-43157,-43509,-43941,-44467,-45152,-45962,-46745,-47403,-47969,-48414,-48823,-49106,-49353,-49562,-49783,-50062,-50436,-50894,-51533,-52151,-52701,-53254,-53713,-54261,-54730,-55208,-55667,-56095,-56616,-57190,-57802,-58559,-59256,-59946,-60606,-61141,-61544,-61959,-62346,-62731,-63175,-63656,-64225,-64778,-65158,-65512,-65844,-66181,-66520,-66838,-67156,-67492,-67778,-68043,-68331,-68592,-68829,-69095,-69300,-69470,-69637,-69771,-69899,-70018,-70147,-70232,-70322,-70385,-70444,-70503,-70558,-70623,-70685,-70753,-70831,-70917,-71043,-71207,-71384,-71571,-71855,-72155,-72430,-72676,-72969,-73286,-73557,-73877,-74254,-74677,-75118,-75483,-75870,-76238,-76616,0
2020-01-25,-1,-1,-5,-6,-8,-28,-55,-184,-556,-1132,-1661,-2121,-2635,-3091,-3418,-3687,-3896,-4121,-4274,-4391,-4456,-4506,-4548,-4589,-4631,-4666,-4710,-4737,-4752,-4786,-4829,-4865,-4907,-4973,-5097,-5248,-5439,-5641,-5854,-6102,-6390,-6790,-7184,-7643,-8152,-8719,-9339,-10067,-10880,-11815,-12616,-13368,-13928,-14441,-14870,-15248,-15634,-16015,-16469,-17017,-17681,-18575,-19799,-21305,-22680,-23872,-24865,-25599,-26219,-26622,-26937,-27187,-27372,-27527,-27639,-27737,-27812,-27870,-27920,-28008,-28115,-28289,-28508,-28764,-28985,-29193,-29400,-29575,-29748,-29907,-30066,-30186,-30351,-30551,-30745,-30946,-31179,-31454,-31766,-32166,-33114,-34651,-36536,-38300,-39535,-40440,-41068,-41530,-41912,-42262,-42597,-42944,-43371,-43892,-44572,-45377,-46155,-46808,-47369,-47809,-48213,-48491,-48733,-48937,-49153,-49427,-49796,-50249,-50883,-51496,-52041,-52589,-53043,-53586,-54050,-54523,-54977,-55400,-55916,-56485,-57092,-57844,-58536,-59221,-59876,-60406,-60804,-61214,-61596,-61976,-62415,-62891,-63455,-64003,-64378,-64727,-65054,-65386,-65720,-66033,-66346,-66677,-66958,-67218,-67501,-67757,-67989,-68250,-68450,-68615,-68777,-68906,-69029,-69143,-69267,-69347,-69432,-69490,-69544,-69598,-69648,-69708,-69765,-69828,-69901,-69982,-70103,-70262,-70434,-70616,-70895,-71190,-71460,-71701,-71989,-72301,-72567,-72882,-73254,-73672,-74108,-74468,-74850,-75213,-75586,0,0
2020-02-01,1,-2,-2,-3,-22,-48,-176,-547,-1122,-1650,-2109,-2622,-3077,-3403,-3671,-3879,-4103,-4255,-4371,-4435,-4484,-4525,-4565,-4606,-4640,-4683,-4709,-4723,-4756,-4798,-4833,-4874,-4939,-5062,-5212,-5402,-5603,-5815,-6062,-6349,-6748,-7141,-7599,-8107,-8673,-9292,-10019,-10831,-11765,-12565,-13316,-13875,-14387,-14815,-15192,-15577,-15957,-16410,-16957,-17620,-18513,-19736,-21241,-22615,-23806,-24798,-25531,-26150,-26552,-26866,-27115,-27299,-27453,-27564,-27661,-27735,-27792,-27841,-27928,-28034,-28207,-28425,-28680,-28900,-29107,-29313,-29487,-29659,-29817,-29975,-30094,-30258,-30457,-30650,-30850,-31082,-31356,-31667,-32066,-33013,-34549,-36433,-38196,-39430,-40334,-40961,-41422,-41803,-42152,-42486,-42832,-43258,-43778,-44457,-45261,-46038,-46690,-47250,-47689,-48092,-48369,-48610,-48813,-49028,-49301,-49669,-50121,-50754,-51366,-51910,-52457,-52910,-53452,-53915,-54387,-54840,-55262,-55777,-56345,-56951,-57702,-58393,-59077,-59731,-60260,-60657,-61066,-61447,-61826,-62264,-62739,-63302,-63849,-64223,-64571,-64897,-65228,-65561,-65873,-66185,-66515,-66795,-67054,-67336,-67591,-67822,-68082,-68281,-68445,-68606,-68734,-68856,-68969,-69092,-69171,-69255,-69312,-69365,-69418,-69467,-69526,-69582,-69644,-69716,-69796,-69916,-70074,-70245,-70426,-70704,-70998,-71267,-71507,-71794,-72105,-72370,-72684,-73055,-73472,-73907,-74266,-74647,-75009,-75381,0,0,0
2020-02-08,-4,-5,-7,-27,-54,-183,-555,-1131,-1660,-2120,-2634,-3090,-3417,-3686,-3895,-4120,-4273,-4390,-4455,-4505,-4547,-4588,-4630,-4665,-4709,-4736,-4751,-4785,-4828,-4864,-4906,-4972,-5096,-5247,-5438,-5640,-5853,-6101,-6389,-6789,-7183,-7642,-8151,-8718,-9338,-10066,-10879,-11814,-12615,-13367,-13927,-14440,-14869,-15247,-15633,-16014,-16468,-17016,-17680,-18574,-19798,-21304,-22679,-23871,-24864,-25598,-26218,-26621,-26936,-27186,-27371,-27526,-27638,-27736,-27811,-27869,-27919,-28007,-28114,-28288,-28507,-28763,-28984,-29192,-29399,-29574,-29747,-29906,-30065,-30185,-30350,-30550,-30744,-30945,-31178,-31453,-31765,-32165,-33113,-34650,-36535,-38299,-39534,-40439,-41067,-41529,-41911,-42261,-42596,-42943,-43370,-43891,-44571,-45376,-46154,-46807,-47368,-47808,-48212,-48490,-48732,-48936,-49152,-49426,-49795,-50248,-50882,-51495,-52040,-52588,-53042,-53585,-54049,-54522,-54976,-55399,-55915,-56484,-57091,-57843,-58535,-59220,-59875,-60405,-60803,-61213,-61595,-61975,-62414,-62890,-63454,-64002,-64377,-64726,-65053,-65385,-65719,-66032,-66345,-66676,-66957,-67217,-67500,-67756,-67988,-68249,-68449,-68614,-68776,-68905,-69028,-69142,-69266,-69346,-69431,-69489,-69543,-69597,-69647,-69707,-69764,-69827,-69900,-69981,-70102,-70261,-70433,-70615,-70894,-71189,-71459,-71700,-71988,-72300,-72566,-72881,-73253,-73671,-74107,-74467,-74849,-75212,-75585,0,0,0,0
2020-02-15,3,5,-11,-34,-159,-527,-1099,-1624,-2080,-2590,-3042,-3365,-3630,-3835,-4056,-4205,-4318,-4379,-4425,-4463,-4500,-4538,-4569,-4609,-4632,-4643,-4673,-4712,-4744,-4782,-4844,-4964,-5111,-5298,-5496,-5705,-5949,-6233,-6629,-7019,-7474,-7979,-8542,-9158,-9882,-10691,-11622,-12419,-13167,-13723,-14232,-14657,-15031,-15413,-15790,-16240,-16784,-17444,-18334,-19554,-21056,-22427,-23615,-24604,-25334,-25950,-26349,-26660,-26906,-27087,-27238,-27346,-27440,-27511,-27565,-27611,-27695,-27798,-27968,-28183,-28435,-28652,-28856,-29059,-29230,-29399,-29554,-29709,-29825,-29986,-30182,-30372,-30569,-30798,-31069,-31377,-31773,-32717,-34250,-36131,-37891,-39122,-40023,-40647,-41105,-41483,-41829,-42160,-42503,-42926,-43443,-44119,-44920,-45694,-46343,-46900,-47336,-47736,-48010,-48248,-48448,-48660,-48930,-49295,-49744,-50374,-50983,-51524,-52068,-52518,-53057,-53517,-53986,-54436,-54855,-55367,-55932,-56535,-57283,-57971,-58652,-59303,-59829,-60223,-60629,-61007,-61383,-61818,-62290,-62850,-63394,-63765,-64110,-64433,-64761,-65091,-65400,-65709,-66036,-66313,-66569,-66848,-67100,-67328,-67585,-67781,-67942,-68100,-68225,-68344,-68454,-68574,-68650,-68731,-68785,-68835,-68885,-68931,-68987,-69040,-69099,-69168,-69245,-69362,-69517,-69685,-69863,-70138,-70429,-70695,-70932,-71216,-71524,-71786,-72097,-72465,-72879,-73311,-73667,-74045,-74404,-74773,0,0,0,0,0
2020-02-22,-1,-20,-45,-173,-543,-1118,-1645,-2104,-2616,-3071,-3397,-3664,-3872,-4095,-4247,-4362,-4426,-4474,-4515,-4554,-4595,-4629,-4671,-4697,-4710,-4743,-4784,-4819,-4859,-4924,-5046,-5196,-5386,-5586,-5798,-6044,-6331,-6729,-7122,-7579,-8087,-8652,-9271,-9998,-10809,-11743,-12542,-13293,-13851,-14363,-14790,-15167,-15551,-15931,-16384,-16930,-17593,-18485,-19708,-21212,-22586,-23776,-24768,-25500,-26119,-26521,-26834,-27083,-27266,-27420,-27530,-27627,-27700,-27757,-27805,-27892,-27998,-28170,-28388,-28642,-28862,-29068,-29274,-29447,-29619,-29777,-29934,-30053,-30216,-30415,-30607,-30807,-31038,-31312,-31622,-32021,-32968,-34503,-36387,-38149,-39383,-40286,-40913,-41373,-41754,-42102,-42436,-42782,-43207,-43727,-44405,-45209,-45985,-46637,-47196,-47635,-48037,-48314,-48555,-48757,-48972,-49244,-49612,-50063,-50696,-51307,-51851,-52397,-52850,-53392,-53854,-54326,-54778,-55200,-55714,-56282,-56887,-57638,-58328,-59012,-59666,-60194,-60591,-60999,-61380,-61758,-62196,-62670,-63233,-63779,-64153,-64501,-64826,-65157,-65489,-65801,-66112,-66442,-66721,-66980,-67262,-67516,-67747,-68006,-68205,-68368,-68529,-68656,-68778,-68890,-69013,-69092,-69175,-69232,-69284,-69337,-69385,-69444,-69499,-69561,-69632,-69712,-69832,-69989,-70160,-70340,-70618,-70911,-71180,-71419,-71706,-72016,-72281,-72595,-72965,-73382,-73816,-74175,-74555,-74917,-75288,0,0,0,0,0,0
2020-02-29,-18,-43,-170,-540,-1114,-1641,-2099,-2611,-3065,-3390,-3657,-3864,-4087,-4238,-4353,-4416,-4464,-4504,-4543,-4583,-4616,-4658,-4683,-4696,-4728,-4769,-4803,-4843,-4907,-5029,-5178,-5367,-5567,-5778,-6024,-6310,-6708,-7100,-7557,-8064,-8629,-9247,-9973,-10784,-11717,-12516,-13266,-13824,-14335,-14762,-15138,-15522,-15901,-16353,-16899,-17561,-18453,-19675,-21179,-22552,-23742,-24733,-25465,-26083,-26484,-26797,-27045,-27228,-27381,-27491,-27587,-27660,-27716,-27764,-27850,-27955,-28127,-28344,-28598,-28817,-29023,-29228,-29401,-29572,-29729,-29886,-30004,-30167,-30365,-30557,-30756,-30987,-31260,-31570,-31968,-32914,-34449,-36332,-38094,-39327,-40230,-40856,-41316,-41696,-42044,-42377,-42722,-43147,-43666,-44344,-45147,-45923,-46574,-47133,-47571,-47973,-48249,-48489,-48691,-48905,-49177,-49544,-49995,-50627,-51238,-51781,-52327,-52779,-53320,-53782,-54253,-54705,-55126,-55640,-56207,-56812,-57562,-58252,-58935,-59588,-60116,-60512,-60920,-61300,-61678,-62115,-62589,-63151,-63697,-64070,-64417,-64742,-65072,-65404,-65715,-66026,-66355,-66634,-66892,-67173,-67427,-67657,-67916,-68114,-68277,-68437,-68564,-68685,-68797,-68919,-68997,-69080,-69136,-69188,-69240,-69288,-69346,-69401,-69462,-69533,-69612,-69731,-69888,-70058,-70238,-70515,-70808,-71076,-71315,-71601,-71911,-72175,-72488,-72858,-73274,-73708,-74066,-74446,-74807,-75178,0,0,0,0,0,0,0
2020-03-07,-7,-116,-468,-1024,-1533,-1973,-2467,-2903,-3210,-3459,-3648,-3853,-3986,-4083,-4128,-4158,-4180,-4201,-4223,-4238,-4262,-4269,-4264,-4278,-4301,-4317,-4339,-4385,-4489,-4620,-4791,-4973,-5166,-5394,-5662,-6042,-6416,-6855,-7344,-7891,-8491,-9199,-9992,-10907,-11688,-12420,-12960,-13453,-13862,-14220,-14586,-14947,-15381,-15909,-16553,-17427,-18631,-20117,-21472,-22644,-23617,-24331,-24931,-25314,-25609,-25839,-26004,-26139,-26231,-26309,-26364,-26402,-26432,-26500,-26587,-26741,-26940,-27176,-27377,-27565,-27752,-27907,-28060,-28199,-28338,-28438,-28583,-28763,-28937,-29118,-29331,-29586,-29878,-30258,-31186,-32703,-34568,-36312,-37527,-38412,-39020,-39462,-39824,-40154,-40469,-40796,-41203,-41704,-42364,-43149,-43907,-44540,-45081,-45501,-45885,-46143,-46365,-46549,-46745,-46999,-47348,-47781,-48395,-48988,-49513,-50041,-50475,-50998,-51442,-51895,-52329,-52732,-53228,-53777,-54364,-55096,-55768,-56433,-57068,-57578,-57956,-58346,-58708,-59068,-59487,-59943,-60487,-61015,-61370,-61699,-62006,-62318,-62632,-62925,-63218,-63529,-63790,-64030,-64293,-64529,-64741,-64982,-65162,-65307,-65449,-65558,-65661,-65755,-65859,-65919,-65984,-66022,-66056,-66090,-66120,-66160,-66197,-66240,-66293,-66354,-66455,-66594,-66746,-66908,-67167,-67442,-67692,-67913,-68181,-68473,-68719,-69014,-69366,-69764,-70180,-70520,-70882,-71225,-71578,0,0,0,0,0,0,0,0
2020-03-14,-102,-447,-996,-1498,-1931,-2418,-2847,-3147,-3389,-3571,-3769,-3895,-3985,-4023,-4046,-4061,-4075,-4090,-4098,-4115,-4115,-4103,-4110,-4126,-4135,-4150,-4189,-4286,-4410,-4574,-4749,-4935,-5156,-5417,-5790,-6157,-6589,-7071,-7611,-8204,-8905,-9691,-10599,-11373,-12098,-12631,-13117,-13519,-13870,-14229,-14583,-15010,-15531,-16168,-17035,-18232,-19711,-21059,-22224,-23190,-23897,-24490,-24866,-25154,-25377,-25535,-25663,-25748,-25819,-25867,-25898,-25921,-25982,-26062,-26209,-26401,-26630,-26824,-27005,-27185,-27333,-27479,-27611,-27743,-27836,-27974,-28147,-28314,-28488,-28694,-28942,-29227,-29600,-30521,-32031,-33889,-35626,-36834,-37712,-38313,-38748,-39103,-39426,-39734,-40054,-40454,-40948,-41601,-42379,-43130,-43756,-44290,-44703,-45080,-45331,-45546,-45723,-45912,-46159,-46501,-46927,-47534,-48120,-48638,-49159,-49586,-50102,-50539,-50985,-51412,-51808,-52297,-52839,-53419,-54144,-54809,-55467,-56095,-56598,-56969,-57352,-57707,-58060,-58472,-58921,-59458,-59979,-60327,-60649,-60949,-61254,-61561,-61847,-62133,-62437,-62691,-62924,-63180,-63409,-63614,-63848,-64021,-64159,-64294,-64396,-64492,-64579,-64676,-64729,-64787,-64818,-64845,-64872,-64895,-64928,-64958,-64994,-65040,-65094,-65188,-65320,-65465,-65620,-65872,-66140,-66383,-66597,-66858,-67143,-67382,-67670,-68015,-68406,-68815,-69148,-69503,-69839,-70185,0,0,0,0,0,0,0,0,0
