Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2020-01-25,5,11,16,21,26,31,38,43,48,53,60,65,70,75,80,87,92,97,102,109,114,119,124,129,136,141,146,151,158,163,168,173,178,185,190,195,200,206,212,217,222,227,234,239,244,249,255,261,266,271,276,283,288,293,298,304,310,315,320,325,332,337,342,347,353,360,365,370,375,382,387,392,397,402,409,414,419,424,431,436,441,446,451,458,463,468,473,480,485,490,495,500,506,511,516,521,528,533,538,543,549,555,560,565,570,577,582,587,592,597,604,609,614,619,626,631,636,641,646,652,657,662,667,674,679,684,689,694,701,706,711,716,722,728,733,738,743,750,755,760,765,771,777,782,787,792,799,804,809,814,820,826,831,836,841,847,852,857,862,869,874,879,884,889,896,901,906,911,918,923,928,933,938,945,950,955,960,966,972,977,982,987,994,999,1004,1009,1015,1021,1026,1031,1036,1043,1048,1053,1058,1064,1070,1075,1080,1085,1092,1097,1102,1107,1113,-1,-1
2020-02-01,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,103,109,115,121,127,133,139,145,151,157,163,169,175,181,187,193,199,206,212,218,224,230,236,242,248,254,260,266,272,278,284,290,296,302,309,315,321,327,333,339,345,351,357,363,369,375,381,387,393,399,405,412,418,424,430,436,442,448,454,460,466,472,478,484,490,496,502,508,514,520,526,532,538,544,550,556,562,569,575,581,587,593,599,605,611,617,623,629,635,641,648,654,660,666,672,678,684,690,696,702,708,714,720,726,732,738,744,751,757,763,769,775,781,787,793,799,805,811,817,823,829,835,841,847,854,860,866,872,878,884,890,896,902,908,914,920,926,932,938,944,950,957,963,969,975,981,987,993,999,1005,1011,1017,1023,1029,1035,1041,1047,1053,1060,1066,1072,1078,1084,1090,1096,1102,1108,1114,1120,1126,1132,1138,1144,1150,1156,1163,1169,1175,1181,1187,1193,1199,1205,1211,1217,1223,1229,1235,-1,-1,-1
2020-02-08,5,10,15,20,27,32,37,42,47,52,59,64,69,74,79,85,90,95,100,105,111,117,122,127,132,137,144,149,154,159,164,169,176,181,186,191,196,202,207,212,217,222,228,234,239,244,249,254,261,266,271,276,281,286,293,298,303,308,313,319,324,329,334,339,345,351,356,361,366,371,378,383,388,393,398,403,410,415,420,425,430,436,441,446,451,456,462,468,473,478,483,488,495,500,505,510,515,520,527,532,537,542,547,553,558,563,568,573,579,585,590,595,600,605,612,617,622,627,632,637,644,649,654,659,664,670,675,680,685,690,697,702,707,712,717,722,729,734,739,744,749,755,761,766,771,776,781,787,793,798,803,808,814,820,825,830,835,840,846,851,856,861,866,872,878,883,888,893,898,904,910,915,920,925,931,937,942,947,952,957,963,968,973,978,983,989,995,1000,1005,1010,1015,1021,1027,1032,1037,1042,1048,1054,1059,1064,1069,1074,1081,-1,-1,-1,-1
2020-02-15,9,18,27,36,45,57,66,75,84,93,102,111,120,129,138,147,158,167,176,185,194,203,212,221,230,239,249,259,268,277,287,296,305,314,323,332,341,350,359,368,377,387,396,405,414,423,432,441,450,459,468,478,488,497,506,515,524,533,542,551,560,569,579,589,598,607,616,625,634,643,652,661,670,681,691,700,709,718,727,736,745,754,763,772,783,792,801,810,819,828,837,846,855,864,873,885,894,903,912,921,930,939,948,957,966,975,986,995,1004,1013,1022,1031,1040,1049,1058,1067,1076,1086,1095,1104,1113,1122,1131,1140,1149,1158,1167,1176,1186,1195,1204,1213,1222,1231,1240,1249,1258,1267,1276,1285,1294,1303,1313,1322,1331,1340,1349,1358,1367,1376,1385,1394,1403,1413,1422,1431,1440,1449,1458,1467,1476,1485,1494,1503,1513,1522,1531,1540,1549,1558,1567,1576,1585,1594,1604,1614,1623,1632,1641,1650,1659,1668,1677,1686,1695,1705,1714,1723,1732,1741,1750,1759,1768,1777,1786,1795,1805,1814,1823,1832,1841,1850,-1,-1,-1,-1,-1
2020-02-22,6,12,18,27,33,39,45,51,57,63,69,75,81,87,93,102,108,114,120,126,132,138,144,150,156,162,170,178,184,190,196,202,208,214,220,226,232,238,246,254,260,266,272,278,284,290,296,302,308,314,323,329,335,342,348,354,360,366,372,378,384,390,399,405,411,417,423,429,435,441,447,453,459,465,473,479,486,492,498,504,510,516,522,528,534,541,548,554,562,568,574,580,586,592,598,604,610,617,624,630,638,644,650,656,662,668,674,680,686,693,699,705,714,720,726,732,738,744,750,756,762,769,775,782,790,796,802,808,814,820,826,832,838,845,851,859,866,872,878,884,890,896,902,908,914,920,926,935,941,947,953,959,965,971,977,983,989,995,1001,1010,1016,1022,1028,1034,1040,1046,1052,1058,1064,1070,1076,1085,1091,1097,1103,1109,1115,1121,1127,1133,1139,1145,1152,1161,1167,1173,1179,1185,1191,1197,1203,1209,1215,1221,1229,1237,1243,1249,1255,1261,1267,-1,-1,-1,-1,-1,-1
2020-02-29,7,14,21,28,35,42,49,56,63,70,77,84,91,98,105,112,119,126,133,140,147,154,161,168,175,182,189,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,358,365,372,380,387,394,401,408,415,422,429,436,443,450,457,464,471,478,485,492,499,506,513,520,527,534,541,548,556,563,570,577,584,591,598,605,612,619,626,633,640,647,654,661,668,675,682,689,696,703,710,717,724,731,739,746,753,760,767,774,781,788,795,802,809,816,823,830,837,844,851,858,865,872,879,886,893,900,907,914,921,928,935,942,949,956,963,970,977,984,991,998,1006,1013,1020,1027,1034,1041,1048,1055,1062,1069,1076,1083,1090,1097,1104,1111,1118,1125,1132,1139,1146,1153,1160,1167,1174,1181,1188,1195,1202,1209,1216,1223,1230,1237,1244,1251,1258,1266,1273,1280,1287,1294,1301,1308,1315,1322,1329,1336,1343,1350,1357,1364,1371,1378,1385,1392,1399,1406,-1,-1,-1,-1,-1,-1,-1
2020-03-07,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000,1025,1050,1075,1100,1125,1150,1175,1200,1225,1250,1275,1300,1325,1350,1375,1400,1425,1450,1475,1500,1525,1550,1575,1600,1625,1650,1675,1700,1725,1750,1775,1800,1825,1850,1875,1900,1925,1950,1975,2000,2025,2050,2075,2100,2125,2150,2175,2200,2225,2250,2275,2300,2325,2350,2375,2400,2425,2450,2475,2500,2525,2550,2575,2600,2625,2650,2675,2700,2725,2750,2775,2800,2825,2850,2875,2900,2925,2950,2975,3000,3025,3050,3075,3100,3125,3150,3175,3200,3225,3250,3275,3300,3325,3350,3375,3400,3425,3450,3475,3500,3525,3550,3575,3600,3625,3650,3675,3700,3725,3750,3775,3800,3825,3850,3875,3900,3925,3950,3975,4000,4025,4050,4075,4100,4125,4150,4175,4200,4225,4250,4275,4300,4325,4350,4375,4400,4425,4450,4475,4500,4525,4550,4575,4600,4625,4650,4675,4700,4725,4750,4775,4800,4825,4850,4875,4900,4925,4950,4975,-1,-1,-1,-1,-1,-1,-1,-1
2020-03-14,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512,544,576,608,640,672,704,736,768,800,832,864,896,928,960,992,1024,1056,1088,1120,1152,1184,1216,1248,1280,1312,1344,1376,1408,1440,1472,1504,1536,1568,1600,1632,1664,1696,1728,1760,1792,1824,1856,1888,1920,1952,1984,2016,2048,2080,2112,2144,2176,2208,2240,2272,2304,2336,2368,2400,2432,2464,2496,2528,2560,2592,2624,2656,2688,2720,2752,2784,2816,2848,2880,2912,2944,2976,3008,3040,3072,3104,3136,3168,3200,3232,3264,3296,3328,3360,3392,3424,3456,3488,3520,3552,3584,3616,3648,3680,3712,3744,3776,3808,3840,3872,3904,3936,3968,4000,4032,4064,4096,4128,4160,4192,4224,4256,4288,4320,4352,4384,4416,4448,4480,4512,4544,4576,4608,4640,4672,4704,4736,4768,4800,4832,4864,4896,4928,4960,4992,5024,5056,5088,5120,5152,5184,5216,5248,5280,5312,5344,5376,5408,5440,5472,5504,5536,5568,5600,5632,5664,5696,5728,5760,5792,5824,5856,5888,5920,5952,5984,6016,6048,6080,6112,6144,6176,6208,6240,6272,6304,6336,-1,-1,-1,-1,-1,-1,-1,-1,-1
