Start,Memory,Lead,Forecast,Buffer,Capacity,Top,Power,ARIMA,SVR,Succeeded,Failed,Lost,Arrived,Remaining
1,8,2,4,500,None,5,3,None,None,76616,0,0,81458,4842
1,8,2,4,500,None,3,3,None,None,76616,0,0,84654,8038
1,8,2,4,500,None,1,3,None,None,76616,0,0,93817,17201
1,8,2,4,500,None,1,2,None,None,75925,691,0,79347,3422
1,8,2,4,500,None,10,3,None,None,75289,1327,0,77614,2325
1,8,2,4,500,None,3,2,None,None,74750,1866,0,77108,2358
1,8,2,4,500,None,5,2,None,None,74356,2260,0,76534,2178
1,8,2,4,500,None,10,2,None,None,73686,2930,0,75574,1888
1,8,2,4,500,None,1,1,None,None,73544,3072,0,75486,1942
1,8,2,4,500,None,All,3,None,None,73184,3432,0,74258,1074
1,8,2,4,500,None,3,1,None,None,73154,3462,0,74997,1843
1,8,2,2,500,None,1,3,None,None,72694,3922,0,75134,2440
1,8,2,4,500,None,5,1,None,None,72669,3947,0,74424,1755
1,8,2,4,500,None,All,2,None,None,72013,4603,0,73309,1296
1,8,2,4,500,None,10,1,None,None,71464,5152,0,72963,1499
1,8,2,2,500,None,3,3,None,None,71127,5489,0,72028,901
1,8,2,2,500,None,5,3,None,None,70745,5871,0,71493,748
1,8,2,2,500,None,1,2,None,None,70640,5976,0,71451,811
1,8,2,4,500,None,All,1,None,None,70253,6363,0,71419,1166
1,8,2,2,500,None,10,3,None,None,69787,6829,0,70417,630
1,8,2,2,500,None,3,2,None,None,69507,7109,0,70270,763
1,8,2,2,500,None,5,2,None,None,69122,7494,0,69827,705
1,8,2,2,500,None,1,1,None,None,68200,8416,0,68833,633
1,8,2,2,500,None,10,2,None,None,68082,8534,0,68673,591
1,8,2,2,500,None,3,1,None,None,67689,8927,0,68278,589
1,8,2,2,500,None,5,1,None,None,66876,9740,0,67424,548
1,8,2,2,500,None,10,1,None,None,64599,12017,0,65033,434
1,8,2,2,500,None,All,3,None,None,64398,12218,0,64681,283
1,8,2,2,500,None,All,2,None,None,63481,13135,0,63821,340
1,8,2,2,500,None,All,1,None,None,61806,14810,0,62074,268
