Forecast,ARIMA,ARIMA + LLMs,Improvement
1,94.20%,93.72%,-0.48%
2,94.17%,93.69%,-0.49%
3,93.66%,92.68%,-0.98%
4,92.65%,92.65%,0.00%
5,92.61%,92.12%,-0.49%
6,93.07%,93.07%,0.00%
7,92.54%,92.54%,0.00%
8,92.50%,92.50%,0.00%
9,92.46%,92.46%,0.00%
10,92.93%,92.93%,0.00%
11,92.89%,92.89%,0.00%
12,92.86%,92.35%,-0.51%
13,92.31%,,
14,93.30%,,
15,94.82%,,
16,95.31%,,
17,95.29%,,
18,95.26%,,
19,95.24%,,
20,95.21%,,
21,95.19%,,
22,95.16%,,
23,95.14%,,
24,95.11%,,
25,95.08%,,
26,95.05%,,
27,95.03%,,
28,95.00%,,
29,94.97%,,
30,94.94%,,
31,94.92%,,
32,94.89%,,
33,94.86%,,
34,94.83%,,
35,94.80%,,
36,95.35%,,
37,95.32%,,
38,95.29%,,
39,95.27%,,
40,95.24%,,
41,95.21%,,
42,95.18%,,
43,95.15%,,
44,95.12%,,
45,95.09%,,
46,95.06%,,
47,95.03%,,
48,95.00%,,
49,94.97%,,
50,94.94%,,
51,94.90%,,
52,94.87%,,
53,94.84%,,
54,94.81%,,
55,94.77%,,
56,94.74%,,
57,94.70%,,
58,94.67%,,
59,94.63%,,
60,94.59%,,
61,94.56%,,
62,94.52%,,
63,94.48%,,
64,94.44%,,
65,94.41%,,
66,94.37%,,
67,94.33%,,
68,94.29%,,
69,94.24%,,
70,94.20%,,
71,94.16%,,
72,94.12%,,
73,94.07%,,
74,94.03%,,
75,93.98%,,
76,93.94%,,
77,93.89%,,
78,93.85%,,
79,93.80%,,
80,93.75%,,
81,93.70%,,
82,93.65%,,
83,93.60%,,
84,93.55%,,
85,93.50%,,
86,93.44%,,
87,93.39%,,
88,93.33%,,
89,93.28%,,
90,93.22%,,
91,93.16%,,
92,93.10%,,
93,93.04%,,
94,92.98%,,
95,92.92%,,
96,92.86%,,
97,92.79%,,
98,92.73%,,
99,92.66%,,
100,92.59%,,
101,93.46%,,
102,94.34%,,
103,93.33%,,
104,94.23%,,
105,95.15%,,
106,95.10%,,
107,95.05%,,
108,95.00%,,
109,94.95%,,
110,94.90%,,
111,94.85%,,
112,94.79%,,
113,94.74%,,
114,94.68%,,
115,94.62%,,
116,94.57%,,
117,94.51%,,
118,94.44%,,
119,94.38%,,
120,94.32%,,
121,94.25%,,
122,94.19%,,
123,94.12%,,
124,94.05%,,
125,93.98%,,
126,93.90%,,
127,93.83%,,
128,93.75%,,
129,93.67%,,
130,94.87%,,
131,94.81%,,
132,94.74%,,
133,94.67%,,
134,94.59%,,
135,94.52%,,
136,94.44%,,
137,94.37%,,
138,94.29%,,
139,94.20%,,
140,95.59%,,
141,97.01%,,
142,95.45%,,
143,93.85%,,
144,95.31%,,
145,95.24%,,
146,93.55%,,
147,93.44%,,
148,93.33%,,
149,93.22%,,
150,93.10%,,
151,92.98%,,
152,92.86%,,
153,92.73%,,
154,92.59%,,
155,94.34%,,
156,96.15%,,
157,96.08%,,
158,94.00%,,
159,95.92%,,
160,93.75%,,
161,93.62%,,
162,93.48%,,
163,93.33%,,
164,93.18%,,
165,90.70%,,
166,90.48%,,
167,92.68%,,
168,92.50%,,
169,92.31%,,
170,92.11%,,
171,91.89%,,
172,91.67%,,
173,91.43%,,
174,91.18%,,
175,90.91%,,
176,90.62%,,
177,93.55%,,
178,93.33%,,
179,96.55%,,
180,96.43%,,
181,96.30%,,
182,96.15%,,
183,96.00%,,
184,100.00%,,
185,100.00%,,
186,100.00%,,
187,100.00%,,
188,100.00%,,
189,100.00%,,
190,100.00%,,
191,100.00%,,
192,100.00%,,
193,93.33%,,
194,85.71%,,
195,92.31%,,
196,91.67%,,
197,90.91%,,
198,90.00%,,
199,88.89%,,
200,100.00%,,
201,100.00%,,
202,100.00%,,
203,100.00%,,
204,100.00%,,
205,100.00%,,
206,100.00%,,
207,100.00%,,
