Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207
2020-01-11,0,-5,-11,-16,-25,-31,-38,-63,-95,-229,-606,-1187,-1721,-2186,-2705,-3166,-3498,-3772,-3986,-4216,-4374,-4496,-4566,-4621,-4668,-4714,-4761,-4801,-4850,-4882,-4902,-4941,-4989,-5030,-5077,-5148,-5277,-5433,-5629,-5836,-6054,-6307,-6600,-7005,-7404,-7868,-8382,-8954,-9579,-10312,-11130,-12070,-12876,-13633,-14198,-14716,-15150,-15533,-15924,-16310,-16769,-17322,-17991,-18890,-20119,-21630,-23010,-24207,-25205,-25944,-26569,-26977,-27297,-27552,-27742,-27902,-28019,-28122,-28202,-28265,-28320,-28413,-28525,-28704,-28928,-29189,-29415,-29628,-29840,-30020,-30198,-30362,-30526,-30651,-30821,-31026,-31225,-31431,-31669,-31949,-32266,-32671,-33624,-35166,-37056,-38825,-40065,-40975,-41608,-42075,-42462,-42817,-43157,-43509,-43941,-44467,-45152,-45962,-46745,-47403,-47969,-48414,-48823,-49106,-49353,-49562,-49783,-50062,-50436,-50894,-51533,-52151,-52701,-53254,-53713,-54261,-54730,-55208,-55667,-56095,-56616,-57190,-57802,-58559,-59256,-59946,-60606,-61141,-61544,-61959,-62346,-62731,-63175,-63656,-64225,-64778,-65158,-65512,-65844,-66181,-66520,-66838,-67156,-67492,-67778,-68043,-68331,-68592,-68829,-69095,-69300,-69470,-69637,-69771,-69899,-70018,-70147,-70232,-70322,-70385,-70444,-70503,-70558,-70623,-70685,-70753,-70831,-70917,-71043,-71207,-71384,-71571,-71855,-72155,-72430,-72676,-72969,-73286,-73557,-73877,-74254,-74677,-75118,-75483,-75870,-76238,-76616
2020-01-12,-5,-11,-16,-25,-31,-38,-63,-95,-229,-606,-1187,-1721,-2186,-2705,-3166,-3498,-3772,-3986,-4216,-4374,-4496,-4566,-4621,-4668,-4714,-4761,-4801,-4850,-4882,-4902,-4941,-4989,-5030,-5077,-5148,-5277,-5433,-5629,-5836,-6054,-6307,-6600,-7005,-7404,-7868,-8382,-8954,-9579,-10312,-11130,-12070,-12876,-13633,-14198,-14716,-15150,-15533,-15924,-16310,-16769,-17322,-17991,-18890,-20119,-21630,-23010,-24207,-25205,-25944,-26569,-26977,-27297,-27552,-27742,-27902,-28019,-28122,-28202,-28265,-28320,-28413,-28525,-28704,-28928,-29189,-29415,-29628,-29840,-30020,-30198,-30362,-30526,-30651,-30821,-31026,-31225,-31431,-31669,-31949,-32266,-32671,-33624,-35166,-37056,-38825,-40065,-40975,-41608,-42075,-42462,-42817,-43157,-43509,-43941,-44467,-45152,-45962,-46745,-47403,-47969,-48414,-48823,-49106,-49353,-49562,-49783,-50062,-50436,-50894,-51533,-52151,-52701,-53254,-53713,-54261,-54730,-55208,-55667,-56095,-56616,-57190,-57802,-58559,-59256,-59946,-60606,-61141,-61544,-61959,-62346,-62731,-63175,-63656,-64225,-64778,-65158,-65512,-65844,-66181,-66520,-66838,-67156,-67492,-67778,-68043,-68331,-68592,-68829,-69095,-69300,-69470,-69637,-69771,-69899,-70018,-70147,-70232,-70322,-70385,-70444,-70503,-70558,-70623,-70685,-70753,-70831,-70917,-71043,-71207,-71384,-71571,-71855,-72155,-72430,-72676,-72969,-73286,-73557,-73877,-74254,-74677,-75118,-75483,-75870,-76238,-76616,0
2020-01-25,-1,0,-4,-5,-7,-27,-52,-181,-553,-1129,-1656,-2116,-2630,-3086,-3413,-3680,-3889,-4114,-4267,-4382,-4447,-4497,-4539,-4580,-4620,-4655,-4699,-4726,-4739,-4773,-4816,-4852,-4894,-4958,-5082,-5233,-5424,-5625,-5837,-6085,-6373,-6773,-7165,-7624,-8133,-8700,-9319,-10046,-10859,-11794,-12595,-13345,-13905,-14418,-14847,-15224,-15609,-15990,-16444,-16992,-17654,-18548,-19772,-21278,-22652,-23842,-24835,-25569,-26189,-26590,-26905,-27155,-27340,-27495,-27605,-27703,-27778,-27836,-27884,-27972,-28079,-28253,-28472,-28726,-28947,-29155,-29362,-29535,-29708,-29867,-30026,-30146,-30310,-30510,-30704,-30905,-31136,-31411,-31723,-32123,-33070,-34606,-36491,-38255,-39490,-40393,-41021,-41483,-41865,-42215,-42548,-42895,-43322,-43843,-44521,-45326,-46104,-46757,-47318,-47757,-48161,-48439,-48681,-48883,-49099,-49373,-49742,-50195,-50827,-51440,-51985,-52533,-52986,-53528,-53992,-54465,-54919,-55340,-55856,-56425,-57032,-57783,-58474,-59159,-59814,-60344,-60740,-61150,-61532,-61912,-62350,-62825,-63389,-63937,-64312,-64660,-64987,-65319,-65653,-65964,-66277,-66608,-66889,-67149,-67430,-67686,-67918,-68179,-68377,-68542,-68704,-68833,-68956,-69068,-69192,-69272,-69357,-69414,-69467,-69521,-69571,-69631,-69686,-69749,-69822,-69903,-70023,-70181,-70353,-70535,-70814,-71107,-71377,-71618,-71906,-72217,-72482,-72797,-73169,-73587,-74021,-74381,-74763,-75126,-75498,0,0
2020-02-01,1,-2,-2,-3,-22,-48,-176,-547,-1122,-1650,-2109,-2622,-3077,-3403,-3671,-3879,-4102,-4254,-4370,-4434,-4483,-4524,-4564,-4605,-4639,-4682,-4708,-4722,-4755,-4797,-4832,-4873,-4938,-5060,-5210,-5400,-5601,-5813,-6060,-6347,-6746,-7139,-7597,-8105,-8671,-9290,-10017,-10829,-11763,-12563,-13313,-13872,-14384,-14812,-15189,-15574,-15954,-16407,-16954,-17617,-18510,-19733,-21238,-22612,-23803,-24795,-25528,-26146,-26548,-26862,-27111,-27295,-27449,-27560,-27657,-27731,-27788,-27837,-27924,-28030,-28203,-28421,-28676,-28896,-29103,-29309,-29483,-29655,-29813,-29971,-30090,-30254,-30453,-30645,-30845,-31077,-31351,-31662,-32061,-33008,-34544,-36428,-38191,-39425,-40329,-40956,-41416,-41797,-42146,-42480,-42826,-43252,-43772,-44451,-45255,-46032,-46684,-47244,-47683,-48086,-48363,-48604,-48807,-49021,-49294,-49662,-50114,-50747,-51359,-51903,-52450,-52903,-53445,-53908,-54380,-54833,-55255,-55770,-56338,-56944,-57694,-58385,-59069,-59723,-60252,-60649,-61058,-61439,-61818,-62256,-62731,-63294,-63841,-64215,-64563,-64889,-65220,-65552,-65864,-66176,-66506,-66786,-67045,-67327,-67582,-67813,-68073,-68272,-68436,-68597,-68725,-68847,-68960,-69083,-69161,-69245,-69302,-69355,-69408,-69457,-69516,-69572,-69634,-69706,-69786,-69906,-70064,-70235,-70416,-70694,-70988,-71256,-71496,-71783,-72094,-72359,-72673,-73044,-73461,-73896,-74255,-74636,-74998,-75370,0,0,0
2020-02-08,-4,-5,-7,-27,-52,-181,-553,-1129,-1658,-2118,-2630,-3086,-3413,-3682,-3891,-4115,-4268,-4385,-4450,-4500,-4541,-4581,-4623,-4658,-4702,-4729,-4742,-4776,-4819,-4855,-4897,-4963,-5085,-5236,-5427,-5629,-5842,-6089,-6377,-6777,-7171,-7630,-8138,-8704,-9324,-10052,-10865,-11800,-12599,-13351,-13911,-14424,-14853,-15231,-15615,-15996,-16450,-16998,-17662,-18555,-19779,-21285,-22660,-23852,-24844,-25577,-26197,-26600,-26915,-27165,-27348,-27503,-27615,-27713,-27788,-27846,-27894,-27982,-28089,-28263,-28482,-28737,-28958,-29166,-29373,-29548,-29720,-29878,-30037,-30157,-30322,-30522,-30714,-30915,-31148,-31423,-31735,-32135,-33081,-34618,-36503,-38267,-39502,-40406,-41034,-41496,-41878,-42228,-42562,-42908,-43335,-43856,-44536,-45341,-46117,-46770,-47331,-47771,-48175,-48453,-48693,-48897,-49113,-49387,-49756,-50208,-50842,-51455,-52000,-52548,-53000,-53543,-54007,-54480,-54934,-55357,-55871,-56440,-57047,-57799,-58491,-59175,-59829,-60359,-60757,-61167,-61549,-61928,-62366,-62842,-63406,-63954,-64328,-64676,-65003,-65335,-65669,-65982,-66294,-66625,-66906,-67166,-67449,-67704,-67935,-68196,-68396,-68561,-68723,-68851,-68973,-69087,-69211,-69291,-69375,-69432,-69486,-69540,-69590,-69650,-69706,-69769,-69842,-69923,-70044,-70202,-70373,-70555,-70834,-71129,-71399,-71639,-71926,-72238,-72504,-72819,-73190,-73607,-74043,-74403,-74785,-75148,-75519,0,0,0,0
2020-02-15,3,5,-11,-34,-159,-524,-1096,-1621,-2077,-2587,-3039,-3362,-3627,-3832,-4053,-4202,-4313,-4374,-4420,-4458,-4495,-4533,-4564,-4604,-4627,-4638,-4667,-4705,-4737,-4775,-4836,-4956,-5103,-5290,-5488,-5697,-5941,-6225,-6621,-7011,-7466,-7970,-8533,-9149,-9873,-10682,-11613,-12410,-13158,-13714,-14223,-14647,-15020,-15402,-15779,-16229,-16773,-17433,-18323,-19543,-21045,-22416,-23603,-24591,-25321,-25937,-26336,-26647,-26893,-27074,-27225,-27333,-27427,-27496,-27549,-27595,-27679,-27782,-27952,-28167,-28419,-28636,-28840,-29043,-29212,-29381,-29536,-29691,-29807,-29968,-30164,-30354,-30551,-30780,-31051,-31356,-31752,-32696,-34229,-36110,-37870,-39101,-40002,-40626,-41084,-41462,-41806,-42137,-42480,-42903,-43420,-44096,-44897,-45671,-46320,-46877,-47313,-47712,-47986,-48224,-48424,-48636,-48906,-49271,-49720,-50350,-50959,-51500,-52043,-52493,-53032,-53492,-53961,-54411,-54830,-55342,-55907,-56510,-57258,-57946,-58627,-59278,-59803,-60197,-60603,-60981,-61357,-61792,-62264,-62824,-63368,-63739,-64084,-64406,-64734,-65064,-65373,-65682,-66009,-66286,-66542,-66821,-67073,-67301,-67557,-67753,-67914,-68072,-68197,-68316,-68426,-68546,-68622,-68703,-68756,-68805,-68855,-68901,-68957,-69010,-69069,-69138,-69215,-69332,-69487,-69654,-69832,-70107,-70398,-70664,-70901,-71185,-71493,-71755,-72066,-72434,-72847,-73279,-73635,-74013,-74372,-74741,0,0,0,0,0
2020-02-22,-1,-20,-46,-171,-542,-1117,-1645,-2104,-2617,-3072,-3398,-3666,-3874,-4098,-4250,-4363,-4427,-4476,-4517,-4557,-4598,-4632,-4675,-4701,-4715,-4748,-4788,-4821,-4862,-4927,-5050,-5200,-5390,-5591,-5803,-6050,-6337,-6736,-7127,-7583,-8091,-8657,-9276,-10003,-10815,-11749,-12549,-13300,-13859,-14371,-14796,-15173,-15558,-15937,-16390,-16937,-17600,-18493,-19716,-21221,-22595,-23786,-24775,-25508,-26127,-26529,-26843,-27092,-27276,-27430,-27541,-27638,-27712,-27769,-27816,-27903,-28008,-28181,-28399,-28654,-28874,-29081,-29287,-29461,-29633,-29790,-29947,-30066,-30228,-30427,-30620,-30820,-31052,-31326,-31637,-32036,-32983,-34518,-36401,-38164,-39396,-40300,-40927,-41388,-41769,-42118,-42452,-42798,-43224,-43743,-44422,-45226,-46000,-46652,-47212,-47651,-48054,-48331,-48572,-48775,-48990,-49262,-49630,-50081,-50712,-51324,-51868,-52415,-52868,-53410,-53873,-54345,-54798,-55219,-55734,-56300,-56905,-57656,-58347,-59031,-59685,-60214,-60611,-61020,-61401,-61780,-62218,-62690,-63253,-63800,-64174,-64522,-64848,-65179,-65512,-65824,-66136,-66466,-66746,-67002,-67284,-67539,-67770,-68030,-68229,-68393,-68554,-68682,-68804,-68917,-69040,-69116,-69200,-69257,-69310,-69363,-69412,-69471,-69527,-69589,-69661,-69741,-69860,-70015,-70186,-70367,-70645,-70939,-71208,-71448,-71735,-72046,-72311,-72625,-72994,-73409,-73844,-74203,-74584,-74946,-75318,0,0,0,0,0,0
2020-02-29,-18,-43,-170,-540,-1114,-1641,-2099,-2611,-3065,-3390,-3657,-3864,-4087,-4238,-4353,-4416,-4464,-4504,-4543,-4583,-4616,-4658,-4683,-4696,-4728,-4769,-4803,-4842,-4906,-5028,-5177,-5366,-5566,-5777,-6023,-6309,-6707,-7099,-7556,-8063,-8628,-9246,-9972,-10783,-11716,-12515,-13265,-13823,-14334,-14761,-15137,-15521,-15900,-16351,-16897,-17559,-18451,-19673,-21177,-22550,-23740,-24731,-25463,-26081,-26482,-26795,-27043,-27226,-27379,-27489,-27585,-27658,-27714,-27762,-27848,-27953,-28125,-28342,-28595,-28814,-29020,-29225,-29398,-29569,-29726,-29883,-30001,-30164,-30362,-30554,-30753,-30984,-31257,-31567,-31965,-32911,-34446,-36329,-38091,-39324,-40227,-40853,-41313,-41693,-42040,-42373,-42718,-43143,-43662,-44340,-45143,-45919,-46570,-47129,-47567,-47969,-48245,-48485,-48687,-48901,-49173,-49540,-49991,-50623,-51234,-51777,-52323,-52775,-53316,-53778,-54249,-54701,-55122,-55636,-56203,-56808,-57558,-58248,-58931,-59584,-60112,-60508,-60915,-61295,-61673,-62110,-62584,-63146,-63692,-64065,-64412,-64737,-65067,-65399,-65710,-66021,-66350,-66629,-66887,-67168,-67422,-67652,-67911,-68109,-68272,-68432,-68559,-68680,-68792,-68914,-68992,-69075,-69131,-69183,-69235,-69283,-69341,-69396,-69457,-69527,-69606,-69725,-69882,-70052,-70232,-70509,-70802,-71070,-71309,-71595,-71905,-72169,-72482,-72852,-73268,-73702,-74060,-74440,-74801,-75172,0,0,0,0,0,0,0
2020-03-07,-7,-116,-468,-1024,-1533,-1973,-2467,-2903,-3210,-3459,-3648,-3853,-3986,-4083,-4128,-4158,-4180,-4201,-4223,-4238,-4262,-4269,-4264,-4278,-4301,-4317,-4339,-4385,-4489,-4620,-4791,-4973,-5166,-5394,-5662,-6042,-6416,-6855,-7344,-7891,-8491,-9199,-9992,-10907,-11688,-12420,-12960,-13453,-13862,-14220,-14586,-14947,-15381,-15909,-16553,-17427,-18631,-20117,-21472,-22644,-23617,-24331,-24931,-25314,-25609,-25839,-26004,-26139,-26231,-26309,-26364,-26402,-26432,-26500,-26587,-26741,-26940,-27176,-27377,-27565,-27752,-27907,-28060,-28199,-28338,-28438,-28583,-28763,-28937,-29118,-29331,-29586,-29878,-30258,-31186,-32703,-34568,-36312,-37527,-38412,-39020,-39462,-39824,-40154,-40469,-40796,-41203,-41704,-42364,-43149,-43907,-44540,-45081,-45501,-45885,-46143,-46365,-46549,-46745,-46999,-47348,-47781,-48395,-48988,-49513,-50041,-50475,-50998,-51442,-51895,-52329,-52732,-53228,-53777,-54364,-55096,-55768,-56433,-57068,-57578,-57956,-58346,-58708,-59068,-59487,-59943,-60487,-61015,-61370,-61699,-62006,-62318,-62632,-62925,-63218,-63529,-63790,-64030,-64293,-64529,-64741,-64982,-65162,-65307,-65449,-65558,-65661,-65755,-65859,-65919,-65984,-66022,-66056,-66090,-66120,-66160,-66197,-66240,-66293,-66354,-66455,-66594,-66746,-66908,-67167,-67442,-67692,-67913,-68181,-68473,-68719,-69014,-69366,-69764,-70180,-70520,-70882,-71225,-71578,0,0,0,0,0,0,0,0
2020-03-14,-102,-447,-996,-1498,-1931,-2418,-2847,-3147,-3389,-3571,-3769,-3895,-3985,-4023,-4046,-4061,-4075,-4090,-4098,-4115,-4115,-4103,-4110,-4126,-4135,-4150,-4189,-4286,-4410,-4574,-4749,-4935,-5156,-5417,-5790,-6157,-6589,-7071,-7611,-8204,-8905,-9691,-10599,-11373,-12098,-12631,-13117,-13519,-13870,-14229,-14583,-15010,-15531,-16168,-17035,-18232,-19711,-21059,-22224,-23190,-23897,-24490,-24866,-25154,-25377,-25535,-25663,-25748,-25819,-25867,-25898,-25921,-25982,-26062,-26209,-26401,-26630,-26824,-27005,-27185,-27333,-27479,-27611,-27743,-27836,-27974,-28147,-28314,-28488,-28694,-28942,-29227,-29600,-30521,-32031,-33889,-35626,-36834,-37712,-38313,-38748,-39103,-39426,-39734,-40054,-40454,-40948,-41601,-42379,-43130,-43756,-44290,-44703,-45080,-45331,-45546,-45723,-45912,-46159,-46501,-46927,-47534,-48120,-48638,-49159,-49586,-50102,-50539,-50985,-51412,-51808,-52297,-52839,-53419,-54144,-54809,-55467,-56095,-56598,-56969,-57352,-57707,-58060,-58472,-58921,-59458,-59979,-60327,-60649,-60949,-61254,-61561,-61847,-62133,-62437,-62691,-62924,-63180,-63409,-63614,-63848,-64021,-64159,-64294,-64396,-64492,-64579,-64676,-64729,-64787,-64818,-64845,-64872,-64895,-64928,-64958,-64994,-65040,-65094,-65188,-65320,-65465,-65620,-65872,-66140,-66383,-66597,-66858,-67143,-67382,-67670,-68015,-68406,-68815,-69148,-69503,-69839,-70185,0,0,0,0,0,0,0,0,0
