Date,1,2,3,4,5,6,7,8,9,10,11,12
2020-01-11,0,-5,-11,-16,-25,-31,-38,-63,-95,-229,-606,-1187
2020-01-12,-5,-11,-16,-25,-31,-38,-63,-95,-229,-606,-1187,-1721
2020-01-25,-1,0,-4,-5,-7,-27,-52,-181,-553,-1129,-1656,-2116
2020-02-01,3,1,5,8,-17,-39,-143,-520,-1101,-1635,-2100,-2619
2020-02-08,-4,-5,-7,-27,-52,-181,-553,-1129,-1658,-2118,-2630,-3086
2020-02-15,3,5,-11,-34,-159,-524,-1096,-1621,-2077,-2587,-3039,-3362
2020-02-22,1,-20,-46,-171,-542,-1117,-1645,-2104,-2617,-3072,-3398,-3666
2020-02-29,-17,-43,-170,-540,-1114,-1641,-2099,-2611,-3065,-3390,-3657,-3864
2020-03-07,3,-131,-508,-1089,-1623,-2048,-2607,-2728,-3160,-3334,-3548,-3778
2020-03-14,-99,-436,-987,-1584,-1916,-2400,-2796,-3128,-3302,-3516,-3746,-3858
2020-03-21,72,-8,-142,243,274,-229,-109,69,307,530,830,1154
2020-03-28,1619,2193,3390,4536,5742,7083,8434,9931,11372,12885,14410,15990
2020-04-04,216,246,982,521,594,1165,1268,1171,2042,2501,3012,3536
2020-04-11,285,-234,380,723,699,485,1243,1619,975,2495,2974,4553
2020-04-18,431,576,1039,1557,1950,1720,3313,1440,4697,5428,6171,6914
2020-04-25,58,245,490,795,1084,1445,1842,2291,2755,3227,3700,4172
2020-05-02,129,444,560,1150,1542,1436,1827,2233,2647,3062,3476,3897
2020-05-09,101,262,332,624,877,1282,1377,1580,1772,2057,2447,2632
2020-05-16,161,181,421,506,581,1501,1454,1264,1491,1725,1950,2192
2020-05-23,45,362,240,445,740,602,1622,940,1111,1276,1454,1834
2020-05-30,92,240,400,545,498,952,1805,1615,1436,1834,1844,2025
2020-06-06,113,183,378,456,610,663,773,772,914,1059,1783,1735
2020-06-13,147,250,578,425,785,745,711,822,962,1088,1220,1816
2020-06-20,47,133,227,187,262,341,709,614,784,955,1150,1352
2020-06-27,90,182,235,445,521,789,773,1055,1775,1323,1894,1700
2020-07-04,101,182,617,443,809,1011,1102,2029,1838,1664,2270,2141
2020-07-11,188,288,489,623,1046,1059,1272,2034,1712,1916,2002,2076
2020-07-18,195,661,629,909,1032,1253,1478,2184,1865,1968,2078,1882
2020-07-25,226,420,924,1105,1187,1356,2224,2153,2024,2118,1866,1831
2020-08-01,343,573,932,1109,1168,1366,1523,1673,1638,1615,1566,1495
2020-08-08,255,491,643,902,1050,1184,1955,1949,2003,1257,1578,1325
2020-08-15,211,333,497,850,954,840,669,1773,841,1598,719,652
2020-08-22,227,331,614,818,864,883,1135,1205,1387,1134,1091,686
2020-08-29,234,333,466,762,606,607,603,810,505,589,484,85
2020-09-05,163,302,403,347,451,439,476,182,54,525,376,-738
2020-09-12,139,220,269,498,291,473,482,827,-356,23,-441,-555
2020-09-19,106,90,144,335,144,-109,-204,-489,101,-370,-1410,-1456
2020-09-26,79,23,66,-27,-87,-273,-480,-677,-1153,-1276,-1936,-1952
2020-10-03,25,18,4,-145,-217,-549,-471,-610,-771,-1321,-1646,-2379
2020-10-10,38,-4,-53,85,-131,-599,-867,-1185,-1561,-1990,-2527,-3149
2020-10-17,-11,-57,-143,-341,-533,-790,-1097,-1462,-1880,-2406,-3017,-3750
2020-10-24,-8,-105,-8,-300,-569,-1020,-550,-1781,-2293,-2896,-3618,-4206
2020-10-31,-40,-192,-154,-316,-625,-504,-1502,-1977,-2073,-3233,-3786,-4266
2020-11-07,-30,-179,-218,-407,-604,-479,-962,-1780,-2720,-3346,-3810,-3398
2020-11-14,21,87,-2,-329,176,-557,-1060,-865,-1671,-2578,-1638,-2851
2020-11-21,-43,72,800,175,-158,-976,-1873,-1722,-2479,-2804,-1834,-1496
2020-11-28,-139,-36,639,-588,-912,-1418,-1258,-2015,-2154,-2208,218,-2097
2020-12-05,53,178,248,2,-1118,-1410,-1033,-1704,-1708,-1628,-1497,-1292
2020-12-12,0,-210,324,-366,-1062,-1247,-244,-1186,-1048,-859,-678,-492
2020-12-19,-108,-51,-616,-547,-929,-869,-762,1929,-329,-95,144,310
2020-12-26,-85,592,-365,429,-136,-6,293,643,985,1332,1606,1786
2021-01-02,-122,-110,247,204,504,1028,1323,1750,2182,2541,4008,3339
2021-01-09,144,637,2072,1114,4420,4037,2726,5960,5501,4148,4419,4460
2021-01-16,207,1028,910,950,1373,3202,2816,3607,2808,2945,4186,2957
2021-01-23,192,431,1233,1850,1459,73,3114,2561,2455,2313,3159,1651
2021-01-30,107,293,1015,624,638,1179,1076,407,1558,-271,-1217,-1312
2021-02-06,191,219,346,481,537,1144,475,-30,-1653,-1734,-2044,-3275
2021-02-13,242,251,215,881,-2,-91,485,-769,-2280,-3520,-3582,-2555
2021-02-20,-8,-11,-87,-257,-108,-1059,-1836,-3033,-3727,-4844,-5459,-5371
2021-02-27,34,105,-198,-244,-491,-1445,-2956,-3958,-4083,-5081,-5820,-6445
2021-03-06,-38,38,-306,-380,-1309,-2570,-3950,-3697,-4695,-5774,-6059,-6035
2021-03-13,-94,-304,-744,-1000,-2511,-3487,-4225,-4686,-5044,-6050,-5159,-5020
2021-03-20,-44,-323,-447,-2096,-2938,-3567,-4008,-4198,-4272,-4125,-3725,-30
2021-03-27,-274,-1378,-1139,-2269,-2466,-3003,-453,-1078,-1486,-2616,-2061,449
2021-04-03,-265,-240,-699,-1117,-1320,-804,1752,2113,4050,328,1648,3438
2021-04-10,-263,-141,-338,-95,425,3750,3642,3322,3803,4864,5955,15600
2021-04-17,131,448,958,1730,2616,3719,4833,6078,7487,8838,10232,11640
2021-04-24,-147,555,1266,2691,3533,6213,5958,5768,7528,6991,10068,11368
2021-05-01,202,860,1838,2480,3160,3837,6665,6505,6961,8535,9172,10306
2021-05-08,286,632,1222,2108,2643,3713,7503,7386,7583,7503,7918,9617
2021-05-15,339,212,864,1142,2402,2476,3098,4072,3992,5069,7269,7731
2021-05-22,217,722,1517,1577,1792,2300,2822,5867,5804,4499,5031,5544
2021-05-29,88,241,459,707,998,1303,1631,1976,2329,2644,2940,3169
2021-06-05,165,605,595,778,1375,1305,1615,1727,2204,2972,2647,2795
2021-06-12,230,381,778,930,1850,1481,1800,2072,2325,2519,2655,2778
2021-06-19,215,448,820,997,1302,1622,1881,1717,1788,2564,2568,2077
2021-06-26,252,505,791,1090,1394,1669,1913,2102,2238,2338,2478,2622
2021-07-03,272,567,904,1199,1706,1994,2070,1955,2255,2804,2591,2379
2021-07-10,340,607,1002,1209,2097,1918,1694,1783,1909,2694,2195,2377
2021-07-17,357,632,1036,1127,1998,1388,1763,1606,1745,1886,2058,2233
2021-07-24,293,549,786,956,1081,1169,1291,1427,1564,1733,1904,2089
2021-07-31,282,545,666,767,857,976,1108,1230,1407,1872,1776,1937
2021-08-07,263,729,511,599,709,1535,1323,1143,1295,1473,1651,1962
2021-08-14,196,347,581,468,1247,1435,1255,1077,1913,1749,1624,3182
2021-08-21,197,265,536,526,1064,1184,1256,1467,1928,1426,2083,1728
2021-08-28,180,477,545,588,733,1080,1316,1827,2027,2307,2102,1736
2021-09-04,149,311,549,544,814,838,1163,1288,1386,1515,2164,1958
2021-09-11,208,325,640,673,1404,1389,1519,1349,2146,1529,2184,1946
2021-09-18,122,273,429,596,766,972,1137,1262,1398,1522,1619,1669
2021-09-25,241,392,723,689,1389,1219,1314,1365,1392,1483,2091,1774
2021-10-02,153,408,739,869,1372,1494,1295,1339,2101,1366,1954,1303
2021-10-09,165,327,532,688,813,940,1064,1152,1201,1211,1135,509
2021-10-16,163,363,520,640,768,887,976,1021,1031,951,326,-892
2021-10-23,250,455,550,801,970,1007,1077,1010,905,652,-440,-2330
2021-10-30,205,375,476,670,594,1202,1135,560,-70,-1290,-2857,-3974
2021-11-06,170,346,445,527,697,1055,650,-45,-1590,-3025,-4253,-5044
2021-11-13,120,234,316,356,359,273,-360,-1582,-3152,-4601,-5521,-6112
2021-11-20,169,306,301,233,910,-44,-1712,-3081,-3845,-5090,-6247,-6561
2021-11-27,137,232,215,260,7,-1535,-3125,-4325,-4884,-6371,-5977,-6444
2021-12-04,141,153,48,-580,-1674,-3287,-4940,-5646,-6239,-6761,-6656,-6593
2021-12-11,58,28,-625,-1842,-2907,-4676,-5903,-6276,-6592,-6951,-6313,-6668
2021-12-18,-88,-608,-1949,-3415,-4734,-5599,-6490,-6806,-6956,-7026,-6351,-6691
2021-12-25,-533,-1545,-3140,-4334,-4894,-5804,-5887,-5984,-5591,-5946,-5236,-5978
2022-01-01,-308,-932,-1001,-2629,2849,2516,2049,3562,2807,-3,598,1119
2022-01-08,-348,-575,-273,359,1268,2343,3498,4685,5887,7077,8187,9203
2022-01-15,121,771,1751,3008,4431,5934,7469,9019,10557,12015,13379,14584
2022-01-22,1110,2050,2517,6950,6563,8008,8051,9468,19884,19358,13132,17863
2022-01-29,335,1207,2190,2578,4748,7108,7056,6624,8348,7313,7743,10620
2022-02-05,607,1100,1938,2358,2368,2926,3404,3788,4013,7463,4480,4492
2022-02-12,158,391,991,983,599,1867,1572,1520,1324,1193,4705,1235
2022-02-19,34,308,318,426,484,108,-727,-151,-467,-658,-757,-735
2022-02-26,66,355,198,271,95,-190,-750,-533,-741,-1307,-1695,-1321
2022-03-05,81,272,123,175,-235,-645,-1178,-836,-952,-1397,-1839,-1743
2022-03-12,69,180,-63,-476,-455,-838,-1496,-1784,-1851,-1466,-1786,-1654
2022-03-19,193,6,-509,-940,-1346,-1544,-1812,-1879,-1910,-1847,-1683,-574
2022-03-26,99,-161,-571,-454,-1112,-1278,-723,-682,-954,-1092,629,408
2022-04-02,-60,-295,-455,-832,-752,253,-156,-431,-152,165,934,717
2022-04-09,215,-218,249,-67,938,439,2296,2049,5790,2219,2625,5216
2022-04-16,167,179,493,788,1189,1716,2279,2880,3469,4000,4436,5568
2022-04-23,367,342,1081,1054,1554,2090,2664,3212,3730,4139,6051,5412
2022-04-30,377,362,930,1047,1340,2041,1820,2611,3217,3089,3108,5452
2022-05-07,580,391,1213,1116,1237,2512,1869,2581,2169,2106,2068,5468
2022-05-14,216,358,561,1052,1131,1022,1728,1270,4381,713,6213,2660
2022-05-21,126,520,508,676,961,841,794,565,872,212,68,158
2022-05-28,173,394,501,615,633,568,323,97,-60,-221,-287,-442
2022-06-04,212,353,465,740,659,570,-48,-215,-377,-444,-708,-678
2022-06-11,199,350,296,228,229,-239,-389,-571,-640,-499,-876,-1446
2022-06-18,109,124,55,-195,-424,-585,-749,-819,3022,-1059,-1148,-1218
2022-06-25,14,-56,-231,-539,-289,-842,-1301,-449,-918,-1396,-1855,-2283
2022-07-02,167,-47,-470,-714,-718,-927,-1075,-544,-1281,-1031,-1459,-3430
2022-07-09,-14,-293,-433,-160,-319,-617,364,-114,-651,-621,-684,-800
2022-07-16,21,110,196,376,467,637,798,978,1189,1307,1372,1399
2022-07-23,68,133,292,362,511,651,810,1000,1097,1141,1147,1008
2022-07-30,97,188,315,471,243,1234,806,285,2011,1399,392,945
2022-08-06,94,99,183,258,352,477,509,488,429,225,81,-56
2022-08-13,77,33,5,246,368,-149,741,111,-715,-503,-1184,607
2022-08-20,156,301,944,666,395,821,694,118,2505,-205,1155,3620
2022-08-27,147,113,985,464,-110,-722,-79,-776,-1466,-1186,1089,686
2022-09-03,166,163,467,368,156,-483,-298,-914,-1096,-1153,-1078,-501
2022-09-10,197,101,-146,365,-542,-835,-529,-1189,-1343,-837,-1243,-1171
2022-09-17,104,-70,-257,-114,-811,-1101,-761,-846,-1249,-1664,-1203,-386
2022-09-24,-53,61,-380,-140,-580,-864,-325,-760,2157,-520,135,-307
2022-10-01,13,-124,-241,-256,-546,370,-136,279,1094,199,329,422
2022-10-08,-132,-222,-308,-54,-279,-70,127,504,579,747,878,921
2022-10-15,267,127,303,1168,1215,1142,2463,2078,2884,2473,3979,4281
2022-10-22,7,44,206,500,782,1092,1404,1657,1873,2001,2145,2462
2022-10-29,90,180,902,737,1350,1415,2271,1810,1931,2668,4433,4934
2022-11-05,215,512,847,1010,2075,1631,2150,1661,2078,2948,2384,5262
2022-11-12,132,252,400,550,641,695,661,643,798,979,1182,1380
2022-11-19,115,148,263,244,-62,69,-359,-189,-276,-100,-125,69
2022-11-26,28,58,29,-37,-191,-329,-294,-233,-150,-72,4,101
2022-12-03,35,121,-65,-59,68,-62,-416,-73,-85,26,19,230
2022-12-10,-23,39,-245,-408,73,-31,-244,-171,411,93,1075,1489
2022-12-17,46,0,-153,-207,163,81,119,855,537,459,731,725
2022-12-24,-88,-160,-59,68,217,361,503,666,829,974,1169,1385
2022-12-31,72,205,428,731,794,1119,1622,1621,1853,2137,2441,2722
2023-01-07,173,316,759,812,1008,1258,1497,1710,1977,2265,2697,6686
2023-01-14,58,278,213,287,820,477,1416,678,865,952,2041,1376
2023-01-21,79,154,227,321,415,491,617,764,888,1039,1214,1360
2023-01-28,84,374,240,1038,702,816,151,804,1002,1233,499,1481
2023-02-04,72,165,258,333,458,604,727,877,1051,1196,1402,1643
2023-02-11,102,387,259,1092,527,539,801,41,1119,1420,800,633
2023-02-18,102,296,510,995,1007,996,884,1493,1738,1568,2291,1987
2023-02-25,85,428,358,648,914,1077,927,1606,1454,1613,1888,2735
2023-03-04,155,413,611,536,1163,1147,1055,1294,2070,1921,2642,2522
2023-03-11,110,472,431,581,1033,1228,1165,1566,1681,2079,2250,2679
2023-03-18,119,265,436,577,779,1017,1257,1531,1810,2098,2377,2699
2023-03-25,160,315,686,1381,1361,1444,1627,2182,2513,2384,2572,4259
2023-04-01,388,440,537,1472,1455,1571,1443,2324,2195,2418,2748,3248
2023-04-08,155,493,573,811,1083,1680,1644,2432,2347,2707,2919,3432
2023-04-15,216,645,670,1674,1221,1827,1776,2095,2409,2760,3099,3640
2023-04-22,250,613,769,1751,1632,1903,1418,1478,2665,2606,3228,2942
2023-04-29,458,749,943,1652,1823,1988,1958,3296,2639,4445,3328,5097
2023-05-06,616,688,1119,1690,1905,1815,2002,2943,2884,3279,3425,6452
2023-05-13,293,550,869,1133,1799,1777,2117,2448,3413,3134,3497,4493
2023-05-20,302,777,912,1933,1871,2210,2146,2517,3597,3414,3467,4540
2023-05-27,496,577,938,1990,1931,1990,2228,2559,3533,3220,3537,4579
2023-06-03,336,875,1007,1279,1994,1939,2282,3212,2940,3256,3564,4582
2023-06-10,331,631,964,1298,1639,1962,2297,2617,2936,3237,3503,4072
2023-06-17,312,628,994,1324,2049,1987,1919,2615,3155,3029,3411,2688
2023-06-24,362,659,1072,1317,2050,1982,2279,2578,3542,3378,3277,6314
2023-07-01,362,936,1061,2109,2041,2113,2277,3151,2987,2810,2623,6089
2023-07-08,366,900,1060,1290,2022,1936,2881,2377,3350,2783,2885,2986
2023-07-15,356,837,855,1260,1991,2015,2101,2241,2737,2536,2620,2328
2023-07-22,319,634,937,1081,1680,1766,1589,2105,2203,2284,2391,2147
2023-07-29,313,613,1013,1161,1828,1651,1864,1899,1949,2067,2188,1927
2023-08-05,343,686,844,1059,1869,1682,1648,1098,2073,2277,1945,2516
2023-08-12,334,838,1074,1620,1460,1726,2876,2601,2355,2062,2545,2774
2023-08-19,294,560,1033,1546,1562,1512,2687,2441,2148,1831,4860,4540
2023-08-26,209,406,593,683,757,856,983,1064,1121,1224,1278,1275
2023-09-02,195,381,470,543,640,767,847,903,1004,1057,1053,1003
2023-09-09,233,493,474,1154,908,915,848,2027,1707,1330,2185,741
2023-09-16,136,466,386,720,802,785,1014,1894,1517,1094,1453,1088
2023-09-23,120,275,421,1237,420,798,570,563,511,937,445,429
2023-09-30,94,218,295,348,447,497,490,437,366,371,354,356
2023-10-07,175,404,389,1223,910,392,339,1062,697,254,256,249
2023-10-14,127,140,364,624,297,214,143,-57,121,638,110,0
2023-10-21,103,355,292,1065,392,351,236,46,47,103,0,0
2023-10-28,150,373,277,434,518,12,166,-202,-16,0,0,0
