Date,1,2,3,4,5,6,7,8,9,10,11,12
2020-01-11,0,-5,-11,-16,-25,-31,-38,-63,-95,-229,-606,-1187
2020-01-12,-5,-11,-16,-25,-31,-38,-63,-95,-229,-606,-1187,-1721
2020-01-25,-6,-11,-20,-26,-33,-58,-90,-224,-601,-1182,-1716,-2181
2020-02-01,0,-3,-5,-12,-37,-59,-195,-548,-1123,-1651,-2110,-2623
2020-02-08,-4,-5,-7,-27,-54,-183,-555,-1131,-1660,-2120,-2634,-3090
2020-02-15,2,4,-12,-35,-160,-528,-1100,-1625,-2081,-2591,-3043,-3366
2020-02-22,-3,-20,-41,-175,-543,-1118,-1645,-2104,-2616,-3071,-3397,-3664
2020-02-29,-19,-44,-171,-541,-1115,-1642,-2100,-2612,-3067,-3392,-3659,-3866
2020-03-07,-8,-117,-469,-1025,-1534,-1974,-2468,-2904,-3211,-3460,-3649,-3854
2020-03-14,-99,-470,-987,-1581,-1932,-2419,-2848,-3148,-3390,-3891,-4121,-4279
2020-03-21,-256,-691,-1358,-1822,-2307,-2134,-2332,-2472,-2552,-2648,-2672,-2660
2020-03-28,-206,-364,-451,-596,-682,-642,-536,-380,-228,-11,243,549
2020-04-04,91,160,221,340,588,894,1260,1610,2032,2490,3000,3525
2020-04-11,69,84,-143,359,619,939,1243,1619,2031,2495,2974,3461
2020-04-18,-54,-50,84,275,526,762,1069,1412,1808,2218,2636,3056
2020-04-25,66,246,489,793,1082,1443,1840,2288,2752,3224,3697,4168
2020-05-02,214,444,560,795,1098,1437,1829,2235,2649,3064,3479,3900
2020-05-09,58,59,302,452,662,924,1201,1486,1772,2057,2349,2632
2020-05-16,160,103,220,372,576,795,1022,1250,1477,1711,1936,2178
2020-05-23,-16,41,133,277,435,603,772,939,1113,1279,1461,1655
2020-05-30,77,267,639,618,697,751,1078,1254,1435,1634,1775,2034
2020-06-06,113,183,528,729,701,663,681,773,912,1055,1174,1285
2020-06-13,53,119,194,670,345,427,500,590,692,775,849,930
2020-06-20,65,18,62,40,115,136,704,684,645,627,586,539
2020-06-27,8,12,35,40,46,69,100,121,655,141,149,493
2020-07-04,1,12,8,6,21,48,-273,55,61,61,37,-45
2020-07-11,76,18,-19,416,42,649,745,852,660,800,-57,304
2020-07-18,6,16,29,94,54,53,59,59,35,-47,-156,-305
2020-07-25,-14,24,4,35,32,16,-41,703,-101,-212,-387,-603
2020-08-01,3,53,26,56,55,8,45,-36,-208,244,-448,-181
2020-08-08,15,16,-2,-25,-90,-31,-160,469,-624,96,-152,-405
2020-08-15,-24,-52,-83,-100,-141,-270,-411,-607,-784,-1002,-1185,-1463
2020-08-22,-5,16,-19,-52,-101,-257,-453,155,-63,-316,-636,-1041
2020-08-29,2,17,-38,-97,-209,-405,-512,-42,-887,-1179,-1489,-1790
2020-09-05,-6,-13,-124,-239,-394,-560,-37,-1042,-1201,-1565,-1354,-1818
2020-09-12,-4,-95,-136,-317,-524,-96,-810,-898,-1506,-1858,-2166,-2282
2020-09-19,-84,-168,-331,-453,-552,-784,-432,-837,-1619,-2173,-2211,-2956
2020-09-26,-33,-107,-142,-246,-301,-300,-678,-1096,-1541,-1856,-2259,-2755
2020-10-03,-41,-60,-90,-249,-144,-527,-880,-1189,-1547,-1963,-2432,-3009
2020-10-10,28,166,209,79,-326,-601,-869,-1187,-1563,-1993,-2530,-3152
2020-10-17,17,-58,-139,-146,-534,-791,-1496,-1463,-1883,-2407,-3018,-3751
2020-10-24,-36,1,2,-300,-725,-1021,-1375,-1782,-2297,-2897,-3619,-4207
2020-10-31,-58,-151,-55,-546,-826,-1128,-1503,-1976,-2548,-3231,-3789,-4293
2020-11-07,-170,-179,-218,-611,-891,-1223,-1663,-2188,-2835,-3356,-3813,-4085
2020-11-14,5,145,-164,-332,-554,-881,-1294,-1830,-2232,-2584,-2745,-2858
2020-11-21,-65,-180,-500,-579,-913,-1332,-1873,-2280,-2638,-2804,-2923,-2958
2020-11-28,-51,-159,-320,-590,-944,-1420,-1763,-2056,-2157,-2212,-2182,-2101
2020-12-05,-59,-168,-389,-694,-1120,-1412,-1655,-1707,-1711,-1631,-1500,-1378
2020-12-12,-54,-215,-461,-830,-1064,-1249,-1243,-1189,-1055,-862,-682,-496
2020-12-19,-108,-302,-617,-799,-931,-871,-764,-574,-332,-98,141,306
2020-12-26,-186,-494,-367,-792,-724,-10,289,250,980,1326,1600,1779
2021-01-02,-123,-111,-51,202,501,285,1320,1746,2178,2536,2801,2949
2021-01-09,233,315,690,1111,1616,2173,2721,3275,3755,4141,4412,4380
2021-01-16,149,291,510,952,1373,1272,2212,2560,2844,2945,2859,3257
2021-01-23,92,431,754,1128,1495,1866,2164,2368,2457,2315,1843,1089
2021-01-30,107,98,62,624,717,864,836,734,401,-262,-1207,-821
2021-02-06,184,218,346,479,537,502,351,-30,-741,-1734,-2596,-3275
2021-02-13,151,276,140,118,0,-235,-700,-1494,-2571,-3516,-3582,-4842
2021-02-20,-8,-11,-87,-256,-542,-1057,-1904,-3037,-4028,-4844,-5457,-5812
2021-02-27,34,136,-226,-504,-1016,-1850,-2970,-3959,-4765,-5372,-5720,-5954
2021-03-06,27,-40,-436,-1036,-1879,-2970,-4350,-4809,-6321,-5774,-6013,-6035
2021-03-13,-178,-199,-746,-1516,-2561,-3490,-4228,-4767,-5048,-5214,-5164,-5025
2021-03-20,-122,-518,-1439,-2098,-2924,-3566,-4013,-4199,-4271,-4126,-3893,-3595
2021-03-27,-274,-879,-1334,-2558,-2874,-3204,-3632,-3229,-2971,-2622,-2209,-1730
2021-04-03,-232,-745,-1427,-1726,-1826,-1667,-1395,-905,-327,316,1399,1762
2021-04-10,-282,-434,-402,-171,319,1523,1744,2653,3627,4666,5735,6847
2021-04-17,129,442,1253,1724,2608,3710,4833,6078,7388,8823,10216,11622
2021-04-24,83,366,1207,1912,2436,3996,5103,6268,7533,8797,10075,11308
2021-05-01,99,724,1231,2421,2899,4442,5550,6505,6969,8064,9182,10317
2021-05-08,284,633,1224,1903,2647,3456,4295,5177,6073,7214,7928,9230
2021-05-15,15,247,867,1353,1903,2483,3107,3744,4404,5081,5767,6414
2021-05-22,217,323,893,1329,1794,2303,2826,3371,3934,4504,5037,5550
2021-05-29,189,243,464,711,1003,1309,1638,1984,2338,2654,2951,3182
2021-06-05,165,395,356,558,725,1017,1275,1540,1768,1976,2117,2214
2021-06-12,165,275,556,451,626,528,1019,1181,1324,1401,1432,1426
2021-06-19,30,104,162,301,428,563,661,466,750,717,646,610
2021-06-26,143,15,120,262,632,539,398,339,208,314,-272,-485
2021-07-03,14,52,405,567,231,517,370,144,-116,-221,-558,-770
2021-07-10,22,92,37,121,222,43,215,-243,-243,-476,-585,-662
2021-07-17,42,5,24,-3,-82,294,-441,-588,-405,-837,-937,-1035
2021-07-24,8,-43,-25,-204,-428,-542,-709,-342,-552,-1130,-1240,-1074
2021-07-31,62,-100,-261,-393,-634,-755,-926,-1100,-679,-1328,-1437,-1581
2021-08-07,-20,-106,-237,-405,-539,-659,-404,-557,-735,-899,-1093,-1125
2021-08-14,-56,20,-29,-43,-478,-265,-474,-650,-814,-752,-896,-951
2021-08-21,11,72,-86,99,-86,-73,56,-409,121,403,350,-177
2021-08-28,62,160,271,138,27,75,134,193,292,346,365,390
2021-09-04,9,82,372,212,240,391,488,624,715,771,832,887
2021-09-11,113,227,373,273,108,134,9,735,424,451,452,103
2021-09-18,23,139,159,316,347,27,350,334,320,327,302,235
2021-09-25,132,-15,414,334,239,69,63,-140,-346,291,223,-85
2021-10-02,57,78,119,419,249,234,56,-162,-28,-129,-265,-490
2021-10-09,114,228,172,397,222,-4,-210,-226,-128,-288,-515,-1290
2021-10-16,0,-54,166,356,187,-19,-159,-275,-428,-669,-2013,-2836
2021-10-23,39,-60,292,324,145,-93,-275,-428,-900,-1458,-2836,-4562
2021-10-30,-45,-140,-199,-155,-393,-547,-565,-997,-1847,-3264,-5028,-6672
2021-11-06,-84,-61,-101,-223,-107,-427,-795,-1445,-2818,-4538,-6137,-7207
2021-11-13,36,8,-18,100,-216,-416,-1164,-2501,-4186,-5750,-6785,-7490
2021-11-20,29,-69,-99,-18,-391,-1343,-2696,-4239,-5809,-6845,-7561,-7995
2021-11-27,-33,-107,-218,-417,-1164,-2505,-4391,-5745,-6781,-7485,-7917,-8173
2021-12-04,-45,28,11,-905,-2447,-4138,-5491,-6493,-7165,-7560,-7789,-7938
2021-12-11,-82,-175,-654,-2098,-3858,-5627,-6166,-7253,-7140,-7776,-8162,-7509
2021-12-18,-89,-733,-1850,-3541,-4979,-5899,-6492,-6808,-6958,-7028,-7067,-7076
2021-12-25,-449,-1486,-3140,-4536,-5872,-5835,-6106,-6168,-6150,-6101,-6026,-5367
2022-01-01,-492,-1327,-2343,-2630,-2087,-2267,-1781,-415,-617,-4,597,1118
2022-01-08,-251,-781,-280,347,1753,2925,3404,4649,5860,7047,8154,9167
2022-01-15,119,767,1753,3000,4422,5923,7456,9004,10541,11997,13359,14562
2022-01-22,429,1389,2525,3828,5203,6625,8055,9472,10810,12053,13138,14098
2022-01-29,232,930,1717,2573,3461,4363,5254,6065,6781,7339,7772,8231
2022-02-05,378,723,1247,1804,2376,2935,3415,3801,4027,5129,4258,4511
2022-02-12,158,414,694,990,1270,1477,1581,1531,1355,1206,1183,1251
2022-02-19,34,193,167,436,473,415,197,-147,-460,-1650,-754,-725
2022-02-26,132,279,3,-245,-570,-340,-1150,-1933,-2358,-1637,-1695,-2040
2022-03-05,15,-67,121,-410,-560,-1015,-1578,-1746,-1957,-2047,-2101,-2029
2022-03-12,88,-159,-260,-755,-1565,-1238,-1896,-2462,-2197,-2266,-2209,-2455
2022-03-19,-50,-55,-588,-1204,-1477,-1779,-1997,-2090,-2147,-2078,-1974,-1830
2022-03-26,5,-161,-776,-1478,-1305,-1439,-1452,-2230,-1281,-1097,-1300,-663
2022-04-02,-60,-444,-702,-834,-875,-797,-611,-435,-155,160,464,711
2022-04-09,-26,-224,-197,-78,162,438,1517,1278,1754,2218,2624,2935
2022-04-16,126,177,421,785,1185,2312,2282,2874,3459,3993,4429,4780
2022-04-23,25,142,680,1054,1549,1713,2664,3212,3731,4140,4465,4609
2022-04-30,59,238,550,931,843,1792,2230,2610,2894,2095,2919,3155
2022-05-07,102,291,262,881,1239,1584,1872,2063,2173,2100,2048,2065
2022-05-14,136,358,306,232,856,702,1093,280,626,713,34,500
2022-05-21,226,488,488,676,806,842,793,563,354,213,70,20
2022-05-28,36,91,368,174,-85,-543,-447,-1581,-1250,-1318,-1494,-1759
2022-06-04,38,-9,314,-33,-311,-940,-1068,-1372,-1678,-1890,-2191,-2413
2022-06-11,-12,-82,-247,-496,-926,-1539,-1894,-2447,-2269,-2608,-2867,-3136
2022-06-18,-59,-212,-449,-700,-1264,-1593,-1925,-2163,-2490,-2738,-2995,-3233
2022-06-25,-96,-275,-635,-975,-1246,-1943,-1701,-1970,-2168,-2359,-2540,-2689
2022-07-02,-83,-150,-665,-771,-951,-1036,-1211,-1306,-1411,-1496,-1551,-1698
2022-07-09,-82,-207,-435,-530,-470,-617,-636,-574,-655,-631,-689,-806
2022-07-16,20,108,193,372,462,631,791,970,1180,1297,1362,1381
2022-07-23,75,133,292,362,511,688,810,1000,1097,1142,1070,1009
2022-07-30,72,38,91,172,244,336,427,487,464,402,195,49
2022-08-06,166,43,-118,256,347,476,508,487,428,224,78,-57
2022-08-13,11,33,-117,-117,-37,-147,-261,-414,-711,-949,-1179,-1380
2022-08-20,78,148,236,356,382,349,289,82,-67,-210,-325,-310
2022-08-27,91,113,-120,-63,-114,-722,-1244,-771,-996,-1183,-2090,-1184
2022-09-03,118,163,-159,-72,-205,-484,-703,-915,-1098,-454,-1079,-1016
2022-09-10,131,101,-278,-299,-542,-835,-1766,-1194,-1343,-1287,-1252,-1170
2022-09-17,7,-45,-458,-752,-1021,-1301,-1514,-1621,-1628,-1583,-1930,-1499
2022-09-24,-28,-145,-383,-290,-726,-865,-879,-761,-655,-521,-385,-308
2022-10-01,-65,-224,-645,-411,-556,-509,-344,-180,7,196,326,418
2022-10-08,-146,-219,-309,-357,-280,-72,125,350,577,745,875,918
2022-10-15,59,126,298,438,799,1141,1511,1883,2196,2472,2660,4064
2022-10-22,7,-101,206,501,783,1093,1406,1659,1875,2001,2148,2465
2022-10-29,82,50,747,737,1550,1355,1092,1760,1931,2068,2378,2679
2022-11-05,225,302,927,900,1175,1391,1585,1662,1769,2049,2385,2683
2022-11-12,222,253,101,555,427,698,665,648,304,985,768,1399
2022-11-19,-12,205,58,-17,233,-130,-409,-385,-223,-264,-197,495
2022-11-26,127,257,25,-438,-187,-350,-843,-234,-151,-73,3,100
2022-12-03,2,145,-260,-331,-497,-462,-816,-1148,-351,-303,-234,-179
2022-12-10,-12,45,-252,-507,-507,-431,-763,-370,-328,-287,-190,-441
2022-12-17,-49,-27,-358,-209,-119,-319,99,204,330,456,-537,721
2022-12-24,-22,-161,-60,67,216,359,501,664,827,972,1166,1382
2022-12-31,15,117,118,731,886,1115,1366,1617,1850,2132,2436,2714
2023-01-07,173,372,593,807,1023,1258,1493,1710,1977,2265,2530,2822
2023-01-14,66,75,119,163,224,352,332,426,542,627,755,899
2023-01-21,22,-122,54,-77,-374,144,212,302,368,461,578,666
2023-01-28,38,-51,56,-67,-408,-542,151,-131,-398,335,180,294
2023-02-04,-3,16,75,-261,-357,158,200,284,382,455,587,146
2023-02-11,57,-11,78,-13,-274,222,278,42,475,609,778,950
2023-02-18,0,-29,110,29,97,154,235,88,400,549,700,884
2023-02-25,-18,3,163,-125,154,227,287,400,546,699,883,1073
2023-03-04,49,74,211,245,-96,412,543,372,878,1080,1288,1505
2023-03-11,21,19,236,93,114,195,311,491,583,741,908,1065
2023-03-18,-53,-19,-161,-2,-12,163,261,392,494,675,811,991
2023-03-25,-26,127,257,81,110,-61,575,732,904,1063,449,1464
2023-04-01,24,44,75,164,197,381,-62,-137,795,971,1140,1340
2023-04-08,-31,76,370,242,108,175,60,-78,730,857,795,1229
2023-04-15,30,156,481,387,445,672,188,189,1165,1368,1575,1782
2023-04-22,65,83,444,424,308,384,317,620,156,909,1055,1205
2023-04-29,3,39,381,-128,173,259,191,334,275,668,783,889
2023-05-06,101,113,420,540,455,365,302,438,379,749,851,952
2023-05-13,6,-12,26,75,469,407,377,343,419,493,335,263
2023-05-20,9,-13,351,489,537,511,452,365,332,499,391,604
2023-05-27,-10,24,353,509,121,229,293,440,404,510,496,346
2023-06-03,43,282,448,618,288,612,547,493,444,601,648,649
2023-06-10,-5,82,43,69,106,633,592,504,425,369,126,50
2023-06-17,126,1,-58,107,648,184,194,38,455,329,165,17
2023-06-24,104,-13,62,-3,-65,610,577,491,365,-191,24,-141
2023-07-01,64,-9,56,-6,-74,567,550,421,-232,80,-104,-388
2023-07-08,4,-15,-59,-15,-93,-60,-127,-323,-350,-536,-703,-1105
2023-07-15,-10,-22,-72,-53,-84,-155,-267,-406,-1013,-747,-992,-1212
2023-07-22,2,-7,-14,-35,-96,-195,-307,-429,-648,-883,-1093,-1030
2023-07-29,-33,-41,-109,-123,-287,-356,-505,-795,-923,-1120,-1309,-1261
2023-08-05,24,-41,-56,-219,-288,-405,-670,-855,-1130,-1376,-1193,-1510
2023-08-12,16,-57,-141,-318,149,-1,-301,-976,-822,-1115,-1432,-1676
2023-08-19,-3,-55,90,-311,-9,-215,-490,-736,-1002,-1316,-1590,-1930
2023-08-26,61,-106,149,-309,-487,-364,-612,-876,-1222,-1265,-1589,-1971
2023-09-02,58,-21,143,75,-399,-419,-616,-834,-1101,-1032,-1798,-1505
2023-09-09,48,-51,-241,-23,-242,-340,-667,-933,-901,-1625,-1347,-1384
2023-09-16,-49,-164,-319,-82,-348,-470,-936,-1061,-1438,-1237,-1491,-1669
2023-09-23,-17,50,229,135,-182,-453,-42,-58,-272,-424,-509,-613
2023-09-30,24,26,207,-81,-161,-481,-700,-172,-264,-329,-416,-484
