Date,1,2,3,4,5,6,7,8,9,10,11,12
2020-01-11,0,-5,-11,-16,-25,-31,-38,-63,-95,-229,-606,-1187
2020-01-12,-5,-11,-16,-25,-31,-38,-63,-95,-229,-606,-1187,-1721
2020-01-25,-3,-1,-20,-16,-33,-58,-90,-224,-601,-1182,-1716,-2181
2020-02-01,2,-6,3,-12,-44,-61,-195,-561,-1176,-1647,-2171,-2690
2020-02-08,-6,-7,-14,-32,-71,-198,-555,-1136,-1671,-2162,-2685,-3146
2020-02-15,1,2,-14,-35,-170,-547,-1149,-1683,-2157,-2676,-3137,-3366
2020-02-22,-3,-22,-49,-175,-552,-1118,-1656,-2111,-2630,-3131,-3463,-3663
2020-02-29,-21,-47,-176,-545,-1115,-1649,-2104,-2633,-3067,-3396,-3730,-3865
2020-03-07,-15,-131,-468,-1089,-1534,-2088,-2468,-2904,-3435,-3460,-3923,-4153
2020-03-14,-99,-470,-987,-1521,-1932,-2419,-2856,-3168,-3390,-3891,-4121,-3898
2020-03-21,-256,-723,-1091,-1410,-1807,-1914,-2332,-2472,-2552,-2648,-2672,-2660
2020-03-28,-206,-364,-451,-596,-682,-642,-536,-380,-228,-11,243,549
2020-04-04,91,26,221,340,588,894,1260,1610,2032,2490,3000,3525
2020-04-11,160,84,-143,359,299,939,1243,1619,1131,2495,2974,3461
2020-04-18,46,70,-139,275,526,762,1069,1412,1808,2218,2636,3056
2020-04-25,66,242,489,793,1082,1443,1840,2288,2752,3224,3697,4168
2020-05-02,214,418,421,795,1098,1437,1829,2235,2649,3064,3479,3900
2020-05-09,101,137,327,452,642,924,1201,1486,1772,2057,2349,2632
2020-05-16,129,103,220,372,576,795,1022,1250,1477,1711,1936,2178
2020-05-23,5,41,219,277,435,493,472,939,1113,1279,1461,1655
2020-05-30,77,152,379,618,697,881,698,1254,1435,1634,1775,2034
2020-06-06,113,183,528,729,683,633,596,547,912,1055,1174,1285
2020-06-13,152,110,203,670,360,715,669,634,692,575,849,930
2020-06-20,50,53,72,115,185,256,116,289,250,327,556,539
2020-06-27,76,22,35,55,46,79,140,112,179,138,169,98
2020-07-04,18,12,12,53,21,1,56,54,61,32,145,-62
2020-07-11,16,18,-13,67,42,116,68,59,50,-2,-57,-172
2020-07-18,23,16,24,94,55,653,751,59,633,31,349,153
2020-07-25,-4,-6,4,10,32,-9,-26,-7,-102,-212,-408,-615
2020-08-01,11,53,26,36,55,8,45,-36,-170,-232,-448,-657
2020-08-08,15,16,-5,-43,-90,-31,-160,-449,273,-534,-152,-402
2020-08-15,-24,-52,-83,-100,-171,-270,-411,-607,-784,-1002,-1185,-1463
2020-08-22,-5,16,-15,-52,-101,-257,-453,-552,-763,-343,-636,-1601
2020-08-29,2,17,-38,-97,-199,-353,-512,-652,-887,-1170,-1489,-1868
2020-09-05,-4,-35,-124,-280,-364,-571,-737,-903,-1196,-1555,-1354,-1818
2020-09-12,-8,-95,-201,-317,-524,-742,-210,-1103,-1397,-1796,-2244,-2680
2020-09-19,-54,-168,-246,-453,-563,-784,-432,-834,-1233,-2095,-2211,-2756
2020-09-26,-19,-107,-142,-246,-499,-300,-678,-1096,-1541,-2055,-2432,-2755
2020-10-03,-23,-60,-90,-249,-144,-522,-880,-1385,-1704,-1963,-2432,-3009
2020-10-10,28,-8,-53,50,-326,-601,-869,-1187,-1563,-1993,-2530,-3152
2020-10-17,29,-30,-14,-148,-538,-982,-1496,-1368,-1883,-2407,-3744,-3773
2020-10-24,-8,1,-222,-300,-567,-853,-1275,-1782,-2297,-2897,-3555,-4207
2020-10-31,-58,-152,-74,-546,-826,-1137,-1499,-1976,-2478,-3230,-3789,-4296
2020-11-07,-170,-179,-218,-537,-891,-1223,-1663,-2188,-2835,-3356,-3813,-4085
2020-11-14,4,145,-164,-332,-550,-881,-1294,-1830,-2232,-2584,-2745,-2858
2020-11-21,-23,20,-500,-579,-558,-1265,-1873,-2280,-2638,-2804,-2991,-3425
2020-11-28,33,-65,-164,-590,-944,-1420,-1763,-2056,-2157,-2218,-2182,-2101
2020-12-05,-25,-168,-389,-694,-1228,-1412,-1655,-1707,-1711,-1631,-1500,-1378
2020-12-12,0,-215,-461,-830,-1064,-1249,-1243,-1189,-1055,-862,-682,-496
2020-12-19,-108,-302,-617,-799,-931,-871,-764,-574,-332,-98,141,306
2020-12-26,-68,-494,-367,-400,-455,-13,283,250,980,1326,1600,1779
2021-01-02,-123,-311,-51,202,614,285,1320,1746,2178,2536,3901,3639
2021-01-09,233,315,690,1511,1616,2173,2721,3275,4655,4141,4412,4380
2021-01-16,149,291,510,846,1373,2392,2212,2357,2844,2945,3959,3257
2021-01-23,92,231,454,728,995,1266,2164,2368,1557,1315,1843,-111
2021-01-30,107,98,62,624,238,864,836,230,401,-262,-1182,-3221
2021-02-06,184,218,46,177,537,494,351,-34,-1641,-1734,-2596,-3275
2021-02-13,151,276,85,118,178,-235,-680,-1494,-2151,-3516,-3578,-4842
2021-02-20,92,-13,-87,-256,-542,-1057,-2125,-3037,-4028,-4844,-5457,-5812
2021-02-27,34,-220,-353,-504,-1512,-1850,-3355,-3959,-4765,-5372,-5720,-5954
2021-03-06,-27,-40,-631,-957,-1459,-2970,-4350,-4809,-5464,-5774,-6013,-6035
2021-03-13,-121,-199,-1046,-1516,-2511,-3490,-4928,-5005,-5048,-6214,-5164,-5025
2021-03-20,-44,-518,-1063,-2093,-2928,-3566,-4013,-4199,-4271,-4126,-3893,-3595
2021-03-27,-274,-879,-1334,-2558,-2874,-3194,-3632,-3229,-2971,-2622,-2209,-530
2021-04-03,-232,-745,-1127,-1726,-1826,-1667,-1395,-105,-327,316,1361,1762
2021-04-10,-183,-434,-339,229,425,1523,1744,3022,3627,4722,5735,6847
2021-04-17,229,442,1253,2124,3108,4310,4833,6078,7388,8728,10216,11622
2021-04-24,83,366,1207,1912,2754,3954,5103,5768,7429,7797,10075,11308
2021-05-01,147,724,1231,2421,3160,3842,5550,6556,6969,8064,9182,10317
2021-05-08,284,631,1224,1903,2647,3456,4295,5177,6973,7214,7928,8285
2021-05-15,15,247,997,1353,1903,2483,3107,3744,4404,5081,5767,7614
2021-05-22,217,323,893,1329,1794,2303,2826,3371,3934,4504,5037,5550
2021-05-29,83,443,258,711,1003,1309,1638,1984,2398,2654,2951,2594
2021-06-05,165,180,356,333,517,1015,1175,1540,1768,1976,2117,2214
2021-06-12,165,275,553,455,595,528,481,1180,1327,1401,1085,1423
2021-06-19,30,97,164,301,518,563,661,466,750,717,646,672
2021-06-26,4,120,120,262,232,509,418,249,215,-46,-272,-485
2021-07-03,14,52,105,131,231,198,370,144,-116,-221,-554,-768
2021-07-10,24,63,108,121,111,43,-185,-243,-243,-476,-693,-664
2021-07-17,42,37,24,97,-82,-101,-441,-588,-801,-837,-795,-1035
2021-07-24,108,-27,-25,-204,-243,-504,-604,-817,-950,-1130,-1308,-1472
2021-07-31,62,-100,-247,-378,-634,-755,-933,-1100,-1253,-1338,-1417,-1581
2021-08-07,-10,-186,-280,-405,-539,-668,-802,-557,-765,-899,-1093,-1188
2021-08-14,-74,-168,-244,-358,-478,-294,-474,-650,-814,-951,-1076,-951
2021-08-21,11,-53,-86,40,-86,-73,56,-415,121,196,230,153
2021-08-28,62,160,271,138,157,75,134,-355,292,568,365,390
2021-09-04,9,82,399,219,240,558,488,888,715,771,832,887
2021-09-11,113,38,20,273,108,134,9,-161,424,451,452,103
2021-09-18,23,50,164,316,342,27,48,334,318,327,420,235
2021-09-25,55,55,103,364,239,69,48,-151,-346,-79,241,35
2021-10-02,57,78,34,-6,49,44,-155,-170,-28,-686,-265,-490
2021-10-09,114,92,172,397,222,218,-183,260,-128,-288,-328,-1290
2021-10-16,71,93,72,65,187,-19,-162,-275,-659,-669,-2013,-2844
2021-10-23,110,47,47,30,-65,-93,-275,-495,-903,-1458,-2901,-4185
2021-10-30,-66,-140,-199,-360,-393,-257,-592,-975,-1920,-3472,-5160,-6931
2021-11-06,-84,-61,-63,-223,-105,-427,-795,-1558,-3104,-4538,-6137,-7207
2021-11-13,36,-30,-112,-194,-220,-595,-1254,-2501,-4407,-5750,-6896,-7490
2021-11-20,29,-24,-99,-18,-391,-1344,-2696,-4239,-5827,-6845,-7561,-8027
2021-11-27,-4,-175,-210,-417,-1164,-2505,-4282,-5745,-6781,-7485,-8034,-8175
2021-12-04,-35,-177,-377,-932,-2447,-4142,-5911,-6646,-7165,-7589,-7789,-8443
2021-12-11,-11,-97,-625,-1968,-3862,-4933,-5655,-7253,-7198,-7665,-8052,-7509
2021-12-18,-99,-733,-1850,-3740,-5310,-6249,-6492,-6803,-7464,-7028,-8090,-7076
2021-12-25,-536,-1486,-3335,-4536,-5644,-5843,-6586,-6168,-6150,-5946,-6286,-5367
2022-01-01,-492,-1327,-2076,-2630,-2087,-1667,-1081,-415,-617,718,597,1118
2022-01-08,-251,-781,-578,-53,753,2925,3204,3861,4960,6047,7054,9099
2022-01-15,219,767,1754,2998,4922,5923,7456,9004,10898,11997,13289,14562
2022-01-22,429,1389,2525,3471,5710,6608,7968,9472,10810,11679,13073,14063
2022-01-29,265,807,1735,2173,3461,3763,5954,6624,6781,7258,7772,8231
2022-02-05,378,723,1247,1804,2376,2935,3415,3801,4027,4129,4258,4511
2022-02-12,158,391,694,988,1270,1477,1581,1531,1355,1206,1183,1251
2022-02-19,8,308,158,209,473,71,-503,-147,-460,-658,-754,-725
2022-02-26,132,-70,3,-245,-60,-340,-1039,-1218,-1506,-1637,-2207,-1730
2022-03-05,115,-67,-79,-410,-560,-1015,-1578,-2236,-1957,-2047,-2261,-2029
2022-03-12,88,-159,-260,-755,-1185,-1758,-1896,-2462,-2197,-2266,-2209,-2456
2022-03-19,-50,-229,-588,-1208,-1477,-1779,-1997,-2090,-2147,-2078,-1974,-1853
2022-03-26,5,-161,-776,-974,-1112,-1567,-2012,-1141,-1420,-1097,-986,-521
2022-04-02,-145,-444,-1002,-991,-1152,-1394,-611,-435,-255,160,155,711
2022-04-09,-26,-348,99,-467,662,529,246,1278,2654,3218,3724,4135
2022-04-16,126,177,343,785,1185,1179,2282,2074,3471,3993,4429,5568
2022-04-23,225,142,680,1054,1549,1713,2656,3212,3731,4140,4465,4609
2022-04-30,192,106,255,647,843,1792,1941,2602,1994,2095,2243,2552
2022-05-07,180,291,595,961,874,1621,1872,1862,2173,2100,2048,1993
2022-05-14,-35,148,301,472,776,702,1093,1060,626,463,38,-520
2022-05-21,226,488,404,676,910,737,793,563,417,213,70,20
2022-05-28,-2,91,87,174,-90,-543,-447,-1102,-1250,-1318,-1494,-1759
2022-06-04,26,33,20,-33,-311,-940,-1555,-1525,-1678,-2010,-2558,-2417
2022-06-11,14,-126,-249,-707,-926,-1539,-1899,-2447,-2917,-2608,-2867,-3136
2022-06-18,-44,-28,-486,-700,-1318,-1898,-1925,-2157,-2490,-2738,-2995,-3233
2022-06-25,-139,-207,-448,-1039,-1399,-1952,-2401,-1970,-2168,-2359,-2545,-2602
2022-07-02,-76,-472,-665,-1095,-1045,-927,-1211,-1944,-1411,-1496,-1551,-1702
2022-07-09,-82,-207,-357,-530,-469,-247,-636,-574,-655,299,-689,-818
2022-07-16,7,108,193,372,462,631,791,970,1180,1297,1362,1381
2022-07-23,75,131,292,362,551,688,810,377,996,1212,1070,133
2022-07-30,72,38,-187,321,-157,159,427,285,142,402,-185,-55
2022-08-06,166,43,-118,196,-63,594,73,264,-220,168,-527,-1217
2022-08-13,11,28,-250,-117,-37,-147,-261,-344,-711,-1218,-1188,-1420
2022-08-20,63,103,239,356,110,349,289,22,-67,-210,-870,-310
2022-08-27,91,113,-120,-56,-114,-611,-1244,-771,-895,-1555,-2090,-1341
2022-09-03,73,133,-159,-72,-205,-484,-703,-915,-1098,-1454,-1079,-1016
2022-09-10,131,101,-289,-299,-542,-835,-1766,-1194,-1343,-1677,-2092,-1170
2022-09-17,7,-45,-462,-1152,-811,-1390,-1514,-1221,-1628,-1583,-1620,-1497
2022-09-24,46,-136,-681,-865,-869,-1465,-1094,-761,-1022,-521,-640,-308
2022-10-01,-65,-224,-645,-406,-955,-520,-344,-448,-685,-68,326,-782
2022-10-08,-132,-209,-309,-329,-280,3,125,-223,577,745,875,918
2022-10-15,127,126,303,438,827,1141,1511,1878,2196,2472,2660,4064
2022-10-22,39,-101,466,501,728,1093,1996,1659,1875,2001,2148,3665
2022-10-29,76,50,752,737,1345,1345,1402,1750,1931,2118,1929,3914
2022-11-05,90,512,927,1300,1675,1631,2271,2462,2078,2648,3455,3883
2022-11-12,222,232,418,550,316,98,665,188,614,1100,768,431
2022-11-19,88,205,58,-17,-97,-331,-684,-385,-223,-264,-197,-345
2022-11-26,127,257,-41,-438,-196,-358,-738,-234,-140,-73,-820,116
2022-12-03,-3,-204,-260,-649,-607,-462,-816,-373,-404,-433,-234,-180
2022-12-10,-23,-300,-444,-507,-877,-431,-763,-1100,-328,-287,-190,-441
2022-12-17,51,3,-358,-209,-119,-208,99,396,327,456,4,721
2022-12-24,-149,-71,-257,67,12,-175,-199,664,827,364,1166,1084
2022-12-31,72,117,118,731,886,1115,1366,1617,1850,2122,2436,2714
2023-01-07,245,316,293,807,1008,1258,1493,1710,1471,2265,1922,2822
2023-01-14,66,275,222,263,520,352,1032,426,1315,1027,766,529
2023-01-21,22,56,42,-86,-374,369,197,302,368,461,578,666
2023-01-28,83,-51,56,-67,102,211,151,-26,-398,445,498,289
2023-02-04,4,-32,75,-261,-357,-112,200,54,-183,521,316,456
2023-02-11,64,-11,43,-18,-283,219,278,41,475,609,795,628
2023-02-18,-1,-29,110,-155,-153,19,235,204,400,549,700,884
2023-02-25,39,3,163,-125,154,677,287,323,546,699,883,1073
2023-03-04,88,74,184,245,286,412,543,487,878,1080,1338,1505
2023-03-11,21,18,44,93,114,195,311,491,583,741,908,1065
2023-03-18,-43,-19,-161,-2,-12,163,261,392,494,375,811,991
2023-03-25,14,44,257,81,110,-61,575,732,774,645,1164,1754
2023-04-01,24,28,75,172,197,384,518,924,795,970,1140,1340
2023-04-08,-31,-8,370,242,108,175,52,-78,730,857,1051,846
2023-04-15,30,156,481,374,441,672,498,189,1123,1368,1575,1782
2023-04-22,65,83,154,222,308,384,317,620,745,906,1055,1205
2023-04-29,23,39,111,77,173,259,198,446,557,667,783,889
2023-05-06,101,113,244,540,455,365,302,438,379,749,851,956
2023-05-13,106,-12,26,70,74,407,377,313,263,493,335,263
2023-05-20,9,27,87,108,228,478,419,365,521,459,391,616
2023-05-27,-6,21,113,180,199,229,483,451,408,320,432,346
2023-06-03,43,82,148,328,269,612,547,497,444,601,648,649
2023-06-10,-5,22,63,104,117,41,172,104,446,340,234,50
2023-06-17,42,113,54,139,131,169,194,116,188,329,165,-12
2023-06-24,43,19,62,37,120,52,101,105,-33,-191,24,-141
2023-07-01,4,-9,56,-6,34,-12,547,-68,-232,-315,-502,-786
2023-07-08,-11,-15,53,-15,-53,-71,-127,-291,-350,-443,-703,-1027
2023-07-15,-10,-22,-40,-38,-114,-145,-267,-406,-581,-747,-992,-1247
2023-07-22,3,-1,-14,-35,-96,-202,-307,-429,-648,-883,-1093,-1030
2023-07-29,-27,-29,-109,-123,-247,-356,-465,-729,-923,-1120,-1354,-1555
2023-08-05,5,-19,-55,-219,-290,-405,-670,-856,-1052,-1298,-1193,-1510
2023-08-12,16,23,-141,-210,-327,-592,-778,-974,-1144,-1115,-1432,-1676
2023-08-19,-21,-55,-192,-311,-513,-698,-888,-736,-1029,-1319,-1600,-1930
2023-08-26,-59,-106,97,-265,-487,-367,-583,-876,-1193,-1274,-1594,-1971
2023-09-02,58,-21,-23,-219,-182,-419,-616,-839,-1105,-1032,-1804,-1525
2023-09-09,48,-51,-146,-25,-242,-535,-852,-928,-1252,-1625,-1348,-1384
2023-09-16,-64,-164,-234,-55,-348,-470,-536,-683,-1438,-963,-1197,-1562
2023-09-23,12,50,229,-64,-182,-453,-42,-59,-272,-433,-509,-613
