Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,5,0,5,0,0,0,0
2,5,0,5,0,0,0,0
3,5,0,5,5,5,0,0
4,0,120,120,6,6,0,0
5,114,0,114,5,5,0,0
6,109,0,109,9,9,0,0
7,100,125,225,6,6,0,0
8,219,90,309,7,7,0,0
9,302,0,302,25,25,0,0
10,277,0,277,32,32,0,0
11,245,1285,1530,134,134,0,0
12,1396,0,1396,377,377,0,0
13,1019,0,1019,581,581,0,0
14,438,0,438,534,438,96,0
15,0,0,0,465,0,465,0
16,0,3452,3452,519,519,0,0
17,2933,1737,4670,461,461,0,0
18,4209,0,4209,332,332,0,0
19,3877,0,3877,274,274,0,0
20,3603,4331,7934,214,214,0,0
21,7720,1452,9172,230,230,0,0
22,8942,0,8942,158,158,0,0
23,8784,0,8784,122,122,0,0
24,8662,0,8662,70,70,0,0
25,8592,0,8592,55,55,0,0
26,8537,0,8537,47,47,0,0
27,8490,0,8490,46,46,0,0
28,8444,0,8444,47,47,0,0
29,8397,0,8397,40,40,0,0
30,8357,0,8357,49,49,0,0
31,8308,0,8308,32,32,0,0
32,8276,0,8276,20,20,0,0
33,8256,0,8256,39,39,0,0
34,8217,0,8217,48,48,0,0
35,8169,0,8169,41,41,0,0
36,8128,0,8128,47,47,0,0
37,8081,0,8081,71,71,0,0
38,8010,0,8010,129,129,0,0
39,7881,0,7881,156,156,0,0
40,7725,0,7725,196,196,0,0
41,7529,0,7529,207,207,0,0
42,7322,0,7322,218,218,0,0
43,7104,0,7104,253,253,0,0
44,6851,0,6851,293,293,0,0
45,6558,0,6558,405,405,0,0
46,6153,0,6153,399,399,0,0
47,5754,0,5754,464,464,0,0
48,5290,0,5290,514,514,0,0
49,4776,0,4776,572,572,0,0
50,4204,0,4204,625,625,0,0
51,3579,0,3579,733,733,0,0
52,2846,810,3656,818,818,0,0
53,2838,0,2838,940,940,0,0
54,1898,0,1898,806,806,0,0
55,1092,0,1092,757,757,0,0
56,335,1659,1994,565,565,0,0
57,1429,0,1429,518,518,0,0
58,911,1543,2454,434,434,0,0
59,2020,0,2020,383,383,0,0
60,1637,9406,11043,391,391,0,0
