Start,Memory,Lead,Forecast,Buffer,Capacity,Top,Power,ARIMA,SVR,MODEL,Succeeded,Failed,Lost,Arrived,Remaining,Time
1,15,4,3,100,None,10,4,None,None,True-10,74810,1806,0,77831,3032,4:38
1,15,4,3,100,None,10,4,None,None,True-3,74675,1941,0,78535,3871,4:26
1,15,4,3,100,None,10,4,None,None,True-2,74517,2099,0,78717,4211,4:11
1,15,4,3,100,None,10,4,None,None,True-8,74412,2204,0,77440,3039,4:39
1,15,4,3,100,None,10,4,None,None,True-9,73476,3140,0,76876,3411,4:34
1,15,4,3,100,None,10,4,None,None,True-5,73416,3200,0,76766,3361,4:16
1,15,4,3,100,None,10,4,None,None,True-4,73378,3238,0,77678,4311,4:11
1,15,4,3,100,None,10,4,None,None,True-1,73337,3279,0,77408,4082,4:57
1,15,4,3,100,None,10,4,None,None,True-6,73004,3612,0,76854,3861,4:51
1,15,4,3,100,None,10,4,None,None,True-7,72956,3660,0,76306,3361,4:44
