Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,150,150,0,0,0,0
3,150,0,150,5,5,0,0
4,145,0,145,6,6,0,0
5,139,0,139,5,5,0,0
6,134,0,134,9,9,0,0
7,125,1,126,6,6,0,0
8,120,20,140,7,7,0,0
9,133,0,133,25,25,0,0
10,108,52,160,32,32,0,0
11,128,48,176,134,134,0,0
12,42,0,42,377,42,335,0
13,0,808,808,581,581,0,0
14,227,342,569,534,534,0,0
15,35,766,801,465,465,0,0
16,336,169,505,519,505,14,0
17,0,995,995,461,461,0,0
18,534,505,1039,332,332,0,0
19,707,0,707,274,274,0,0
20,433,243,676,214,214,0,0
21,462,424,886,230,230,0,0
22,656,0,656,158,158,0,0
23,498,361,859,122,122,0,0
24,737,0,737,70,70,0,0
25,667,443,1110,55,55,0,0
26,1055,0,1055,47,47,0,0
27,1008,0,1008,46,46,0,0
28,962,0,962,47,47,0,0
29,915,0,915,40,40,0,0
30,875,0,875,49,49,0,0
31,826,0,826,32,32,0,0
32,794,0,794,20,20,0,0
33,774,0,774,39,39,0,0
34,735,0,735,48,48,0,0
35,687,0,687,41,41,0,0
36,646,0,646,47,47,0,0
37,599,0,599,71,71,0,0
38,528,0,528,129,129,0,0
39,399,0,399,156,156,0,0
40,243,1,244,196,196,0,0
41,48,99,147,207,147,60,0
42,0,578,578,218,218,0,0
43,360,0,360,253,253,0,0
44,107,286,393,293,293,0,0
45,100,207,307,405,307,98,0
46,0,133,133,399,133,266,0
47,0,878,878,464,464,0,0
48,414,0,414,514,414,100,0
49,0,1406,1406,572,572,0,0
50,834,0,834,625,625,0,0
51,209,420,629,733,629,104,0
52,0,515,515,818,515,303,0
53,0,664,664,940,664,276,0
54,0,508,508,806,508,298,0
55,0,1142,1142,757,757,0,0
56,385,0,385,565,385,180,0
57,0,2471,2471,518,518,0,0
58,1953,0,1953,434,434,0,0
59,1519,653,2172,383,383,0,0
60,1789,0,1789,391,391,0,0
61,1398,0,1398,386,386,0,0
62,1012,202,1214,459,459,0,0
63,755,0,755,553,553,0,0
64,202,471,673,669,669,0,0
65,4,377,381,899,381,518,0
66,0,769,769,1229,769,460,0
67,0,1152,1152,1511,1152,359,0
68,0,765,765,1380,765,615,0
69,0,810,810,1197,810,387,0
70,0,1040,1040,998,998,0,0
71,42,2052,2094,739,739,0,0
72,1355,0,1355,625,625,0,0
73,730,30,760,408,408,0,0
74,352,790,1142,320,320,0,0
75,822,0,822,255,255,0,0
76,567,1778,2345,190,190,0,0
77,2155,0,2155,160,160,0,0
78,1995,0,1995,117,117,0,0
79,1878,0,1878,103,103,0,0
80,1775,0,1775,80,80,0,0
81,1695,0,1695,63,63,0,0
82,1632,0,1632,55,55,0,0
83,1577,0,1577,93,93,0,0
84,1484,0,1484,112,112,0,0
85,1372,0,1372,179,179,0,0
86,1193,0,1193,224,224,0,0
87,969,0,969,261,261,0,0
88,708,0,708,226,226,0,0
89,482,17,499,213,213,0,0
90,286,0,286,212,212,0,0
91,74,509,583,180,180,0,0
92,403,0,403,178,178,0,0
93,225,0,225,164,164,0,0
94,61,379,440,164,164,0,0
95,276,0,276,125,125,0,0
96,151,234,385,170,170,0,0
97,215,0,215,205,205,0,0
98,10,725,735,199,199,0,0
99,536,0,536,206,206,0,0
100,330,0,330,238,238,0,0
101,92,455,547,280,280,0,0
102,267,105,372,317,317,0,0
103,55,228,283,405,283,122,0
104,0,240,240,953,240,713,0
105,0,611,611,1542,611,931,0
106,0,1989,1989,1890,1890,0,0
107,99,834,933,1769,933,836,0
108,0,1967,1967,1240,1240,0,0
109,727,683,1410,910,910,0,0
110,500,846,1346,633,633,0,0
111,713,913,1626,467,467,0,0
112,1159,596,1755,387,387,0,0
113,1368,295,1663,355,355,0,0
114,1308,340,1648,340,340,0,0
115,1308,0,1308,352,352,0,0
116,956,273,1229,432,432,0,0
117,797,371,1168,526,526,0,0
118,642,77,719,685,685,0,0
119,34,656,690,810,690,120,0
120,0,860,860,783,783,0,0
121,77,485,562,658,562,96,0
122,0,883,883,566,566,0,0
123,317,422,739,445,445,0,0
124,294,391,685,409,409,0,0
125,276,615,891,283,283,0,0
126,608,209,817,247,247,0,0
127,570,0,570,209,209,0,0
128,361,1005,1366,221,221,0,0
129,1145,0,1145,279,279,0,0
130,866,0,866,374,374,0,0
131,492,0,492,458,458,0,0
132,34,369,403,639,403,236,0
133,0,458,458,618,458,160,0
134,0,1018,1018,550,550,0,0
135,468,0,468,553,468,85,0
136,0,1538,1538,459,459,0,0
137,1079,0,1079,548,548,0,0
138,531,0,531,469,469,0,0
139,62,1569,1631,478,478,0,0
140,1153,0,1153,459,459,0,0
141,694,1447,2141,428,428,0,0
142,1713,0,1713,521,521,0,0
143,1192,0,1192,574,574,0,0
144,618,333,951,612,612,0,0
145,339,170,509,757,509,248,0
146,0,341,341,697,341,356,0
147,0,1414,1414,690,690,0,0
148,724,0,724,660,660,0,0
149,64,1726,1790,535,535,0,0
150,1255,0,1255,403,403,0,0
151,852,0,852,415,415,0,0
152,437,0,437,387,387,0,0
153,50,913,963,385,385,0,0
154,578,0,578,444,444,0,0
155,134,572,706,481,481,0,0
156,225,434,659,569,569,0,0
157,90,162,252,553,252,301,0
158,0,848,848,380,380,0,0
159,468,422,890,354,354,0,0
160,536,0,536,332,332,0,0
161,204,1094,1298,337,337,0,0
162,961,0,961,339,339,0,0
163,622,189,811,318,318,0,0
164,493,0,493,318,318,0,0
165,175,127,302,336,302,34,0
166,0,298,298,286,286,0,0
167,12,407,419,265,265,0,0
168,154,0,154,288,154,134,0
169,0,696,696,261,261,0,0
170,435,0,435,237,237,0,0
171,198,86,284,266,266,0,0
172,18,463,481,205,205,0,0
173,276,269,545,170,170,0,0
174,375,0,375,167,167,0,0
175,208,625,833,134,134,0,0
176,699,0,699,128,128,0,0
177,571,0,571,119,119,0,0
178,452,36,488,129,129,0,0
179,359,0,359,85,85,0,0
180,274,91,365,90,90,0,0
181,275,0,275,63,63,0,0
182,212,514,726,59,59,0,0
183,667,0,667,59,59,0,0
184,608,0,608,55,55,0,0
185,553,0,553,65,65,0,0
186,488,0,488,62,62,0,0
187,426,0,426,68,68,0,0
188,358,0,358,78,78,0,0
189,280,0,280,86,86,0,0
190,194,0,194,126,126,0,0
191,68,0,68,164,68,96,0
192,0,373,373,177,177,0,0
193,196,0,196,187,187,0,0
194,9,114,123,284,123,161,0
195,0,317,317,300,300,0,0
196,17,183,200,275,200,75,0
197,0,290,290,246,246,0,0
198,44,710,754,293,293,0,0
199,461,61,522,317,317,0,0
200,205,305,510,271,271,0,0
201,239,134,373,320,320,0,0
202,53,177,230,377,230,147,0
203,0,920,920,423,423,0,0
204,497,0,497,441,441,0,0
205,56,303,359,365,359,6,0
206,0,455,455,387,387,0,0
207,68,20,88,368,88,280,0
208,0,1412,1412,378,378,0,0
