Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,31,120,5,5,0,0
6,115,0,115,9,9,0,0
7,106,2,108,6,6,0,0
8,102,28,130,7,7,0,0
9,123,0,123,25,25,0,0
10,98,18,116,32,32,0,0
11,84,75,159,134,134,0,0
12,25,0,25,377,25,352,0
13,0,626,626,581,581,0,0
14,45,370,415,534,415,119,0
15,0,623,623,465,465,0,0
16,158,261,419,519,419,100,0
17,0,757,757,461,461,0,0
18,296,520,816,332,332,0,0
19,484,234,718,274,274,0,0
20,444,316,760,214,214,0,0
21,546,375,921,230,230,0,0
22,691,0,691,158,158,0,0
23,533,0,533,122,122,0,0
24,411,0,411,70,70,0,0
25,341,173,514,55,55,0,0
26,459,0,459,47,47,0,0
27,412,0,412,46,46,0,0
28,366,0,366,47,47,0,0
29,319,0,319,40,40,0,0
30,279,0,279,49,49,0,0
31,230,0,230,32,32,0,0
32,198,0,198,20,20,0,0
33,178,0,178,39,39,0,0
34,139,26,165,48,48,0,0
35,117,99,216,41,41,0,0
36,175,0,175,47,47,0,0
37,128,14,142,71,71,0,0
38,71,113,184,129,129,0,0
39,55,77,132,156,132,24,0
40,0,226,226,196,196,0,0
41,30,101,131,207,131,76,0
42,0,350,350,218,218,0,0
43,132,6,138,253,138,115,0
44,0,285,285,293,285,8,0
45,0,191,191,405,191,214,0
46,0,280,280,399,280,119,0
47,0,547,547,464,464,0,0
48,83,45,128,514,128,386,0
49,0,1056,1056,572,572,0,0
50,484,0,484,625,484,141,0
51,0,420,420,733,420,313,0
52,0,518,518,818,518,300,0
53,0,634,634,940,634,306,0
54,0,416,416,806,416,390,0
55,0,941,941,757,757,0,0
56,184,117,301,565,301,264,0
57,0,1452,1452,518,518,0,0
58,934,0,934,434,434,0,0
59,500,440,940,383,383,0,0
60,557,0,557,391,391,0,0
61,166,351,517,386,386,0,0
62,131,263,394,459,394,65,0
63,0,212,212,553,212,341,0
64,0,727,727,669,669,0,0
65,58,110,168,899,168,731,0
66,0,821,821,1229,821,408,0
67,0,725,725,1511,725,786,0
68,0,1135,1135,1380,1135,245,0
69,0,895,895,1197,895,302,0
70,0,936,936,998,936,62,0
71,0,1249,1249,739,739,0,0
72,510,289,799,625,625,0,0
73,174,491,665,408,408,0,0
74,257,678,935,320,320,0,0
75,615,161,776,255,255,0,0
76,521,456,977,190,190,0,0
77,787,0,787,160,160,0,0
78,627,0,627,117,117,0,0
79,510,0,510,103,103,0,0
80,407,0,407,80,80,0,0
81,327,0,327,63,63,0,0
82,264,0,264,55,55,0,0
83,209,0,209,93,93,0,0
84,116,12,128,112,112,0,0
85,16,225,241,179,179,0,0
86,62,29,91,224,91,133,0
