Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,296,771,6,6,0,0
8,765,0,765,7,7,0,0
9,758,0,758,25,25,0,0
10,733,170,903,32,32,0,0
11,871,0,871,134,134,0,0
12,737,267,1004,377,377,0,0
13,627,235,862,581,581,0,0
14,281,0,281,534,281,253,0
15,0,5748,5748,465,465,0,0
16,5283,27,5310,519,519,0,0
17,4791,0,4791,461,461,0,0
18,4330,0,4330,332,332,0,0
19,3998,11028,15026,274,274,0,0
20,14752,0,14752,214,214,0,0
21,14538,0,14538,230,230,0,0
22,14308,0,14308,158,158,0,0
23,14150,0,14150,122,122,0,0
24,14028,0,14028,70,70,0,0
25,13958,0,13958,55,55,0,0
26,13903,0,13903,47,47,0,0
27,13856,0,13856,46,46,0,0
28,13810,0,13810,47,47,0,0
29,13763,0,13763,40,40,0,0
30,13723,0,13723,49,49,0,0
31,13674,0,13674,32,32,0,0
32,13642,0,13642,20,20,0,0
33,13622,0,13622,39,39,0,0
34,13583,0,13583,48,48,0,0
35,13535,0,13535,41,41,0,0
36,13494,0,13494,47,47,0,0
37,13447,0,13447,71,71,0,0
38,13376,0,13376,129,129,0,0
39,13247,0,13247,156,156,0,0
40,13091,0,13091,196,196,0,0
41,12895,0,12895,207,207,0,0
42,12688,0,12688,218,218,0,0
43,12470,0,12470,253,253,0,0
44,12217,0,12217,293,293,0,0
45,11924,0,11924,405,405,0,0
46,11519,0,11519,399,399,0,0
47,11120,0,11120,464,464,0,0
48,10656,0,10656,514,514,0,0
49,10142,0,10142,572,572,0,0
50,9570,0,9570,625,625,0,0
51,8945,3051,11996,733,733,0,0
52,11263,0,11263,818,818,0,0
53,10445,0,10445,940,940,0,0
54,9505,0,9505,806,806,0,0
55,8699,0,8699,757,757,0,0
56,7942,0,7942,565,565,0,0
57,7377,0,7377,518,518,0,0
58,6859,0,6859,434,434,0,0
59,6425,14055,20480,383,383,0,0
60,20097,0,20097,391,391,0,0
61,19706,0,19706,386,386,0,0
62,19320,0,19320,459,459,0,0
63,18861,0,18861,553,553,0,0
64,18308,0,18308,669,669,0,0
65,17639,0,17639,899,899,0,0
66,16740,0,16740,1229,1229,0,0
67,15511,0,15511,1511,1511,0,0
68,14000,0,14000,1380,1380,0,0
69,12620,0,12620,1197,1197,0,0
70,11423,0,11423,998,998,0,0
71,10425,0,10425,739,739,0,0
72,9686,0,9686,625,625,0,0
73,9061,13768,22829,408,408,0,0
74,22421,0,22421,320,320,0,0
75,22101,0,22101,255,255,0,0
76,21846,0,21846,190,190,0,0
77,21656,0,21656,160,160,0,0
78,21496,0,21496,117,117,0,0
79,21379,0,21379,103,103,0,0
80,21276,0,21276,80,80,0,0
81,21196,0,21196,63,63,0,0
82,21133,0,21133,55,55,0,0
83,21078,0,21078,93,93,0,0
84,20985,0,20985,112,112,0,0
85,20873,0,20873,179,179,0,0
86,20694,0,20694,224,224,0,0
87,20470,0,20470,261,261,0,0
88,20209,0,20209,226,226,0,0
89,19983,0,19983,213,213,0,0
90,19770,0,19770,212,212,0,0
91,19558,0,19558,180,180,0,0
92,19378,0,19378,178,178,0,0
93,19200,0,19200,164,164,0,0
94,19036,0,19036,164,164,0,0
95,18872,0,18872,125,125,0,0
96,18747,0,18747,170,170,0,0
97,18577,0,18577,205,205,0,0
98,18372,0,18372,199,199,0,0
99,18173,0,18173,206,206,0,0
100,17967,0,17967,238,238,0,0
101,17729,0,17729,280,280,0,0
102,17449,0,17449,317,317,0,0
103,17132,0,17132,405,405,0,0
104,16727,0,16727,953,953,0,0
105,15774,0,15774,1542,1542,0,0
106,14232,0,14232,1890,1890,0,0
107,12342,0,12342,1769,1769,0,0
108,10573,10490,21063,1240,1240,0,0
109,19823,0,19823,910,910,0,0
110,18913,0,18913,633,633,0,0
111,18280,0,18280,467,467,0,0
112,17813,0,17813,387,387,0,0
113,17426,7219,24645,355,355,0,0
114,24290,0,24290,340,340,0,0
115,23950,0,23950,352,352,0,0
116,23598,0,23598,432,432,0,0
117,23166,0,23166,526,526,0,0
118,22640,0,22640,685,685,0,0
119,21955,0,21955,810,810,0,0
120,21145,0,21145,783,783,0,0
121,20362,0,20362,658,658,0,0
122,19704,0,19704,566,566,0,0
123,19138,0,19138,445,445,0,0
124,18693,0,18693,409,409,0,0
125,18284,0,18284,283,283,0,0
126,18001,0,18001,247,247,0,0
127,17754,0,17754,209,209,0,0
128,17545,0,17545,221,221,0,0
129,17324,0,17324,279,279,0,0
130,17045,0,17045,374,374,0,0
131,16671,0,16671,458,458,0,0
132,16213,0,16213,639,639,0,0
133,15574,0,15574,618,618,0,0
134,14956,0,14956,550,550,0,0
135,14406,0,14406,553,553,0,0
136,13853,0,13853,459,459,0,0
137,13394,0,13394,548,548,0,0
138,12846,0,12846,469,469,0,0
139,12377,0,12377,478,478,0,0
140,11899,0,11899,459,459,0,0
141,11440,5407,16847,428,428,0,0
142,16419,0,16419,521,521,0,0
143,15898,869,16767,574,574,0,0
144,16193,0,16193,612,612,0,0
145,15581,0,15581,757,757,0,0
146,14824,0,14824,697,697,0,0
147,14127,0,14127,690,690,0,0
148,13437,0,13437,660,660,0,0
149,12777,0,12777,535,535,0,0
150,12242,0,12242,403,403,0,0
151,11839,5047,16886,415,415,0,0
152,16471,0,16471,387,387,0,0
153,16084,0,16084,385,385,0,0
154,15699,0,15699,444,444,0,0
155,15255,0,15255,481,481,0,0
156,14774,0,14774,569,569,0,0
157,14205,0,14205,553,553,0,0
158,13652,0,13652,380,380,0,0
159,13272,0,13272,354,354,0,0
160,12918,0,12918,332,332,0,0
161,12586,0,12586,337,337,0,0
162,12249,0,12249,339,339,0,0
163,11910,4123,16033,318,318,0,0
164,15715,0,15715,318,318,0,0
165,15397,0,15397,336,336,0,0
166,15061,0,15061,286,286,0,0
167,14775,0,14775,265,265,0,0
168,14510,0,14510,288,288,0,0
169,14222,0,14222,261,261,0,0
170,13961,0,13961,237,237,0,0
171,13724,0,13724,266,266,0,0
172,13458,0,13458,205,205,0,0
173,13253,0,13253,170,170,0,0
174,13083,0,13083,167,167,0,0
175,12916,0,12916,134,134,0,0
176,12782,0,12782,128,128,0,0
177,12654,0,12654,119,119,0,0
178,12535,0,12535,129,129,0,0
179,12406,0,12406,85,85,0,0
180,12321,0,12321,90,90,0,0
181,12231,0,12231,63,63,0,0
182,12168,0,12168,59,59,0,0
183,12109,0,12109,59,59,0,0
184,12050,0,12050,55,55,0,0
185,11995,0,11995,65,65,0,0
186,11930,0,11930,62,62,0,0
187,11868,0,11868,68,68,0,0
188,11800,0,11800,78,78,0,0
189,11722,0,11722,86,86,0,0
190,11636,0,11636,126,126,0,0
191,11510,0,11510,164,164,0,0
192,11346,0,11346,177,177,0,0
193,11169,0,11169,187,187,0,0
194,10982,0,10982,284,284,0,0
195,10698,0,10698,300,300,0,0
196,10398,0,10398,275,275,0,0
197,10123,0,10123,246,246,0,0
198,9877,0,9877,293,293,0,0
199,9584,0,9584,317,317,0,0
200,9267,0,9267,271,271,0,0
201,8996,0,8996,320,320,0,0
202,8676,0,8676,377,377,0,0
203,8299,0,8299,423,423,0,0
204,7876,0,7876,441,441,0,0
205,7435,2523,9958,365,365,0,0
206,9593,0,9593,387,387,0,0
207,9206,0,9206,368,368,0,0
208,8838,0,8838,378,378,0,0
