Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,2000,2000,5,5,0,0
4,1995,0,1995,6,6,0,0
5,1989,0,1989,5,5,0,0
6,1984,0,1984,9,9,0,0
7,1975,0,1975,6,6,0,0
8,1969,0,1969,7,7,0,0
9,1962,0,1962,25,25,0,0
10,1937,25,1962,32,32,0,0
11,1930,0,1930,134,134,0,0
12,1796,0,1796,377,377,0,0
13,1419,0,1419,581,581,0,0
14,838,70,908,534,534,0,0
15,374,134,508,465,465,0,0
16,43,0,43,519,43,476,0
17,0,458,458,461,458,3,0
18,0,734,734,332,332,0,0
19,402,515,917,274,274,0,0
20,643,0,643,214,214,0,0
21,429,751,1180,230,230,0,0
22,950,0,950,158,158,0,0
23,792,306,1098,122,122,0,0
24,976,0,976,70,70,0,0
25,906,0,906,55,55,0,0
26,851,602,1453,47,47,0,0
27,1406,1122,2528,46,46,0,0
28,2482,0,2482,47,47,0,0
29,2435,0,2435,40,40,0,0
30,2395,0,2395,49,49,0,0
31,2346,0,2346,32,32,0,0
32,2314,0,2314,20,20,0,0
33,2294,0,2294,39,39,0,0
34,2255,0,2255,48,48,0,0
35,2207,0,2207,41,41,0,0
36,2166,0,2166,47,47,0,0
37,2119,0,2119,71,71,0,0
38,2048,0,2048,129,129,0,0
39,1919,0,1919,156,156,0,0
40,1763,0,1763,196,196,0,0
41,1567,0,1567,207,207,0,0
42,1360,0,1360,218,218,0,0
43,1142,0,1142,253,253,0,0
44,889,0,889,293,293,0,0
45,596,0,596,405,405,0,0
46,191,0,191,399,191,208,0
47,0,0,0,464,0,464,0
48,0,54,54,514,54,460,0
49,0,475,475,572,475,97,0
50,0,1471,1471,625,625,0,0
51,846,0,846,733,733,0,0
52,113,54,167,818,167,651,0
53,0,0,0,940,0,940,0
54,0,1100,1100,806,806,0,0
55,294,483,777,757,757,0,0
56,20,0,20,565,20,545,0
57,0,1117,1117,518,518,0,0
58,599,1106,1705,434,434,0,0
59,1271,0,1271,383,383,0,0
60,888,0,888,391,391,0,0
61,497,0,497,386,386,0,0
62,111,1229,1340,459,459,0,0
63,881,0,881,553,553,0,0
64,328,0,328,669,328,341,0
65,0,660,660,899,660,239,0
66,0,159,159,1229,159,1070,0
67,0,853,853,1511,853,658,0
68,0,328,328,1380,328,1052,0
69,0,0,0,1197,0,1197,0
70,0,819,819,998,819,179,0
71,0,553,553,739,553,186,0
72,0,0,0,625,0,625,0
73,0,628,628,408,408,0,0
74,220,0,220,320,220,100,0
75,0,92,92,255,92,163,0
76,0,1280,1280,190,190,0,0
77,1090,0,1090,160,160,0,0
78,930,0,930,117,117,0,0
79,813,720,1533,103,103,0,0
80,1430,0,1430,80,80,0,0
81,1350,0,1350,63,63,0,0
82,1287,0,1287,55,55,0,0
83,1232,0,1232,93,93,0,0
84,1139,0,1139,112,112,0,0
85,1027,0,1027,179,179,0,0
86,848,268,1116,224,224,0,0
87,892,0,892,261,261,0,0
88,631,705,1336,226,226,0,0
89,1110,0,1110,213,213,0,0
90,897,303,1200,212,212,0,0
91,988,0,988,180,180,0,0
92,808,587,1395,178,178,0,0
93,1217,0,1217,164,164,0,0
94,1053,0,1053,164,164,0,0
95,889,305,1194,125,125,0,0
96,1069,0,1069,170,170,0,0
97,899,0,899,205,205,0,0
98,694,306,1000,199,199,0,0
99,801,0,801,206,206,0,0
100,595,0,595,238,238,0,0
101,357,0,357,280,280,0,0
102,77,899,976,317,317,0,0
103,659,206,865,405,405,0,0
104,460,0,460,953,460,493,0
105,0,0,0,1542,0,1542,0
106,0,1135,1135,1890,1135,755,0
107,0,0,0,1769,0,1769,0
108,0,1965,1965,1240,1240,0,0
109,725,0,725,910,725,185,0
110,0,35,35,633,35,598,0
111,0,0,0,467,0,467,0
112,0,940,940,387,387,0,0
113,553,0,553,355,355,0,0
114,198,560,758,340,340,0,0
115,418,0,418,352,352,0,0
116,66,887,953,432,432,0,0
117,521,0,521,526,521,5,0
118,0,0,0,685,0,685,0
119,0,1047,1047,810,810,0,0
120,237,432,669,783,669,114,0
121,0,521,521,658,521,137,0
122,0,0,0,566,0,566,0
123,0,936,936,445,445,0,0
124,491,543,1034,409,409,0,0
125,625,521,1146,283,283,0,0
126,863,0,863,247,247,0,0
127,616,445,1061,209,209,0,0
128,852,0,852,221,221,0,0
129,631,692,1323,279,279,0,0
130,1044,0,1044,374,374,0,0
131,670,0,670,458,458,0,0
132,212,0,212,639,212,427,0
133,0,706,706,618,618,0,0
134,88,0,88,550,88,462,0
135,0,1082,1082,553,553,0,0
136,529,212,741,459,459,0,0
137,282,318,600,548,548,0,0
138,52,388,440,469,440,29,0
139,0,353,353,478,353,125,0
140,0,0,0,459,0,459,0
141,0,0,0,428,0,428,0
142,0,1647,1647,521,521,0,0
143,1126,353,1479,574,574,0,0
144,905,0,905,612,612,0,0
145,293,0,293,757,293,464,0
146,0,0,0,697,0,697,0
147,0,1095,1095,690,690,0,0
148,405,612,1017,660,660,0,0
149,357,293,650,535,535,0,0
150,115,421,536,403,403,0,0
151,133,0,133,415,133,282,0
152,0,929,929,387,387,0,0
153,542,535,1077,385,385,0,0
154,692,103,795,444,444,0,0
155,351,433,784,481,481,0,0
156,303,387,690,569,569,0,0
157,121,85,206,553,206,347,0
158,0,444,444,380,380,0,0
159,64,0,64,354,64,290,0
160,0,1350,1350,332,332,0,0
161,1018,206,1224,337,337,0,0
162,887,0,887,339,339,0,0
163,548,1144,1692,318,318,0,0
164,1374,0,1374,318,318,0,0
165,1056,0,1056,336,336,0,0
166,720,308,1028,286,286,0,0
167,742,18,760,265,265,0,0
168,495,0,495,288,288,0,0
169,207,454,661,261,261,0,0
170,400,786,1186,237,237,0,0
171,949,265,1214,266,266,0,0
172,948,288,1236,205,205,0,0
173,1031,0,1031,170,170,0,0
174,861,498,1359,167,167,0,0
175,1192,0,1192,134,134,0,0
176,1058,471,1529,128,128,0,0
177,1401,0,1401,119,119,0,0
178,1282,0,1282,129,129,0,0
179,1153,471,1624,85,85,0,0
180,1539,0,1539,90,90,0,0
181,1449,247,1696,63,63,0,0
182,1633,0,1633,59,59,0,0
183,1574,214,1788,59,59,0,0
184,1729,0,1729,55,55,0,0
185,1674,0,1674,65,65,0,0
186,1609,0,1609,62,62,0,0
187,1547,271,1818,68,68,0,0
188,1750,0,1750,78,78,0,0
189,1672,120,1792,86,86,0,0
190,1706,62,1768,126,126,0,0
191,1642,0,1642,164,164,0,0
192,1478,146,1624,177,177,0,0
193,1447,0,1447,187,187,0,0
194,1260,212,1472,284,284,0,0
195,1188,0,1188,300,300,0,0
196,888,341,1229,275,275,0,0
197,954,187,1141,246,246,0,0
198,895,0,895,293,293,0,0
199,602,0,602,317,317,0,0
200,285,859,1144,271,271,0,0
201,873,246,1119,320,320,0,0
202,799,0,799,377,377,0,0
203,422,610,1032,423,423,0,0
204,609,0,609,441,441,0,0
205,168,0,168,365,168,197,0
206,0,0,0,387,0,387,0
207,0,441,441,368,368,0,0
208,73,1791,1864,378,378,0,0
