Start,Memory,Lead,Forecast,Buffer,Capacity,Top,Power,ARIMA,SVR,Succeeded,Failed,Lost,Arrived,Remaining,Time
1,8,2,2,500,None,1,3,None,None,72694,3922,0,75134,2440,0:06
1,8,2,2,500,None,1,3,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],72694,3922,0,75134,2440,0:07
1,8,2,2,500,None,1,3,[P-[1]_D-[1]]_Q-[1]],None,72694,3922,0,75134,2440,0:58
1,8,2,2,500,None,1,3,[P-[1]_D-[1]]_Q-[1]],[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],72694,3922,0,75134,2440,0:59
1,8,2,2,500,None,5,3,None,None,70745,5871,0,71493,748,0:06
1,8,2,2,500,None,5,3,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],70745,5871,0,71493,748,0:07
1,8,2,2,500,None,5,3,[P-[1]_D-[1]]_Q-[1]],None,70745,5871,0,71493,748,0:58
1,8,2,2,500,None,5,3,[P-[1]_D-[1]]_Q-[1]],[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],70745,5871,0,71493,748,0:59
1,8,2,2,500,None,1,2,None,None,70640,5976,0,71451,811,0:05
1,8,2,2,500,None,1,2,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],70640,5976,0,71451,811,0:06
1,8,2,2,500,None,1,2,[P-[1]_D-[1]]_Q-[1]],None,70640,5976,0,71451,811,0:57
1,8,2,2,500,None,1,2,[P-[1]_D-[1]]_Q-[1]],[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],70640,5976,0,71451,811,0:58
1,8,2,2,500,None,10,3,[P-[1]_D-[1]]_Q-[1]],[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],69790,6826,0,70420,630,0:59
1,8,2,2,500,None,10,3,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],69789,6827,0,70419,630,0:07
1,8,2,2,500,None,10,3,[P-[1]_D-[1]]_Q-[1]],None,69788,6828,0,70418,630,0:58
1,8,2,2,500,None,10,3,None,None,69787,6829,0,70417,630,0:06
1,8,2,2,500,None,5,2,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],69129,7487,0,69834,705,0:06
1,8,2,2,500,None,5,2,[P-[1]_D-[1]]_Q-[1]],[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],69129,7487,0,69834,705,0:58
1,8,2,2,500,None,5,2,None,None,69122,7494,0,69827,705,0:05
1,8,2,2,500,None,5,2,[P-[1]_D-[1]]_Q-[1]],None,69122,7494,0,69827,705,0:57
1,8,2,2,500,None,10,2,[P-[1]_D-[1]]_Q-[1]],[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],68251,8365,0,68842,591,0:58
1,8,2,2,500,None,10,2,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],68238,8378,0,68829,591,0:06
1,8,2,2,500,None,1,1,None,None,68200,8416,0,68833,633,0:03
1,8,2,2,500,None,1,1,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],68200,8416,0,68833,633,0:04
1,8,2,2,500,None,1,1,[P-[1]_D-[1]]_Q-[1]],None,68200,8416,0,68833,633,0:55
1,8,2,2,500,None,1,1,[P-[1]_D-[1]]_Q-[1]],[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],68200,8416,0,68833,633,0:57
1,8,2,2,500,None,10,2,[P-[1]_D-[1]]_Q-[1]],None,68119,8497,0,68710,591,0:56
1,8,2,2,500,None,10,2,None,None,68082,8534,0,68673,591,0:05
1,8,2,2,500,None,5,1,[P-[1]_D-[1]]_Q-[1]],[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],67130,9486,0,67678,548,0:56
