Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,176,651,6,6,0,0
8,645,0,645,7,7,0,0
9,638,0,638,25,25,0,0
10,613,55,668,32,32,0,0
11,636,0,636,134,134,0,0
12,502,40,542,377,377,0,0
13,165,341,506,581,506,75,0
14,0,0,0,534,0,534,0
15,0,3171,3171,465,465,0,0
16,2706,2119,4825,519,519,0,0
17,4306,0,4306,461,461,0,0
18,3845,0,3845,332,332,0,0
19,3513,0,3513,274,274,0,0
20,3239,2330,5569,214,214,0,0
21,5355,0,5355,230,230,0,0
22,5125,0,5125,158,158,0,0
23,4967,0,4967,122,122,0,0
24,4845,0,4845,70,70,0,0
25,4775,0,4775,55,55,0,0
26,4720,0,4720,47,47,0,0
27,4673,0,4673,46,46,0,0
28,4627,0,4627,47,47,0,0
29,4580,0,4580,40,40,0,0
30,4540,0,4540,49,49,0,0
31,4491,0,4491,32,32,0,0
32,4459,0,4459,20,20,0,0
33,4439,0,4439,39,39,0,0
34,4400,0,4400,48,48,0,0
35,4352,0,4352,41,41,0,0
36,4311,0,4311,47,47,0,0
37,4264,0,4264,71,71,0,0
38,4193,0,4193,129,129,0,0
39,4064,0,4064,156,156,0,0
40,3908,0,3908,196,196,0,0
41,3712,0,3712,207,207,0,0
42,3505,0,3505,218,218,0,0
43,3287,0,3287,253,253,0,0
44,3034,0,3034,293,293,0,0
45,2741,0,2741,405,405,0,0
46,2336,0,2336,399,399,0,0
47,1937,0,1937,464,464,0,0
48,1473,0,1473,514,514,0,0
49,959,1776,2735,572,572,0,0
50,2163,0,2163,625,625,0,0
51,1538,2578,4116,733,733,0,0
52,3383,0,3383,818,818,0,0
53,2565,0,2565,940,940,0,0
54,1625,0,1625,806,806,0,0
55,819,1415,2234,757,757,0,0
56,1477,0,1477,565,565,0,0
57,912,2282,3194,518,518,0,0
58,2676,0,2676,434,434,0,0
59,2242,4683,6925,383,383,0,0
60,6542,0,6542,391,391,0,0
61,6151,183,6334,386,386,0,0
62,5948,0,5948,459,459,0,0
63,5489,0,5489,553,553,0,0
64,4936,0,4936,669,669,0,0
65,4267,0,4267,899,899,0,0
66,3368,0,3368,1229,1229,0,0
67,2139,0,2139,1511,1511,0,0
68,628,0,628,1380,628,752,0
69,0,3730,3730,1197,1197,0,0
70,2533,2161,4694,998,998,0,0
71,3696,1281,4977,739,739,0,0
72,4238,0,4238,625,625,0,0
73,3613,1913,5526,408,408,0,0
74,5118,0,5118,320,320,0,0
75,4798,0,4798,255,255,0,0
76,4543,691,5234,190,190,0,0
77,5044,0,5044,160,160,0,0
78,4884,214,5098,117,117,0,0
79,4981,0,4981,103,103,0,0
80,4878,0,4878,80,80,0,0
81,4798,0,4798,63,63,0,0
82,4735,0,4735,55,55,0,0
83,4680,0,4680,93,93,0,0
84,4587,0,4587,112,112,0,0
85,4475,0,4475,179,179,0,0
86,4296,0,4296,224,224,0,0
87,4072,0,4072,261,261,0,0
88,3811,0,3811,226,226,0,0
89,3585,0,3585,213,213,0,0
90,3372,0,3372,212,212,0,0
91,3160,0,3160,180,180,0,0
92,2980,0,2980,178,178,0,0
93,2802,0,2802,164,164,0,0
94,2638,0,2638,164,164,0,0
95,2474,0,2474,125,125,0,0
96,2349,0,2349,170,170,0,0
97,2179,0,2179,205,205,0,0
98,1974,0,1974,199,199,0,0
99,1775,0,1775,206,206,0,0
100,1569,1786,3355,238,238,0,0
101,3117,0,3117,280,280,0,0
102,2837,0,2837,317,317,0,0
103,2520,0,2520,405,405,0,0
104,2115,0,2115,953,953,0,0
105,1162,0,1162,1542,1162,380,0
106,0,0,0,1890,0,1890,0
107,0,1478,1478,1769,1478,291,0
108,0,14743,14743,1240,1240,0,0
109,13503,0,13503,910,910,0,0
110,12593,0,12593,633,633,0,0
111,11960,0,11960,467,467,0,0
112,11493,0,11493,387,387,0,0
113,11106,0,11106,355,355,0,0
114,10751,0,10751,340,340,0,0
115,10411,0,10411,352,352,0,0
116,10059,0,10059,432,432,0,0
117,9627,0,9627,526,526,0,0
118,9101,0,9101,685,685,0,0
119,8416,0,8416,810,810,0,0
120,7606,0,7606,783,783,0,0
121,6823,0,6823,658,658,0,0
122,6165,0,6165,566,566,0,0
123,5599,0,5599,445,445,0,0
124,5154,0,5154,409,409,0,0
125,4745,0,4745,283,283,0,0
126,4462,0,4462,247,247,0,0
127,4215,0,4215,209,209,0,0
128,4006,0,4006,221,221,0,0
129,3785,0,3785,279,279,0,0
130,3506,410,3916,374,374,0,0
131,3542,0,3542,458,458,0,0
132,3084,0,3084,639,639,0,0
133,2445,0,2445,618,618,0,0
134,1827,0,1827,550,550,0,0
135,1277,0,1277,553,553,0,0
136,724,3649,4373,459,459,0,0
137,3914,0,3914,548,548,0,0
138,3366,0,3366,469,469,0,0
139,2897,659,3556,478,478,0,0
140,3078,0,3078,459,459,0,0
141,2619,4683,7302,428,428,0,0
142,6874,0,6874,521,521,0,0
143,6353,0,6353,574,574,0,0
144,5779,0,5779,612,612,0,0
145,5167,0,5167,757,757,0,0
146,4410,0,4410,697,697,0,0
147,3713,0,3713,690,690,0,0
148,3023,0,3023,660,660,0,0
149,2363,2132,4495,535,535,0,0
150,3960,0,3960,403,403,0,0
151,3557,1773,5330,415,415,0,0
152,4915,0,4915,387,387,0,0
153,4528,0,4528,385,385,0,0
154,4143,0,4143,444,444,0,0
155,3699,607,4306,481,481,0,0
156,3825,0,3825,569,569,0,0
157,3256,0,3256,553,553,0,0
158,2703,0,2703,380,380,0,0
159,2323,0,2323,354,354,0,0
160,1969,1084,3053,332,332,0,0
161,2721,0,2721,337,337,0,0
162,2384,0,2384,339,339,0,0
163,2045,4383,6428,318,318,0,0
164,6110,0,6110,318,318,0,0
165,5792,0,5792,336,336,0,0
166,5456,0,5456,286,286,0,0
167,5170,0,5170,265,265,0,0
168,4905,0,4905,288,288,0,0
169,4617,0,4617,261,261,0,0
170,4356,0,4356,237,237,0,0
171,4119,0,4119,266,266,0,0
172,3853,0,3853,205,205,0,0
173,3648,0,3648,170,170,0,0
174,3478,0,3478,167,167,0,0
175,3311,0,3311,134,134,0,0
176,3177,0,3177,128,128,0,0
177,3049,0,3049,119,119,0,0
178,2930,0,2930,129,129,0,0
179,2801,0,2801,85,85,0,0
180,2716,0,2716,90,90,0,0
181,2626,0,2626,63,63,0,0
182,2563,0,2563,59,59,0,0
183,2504,0,2504,59,59,0,0
184,2445,209,2654,55,55,0,0
185,2599,0,2599,65,65,0,0
186,2534,0,2534,62,62,0,0
187,2472,0,2472,68,68,0,0
188,2404,0,2404,78,78,0,0
189,2326,0,2326,86,86,0,0
190,2240,0,2240,126,126,0,0
191,2114,0,2114,164,164,0,0
192,1950,0,1950,177,177,0,0
193,1773,0,1773,187,187,0,0
194,1586,0,1586,284,284,0,0
195,1302,0,1302,300,300,0,0
196,1002,0,1002,275,275,0,0
197,727,0,727,246,246,0,0
198,481,2853,3334,293,293,0,0
199,3041,0,3041,317,317,0,0
200,2724,0,2724,271,271,0,0
201,2453,0,2453,320,320,0,0
202,2133,581,2714,377,377,0,0
203,2337,0,2337,423,423,0,0
204,1914,0,1914,441,441,0,0
205,1473,2465,3938,365,365,0,0
206,3573,0,3573,387,387,0,0
207,3186,0,3186,368,368,0,0
208,2818,0,2818,378,378,0,0
