Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,26,501,6,6,0,0
8,495,8,503,7,7,0,0
9,496,4,500,25,25,0,0
10,475,22,497,32,32,0,0
11,465,0,465,134,134,0,0
12,331,6,337,377,337,40,0
13,0,88,88,581,88,493,0
14,0,55,55,534,55,479,0
15,0,465,465,465,465,0,0
16,0,1172,1172,519,519,0,0
17,653,913,1566,461,461,0,0
18,1105,56,1161,332,332,0,0
19,829,229,1058,274,274,0,0
20,784,472,1256,214,214,0,0
21,1042,238,1280,230,230,0,0
22,1050,110,1160,158,158,0,0
23,1002,101,1103,122,122,0,0
24,981,77,1058,70,70,0,0
25,988,103,1091,55,55,0,0
26,1036,13,1049,47,47,0,0
27,1002,0,1002,46,46,0,0
28,956,0,956,47,47,0,0
29,909,0,909,40,40,0,0
30,869,0,869,49,49,0,0
31,820,0,820,32,32,0,0
32,788,0,788,20,20,0,0
33,768,0,768,39,39,0,0
34,729,0,729,48,48,0,0
35,681,0,681,41,41,0,0
36,640,0,640,47,47,0,0
37,593,0,593,71,71,0,0
38,522,0,522,129,129,0,0
39,393,0,393,156,156,0,0
40,237,63,300,196,196,0,0
41,104,153,257,207,207,0,0
42,50,322,372,218,218,0,0
43,154,277,431,253,253,0,0
44,178,338,516,293,293,0,0
45,223,253,476,405,405,0,0
46,71,239,310,399,310,89,0
47,0,340,340,464,340,124,0
48,0,415,415,514,415,99,0
49,0,767,767,572,572,0,0
50,195,349,544,625,544,81,0
51,0,525,525,733,525,208,0
52,0,577,577,818,577,241,0
53,0,753,753,940,753,187,0
54,0,709,709,806,709,97,0
55,0,861,861,757,757,0,0
56,104,878,982,565,565,0,0
57,417,1158,1575,518,518,0,0
58,1057,404,1461,434,434,0,0
59,1027,520,1547,383,383,0,0
60,1164,267,1431,391,391,0,0
61,1040,296,1336,386,386,0,0
62,950,257,1207,459,459,0,0
63,748,154,902,553,553,0,0
64,349,220,569,669,569,100,0
65,0,249,249,899,249,650,0
66,0,585,585,1229,585,644,0
67,0,824,824,1511,824,687,0
68,0,998,998,1380,998,382,0
69,0,1066,1066,1197,1066,131,0
70,0,1769,1769,998,998,0,0
71,771,1910,2681,739,739,0,0
72,1942,765,2707,625,625,0,0
73,2082,471,2553,408,408,0,0
74,2145,424,2569,320,320,0,0
75,2249,263,2512,255,255,0,0
76,2257,271,2528,190,190,0,0
77,2338,0,2338,160,160,0,0
78,2178,0,2178,117,117,0,0
79,2061,0,2061,103,103,0,0
80,1958,0,1958,80,80,0,0
81,1878,0,1878,63,63,0,0
82,1815,0,1815,55,55,0,0
83,1760,0,1760,93,93,0,0
84,1667,0,1667,112,112,0,0
85,1555,0,1555,179,179,0,0
86,1376,0,1376,224,224,0,0
87,1152,0,1152,261,261,0,0
88,891,0,891,226,226,0,0
89,665,0,665,213,213,0,0
90,452,124,576,212,212,0,0
91,364,407,771,180,180,0,0
92,591,144,735,178,178,0,0
93,557,132,689,164,164,0,0
94,525,157,682,164,164,0,0
95,518,109,627,125,125,0,0
96,502,155,657,170,170,0,0
97,487,118,605,205,205,0,0
98,400,154,554,199,199,0,0
99,355,49,404,206,206,0,0
100,198,242,440,238,238,0,0
101,202,300,502,280,280,0,0
102,222,191,413,317,317,0,0
103,96,229,325,405,325,80,0
104,0,341,341,953,341,612,0
105,0,424,424,1542,424,1118,0
106,0,452,452,1890,452,1438,0
107,0,616,616,1769,616,1153,0
108,0,2117,2117,1240,1240,0,0
109,877,2656,3533,910,910,0,0
110,2623,1990,4613,633,633,0,0
111,3980,413,4393,467,467,0,0
112,3926,36,3962,387,387,0,0
113,3575,0,3575,355,355,0,0
114,3220,0,3220,340,340,0,0
115,2880,0,2880,352,352,0,0
116,2528,0,2528,432,432,0,0
117,2096,0,2096,526,526,0,0
118,1570,0,1570,685,685,0,0
119,885,0,885,810,810,0,0
120,75,0,75,783,75,708,0
121,0,586,586,658,586,72,0
122,0,1252,1252,566,566,0,0
123,686,1329,2015,445,445,0,0
124,1570,56,1626,409,409,0,0
125,1217,265,1482,283,283,0,0
126,1199,274,1473,247,247,0,0
127,1226,204,1430,209,209,0,0
128,1221,214,1435,221,221,0,0
129,1214,99,1313,279,279,0,0
130,1034,3,1037,374,374,0,0
131,663,0,663,458,458,0,0
132,205,69,274,639,274,365,0
133,0,340,340,618,340,278,0
134,0,613,613,550,550,0,0
135,63,773,836,553,553,0,0
136,283,918,1201,459,459,0,0
137,742,386,1128,548,548,0,0
138,580,363,943,469,469,0,0
139,474,422,896,478,478,0,0
140,418,247,665,459,459,0,0
141,206,619,825,428,428,0,0
142,397,304,701,521,521,0,0
143,180,453,633,574,574,0,0
144,59,383,442,612,442,170,0
145,0,363,363,757,363,394,0
146,0,722,722,697,697,0,0
147,25,756,781,690,690,0,0
148,91,600,691,660,660,0,0
149,31,850,881,535,535,0,0
150,346,621,967,403,403,0,0
151,564,603,1167,415,415,0,0
152,752,538,1290,387,387,0,0
153,903,335,1238,385,385,0,0
154,853,211,1064,444,444,0,0
155,620,275,895,481,481,0,0
156,414,256,670,569,569,0,0
157,101,255,356,553,356,197,0
158,0,520,520,380,380,0,0
159,140,557,697,354,354,0,0
160,343,855,1198,332,332,0,0
161,866,376,1242,337,337,0,0
162,905,67,972,339,339,0,0
163,633,205,838,318,318,0,0
164,520,221,741,318,318,0,0
165,423,278,701,336,336,0,0
166,365,275,640,286,286,0,0
167,354,247,601,265,265,0,0
168,336,289,625,288,288,0,0
169,337,353,690,261,261,0,0
170,429,204,633,237,237,0,0
171,396,227,623,266,266,0,0
172,357,308,665,205,205,0,0
173,460,180,640,170,170,0,0
174,470,197,667,167,167,0,0
175,500,305,805,134,134,0,0
176,671,91,762,128,128,0,0
177,634,107,741,119,119,0,0
178,622,129,751,129,129,0,0
179,622,51,673,85,85,0,0
180,588,85,673,90,90,0,0
181,583,58,641,63,63,0,0
182,578,128,706,59,59,0,0
183,647,0,647,59,59,0,0
184,588,77,665,55,55,0,0
185,610,0,610,65,65,0,0
186,545,37,582,62,62,0,0
187,520,26,546,68,68,0,0
188,478,30,508,78,78,0,0
189,430,81,511,86,86,0,0
190,425,37,462,126,126,0,0
191,336,90,426,164,164,0,0
192,262,108,370,177,177,0,0
193,193,117,310,187,187,0,0
194,123,263,386,284,284,0,0
195,102,305,407,300,300,0,0
196,107,239,346,275,275,0,0
197,71,218,289,246,246,0,0
198,43,580,623,293,293,0,0
199,330,394,724,317,317,0,0
200,407,210,617,271,271,0,0
201,346,147,493,320,320,0,0
202,173,352,525,377,377,0,0
203,148,374,522,423,423,0,0
204,99,172,271,441,271,170,0
205,0,412,412,365,365,0,0
206,47,575,622,387,387,0,0
207,235,606,841,368,368,0,0
208,473,352,825,378,378,0,0
