Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,25,500,6,6,0,0
8,494,11,505,7,7,0,0
9,498,2,500,25,25,0,0
10,475,21,496,32,32,0,0
11,464,0,464,134,134,0,0
12,330,4,334,377,334,43,0
13,0,103,103,581,103,478,0
14,0,48,48,534,48,486,0
15,0,570,570,465,465,0,0
16,105,1670,1775,519,519,0,0
17,1256,608,1864,461,461,0,0
18,1403,0,1403,332,332,0,0
19,1071,0,1071,274,274,0,0
20,797,506,1303,214,214,0,0
21,1089,214,1303,230,230,0,0
22,1073,45,1118,158,158,0,0
23,960,34,994,122,122,0,0
24,872,0,872,70,70,0,0
25,802,221,1023,55,55,0,0
26,968,0,968,47,47,0,0
27,921,0,921,46,46,0,0
28,875,0,875,47,47,0,0
29,828,0,828,40,40,0,0
30,788,0,788,49,49,0,0
31,739,0,739,32,32,0,0
32,707,0,707,20,20,0,0
33,687,0,687,39,39,0,0
34,648,0,648,48,48,0,0
35,600,0,600,41,41,0,0
36,559,0,559,47,47,0,0
37,512,0,512,71,71,0,0
38,441,55,496,129,129,0,0
39,367,25,392,156,156,0,0
40,236,65,301,196,196,0,0
41,105,178,283,207,207,0,0
42,76,417,493,218,218,0,0
43,275,181,456,253,253,0,0
44,203,372,575,293,293,0,0
45,282,222,504,405,405,0,0
46,99,228,327,399,327,72,0
47,0,367,367,464,367,97,0
48,0,425,425,514,425,89,0
49,0,927,927,572,572,0,0
50,355,198,553,625,553,72,0
51,0,572,572,733,572,161,0
52,0,590,590,818,590,228,0
53,0,765,765,940,765,175,0
54,0,716,716,806,716,90,0
55,0,982,982,757,757,0,0
56,225,862,1087,565,565,0,0
57,522,1218,1740,518,518,0,0
58,1222,260,1482,434,434,0,0
59,1048,488,1536,383,383,0,0
60,1153,201,1354,391,391,0,0
61,963,255,1218,386,386,0,0
62,832,186,1018,459,459,0,0
63,559,146,705,553,553,0,0
64,152,325,477,669,477,192,0
65,0,282,282,899,282,617,0
66,0,657,657,1229,657,572,0
67,0,968,968,1511,968,543,0
68,0,1012,1012,1380,1012,368,0
69,0,1369,1369,1197,1197,0,0
70,172,2017,2189,998,998,0,0
71,1191,1735,2926,739,739,0,0
72,2187,388,2575,625,625,0,0
73,1950,558,2508,408,408,0,0
74,2100,356,2456,320,320,0,0
75,2136,59,2195,255,255,0,0
76,1940,134,2074,190,190,0,0
77,1884,0,1884,160,160,0,0
78,1724,0,1724,117,117,0,0
79,1607,0,1607,103,103,0,0
80,1504,0,1504,80,80,0,0
81,1424,0,1424,63,63,0,0
82,1361,0,1361,55,55,0,0
83,1306,0,1306,93,93,0,0
84,1213,0,1213,112,112,0,0
85,1101,0,1101,179,179,0,0
86,922,0,922,224,224,0,0
87,698,0,698,261,261,0,0
88,437,0,437,226,226,0,0
89,211,270,481,213,213,0,0
90,268,381,649,212,212,0,0
91,437,391,828,180,180,0,0
92,648,89,737,178,178,0,0
93,559,128,687,164,164,0,0
94,523,155,678,164,164,0,0
95,514,106,620,125,125,0,0
96,495,139,634,170,170,0,0
97,464,120,584,205,205,0,0
98,379,148,527,199,199,0,0
99,328,61,389,206,206,0,0
100,183,225,408,238,238,0,0
101,170,345,515,280,280,0,0
102,235,175,410,317,317,0,0
103,93,238,331,405,331,74,0
104,0,364,364,953,364,589,0
105,0,455,455,1542,455,1087,0
106,0,445,445,1890,445,1445,0
107,0,726,726,1769,726,1043,0
108,0,3190,3190,1240,1240,0,0
109,1950,2427,4377,910,910,0,0
110,3467,1458,4925,633,633,0,0
111,4292,17,4309,467,467,0,0
112,3842,0,3842,387,387,0,0
113,3455,0,3455,355,355,0,0
114,3100,0,3100,340,340,0,0
115,2760,0,2760,352,352,0,0
116,2408,0,2408,432,432,0,0
117,1976,0,1976,526,526,0,0
118,1450,0,1450,685,685,0,0
119,765,0,765,810,765,45,0
120,0,54,54,783,54,729,0
121,0,835,835,658,658,0,0
122,177,1465,1642,566,566,0,0
123,1076,1090,2166,445,445,0,0
124,1721,0,1721,409,409,0,0
125,1312,133,1445,283,283,0,0
126,1162,267,1429,247,247,0,0
127,1182,114,1296,209,209,0,0
128,1087,226,1313,221,221,0,0
129,1092,0,1092,279,279,0,0
130,813,19,832,374,374,0,0
131,458,3,461,458,458,0,0
132,3,195,198,639,198,441,0
133,0,443,443,618,443,175,0
134,0,786,786,550,550,0,0
135,236,741,977,553,553,0,0
136,424,1050,1474,459,459,0,0
137,1015,190,1205,548,548,0,0
138,657,268,925,469,469,0,0
139,456,428,884,478,478,0,0
140,406,234,640,459,459,0,0
141,181,615,796,428,428,0,0
142,368,366,734,521,521,0,0
143,213,391,604,574,574,0,0
144,30,418,448,612,448,164,0
145,0,343,343,757,343,414,0
146,0,707,707,697,697,0,0
147,10,825,835,690,690,0,0
148,145,625,770,660,660,0,0
149,110,991,1101,535,535,0,0
150,566,437,1003,403,403,0,0
151,600,568,1168,415,415,0,0
152,753,542,1295,387,387,0,0
153,908,296,1204,385,385,0,0
154,819,102,921,444,444,0,0
155,477,347,824,481,481,0,0
156,343,213,556,569,556,13,0
157,0,298,298,553,298,255,0
158,0,563,563,380,380,0,0
159,183,615,798,354,354,0,0
160,444,985,1429,332,332,0,0
161,1097,171,1268,337,337,0,0
162,931,23,954,339,339,0,0
163,615,194,809,318,318,0,0
164,491,183,674,318,318,0,0
165,356,302,658,336,336,0,0
166,322,289,611,286,286,0,0
167,325,263,588,265,265,0,0
168,323,283,606,288,288,0,0
169,318,368,686,261,261,0,0
170,425,241,666,237,237,0,0
171,429,165,594,266,266,0,0
172,328,316,644,205,205,0,0
173,439,207,646,170,170,0,0
174,476,170,646,167,167,0,0
175,479,305,784,134,134,0,0
176,650,140,790,128,128,0,0
177,662,40,702,119,119,0,0
178,583,122,705,129,129,0,0
179,576,50,626,85,85,0,0
180,541,86,627,90,90,0,0
181,537,72,609,63,63,0,0
182,546,134,680,59,59,0,0
183,621,22,643,59,59,0,0
184,584,56,640,55,55,0,0
185,585,16,601,65,65,0,0
186,536,13,549,62,62,0,0
187,487,43,530,68,68,0,0
188,462,34,496,78,78,0,0
189,418,79,497,86,86,0,0
190,411,52,463,126,126,0,0
191,337,83,420,164,164,0,0
192,256,124,380,177,177,0,0
193,203,117,320,187,187,0,0
194,133,299,432,284,284,0,0
195,148,320,468,300,300,0,0
196,168,192,360,275,275,0,0
197,85,218,303,246,246,0,0
198,57,670,727,293,293,0,0
199,434,334,768,317,317,0,0
200,451,177,628,271,271,0,0
201,357,120,477,320,320,0,0
202,157,369,526,377,377,0,0
203,149,389,538,423,423,0,0
204,115,161,276,441,276,165,0
205,0,391,391,365,365,0,0
206,26,637,663,387,387,0,0
207,276,622,898,368,368,0,0
208,530,310,840,378,378,0,0
