Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,86,561,6,6,0,0
8,555,0,555,7,7,0,0
9,548,0,548,25,25,0,0
10,523,17,540,32,32,0,0
11,508,0,508,134,134,0,0
12,374,0,374,377,374,3,0
13,0,268,268,581,268,313,0
14,0,0,0,534,0,534,0
15,0,1510,1510,465,465,0,0
16,1045,2572,3617,519,519,0,0
17,3098,214,3312,461,461,0,0
18,2851,0,2851,332,332,0,0
19,2519,0,2519,274,274,0,0
20,2245,246,2491,214,214,0,0
21,2277,0,2277,230,230,0,0
22,2047,0,2047,158,158,0,0
23,1889,0,1889,122,122,0,0
24,1767,0,1767,70,70,0,0
25,1697,0,1697,55,55,0,0
26,1642,0,1642,47,47,0,0
27,1595,0,1595,46,46,0,0
28,1549,0,1549,47,47,0,0
29,1502,0,1502,40,40,0,0
30,1462,0,1462,49,49,0,0
31,1413,0,1413,32,32,0,0
32,1381,0,1381,20,20,0,0
33,1361,0,1361,39,39,0,0
34,1322,0,1322,48,48,0,0
35,1274,0,1274,41,41,0,0
36,1233,0,1233,47,47,0,0
37,1186,0,1186,71,71,0,0
38,1115,0,1115,129,129,0,0
39,986,0,986,156,156,0,0
40,830,0,830,196,196,0,0
41,634,0,634,207,207,0,0
42,427,562,989,218,218,0,0
43,771,0,771,253,253,0,0
44,518,275,793,293,293,0,0
45,500,59,559,405,405,0,0
46,154,234,388,399,388,11,0
47,0,559,559,464,464,0,0
48,95,423,518,514,514,0,0
49,4,1577,1581,572,572,0,0
50,1009,0,1009,625,625,0,0
51,384,579,963,733,733,0,0
52,230,389,619,818,619,199,0
53,0,743,743,940,743,197,0
54,0,698,698,806,698,108,0
55,0,1661,1661,757,757,0,0
56,904,559,1463,565,565,0,0
57,898,1393,2291,518,518,0,0
58,1773,0,1773,434,434,0,0
59,1339,811,2150,383,383,0,0
60,1767,0,1767,391,391,0,0
61,1376,664,2040,386,386,0,0
62,1654,0,1654,459,459,0,0
63,1195,0,1195,553,553,0,0
64,642,317,959,669,669,0,0
65,290,78,368,899,368,531,0
66,0,1247,1247,1229,1229,0,0
67,18,890,908,1511,908,603,0
68,0,1044,1044,1380,1044,336,0
69,0,2220,2220,1197,1197,0,0
70,1023,3017,4040,998,998,0,0
71,3042,1130,4172,739,739,0,0
72,3433,0,3433,625,625,0,0
73,2808,103,2911,408,408,0,0
74,2503,255,2758,320,320,0,0
75,2438,74,2512,255,255,0,0
76,2257,731,2988,190,190,0,0
77,2798,0,2798,160,160,0,0
78,2638,0,2638,117,117,0,0
79,2521,0,2521,103,103,0,0
80,2418,0,2418,80,80,0,0
81,2338,0,2338,63,63,0,0
82,2275,0,2275,55,55,0,0
83,2220,0,2220,93,93,0,0
84,2127,0,2127,112,112,0,0
85,2015,0,2015,179,179,0,0
86,1836,0,1836,224,224,0,0
87,1612,0,1612,261,261,0,0
88,1351,0,1351,226,226,0,0
89,1125,0,1125,213,213,0,0
90,912,0,912,212,212,0,0
91,700,266,966,180,180,0,0
92,786,0,786,178,178,0,0
93,608,247,855,164,164,0,0
94,691,168,859,164,164,0,0
95,695,0,695,125,125,0,0
96,570,273,843,170,170,0,0
97,673,0,673,205,205,0,0
98,468,173,641,199,199,0,0
99,442,0,442,206,206,0,0
100,236,895,1131,238,238,0,0
101,893,112,1005,280,280,0,0
102,725,0,725,317,317,0,0
103,408,97,505,405,405,0,0
104,100,500,600,953,600,353,0
105,0,442,442,1542,442,1100,0
106,0,360,360,1890,360,1530,0
107,0,1179,1179,1769,1179,590,0
108,0,7964,7964,1240,1240,0,0
109,6724,1630,8354,910,910,0,0
110,7444,0,7444,633,633,0,0
111,6811,0,6811,467,467,0,0
112,6344,0,6344,387,387,0,0
113,5957,0,5957,355,355,0,0
114,5602,0,5602,340,340,0,0
115,5262,0,5262,352,352,0,0
116,4910,0,4910,432,432,0,0
117,4478,0,4478,526,526,0,0
118,3952,0,3952,685,685,0,0
119,3267,0,3267,810,810,0,0
120,2457,0,2457,783,783,0,0
121,1674,0,1674,658,658,0,0
122,1016,774,1790,566,566,0,0
123,1224,770,1994,445,445,0,0
124,1549,242,1791,409,409,0,0
125,1382,100,1482,283,283,0,0
126,1199,493,1692,247,247,0,0
127,1445,3,1448,209,209,0,0
128,1239,636,1875,221,221,0,0
129,1654,0,1654,279,279,0,0
130,1375,14,1389,374,374,0,0
131,1015,0,1015,458,458,0,0
132,557,79,636,639,636,3,0
133,0,698,698,618,618,0,0
134,80,845,925,550,550,0,0
135,375,484,859,553,553,0,0
136,306,2089,2395,459,459,0,0
137,1936,0,1936,548,548,0,0
138,1388,0,1388,469,469,0,0
139,919,573,1492,478,478,0,0
140,1014,0,1014,459,459,0,0
141,555,1922,2477,428,428,0,0
142,2049,0,2049,521,521,0,0
143,1528,0,1528,574,574,0,0
144,954,0,954,612,612,0,0
145,342,0,342,757,342,415,0
146,0,1910,1910,697,697,0,0
147,1213,174,1387,690,690,0,0
148,697,407,1104,660,660,0,0
149,444,1776,2220,535,535,0,0
150,1685,0,1685,403,403,0,0
151,1282,384,1666,415,415,0,0
152,1251,226,1477,387,387,0,0
153,1090,148,1238,385,385,0,0
154,853,218,1071,444,444,0,0
155,627,1192,1819,481,481,0,0
156,1338,0,1338,569,569,0,0
157,769,0,769,553,553,0,0
158,216,858,1074,380,380,0,0
159,694,238,932,354,354,0,0
160,578,1212,1790,332,332,0,0
161,1458,0,1458,337,337,0,0
162,1121,0,1121,339,339,0,0
163,782,933,1715,318,318,0,0
164,1397,0,1397,318,318,0,0
165,1079,179,1258,336,336,0,0
166,922,44,966,286,286,0,0
167,680,0,680,265,265,0,0
168,415,366,781,288,288,0,0
169,493,437,930,261,261,0,0
170,669,0,669,237,237,0,0
171,432,352,784,266,266,0,0
172,518,565,1083,205,205,0,0
173,878,0,878,170,170,0,0
174,708,22,730,167,167,0,0
175,563,701,1264,134,134,0,0
176,1130,0,1130,128,128,0,0
177,1002,0,1002,119,119,0,0
178,883,88,971,129,129,0,0
179,842,0,842,85,85,0,0
180,757,71,828,90,90,0,0
181,738,0,738,63,63,0,0
182,675,183,858,59,59,0,0
183,799,0,799,59,59,0,0
184,740,196,936,55,55,0,0
185,881,0,881,65,65,0,0
186,816,0,816,62,62,0,0
187,754,0,754,68,68,0,0
188,686,0,686,78,78,0,0
189,608,37,645,86,86,0,0
190,559,0,559,126,126,0,0
191,433,71,504,164,164,0,0
192,340,121,461,177,177,0,0
193,284,89,373,187,187,0,0
194,186,624,810,284,284,0,0
195,526,196,722,300,300,0,0
196,422,43,465,275,275,0,0
197,190,183,373,246,246,0,0
198,127,1526,1653,293,293,0,0
199,1360,0,1360,317,317,0,0
200,1043,0,1043,271,271,0,0
201,772,0,772,320,320,0,0
202,452,831,1283,377,377,0,0
203,906,75,981,423,423,0,0
204,558,0,558,441,441,0,0
205,117,850,967,365,365,0,0
206,602,510,1112,387,387,0,0
207,725,384,1109,368,368,0,0
208,741,267,1008,378,378,0,0
