Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,17,492,6,6,0,0
8,486,5,491,7,7,0,0
9,484,9,493,25,25,0,0
10,468,18,486,32,32,0,0
11,454,1,455,134,134,0,0
12,321,12,333,377,333,44,0
13,0,57,57,581,57,524,0
14,0,40,40,534,40,494,0
15,0,272,272,465,272,193,0
16,0,603,603,519,519,0,0
17,84,505,589,461,461,0,0
18,128,410,538,332,332,0,0
19,206,360,566,274,274,0,0
20,292,637,929,214,214,0,0
21,715,427,1142,230,230,0,0
22,912,218,1130,158,158,0,0
23,972,131,1103,122,122,0,0
24,981,77,1058,70,70,0,0
25,988,103,1091,55,55,0,0
26,1036,13,1049,47,47,0,0
27,1002,0,1002,46,46,0,0
28,956,0,956,47,47,0,0
29,909,0,909,40,40,0,0
30,869,0,869,49,49,0,0
31,820,0,820,32,32,0,0
32,788,0,788,20,20,0,0
33,768,0,768,39,39,0,0
34,729,0,729,48,48,0,0
35,681,0,681,41,41,0,0
36,640,0,640,47,47,0,0
37,593,0,593,71,71,0,0
38,522,0,522,129,129,0,0
39,393,0,393,156,156,0,0
40,237,46,283,196,196,0,0
41,87,113,200,207,200,7,0
42,0,216,216,218,216,2,0
43,0,239,239,253,239,14,0
44,0,299,299,293,293,0,0
45,6,268,274,405,274,131,0
46,0,283,283,399,283,116,0
47,0,320,320,464,320,144,0
48,0,389,389,514,389,125,0
49,0,426,426,572,426,146,0
50,0,418,418,625,418,207,0
51,0,455,455,733,455,278,0
52,0,551,551,818,551,267,0
53,0,582,582,940,582,358,0
54,0,584,584,806,584,222,0
55,0,646,646,757,646,111,0
56,0,799,799,565,565,0,0
57,234,849,1083,518,518,0,0
58,565,632,1197,434,434,0,0
59,763,612,1375,383,383,0,0
60,992,415,1407,391,391,0,0
61,1016,320,1336,386,386,0,0
62,950,257,1207,459,459,0,0
63,748,154,902,553,553,0,0
64,349,220,569,669,569,100,0
65,0,249,249,899,249,650,0
66,0,484,484,1229,484,745,0
67,0,653,653,1511,653,858,0
68,0,761,761,1380,761,619,0
69,0,571,571,1197,571,626,0
70,0,1047,1047,998,998,0,0
71,49,1412,1461,739,739,0,0
72,722,1284,2006,625,625,0,0
73,1381,554,1935,408,408,0,0
74,1527,793,2320,320,320,0,0
75,2000,473,2473,255,255,0,0
76,2218,310,2528,190,190,0,0
77,2338,0,2338,160,160,0,0
78,2178,0,2178,117,117,0,0
79,2061,0,2061,103,103,0,0
80,1958,0,1958,80,80,0,0
81,1878,0,1878,63,63,0,0
82,1815,0,1815,55,55,0,0
83,1760,0,1760,93,93,0,0
84,1667,0,1667,112,112,0,0
85,1555,0,1555,179,179,0,0
86,1376,0,1376,224,224,0,0
87,1152,0,1152,261,261,0,0
88,891,0,891,226,226,0,0
89,665,0,665,213,213,0,0
90,452,0,452,212,212,0,0
91,240,239,479,180,180,0,0
92,299,241,540,178,178,0,0
93,362,230,592,164,164,0,0
94,428,207,635,164,164,0,0
95,471,142,613,125,125,0,0
96,488,169,657,170,170,0,0
97,487,118,605,205,205,0,0
98,400,154,554,199,199,0,0
99,355,49,404,206,206,0,0
100,198,210,408,238,238,0,0
101,170,242,412,280,280,0,0
102,132,197,329,317,317,0,0
103,12,250,262,405,262,143,0
104,0,296,296,953,296,657,0
105,0,362,362,1542,362,1180,0
106,0,410,410,1890,410,1480,0
107,0,401,401,1769,401,1368,0
108,0,766,766,1240,766,474,0
109,0,1422,1422,910,910,0,0
110,512,1695,2207,633,633,0,0
111,1574,1313,2887,467,467,0,0
112,2420,643,3063,387,387,0,0
113,2676,387,3063,355,355,0,0
114,2708,164,2872,340,340,0,0
115,2532,0,2532,352,352,0,0
116,2180,0,2180,432,432,0,0
117,1748,0,1748,526,526,0,0
118,1222,0,1222,685,685,0,0
119,537,0,537,810,537,273,0
120,0,28,28,783,28,755,0
121,0,613,613,658,613,45,0
122,0,897,897,566,566,0,0
123,331,855,1186,445,445,0,0
124,741,275,1016,409,409,0,0
125,607,568,1175,283,283,0,0
126,892,453,1345,247,247,0,0
127,1098,312,1410,209,209,0,0
128,1201,234,1435,221,221,0,0
129,1214,99,1313,279,279,0,0
130,1034,3,1037,374,374,0,0
131,663,0,663,458,458,0,0
132,205,68,273,639,273,366,0
133,0,263,263,618,263,355,0
134,0,450,450,550,450,100,0
135,0,619,619,553,553,0,0
136,66,522,588,459,459,0,0
137,129,510,639,548,548,0,0
138,91,497,588,469,469,0,0
139,119,593,712,478,478,0,0
140,234,364,598,459,459,0,0
141,139,610,749,428,428,0,0
142,321,378,699,521,521,0,0
143,178,455,633,574,574,0,0
144,59,383,442,612,442,170,0
145,0,363,363,757,363,394,0
146,0,617,617,697,617,80,0
147,0,660,660,690,660,30,0
148,0,556,556,660,556,104,0
149,0,536,536,535,535,0,0
150,1,741,742,403,403,0,0
151,339,706,1045,415,415,0,0
152,630,543,1173,387,387,0,0
153,786,427,1213,385,385,0,0
154,828,236,1064,444,444,0,0
155,620,275,895,481,481,0,0
156,414,256,670,569,569,0,0
157,101,255,356,553,356,197,0
158,0,449,449,380,380,0,0
159,69,489,558,354,354,0,0
160,204,686,890,332,332,0,0
161,558,431,989,337,337,0,0
162,652,261,913,339,339,0,0
163,574,250,824,318,318,0,0
164,506,235,741,318,318,0,0
165,423,278,701,336,336,0,0
166,365,273,638,286,286,0,0
167,352,249,601,265,265,0,0
168,336,289,625,288,288,0,0
169,337,334,671,261,261,0,0
170,410,223,633,237,237,0,0
171,396,227,623,266,266,0,0
172,357,296,653,205,205,0,0
173,448,192,640,170,170,0,0
174,470,197,667,167,167,0,0
175,500,287,787,134,134,0,0
176,653,109,762,128,128,0,0
177,634,107,741,119,119,0,0
178,622,129,751,129,129,0,0
179,622,51,673,85,85,0,0
180,588,85,673,90,90,0,0
181,583,58,641,63,63,0,0
182,578,122,700,59,59,0,0
183,641,0,641,59,59,0,0
184,582,83,665,55,55,0,0
185,610,0,610,65,65,0,0
186,545,37,582,62,62,0,0
187,520,26,546,68,68,0,0
188,478,30,508,78,78,0,0
189,430,71,501,86,86,0,0
190,415,40,455,126,126,0,0
191,329,84,413,164,164,0,0
192,249,90,339,177,177,0,0
193,162,106,268,187,187,0,0
194,81,202,283,284,283,1,0
195,0,244,244,300,244,56,0
196,0,232,232,275,232,43,0
197,0,243,243,246,243,3,0
198,0,409,409,293,293,0,0
199,116,371,487,317,317,0,0
200,170,265,435,271,271,0,0
201,164,234,398,320,320,0,0
202,78,355,433,377,377,0,0
203,56,356,412,423,412,11,0
204,0,245,245,441,245,196,0
205,0,386,386,365,365,0,0
206,21,472,493,387,387,0,0
207,106,525,631,368,368,0,0
208,263,326,589,378,378,0,0
