Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,17,492,6,6,0,0
8,486,11,497,7,7,0,0
9,490,4,494,25,25,0,0
10,469,18,487,32,32,0,0
11,455,2,457,134,134,0,0
12,323,8,331,377,331,46,0
13,0,65,65,581,65,516,0
14,0,57,57,534,57,477,0
15,0,372,372,465,372,93,0
16,0,936,936,519,519,0,0
17,417,680,1097,461,461,0,0
18,636,121,757,332,332,0,0
19,425,243,668,274,274,0,0
20,394,587,981,214,214,0,0
21,767,313,1080,230,230,0,0
22,850,0,850,158,158,0,0
23,692,30,722,122,122,0,0
24,600,13,613,70,70,0,0
25,543,219,762,55,55,0,0
26,707,0,707,47,47,0,0
27,660,12,672,46,46,0,0
28,626,0,626,47,47,0,0
29,579,0,579,40,40,0,0
30,539,0,539,49,49,0,0
31,490,4,494,32,32,0,0
32,462,42,504,20,20,0,0
33,484,25,509,39,39,0,0
34,470,70,540,48,48,0,0
35,492,1,493,41,41,0,0
36,452,0,452,47,47,0,0
37,405,59,464,71,71,0,0
38,393,75,468,129,129,0,0
39,339,34,373,156,156,0,0
40,217,61,278,196,196,0,0
41,82,128,210,207,207,0,0
42,3,274,277,218,218,0,0
43,59,253,312,253,253,0,0
44,59,314,373,293,293,0,0
45,80,261,341,405,341,64,0
46,0,256,256,399,256,143,0
47,0,336,336,464,336,128,0
48,0,397,397,514,397,117,0
49,0,616,616,572,572,0,0
50,44,310,354,625,354,271,0
51,0,501,501,733,501,232,0
52,0,545,545,818,545,273,0
53,0,735,735,940,735,205,0
54,0,509,509,806,509,297,0
55,0,777,777,757,757,0,0
56,20,801,821,565,565,0,0
57,256,1073,1329,518,518,0,0
58,811,288,1099,434,434,0,0
59,665,591,1256,383,383,0,0
60,873,67,940,391,391,0,0
61,549,270,819,386,386,0,0
62,433,161,594,459,459,0,0
63,135,200,335,553,335,218,0
64,0,373,373,669,373,296,0
65,0,387,387,899,387,512,0
66,0,640,640,1229,640,589,0
67,0,605,605,1511,605,906,0
68,0,712,712,1380,712,668,0
69,0,999,999,1197,999,198,0
70,0,1540,1540,998,998,0,0
71,542,1469,2011,739,739,0,0
72,1272,642,1914,625,625,0,0
73,1289,569,1858,408,408,0,0
74,1450,398,1848,320,320,0,0
75,1528,0,1528,255,255,0,0
76,1273,77,1350,190,190,0,0
77,1160,0,1160,160,160,0,0
78,1000,0,1000,117,117,0,0
79,883,0,883,103,103,0,0
80,780,0,780,80,80,0,0
81,700,0,700,63,63,0,0
82,637,0,637,55,55,0,0
83,582,7,589,93,93,0,0
84,496,17,513,112,112,0,0
85,401,16,417,179,179,0,0
86,238,28,266,224,224,0,0
87,42,172,214,261,214,47,0
88,0,179,179,226,179,47,0
89,0,353,353,213,213,0,0
90,140,371,511,212,212,0,0
91,299,339,638,180,180,0,0
92,458,133,591,178,178,0,0
93,413,169,582,164,164,0,0
94,418,188,606,164,164,0,0
95,442,93,535,125,125,0,0
96,410,148,558,170,170,0,0
97,388,123,511,205,205,0,0
98,306,156,462,199,199,0,0
99,263,38,301,206,206,0,0
100,95,251,346,238,238,0,0
101,108,303,411,280,280,0,0
102,131,215,346,317,317,0,0
103,29,231,260,405,260,145,0
104,0,316,316,953,316,637,0
105,0,392,392,1542,392,1150,0
106,0,427,427,1890,427,1463,0
107,0,485,485,1769,485,1284,0
108,0,1606,1606,1240,1240,0,0
109,366,2038,2404,910,910,0,0
110,1494,1652,3146,633,633,0,0
111,2513,552,3065,467,467,0,0
112,2598,61,2659,387,387,0,0
113,2272,0,2272,355,355,0,0
114,1917,0,1917,340,340,0,0
115,1577,0,1577,352,352,0,0
116,1225,0,1225,432,432,0,0
117,793,0,793,526,526,0,0
118,267,0,267,685,267,418,0
119,0,199,199,810,199,611,0
120,0,645,645,783,645,138,0
121,0,812,812,658,658,0,0
122,154,710,864,566,566,0,0
123,298,599,897,445,445,0,0
124,452,691,1143,409,409,0,0
125,734,389,1123,283,283,0,0
126,840,273,1113,247,247,0,0
127,866,70,936,209,209,0,0
128,727,213,940,221,221,0,0
129,719,0,719,279,279,0,0
130,440,29,469,374,374,0,0
131,95,95,190,458,190,268,0
132,0,232,232,639,232,407,0
133,0,424,424,618,424,194,0
134,0,638,638,550,550,0,0
135,88,458,546,553,546,7,0
136,0,719,719,459,459,0,0
137,260,501,761,548,548,0,0
138,213,423,636,469,469,0,0
139,167,506,673,478,478,0,0
140,195,214,409,459,409,50,0
141,0,673,673,428,428,0,0
142,245,308,553,521,521,0,0
143,32,467,499,574,499,75,0
144,0,367,367,612,367,245,0
145,0,352,352,757,352,405,0
146,0,712,712,697,697,0,0
147,15,665,680,690,680,10,0
148,0,502,502,660,502,158,0
149,0,720,720,535,535,0,0
150,185,653,838,403,403,0,0
151,435,660,1095,415,415,0,0
152,680,415,1095,387,387,0,0
153,708,219,927,385,385,0,0
154,542,17,559,444,444,0,0
155,115,334,449,481,449,32,0
156,0,294,294,569,294,275,0
157,0,370,370,553,370,183,0
158,0,585,585,380,380,0,0
159,205,581,786,354,354,0,0
160,432,539,971,332,332,0,0
161,639,400,1039,337,337,0,0
162,702,3,705,339,339,0,0
163,366,197,563,318,318,0,0
164,245,221,466,318,318,0,0
165,148,311,459,336,336,0,0
166,123,339,462,286,286,0,0
167,176,282,458,265,265,0,0
168,193,321,514,288,288,0,0
169,226,383,609,261,261,0,0
170,348,184,532,237,237,0,0
171,295,195,490,266,266,0,0
172,224,319,543,205,205,0,0
173,338,207,545,170,170,0,0
174,375,173,548,167,167,0,0
175,381,316,697,134,134,0,0
176,563,81,644,128,128,0,0
177,516,65,581,119,119,0,0
178,462,131,593,129,129,0,0
179,464,49,513,85,85,0,0
180,428,97,525,90,90,0,0
181,435,92,527,63,63,0,0
182,464,149,613,59,59,0,0
183,554,0,554,59,59,0,0
184,495,78,573,55,55,0,0
185,518,0,518,65,65,0,0
186,453,34,487,62,62,0,0
187,425,53,478,68,68,0,0
188,410,46,456,78,78,0,0
189,378,88,466,86,86,0,0
190,380,64,444,126,126,0,0
191,318,83,401,164,164,0,0
192,237,106,343,177,177,0,0
193,166,110,276,187,187,0,0
194,89,223,312,284,284,0,0
195,28,273,301,300,300,0,0
196,1,236,237,275,237,38,0
197,0,226,226,246,226,20,0
198,0,509,509,293,293,0,0
199,216,388,604,317,317,0,0
200,287,206,493,271,271,0,0
201,222,150,372,320,320,0,0
202,52,371,423,377,377,0,0
203,46,382,428,423,423,0,0
204,5,182,187,441,187,254,0
205,0,410,410,365,365,0,0
206,45,525,570,387,387,0,0
207,183,565,748,368,368,0,0
208,380,266,646,378,378,0,0
