Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,25,500,6,6,0,0
8,494,5,499,7,7,0,0
9,492,2,494,25,25,0,0
10,469,23,492,32,32,0,0
11,460,0,460,134,134,0,0
12,326,5,331,377,331,46,0
13,0,94,94,581,94,487,0
14,0,40,40,534,40,494,0
15,0,501,501,465,465,0,0
16,36,1215,1251,519,519,0,0
17,732,588,1320,461,461,0,0
18,859,0,859,332,332,0,0
19,527,0,527,274,274,0,0
20,253,671,924,214,214,0,0
21,710,239,949,230,230,0,0
22,719,0,719,158,158,0,0
23,561,116,677,122,122,0,0
24,555,25,580,70,70,0,0
25,510,355,865,55,55,0,0
26,810,0,810,47,47,0,0
27,763,0,763,46,46,0,0
28,717,0,717,47,47,0,0
29,670,0,670,40,40,0,0
30,630,0,630,49,49,0,0
31,581,0,581,32,32,0,0
32,549,0,549,20,20,0,0
33,529,0,529,39,39,0,0
34,490,77,567,48,48,0,0
35,519,0,519,41,41,0,0
36,478,0,478,47,47,0,0
37,431,62,493,71,71,0,0
38,422,67,489,129,129,0,0
39,360,15,375,156,156,0,0
40,219,71,290,196,196,0,0
41,94,159,253,207,207,0,0
42,46,338,384,218,218,0,0
43,166,192,358,253,253,0,0
44,105,333,438,293,293,0,0
45,145,202,347,405,347,58,0
46,0,246,246,399,246,153,0
47,0,379,379,464,379,85,0
48,0,423,423,514,423,91,0
49,0,743,743,572,572,0,0
50,171,129,300,625,300,325,0
51,0,595,595,733,595,138,0
52,0,570,570,818,570,248,0
53,0,754,754,940,754,186,0
54,0,458,458,806,458,348,0
55,0,953,953,757,757,0,0
56,196,802,998,565,565,0,0
57,433,1139,1572,518,518,0,0
58,1054,0,1054,434,434,0,0
59,620,509,1129,383,383,0,0
60,746,0,746,391,391,0,0
61,355,400,755,386,386,0,0
62,369,204,573,459,459,0,0
63,114,259,373,553,373,180,0
64,0,477,477,669,477,192,0
65,0,362,362,899,362,537,0
66,0,726,726,1229,726,503,0
67,0,668,668,1511,668,843,0
68,0,843,843,1380,843,537,0
69,0,1129,1129,1197,1129,68,0
70,0,1750,1750,998,998,0,0
71,752,1375,2127,739,739,0,0
72,1388,85,1473,625,625,0,0
73,848,582,1430,408,408,0,0
74,1022,356,1378,320,320,0,0
75,1058,66,1124,255,255,0,0
76,869,467,1336,190,190,0,0
77,1146,0,1146,160,160,0,0
78,986,0,986,117,117,0,0
79,869,0,869,103,103,0,0
80,766,0,766,80,80,0,0
81,686,50,736,63,63,0,0
82,673,0,673,55,55,0,0
83,618,25,643,93,93,0,0
84,550,0,550,112,112,0,0
85,438,0,438,179,179,0,0
86,259,27,286,224,224,0,0
87,62,242,304,261,261,0,0
88,43,149,192,226,192,34,0
89,0,417,417,213,213,0,0
90,204,339,543,212,212,0,0
91,331,357,688,180,180,0,0
92,508,14,522,178,178,0,0
93,344,183,527,164,164,0,0
94,363,219,582,164,164,0,0
95,418,66,484,125,125,0,0
96,359,210,569,170,170,0,0
97,399,115,514,205,205,0,0
98,309,180,489,199,199,0,0
99,290,0,290,206,206,0,0
100,84,331,415,238,238,0,0
101,177,315,492,280,280,0,0
102,212,146,358,317,317,0,0
103,41,236,277,405,277,128,0
104,0,350,350,953,350,603,0
105,0,417,417,1542,417,1125,0
106,0,423,423,1890,423,1467,0
107,0,583,583,1769,583,1186,0
108,0,2337,2337,1240,1240,0,0
109,1097,2041,3138,910,910,0,0
110,2228,1224,3452,633,633,0,0
111,2819,0,2819,467,467,0,0
112,2352,0,2352,387,387,0,0
113,1965,0,1965,355,355,0,0
114,1610,0,1610,340,340,0,0
115,1270,0,1270,352,352,0,0
116,918,0,918,432,432,0,0
117,486,115,601,526,526,0,0
118,75,246,321,685,321,364,0
119,0,358,358,810,358,452,0
120,0,714,714,783,714,69,0
121,0,773,773,658,658,0,0
122,115,844,959,566,566,0,0
123,393,651,1044,445,445,0,0
124,599,464,1063,409,409,0,0
125,654,181,835,283,283,0,0
126,552,339,891,247,247,0,0
127,644,94,738,209,209,0,0
128,529,417,946,221,221,0,0
129,725,0,725,279,279,0,0
130,446,73,519,374,374,0,0
131,145,89,234,458,234,224,0
132,0,307,307,639,307,332,0
133,0,502,502,618,502,116,0
134,0,685,685,550,550,0,0
135,135,453,588,553,553,0,0
136,35,908,943,459,459,0,0
137,484,259,743,548,548,0,0
138,195,272,467,469,467,2,0
139,0,606,606,478,478,0,0
140,128,135,263,459,263,196,0
141,0,930,930,428,428,0,0
142,502,224,726,521,521,0,0
143,205,508,713,574,574,0,0
144,139,195,334,612,334,278,0
145,0,312,312,757,312,445,0
146,0,856,856,697,697,0,0
147,159,730,889,690,690,0,0
148,199,451,650,660,650,10,0
149,0,801,801,535,535,0,0
150,266,375,641,403,403,0,0
151,238,666,904,415,415,0,0
152,489,544,1033,387,387,0,0
153,646,107,753,385,385,0,0
154,368,23,391,444,391,53,0
155,0,588,588,481,481,0,0
156,107,283,390,569,390,179,0
157,0,408,408,553,408,145,0
158,0,601,601,380,380,0,0
159,221,573,794,354,354,0,0
160,440,684,1124,332,332,0,0
161,792,260,1052,337,337,0,0
162,715,0,715,339,339,0,0
163,376,138,514,318,318,0,0
164,196,243,439,318,318,0,0
165,121,413,534,336,336,0,0
166,198,351,549,286,286,0,0
167,263,244,507,265,265,0,0
168,242,323,565,288,288,0,0
169,277,391,668,261,261,0,0
170,407,115,522,237,237,0,0
171,285,197,482,266,266,0,0
172,216,387,603,205,205,0,0
173,398,153,551,170,170,0,0
174,381,164,545,167,167,0,0
175,378,389,767,134,134,0,0
176,633,4,637,128,128,0,0
177,509,43,552,119,119,0,0
178,433,179,612,129,129,0,0
179,483,18,501,85,85,0,0
180,416,131,547,90,90,0,0
181,457,90,547,63,63,0,0
182,484,178,662,59,59,0,0
183,603,0,603,59,59,0,0
184,544,47,591,55,55,0,0
185,536,0,536,65,65,0,0
186,471,25,496,62,62,0,0
187,434,64,498,68,68,0,0
188,430,41,471,78,78,0,0
189,393,104,497,86,86,0,0
190,411,41,452,126,126,0,0
191,326,91,417,164,164,0,0
192,253,110,363,177,177,0,0
193,186,109,295,187,187,0,0
194,108,272,380,284,284,0,0
195,96,279,375,300,300,0,0
196,75,183,258,275,258,17,0
197,0,213,213,246,213,33,0
198,0,624,624,293,293,0,0
199,331,298,629,317,317,0,0
200,312,148,460,271,271,0,0
201,189,107,296,320,296,24,0
202,0,487,487,377,377,0,0
203,110,384,494,423,423,0,0
204,71,105,176,441,176,265,0
205,0,478,478,365,365,0,0
206,113,575,688,387,387,0,0
207,301,562,863,368,368,0,0
208,495,190,685,378,378,0,0
