Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,38,513,6,6,0,0
8,507,0,507,7,7,0,0
9,500,0,500,25,25,0,0
10,475,27,502,32,32,0,0
11,470,0,470,134,134,0,0
12,336,0,336,377,336,41,0
13,0,134,134,581,134,447,0
14,0,5,5,534,5,529,0
15,0,730,730,465,465,0,0
16,265,1363,1628,519,519,0,0
17,1109,382,1491,461,461,0,0
18,1030,0,1030,332,332,0,0
19,698,0,698,274,274,0,0
20,424,721,1145,214,214,0,0
21,931,15,946,230,230,0,0
22,716,0,716,158,158,0,0
23,558,184,742,122,122,0,0
24,620,1,621,70,70,0,0
25,551,491,1042,55,55,0,0
26,987,0,987,47,47,0,0
27,940,0,940,46,46,0,0
28,894,0,894,47,47,0,0
29,847,0,847,40,40,0,0
30,807,0,807,49,49,0,0
31,758,0,758,32,32,0,0
32,726,0,726,20,20,0,0
33,706,0,706,39,39,0,0
34,667,0,667,48,48,0,0
35,619,0,619,41,41,0,0
36,578,0,578,47,47,0,0
37,531,35,566,71,71,0,0
38,495,24,519,129,129,0,0
39,390,0,390,156,156,0,0
40,234,72,306,196,196,0,0
41,110,190,300,207,207,0,0
42,93,390,483,218,218,0,0
43,265,104,369,253,253,0,0
44,116,339,455,293,293,0,0
45,162,136,298,405,298,107,0
46,0,280,280,399,280,119,0
47,0,454,454,464,454,10,0
48,0,413,413,514,413,101,0
49,0,829,829,572,572,0,0
50,257,0,257,625,257,368,0
51,0,748,748,733,733,0,0
52,15,476,491,818,491,327,0
53,0,783,783,940,783,157,0
54,0,391,391,806,391,415,0
55,0,1213,1213,757,757,0,0
56,456,601,1057,565,565,0,0
57,492,1254,1746,518,518,0,0
58,1228,0,1228,434,434,0,0
59,794,283,1077,383,383,0,0
60,694,0,694,391,391,0,0
61,303,657,960,386,386,0,0
62,574,69,643,459,459,0,0
63,184,268,452,553,452,101,0
64,0,519,519,669,519,150,0
65,0,240,240,899,240,659,0
66,0,901,901,1229,901,328,0
67,0,693,693,1511,693,818,0
68,0,845,845,1380,845,535,0
69,0,1188,1188,1197,1188,9,0
70,0,1991,1991,998,998,0,0
71,993,1163,2156,739,739,0,0
72,1417,0,1417,625,625,0,0
73,792,325,1117,408,408,0,0
74,709,584,1293,320,320,0,0
75,973,72,1045,255,255,0,0
76,790,841,1631,190,190,0,0
77,1441,0,1441,160,160,0,0
78,1281,0,1281,117,117,0,0
79,1164,0,1164,103,103,0,0
80,1061,0,1061,80,80,0,0
81,981,0,981,63,63,0,0
82,918,0,918,55,55,0,0
83,863,0,863,93,93,0,0
84,770,0,770,112,112,0,0
85,658,0,658,179,179,0,0
86,479,0,479,224,224,0,0
87,255,161,416,261,261,0,0
88,155,65,220,226,220,6,0
89,0,504,504,213,213,0,0
90,291,231,522,212,212,0,0
91,310,330,640,180,180,0,0
92,460,0,460,178,178,0,0
93,282,237,519,164,164,0,0
94,355,260,615,164,164,0,0
95,451,15,466,125,125,0,0
96,341,277,618,170,170,0,0
97,448,63,511,205,205,0,0
98,306,206,512,199,199,0,0
99,313,0,313,206,206,0,0
100,107,483,590,238,238,0,0
101,352,220,572,280,280,0,0
102,292,37,329,317,317,0,0
103,12,264,276,405,276,129,0
104,0,408,408,953,408,545,0
105,0,419,419,1542,419,1123,0
106,0,390,390,1890,390,1500,0
107,0,675,675,1769,675,1094,0
108,0,3337,3337,1240,1240,0,0
109,2097,1652,3749,910,910,0,0
110,2839,324,3163,633,633,0,0
111,2530,0,2530,467,467,0,0
112,2063,0,2063,387,387,0,0
113,1676,189,1865,355,355,0,0
114,1510,0,1510,340,340,0,0
115,1170,170,1340,352,352,0,0
116,988,67,1055,432,432,0,0
117,623,65,688,526,526,0,0
118,162,136,298,685,298,387,0
119,0,372,372,810,372,438,0
120,0,833,833,783,783,0,0
121,50,749,799,658,658,0,0
122,141,893,1034,566,566,0,0
123,468,513,981,445,445,0,0
124,536,283,819,409,409,0,0
125,410,201,611,283,283,0,0
126,328,532,860,247,247,0,0
127,613,112,725,209,209,0,0
128,516,608,1124,221,221,0,0
129,903,0,903,279,279,0,0
130,624,4,628,374,374,0,0
131,254,29,283,458,283,175,0
132,0,364,364,639,364,275,0
133,0,528,528,618,528,90,0
134,0,678,678,550,550,0,0
135,128,397,525,553,525,28,0
136,0,1152,1152,459,459,0,0
137,693,0,693,548,548,0,0
138,145,200,345,469,345,124,0
139,0,791,791,478,478,0,0
140,313,0,313,459,313,146,0
141,0,1423,1423,428,428,0,0
142,995,0,995,521,521,0,0
143,474,273,747,574,574,0,0
144,173,118,291,612,291,321,0
145,0,304,304,757,304,453,0
146,0,1225,1225,697,697,0,0
147,528,495,1023,690,690,0,0
148,333,301,634,660,634,26,0
149,0,1048,1048,535,535,0,0
150,513,0,513,403,403,0,0
151,110,780,890,415,415,0,0
152,475,493,968,387,387,0,0
153,581,6,587,385,385,0,0
154,202,101,303,444,303,141,0
155,0,927,927,481,481,0,0
156,446,118,564,569,564,5,0
157,0,380,380,553,380,173,0
158,0,606,606,380,380,0,0
159,226,417,643,354,354,0,0
160,289,971,1260,332,332,0,0
161,928,0,928,337,337,0,0
162,591,0,591,339,339,0,0
163,252,407,659,318,318,0,0
164,341,232,573,318,318,0,0
165,255,399,654,336,336,0,0
166,318,261,579,286,286,0,0
167,293,131,424,265,265,0,0
168,159,399,558,288,288,0,0
169,270,449,719,261,261,0,0
170,458,0,458,237,237,0,0
171,221,253,474,266,266,0,0
172,208,499,707,205,205,0,0
173,502,15,517,170,170,0,0
174,347,171,518,167,167,0,0
175,351,524,875,134,134,0,0
176,741,0,741,128,128,0,0
177,613,0,613,119,119,0,0
178,494,174,668,129,129,0,0
179,539,0,539,85,85,0,0
180,454,134,588,90,90,0,0
181,498,55,553,63,63,0,0
182,490,210,700,59,59,0,0
183,641,0,641,59,59,0,0
184,582,68,650,55,55,0,0
185,595,0,595,65,65,0,0
186,530,3,533,62,62,0,0
187,471,47,518,68,68,0,0
188,450,20,470,78,78,0,0
189,392,135,527,86,86,0,0
190,441,1,442,126,126,0,0
191,316,114,430,164,164,0,0
192,266,113,379,177,177,0,0
193,202,97,299,187,187,0,0
194,112,350,462,284,284,0,0
195,178,230,408,300,300,0,0
196,108,117,225,275,225,50,0
197,0,222,222,246,222,24,0
198,0,856,856,293,293,0,0
199,563,80,643,317,317,0,0
200,326,45,371,271,271,0,0
201,100,158,258,320,258,62,0
202,0,701,701,377,377,0,0
203,324,278,602,423,423,0,0
204,179,0,179,441,179,262,0
205,0,649,649,365,365,0,0
206,284,500,784,387,387,0,0
207,397,494,891,368,368,0,0
208,523,120,643,378,378,0,0
