Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,14,489,6,6,0,0
8,483,6,489,7,7,0,0
9,482,8,490,25,25,0,0
10,465,17,482,32,32,0,0
11,450,1,451,134,134,0,0
12,317,13,330,377,330,47,0
13,0,51,51,581,51,530,0
14,0,41,41,534,41,493,0
15,0,249,249,465,249,216,0
16,0,571,571,519,519,0,0
17,52,419,471,461,461,0,0
18,10,349,359,332,332,0,0
19,27,361,388,274,274,0,0
20,114,649,763,214,214,0,0
21,549,472,1021,230,230,0,0
22,791,233,1024,158,158,0,0
23,866,114,980,122,122,0,0
24,858,64,922,70,70,0,0
25,852,126,978,55,55,0,0
26,923,28,951,47,47,0,0
27,904,0,904,46,46,0,0
28,858,0,858,47,47,0,0
29,811,0,811,40,40,0,0
30,771,0,771,49,49,0,0
31,722,0,722,32,32,0,0
32,690,0,690,20,20,0,0
33,670,0,670,39,39,0,0
34,631,0,631,48,48,0,0
35,583,0,583,41,41,0,0
36,542,0,542,47,47,0,0
37,495,0,495,71,71,0,0
38,424,31,455,129,129,0,0
39,326,39,365,156,156,0,0
40,209,62,271,196,196,0,0
41,75,105,180,207,180,27,0
42,0,204,204,218,204,14,0
43,0,228,228,253,228,25,0
44,0,287,287,293,287,6,0
45,0,246,246,405,246,159,0
46,0,270,270,399,270,129,0
47,0,305,305,464,305,159,0
48,0,380,380,514,380,134,0
49,0,385,385,572,385,187,0
50,0,390,390,625,390,235,0
51,0,430,430,733,430,303,0
52,0,529,529,818,529,289,0
53,0,531,531,940,531,409,0
54,0,548,548,806,548,258,0
55,0,612,612,757,612,145,0
56,0,749,749,565,565,0,0
57,184,780,964,518,518,0,0
58,446,597,1043,434,434,0,0
59,609,599,1208,383,383,0,0
60,825,411,1236,391,391,0,0
61,845,300,1145,386,386,0,0
62,759,246,1005,459,459,0,0
63,546,176,722,553,553,0,0
64,169,254,423,669,423,246,0
65,0,288,288,899,288,611,0
66,0,499,499,1229,499,730,0
67,0,650,650,1511,650,861,0
68,0,587,587,1380,587,793,0
69,0,574,574,1197,574,623,0
70,0,967,967,998,967,31,0
71,0,1274,1274,739,739,0,0
72,535,1057,1592,625,625,0,0
73,967,652,1619,408,408,0,0
74,1211,826,2037,320,320,0,0
75,1717,438,2155,255,255,0,0
76,1900,242,2142,190,190,0,0
77,1952,0,1952,160,160,0,0
78,1792,0,1792,117,117,0,0
79,1675,0,1675,103,103,0,0
80,1572,0,1572,80,80,0,0
81,1492,0,1492,63,63,0,0
82,1429,0,1429,55,55,0,0
83,1374,0,1374,93,93,0,0
84,1281,0,1281,112,112,0,0
85,1169,0,1169,179,179,0,0
86,990,0,990,224,224,0,0
87,766,0,766,261,261,0,0
88,505,0,505,226,226,0,0
89,279,0,279,213,213,0,0
90,66,193,259,212,212,0,0
91,47,360,407,180,180,0,0
92,227,245,472,178,178,0,0
93,294,239,533,164,164,0,0
94,369,220,589,164,164,0,0
95,425,139,564,125,125,0,0
96,439,175,614,170,170,0,0
97,444,122,566,205,205,0,0
98,361,152,513,199,199,0,0
99,314,53,367,206,206,0,0
100,161,207,368,238,238,0,0
101,130,244,374,280,280,0,0
102,94,202,296,317,296,21,0
103,0,240,240,405,240,165,0
104,0,290,290,953,290,663,0
105,0,353,353,1542,353,1189,0
106,0,379,379,1890,379,1511,0
107,0,367,367,1769,367,1402,0
108,0,709,709,1240,709,531,0
109,0,1159,1159,910,910,0,0
110,249,1413,1662,633,633,0,0
111,1029,1219,2248,467,467,0,0
112,1781,729,2510,387,387,0,0
113,2123,515,2638,355,355,0,0
114,2283,112,2395,340,340,0,0
115,2055,0,2055,352,352,0,0
116,1703,0,1703,432,432,0,0
117,1271,0,1271,526,526,0,0
118,745,0,745,685,685,0,0
119,60,0,60,810,60,750,0
120,0,409,409,783,409,374,0
121,0,614,614,658,614,44,0
122,0,872,872,566,566,0,0
123,306,329,635,445,445,0,0
124,190,625,815,409,409,0,0
125,406,580,986,283,283,0,0
126,703,484,1187,247,247,0,0
127,940,303,1243,209,209,0,0
128,1034,230,1264,221,221,0,0
129,1043,81,1124,279,279,0,0
130,845,24,869,374,374,0,0
131,495,15,510,458,458,0,0
132,52,118,170,639,170,469,0
133,0,289,289,618,289,329,0
134,0,456,456,550,456,94,0
135,0,595,595,553,553,0,0
136,42,391,433,459,433,26,0
137,0,495,495,548,495,53,0
138,0,508,508,469,469,0,0
139,39,617,656,478,478,0,0
140,178,349,527,459,459,0,0
141,68,577,645,428,428,0,0
142,217,384,601,521,521,0,0
143,80,455,535,574,535,39,0
144,0,395,395,612,395,217,0
145,0,367,367,757,367,390,0
146,0,612,612,697,612,85,0
147,0,613,613,690,613,77,0
148,0,489,489,660,489,171,0
149,0,527,527,535,527,8,0
150,0,719,719,403,403,0,0
151,316,662,978,415,415,0,0
152,563,486,1049,387,387,0,0
153,662,422,1084,385,385,0,0
154,699,206,905,444,444,0,0
155,461,269,730,481,481,0,0
156,249,274,523,569,523,46,0
157,0,290,290,553,290,263,0
158,0,465,465,380,380,0,0
159,85,504,589,354,354,0,0
160,235,624,859,332,332,0,0
161,527,356,883,337,337,0,0
162,546,257,803,339,339,0,0
163,464,241,705,318,318,0,0
164,387,244,631,318,318,0,0
165,313,289,602,336,336,0,0
166,266,294,560,286,286,0,0
167,274,264,538,265,265,0,0
168,273,294,567,288,288,0,0
169,279,339,618,261,261,0,0
170,357,215,572,237,237,0,0
171,335,228,563,266,266,0,0
172,297,292,589,205,205,0,0
173,384,206,590,170,170,0,0
174,420,194,614,167,167,0,0
175,447,285,732,134,134,0,0
176,598,112,710,128,128,0,0
177,582,101,683,119,119,0,0
178,564,127,691,129,129,0,0
179,562,60,622,85,85,0,0
180,537,85,622,90,90,0,0
181,532,69,601,63,63,0,0
182,538,125,663,59,59,0,0
183,604,6,610,59,59,0,0
184,551,80,631,55,55,0,0
185,576,1,577,65,65,0,0
186,512,40,552,62,62,0,0
187,490,32,522,68,68,0,0
188,454,36,490,78,78,0,0
189,412,71,483,86,86,0,0
190,397,47,444,126,126,0,0
191,318,82,400,164,164,0,0
192,236,88,324,177,177,0,0
193,147,104,251,187,187,0,0
194,64,187,251,284,251,33,0
195,0,233,233,300,233,67,0
196,0,229,229,275,229,46,0
197,0,240,240,246,240,6,0
198,0,366,366,293,293,0,0
199,73,347,420,317,317,0,0
200,103,260,363,271,271,0,0
201,92,245,337,320,320,0,0
202,17,360,377,377,377,0,0
203,0,360,360,423,360,63,0
204,0,237,237,441,237,204,0
205,0,392,392,365,365,0,0
206,27,457,484,387,387,0,0
207,97,457,554,368,368,0,0
208,186,312,498,378,378,0,0
