Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,13,488,6,6,0,0
8,482,11,493,7,7,0,0
9,486,5,491,25,25,0,0
10,466,16,482,32,32,0,0
11,450,6,456,134,134,0,0
12,322,6,328,377,328,49,0
13,0,64,64,581,64,517,0
14,0,42,42,534,42,492,0
15,0,350,350,465,350,115,0
16,0,1076,1076,519,519,0,0
17,557,366,923,461,461,0,0
18,462,0,462,332,332,0,0
19,130,317,447,274,274,0,0
20,173,661,834,214,214,0,0
21,620,389,1009,230,230,0,0
22,779,86,865,158,158,0,0
23,707,158,865,122,122,0,0
24,743,0,743,70,70,0,0
25,673,256,929,55,55,0,0
26,874,0,874,47,47,0,0
27,827,0,827,46,46,0,0
28,781,0,781,47,47,0,0
29,734,0,734,40,40,0,0
30,694,0,694,49,49,0,0
31,645,0,645,32,32,0,0
32,613,0,613,20,20,0,0
33,593,0,593,39,39,0,0
34,554,0,554,48,48,0,0
35,506,14,520,41,41,0,0
36,479,0,479,47,47,0,0
37,432,34,466,71,71,0,0
38,395,65,460,129,129,0,0
39,331,36,367,156,156,0,0
40,211,60,271,196,196,0,0
41,75,132,207,207,207,0,0
42,0,286,286,218,218,0,0
43,68,172,240,253,240,13,0
44,0,336,336,293,293,0,0
45,43,231,274,405,274,131,0
46,0,266,266,399,266,133,0
47,0,348,348,464,348,116,0
48,0,399,399,514,399,115,0
49,0,585,585,572,572,0,0
50,13,213,226,625,226,399,0
51,0,505,505,733,505,228,0
52,0,554,554,818,554,264,0
53,0,755,755,940,755,185,0
54,0,378,378,806,378,428,0
55,0,798,798,757,757,0,0
56,41,762,803,565,565,0,0
57,238,1094,1332,518,518,0,0
58,814,146,960,434,434,0,0
59,526,678,1204,383,383,0,0
60,821,191,1012,391,391,0,0
61,621,366,987,386,386,0,0
62,601,193,794,459,459,0,0
63,335,182,517,553,517,36,0
64,0,371,371,669,371,298,0
65,0,323,323,899,323,576,0
66,0,563,563,1229,563,666,0
67,0,735,735,1511,735,776,0
68,0,696,696,1380,696,684,0
69,0,973,973,1197,973,224,0
70,0,1395,1395,998,998,0,0
71,397,1281,1678,739,739,0,0
72,939,251,1190,625,625,0,0
73,565,968,1533,408,408,0,0
74,1125,516,1641,320,320,0,0
75,1321,167,1488,255,255,0,0
76,1233,461,1694,190,190,0,0
77,1504,0,1504,160,160,0,0
78,1344,0,1344,117,117,0,0
79,1227,0,1227,103,103,0,0
80,1124,0,1124,80,80,0,0
81,1044,0,1044,63,63,0,0
82,981,0,981,55,55,0,0
83,926,0,926,93,93,0,0
84,833,0,833,112,112,0,0
85,721,0,721,179,179,0,0
86,542,0,542,224,224,0,0
87,318,0,318,261,261,0,0
88,57,68,125,226,125,101,0
89,0,340,340,213,213,0,0
90,127,331,458,212,212,0,0
91,246,374,620,180,180,0,0
92,440,50,490,178,178,0,0
93,312,223,535,164,164,0,0
94,371,218,589,164,164,0,0
95,425,114,539,125,125,0,0
96,414,174,588,170,170,0,0
97,418,121,539,205,205,0,0
98,334,153,487,199,199,0,0
99,288,51,339,206,206,0,0
100,133,201,334,238,238,0,0
101,96,291,387,280,280,0,0
102,107,196,303,317,303,14,0
103,0,237,237,405,237,168,0
104,0,319,319,953,319,634,0
105,0,393,393,1542,393,1149,0
106,0,398,398,1890,398,1492,0
107,0,484,484,1769,484,1285,0
108,0,1827,1827,1240,1240,0,0
109,587,1489,2076,910,910,0,0
110,1166,1209,2375,633,633,0,0
111,1742,136,1878,467,467,0,0
112,1411,275,1686,387,387,0,0
113,1299,857,2156,355,355,0,0
114,1801,0,1801,340,340,0,0
115,1461,0,1461,352,352,0,0
116,1109,0,1109,432,432,0,0
117,677,80,757,526,526,0,0
118,231,134,365,685,365,320,0
119,0,308,308,810,308,502,0
120,0,588,588,783,588,195,0
121,0,665,665,658,658,0,0
122,7,821,828,566,566,0,0
123,262,535,797,445,445,0,0
124,352,454,806,409,409,0,0
125,397,474,871,283,283,0,0
126,588,484,1072,247,247,0,0
127,825,102,927,209,209,0,0
128,718,419,1137,221,221,0,0
129,916,0,916,279,279,0,0
130,637,23,660,374,374,0,0
131,286,46,332,458,332,126,0
132,0,232,232,639,232,407,0
133,0,387,387,618,387,231,0
134,0,581,581,550,550,0,0
135,31,499,530,553,530,23,0
136,0,747,747,459,459,0,0
137,288,272,560,548,548,0,0
138,12,453,465,469,465,4,0
139,0,594,594,478,478,0,0
140,116,306,422,459,422,37,0
141,0,641,641,428,428,0,0
142,213,447,660,521,521,0,0
143,139,393,532,574,532,42,0
144,0,405,405,612,405,207,0
145,0,323,323,757,323,434,0
146,0,600,600,697,600,97,0
147,0,690,690,690,690,0,0
148,0,546,546,660,546,114,0
149,0,700,700,535,535,0,0
150,165,470,635,403,403,0,0
151,232,710,942,415,415,0,0
152,527,522,1049,387,387,0,0
153,662,263,925,385,385,0,0
154,540,96,636,444,444,0,0
155,192,496,688,481,481,0,0
156,207,204,411,569,411,158,0
157,0,352,352,553,352,201,0
158,0,492,492,380,380,0,0
159,112,563,675,354,354,0,0
160,321,651,972,332,332,0,0
161,640,295,935,337,337,0,0
162,598,0,598,339,339,0,0
163,259,417,676,318,318,0,0
164,358,185,543,318,318,0,0
165,225,348,573,336,336,0,0
166,237,298,535,286,286,0,0
167,249,266,515,265,265,0,0
168,250,300,550,288,288,0,0
169,262,351,613,261,261,0,0
170,352,256,608,237,237,0,0
171,371,162,533,266,266,0,0
172,267,304,571,205,205,0,0
173,366,218,584,170,170,0,0
174,414,172,586,167,167,0,0
175,419,295,714,134,134,0,0
176,580,151,731,128,128,0,0
177,603,35,638,119,119,0,0
178,519,135,654,129,129,0,0
179,525,38,563,85,85,0,0
180,478,99,577,90,90,0,0
181,487,82,569,63,63,0,0
182,506,137,643,59,59,0,0
183,584,26,610,59,59,0,0
184,551,52,603,55,55,0,0
185,548,25,573,65,65,0,0
186,508,11,519,62,62,0,0
187,457,53,510,68,68,0,0
188,442,37,479,78,78,0,0
189,401,71,472,86,86,0,0
190,386,60,446,126,126,0,0
191,320,73,393,164,164,0,0
192,229,106,335,177,177,0,0
193,158,108,266,187,187,0,0
194,79,217,296,284,284,0,0
195,12,260,272,300,272,28,0
196,0,197,197,275,197,78,0
197,0,238,238,246,238,8,0
198,0,511,511,293,293,0,0
199,218,316,534,317,317,0,0
200,217,192,409,271,271,0,0
201,138,173,311,320,311,9,0
202,0,383,383,377,377,0,0
203,6,381,387,423,387,36,0
204,0,229,229,441,229,212,0
205,0,335,335,365,335,30,0
206,0,543,543,387,387,0,0
207,156,522,678,368,368,0,0
208,310,264,574,378,378,0,0
