Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,15,490,6,6,0,0
8,484,8,492,7,7,0,0
9,485,7,492,25,25,0,0
10,467,17,484,32,32,0,0
11,452,1,453,134,134,0,0
12,319,11,330,377,330,47,0
13,0,64,64,581,64,517,0
14,0,38,38,534,38,496,0
15,0,325,325,465,325,140,0
16,0,901,901,519,519,0,0
17,382,389,771,461,461,0,0
18,310,32,342,332,332,0,0
19,10,443,453,274,274,0,0
20,179,661,840,214,214,0,0
21,626,405,1031,230,230,0,0
22,801,129,930,158,158,0,0
23,772,131,903,122,122,0,0
24,781,8,789,70,70,0,0
25,719,231,950,55,55,0,0
26,895,0,895,47,47,0,0
27,848,0,848,46,46,0,0
28,802,0,802,47,47,0,0
29,755,0,755,40,40,0,0
30,715,0,715,49,49,0,0
31,666,0,666,32,32,0,0
32,634,0,634,20,20,0,0
33,614,0,614,39,39,0,0
34,575,0,575,48,48,0,0
35,527,0,527,41,41,0,0
36,486,0,486,47,47,0,0
37,439,36,475,71,71,0,0
38,404,57,461,129,129,0,0
39,332,36,368,156,156,0,0
40,212,64,276,196,196,0,0
41,80,127,207,207,207,0,0
42,0,262,262,218,218,0,0
43,44,191,235,253,235,18,0
44,0,322,322,293,293,0,0
45,29,243,272,405,272,133,0
46,0,274,274,399,274,125,0
47,0,335,335,464,335,129,0
48,0,398,398,514,398,116,0
49,0,524,524,572,524,48,0
50,0,283,283,625,283,342,0
51,0,482,482,733,482,251,0
52,0,558,558,818,558,260,0
53,0,696,696,940,696,244,0
54,0,442,442,806,442,364,0
55,0,736,736,757,736,21,0
56,0,775,775,565,565,0,0
57,210,1007,1217,518,518,0,0
58,699,292,991,434,434,0,0
59,557,673,1230,383,383,0,0
60,847,264,1111,391,391,0,0
61,720,326,1046,386,386,0,0
62,660,215,875,459,459,0,0
63,416,175,591,553,553,0,0
64,38,334,372,669,372,297,0
65,0,314,314,899,314,585,0
66,0,560,560,1229,560,669,0
67,0,737,737,1511,737,774,0
68,0,644,644,1380,644,736,0
69,0,833,833,1197,833,364,0
70,0,1258,1258,998,998,0,0
71,260,1315,1575,739,739,0,0
72,836,547,1383,625,625,0,0
73,758,847,1605,408,408,0,0
74,1197,617,1814,320,320,0,0
75,1494,258,1752,255,255,0,0
76,1497,375,1872,190,190,0,0
77,1682,0,1682,160,160,0,0
78,1522,0,1522,117,117,0,0
79,1405,0,1405,103,103,0,0
80,1302,0,1302,80,80,0,0
81,1222,0,1222,63,63,0,0
82,1159,0,1159,55,55,0,0
83,1104,0,1104,93,93,0,0
84,1011,0,1011,112,112,0,0
85,899,0,899,179,179,0,0
86,720,0,720,224,224,0,0
87,496,0,496,261,261,0,0
88,235,0,235,226,226,0,0
89,9,216,225,213,213,0,0
90,12,333,345,212,212,0,0
91,133,368,501,180,180,0,0
92,321,171,492,178,178,0,0
93,314,230,544,164,164,0,0
94,380,218,598,164,164,0,0
95,434,114,548,125,125,0,0
96,423,181,604,170,170,0,0
97,434,117,551,205,205,0,0
98,346,158,504,199,199,0,0
99,305,42,347,206,206,0,0
100,141,217,358,238,238,0,0
101,120,278,398,280,280,0,0
102,118,192,310,317,310,7,0
103,0,242,242,405,242,163,0
104,0,313,313,953,313,640,0
105,0,383,383,1542,383,1159,0
106,0,402,402,1890,402,1488,0
107,0,449,449,1769,449,1320,0
108,0,1420,1420,1240,1240,0,0
109,180,1356,1536,910,910,0,0
110,626,1321,1947,633,633,0,0
111,1314,592,1906,467,467,0,0
112,1439,603,2042,387,387,0,0
113,1655,704,2359,355,355,0,0
114,2004,0,2004,340,340,0,0
115,1664,0,1664,352,352,0,0
116,1312,0,1312,432,432,0,0
117,880,0,880,526,526,0,0
118,354,36,390,685,390,295,0
119,0,293,293,810,293,517,0
120,0,570,570,783,570,213,0
121,0,654,654,658,654,4,0
122,0,752,752,566,566,0,0
123,186,537,723,445,445,0,0
124,278,565,843,409,409,0,0
125,434,495,929,283,283,0,0
126,646,476,1122,247,247,0,0
127,875,171,1046,209,209,0,0
128,837,347,1184,221,221,0,0
129,963,0,963,279,279,0,0
130,684,50,734,374,374,0,0
131,360,31,391,458,391,67,0
132,0,199,199,639,199,440,0
133,0,369,369,618,369,249,0
134,0,546,546,550,546,4,0
135,0,551,551,553,551,2,0
136,0,608,608,459,459,0,0
137,149,371,520,548,520,28,0
138,0,490,490,469,469,0,0
139,21,619,640,478,478,0,0
140,162,312,474,459,459,0,0
141,15,632,647,428,428,0,0
142,219,413,632,521,521,0,0
143,111,419,530,574,530,44,0
144,0,419,419,612,419,193,0
145,0,335,335,757,335,422,0
146,0,627,627,697,627,70,0
147,0,663,663,690,663,27,0
148,0,546,546,660,546,114,0
149,0,633,633,535,535,0,0
150,98,579,677,403,403,0,0
151,274,690,964,415,415,0,0
152,549,520,1069,387,387,0,0
153,682,312,994,385,385,0,0
154,609,128,737,444,444,0,0
155,293,417,710,481,481,0,0
156,229,231,460,569,460,109,0
157,0,332,332,553,332,221,0
158,0,498,498,380,380,0,0
159,118,543,661,354,354,0,0
160,307,657,964,332,332,0,0
161,632,314,946,337,337,0,0
162,609,66,675,339,339,0,0
163,336,354,690,318,318,0,0
164,372,203,575,318,318,0,0
165,257,334,591,336,336,0,0
166,255,298,553,286,286,0,0
167,267,264,531,265,265,0,0
168,266,303,569,288,288,0,0
169,281,352,633,261,261,0,0
170,372,228,600,237,237,0,0
171,363,188,551,266,266,0,0
172,285,308,593,205,205,0,0
173,388,204,592,170,170,0,0
174,422,179,601,167,167,0,0
175,434,302,736,134,134,0,0
176,602,122,724,128,128,0,0
177,596,57,653,119,119,0,0
178,534,137,671,129,129,0,0
179,542,40,582,85,85,0,0
180,497,99,596,90,90,0,0
181,506,74,580,63,63,0,0
182,517,140,657,59,59,0,0
183,598,9,607,59,59,0,0
184,548,69,617,55,55,0,0
185,562,9,571,65,65,0,0
186,506,26,532,62,62,0,0
187,470,45,515,68,68,0,0
188,447,37,484,78,78,0,0
189,406,75,481,86,86,0,0
190,395,51,446,126,126,0,0
191,320,81,401,164,164,0,0
192,237,100,337,177,177,0,0
193,160,107,267,187,187,0,0
194,80,214,294,284,284,0,0
195,10,253,263,300,263,37,0
196,0,205,205,275,205,70,0
197,0,240,240,246,240,6,0
198,0,474,474,293,293,0,0
199,181,336,517,317,317,0,0
200,200,204,404,271,271,0,0
201,133,196,329,320,320,0,0
202,9,386,395,377,377,0,0
203,18,372,390,423,390,33,0
204,0,219,219,441,219,222,0
205,0,376,376,365,365,0,0
206,11,519,530,387,387,0,0
207,143,515,658,368,368,0,0
208,290,265,555,378,378,0,0
