Date,1,2,3,4,5,6,7,8,9,10,11,12
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,7,15,25,35,35,45,75,75,75,75,75,75
2020-02-08,5,10,15,20,25,30,35,40,45,50,55,60
2020-02-15,8,17,26,35,44,53,62,71,80,89,98,107
2020-02-22,6,12,19,25,32,38,45,51,58,64,70,77
2020-02-29,6,13,20,27,34,41,48,55,61,68,75,82
2020-03-07,35,35,35,35,35,35,35,35,35,35,275,375
2020-03-14,35,41,105,150,173,235,275,275,375,375,375,421
2020-03-21,150,275,421,750,750,805,937,1075,1205,1500,1473,1623
2020-03-28,375,751,1129,1500,1878,2250,2630,2500,3380,3750,4133,5099
2020-04-04,625,1249,1739,2500,2899,4200,4059,4639,5219,5799,6379,6959
2020-04-11,750,750,1825,2350,2750,2350,3738,4272,4200,5340,5874,7500
2020-04-18,375,950,1396,1861,2750,2792,3750,3722,4188,4653,5118,5584
2020-04-25,625,1037,1556,2074,2593,3112,3631,4149,4668,5187,5706,6224
2020-05-02,461,1050,1380,2200,2500,2767,3229,3690,4151,4612,5074,5535
2020-05-09,375,750,1050,1375,1875,2100,2500,2750,2988,3320,3750,3984
2020-05-16,375,625,1050,1096,1370,1644,2350,2192,2466,2750,3014,3288
2020-05-23,275,625,750,857,1200,1285,2500,1714,1928,2145,2357,2575
2020-05-30,235,497,750,1025,1249,1379,1829,2750,2750,2750,2750,2759
2020-06-06,250,375,625,750,1050,950,1200,1248,1425,1583,1741,2500
2020-06-13,275,275,375,750,750,732,854,1025,1098,1225,1345,1464
2020-06-20,75,150,210,375,375,420,750,750,750,750,950,950
2020-06-27,75,120,175,250,375,420,420,750,625,650,625,750
2020-07-04,75,105,235,225,275,375,375,375,625,750,625,625
2020-07-11,63,105,145,235,235,275,375,375,421,375,506,625
2020-07-18,75,105,210,375,235,375,375,375,750,625,625,750
2020-07-25,45,105,150,220,250,275,375,420,420,420,750,650
2020-08-01,64,97,147,235,375,375,342,391,441,421,538,625
2020-08-08,45,75,102,150,210,275,275,375,375,420,375,420
2020-08-15,35,45,75,105,120,150,150,220,220,250,250,275
2020-08-22,42,105,137,210,275,275,375,375,420,421,625,625
2020-08-29,64,105,163,215,275,375,375,421,531,521,625,625
2020-09-05,43,105,145,175,275,275,375,375,375,420,650,650
2020-09-12,55,105,210,220,275,375,375,375,750,625,625,625
2020-09-19,75,235,235,375,375,625,625,567,729,1020,779,950
2020-09-26,137,275,421,625,750,1023,1050,1031,1245,1289,1418,1547
2020-10-03,217,441,625,729,1025,1050,1245,1500,2100,2200,2500,2200
2020-10-10,275,421,625,783,1234,1174,1370,1566,1762,2750,2153,2349
2020-10-17,206,413,620,827,1034,1241,1448,1655,1862,2069,2276,2483
2020-10-24,245,625,753,871,1247,1307,2350,1743,1965,2179,2397,2615
2020-10-31,275,625,758,1247,1475,2143,2145,2025,2750,2528,2781,3750
2020-11-07,375,625,1050,1375,2173,2200,2750,2750,2750,3750,3220,4200
2020-11-14,420,964,1500,2350,2500,2750,2831,4200,4329,4050,4448,5475
2020-11-21,421,1050,2350,2350,2750,2750,2793,3750,3750,3990,7291,6250
2020-11-28,463,1050,2350,1854,2350,2782,3750,3750,4173,4636,7500,5564
2020-12-05,625,1375,2145,2054,2750,3082,4211,4200,4623,5137,5651,7291
2020-12-12,625,1143,2500,2500,2858,3430,5000,4573,5149,5717,6288,6860
2020-12-19,625,1249,1874,2498,3123,3748,4373,4997,5625,6247,6872,7496
2020-12-26,750,1464,2197,3750,3750,4394,5127,6250,6592,7324,8057,8789
2021-01-02,817,2350,2750,3750,4200,6250,5723,6540,7358,8175,10500,10200
2021-01-09,1025,1878,2818,3757,4696,7500,10500,7515,8454,10200,10333,11200
2021-01-16,964,1613,2750,3750,4033,6250,6250,7500,7290,8070,8873,10500
2021-01-23,753,1514,2350,3750,4231,4543,5300,6257,6815,7572,9641,9645
2021-01-30,625,1247,2350,2350,2750,3750,3960,5250,5093,5659,6250,10200
