Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,21,110,5,5,0,0
6,105,1,106,9,9,0,0
7,97,3,100,6,6,0,0
8,94,18,112,7,7,0,0
9,105,0,105,25,25,0,0
10,80,7,87,32,32,0,0
11,55,74,129,134,129,5,0
12,0,25,25,377,25,352,0
13,0,406,406,581,406,175,0
14,0,455,455,534,455,79,0
15,0,580,580,465,465,0,0
16,115,355,470,519,470,49,0
17,0,364,364,461,364,97,0
18,0,446,446,332,332,0,0
19,114,338,452,274,274,0,0
20,178,258,436,214,214,0,0
21,222,160,382,230,230,0,0
22,152,141,293,158,158,0,0
23,135,209,344,122,122,0,0
24,222,133,355,70,70,0,0
25,285,76,361,55,55,0,0
26,306,24,330,47,47,0,0
27,283,14,297,46,46,0,0
28,251,0,251,47,47,0,0
29,204,4,208,40,40,0,0
30,168,19,187,49,49,0,0
31,138,16,154,32,32,0,0
32,122,33,155,20,20,0,0
33,135,12,147,39,39,0,0
34,108,6,114,48,48,0,0
35,66,76,142,41,41,0,0
36,101,39,140,47,47,0,0
37,93,24,117,71,71,0,0
38,46,49,95,129,95,34,0
39,0,119,119,156,119,37,0
40,0,203,203,196,196,0,0
41,7,125,132,207,132,75,0
42,0,233,233,218,218,0,0
43,15,142,157,253,157,96,0
44,0,222,222,293,222,71,0
45,0,190,190,405,190,215,0
46,0,263,263,399,263,136,0
47,0,427,427,464,427,37,0
48,0,171,171,514,171,343,0
49,0,529,529,572,529,43,0
50,0,185,185,625,185,440,0
51,0,577,577,733,577,156,0
52,0,231,231,818,231,587,0
53,0,765,765,940,765,175,0
54,0,274,274,806,274,532,0
55,0,925,925,757,757,0,0
56,168,149,317,565,317,248,0
57,0,733,733,518,518,0,0
58,215,207,422,434,422,12,0
59,0,412,412,383,383,0,0
60,29,385,414,391,391,0,0
61,23,348,371,386,371,15,0
62,0,364,364,459,364,95,0
63,0,336,336,553,336,217,0
64,0,374,374,669,374,295,0
65,0,437,437,899,437,462,0
66,0,503,503,1229,503,726,0
67,0,841,841,1511,841,670,0
68,0,929,929,1380,929,451,0
69,0,1109,1109,1197,1109,88,0
70,0,843,843,998,843,155,0
71,0,896,896,739,739,0,0
72,157,721,878,625,625,0,0
73,253,519,772,408,408,0,0
74,364,425,789,320,320,0,0
75,469,322,791,255,255,0,0
76,536,244,780,190,190,0,0
77,590,187,777,160,160,0,0
78,617,86,703,117,117,0,0
79,586,25,611,103,103,0,0
80,508,0,508,80,80,0,0
81,428,0,428,63,63,0,0
82,365,0,365,55,55,0,0
83,310,0,310,93,93,0,0
84,217,0,217,112,112,0,0
85,105,61,166,179,166,13,0
86,0,102,102,224,102,122,0
87,0,293,293,261,261,0,0
