Start,Memory,Lead,Forecast,Buffer,Capacity,Top,Power,ARIMA,SVR,MODEL,Succeeded,Failed,Lost,Arrived,Remaining,Time
1,10,2,1,100,None,1,5,None,None,True,75554,1062,0,77687,2133,0:10
1,15,2,1,100,None,1,5,None,None,True,75554,1062,0,77687,2133,0:17
1,10,2,1,100,None,3,5,None,None,True,70433,6183,0,71935,1502,0:10
1,15,2,1,100,None,3,5,None,None,True,70433,6183,0,71935,1502,0:18
1,10,2,1,100,None,1,4,None,None,True,67845,8771,0,68471,626,0:09
1,15,2,1,100,None,1,4,None,None,True,67845,8771,0,68471,626,0:14
1,10,2,1,100,None,5,5,None,None,True,67794,8822,0,68756,962,0:10
1,15,2,1,100,None,5,5,None,None,True,67794,8822,0,68756,962,0:18
1,5,2,1,100,None,1,5,None,None,True,67193,9423,0,68179,986,0:03
1,5,2,1,100,None,1,4,None,None,True,67193,9423,0,68179,986,0:04
1,15,2,1,100,None,10,5,None,None,True,64277,12339,0,64323,46,0:18
1,15,2,1,100,None,3,4,None,None,True,63813,12803,0,64053,240,0:14
1,10,2,1,100,None,10,5,None,None,True,63351,13265,0,63405,54,0:10
1,10,2,1,100,None,3,4,None,None,True,62840,13776,0,63080,240,0:09
1,15,2,1,100,None,5,4,None,None,True,61616,15000,0,61616,0,0:14
1,15,2,1,100,None,1,3,None,None,True,60847,15769,0,60847,0,0:12
1,10,2,1,100,None,5,4,None,None,True,60406,16210,0,60406,0,0:09
1,5,2,1,100,None,3,4,None,None,True,59649,16967,0,59756,107,0:03
1,5,2,1,100,None,3,5,None,None,True,59649,16967,0,59756,107,0:03
1,10,2,1,100,None,1,3,None,None,True,59088,17528,0,59088,0,0:07
1,15,2,1,100,None,10,4,None,None,True,58379,18237,0,58379,0,0:14
1,5,2,1,100,None,1,3,None,None,True,58245,18371,0,58245,0,0:03
1,15,2,1,100,None,3,3,None,None,True,58102,18514,0,58102,0,0:11
1,15,2,1,100,None,5,3,None,None,True,56735,19881,0,56735,0,0:12
1,10,2,1,100,None,10,4,None,None,True,56066,20550,0,56066,0,0:09
1,5,2,1,100,None,5,5,None,None,True,55950,20666,0,55950,0,0:03
1,5,2,1,100,None,5,4,None,None,True,55950,20666,0,55950,0,0:04
1,10,2,1,100,None,3,3,None,None,True,55810,20806,0,55810,0,0:08
1,15,2,1,100,None,10,3,None,None,True,54646,21970,0,54646,0,0:11
1,15,2,1,100,None,1,2,None,None,True,54579,22037,0,54579,0,0:10
1,10,2,1,100,None,5,3,None,None,True,54156,22460,0,54156,0,0:08
1,10,2,1,100,None,1,2,None,None,True,53949,22667,0,53949,0,0:06
1,15,2,1,100,None,3,2,None,None,True,53839,22777,0,53839,0,0:09
1,5,2,1,100,None,3,3,None,None,True,53330,23286,0,53330,0,0:03
1,15,2,1,100,None,5,2,None,None,True,53211,23405,0,53211,0,0:10
1,10,2,1,100,None,3,2,None,None,True,52765,23851,0,52765,0,0:06
1,15,2,1,100,None,1,1,None,None,True,52212,24404,0,52212,0,0:06
1,10,2,1,100,None,10,3,None,None,True,52051,24565,0,52051,0,0:08
1,15,2,1,100,None,10,2,None,None,True,51945,24671,0,51945,0,0:10
1,10,2,1,100,None,5,2,None,None,True,51788,24828,0,51788,0,0:06
1,5,2,1,100,None,1,2,None,None,True,51480,25136,0,51480,0,0:03
1,15,2,1,100,None,3,1,None,None,True,51415,25201,0,51415,0,0:06
1,10,2,1,100,None,1,1,None,None,True,51171,25445,0,51171,0,0:04
1,5,2,1,100,None,5,3,None,None,True,50662,25954,0,50662,0,0:03
1,15,2,1,100,None,5,1,None,None,True,50624,25992,0,50624,0,0:07
1,10,2,1,100,None,3,1,None,None,True,50141,26475,0,50141,0,0:04
1,10,2,1,100,None,10,2,None,None,True,49903,26713,0,49903,0,0:06
1,5,2,1,100,None,3,2,None,None,True,49553,27063,0,49553,0,0:03
1,10,2,1,100,None,5,1,None,None,True,49135,27481,0,49135,0,0:04
1,5,2,1,100,None,10,5,None,None,True,49124,27492,0,49124,0,0:03
1,5,2,1,100,None,10,4,None,None,True,49124,27492,0,49124,0,0:04
1,5,2,1,100,None,1,1,None,None,True,48622,27994,0,48622,0,0:02
1,15,2,1,100,None,10,1,None,None,True,48433,28183,0,48433,0,0:06
1,5,2,1,100,None,5,2,None,None,True,47953,28663,0,47953,0,0:03
1,5,2,1,100,None,3,1,None,None,True,47168,29448,0,47168,0,0:02
1,10,2,1,100,None,10,1,None,None,True,46141,30475,0,46141,0,0:04
1,5,2,1,100,None,10,3,None,None,True,45797,30819,0,45797,0,0:03
1,5,2,1,100,None,5,1,None,None,True,45087,31529,0,45087,0,0:02
1,5,2,1,100,None,10,2,None,None,True,43058,33558,0,43058,0,0:03
1,5,2,1,100,None,10,1,None,None,True,39712,36904,0,39712,0,0:02
