Forecast,ARIMA,ARIMA + LLMs,Improvement
1,64.53140096618357,109.58937198067633,-6.07%
2,177.05825242718447,201.39320388349515,-1.20%
3,329.1463414634146,373.41951219512197,-1.16%
4,519.7745098039215,576.8137254901961,-0.98%
5,742.1034482758621,752.3004926108374,-0.13%
6,985.0544554455446,1072.7970297029703,-0.86%
7,1239.81592039801,1307.9751243781095,-0.55%
8,1489.91,1534.88,-0.31%
9,1739.8090452261306,1900.0753768844222,-0.97%
10,1988.540404040404,2040.7171717171718,-0.29%
11,2243.56345177665,2277.720812182741,-0.17%
12,2485.25,2576.1785714285716,-0.42%
13,2721.1641025641024,,
14,2957.8505154639174,,
15,3203.373056994819,,
16,3460.9479166666665,,
17,3738.5392670157066,,
18,4045.978947368421,,
19,4362.518518518518,,
20,4678.590425531915,,
21,5000.727272727273,,
22,5318.580645161291,,
23,5634.616216216216,,
24,5953.565217391304,,
25,6271.049180327869,,
26,6592.686813186813,,
27,6917.03867403315,,
28,7246.111111111111,,
29,7579.212290502794,,
30,7902.196629213483,,
31,8236.864406779661,,
32,8559.039772727272,,
33,8877.617142857143,,
34,9177.87356321839,,
35,9470.208092485549,,
36,9754.60465116279,,
37,10046.66081871345,,
38,10326.005882352942,,
39,10617.337278106508,,
40,10915.922619047618,,
41,11223.239520958085,,
42,11553.867469879518,,
43,11897.612121212122,,
44,12249.414634146342,,
45,12639.625766871166,,
46,13028.697530864198,,
47,13393.52795031056,,
48,13748.08125,,
49,14079.213836477988,,
50,14368.778481012658,,
51,14626.751592356688,,
52,14811.801282051281,,
53,14982.283870967742,,
54,15184.207792207791,,
55,15416.830065359478,,
56,15701.703947368422,,
57,16005.84105960265,,
58,16330.0,,
59,16701.476510067114,,
60,17052.08108108108,,
61,17361.571428571428,,
62,17659.68493150685,,
63,17949.455172413793,,
64,18206.8125,,
65,18522.272727272728,,
66,18847.556338028167,,
67,19187.886524822694,,
68,19568.542857142857,,
69,19933.719424460432,,
70,20292.67391304348,,
71,20661.744525547445,,
72,20994.602941176472,,
73,21379.17037037037,,
74,21718.261194029852,,
75,22058.714285714286,,
76,22358.651515151516,,
77,22645.045801526718,,
78,23038.76923076923,,
79,23486.100775193798,,
80,23922.2109375,,
81,24326.23622047244,,
82,24726.095238095237,,
83,25156.248,,
84,25614.685483870966,,
85,26060.43089430894,,
86,26486.0,,
87,26818.900826446283,,
88,27061.558333333334,,
89,27182.907563025212,,
90,27251.957627118645,,
91,27396.63247863248,,
92,27660.28448275862,,
93,28013.2,,
94,28474.07894736842,,
95,28972.619469026547,,
96,29515.928571428572,,
97,30059.747747747748,,
98,30552.618181818183,,
99,30908.24770642202,,
100,31015.277777777777,,
101,30808.560747663552,,
102,30077.905660377357,,
103,29200.8,,
104,28635.451923076922,,
105,28637.02912621359,,
106,29172.196078431374,,
107,29630.346534653465,,
108,30066.85,,
109,30477.40404040404,,
110,30869.030612244896,,
111,31266.422680412372,,
112,31684.979166666668,,
113,32072.663157894738,,
114,32411.063829787236,,
115,32796.79569892473,,
116,33183.608695652176,,
117,33593.593406593405,,
118,34012.62222222222,,
119,34478.14606741573,,
120,34951.681818181816,,
121,35451.1724137931,,
122,36007.6976744186,,
123,36522.32941176471,,
124,36981.28571428572,,
125,37348.31325301205,,
126,37687.19512195122,,
127,37968.58024691358,,
128,38257.875,,
129,38575.670886075946,,
130,38926.02564102564,,
131,39297.07792207792,,
132,39741.88157894737,,
133,40250.653333333335,,
134,40888.74324324324,,
135,41663.17808219178,,
136,42477.0,,
137,42886.52112676056,,
138,43066.485714285714,,
139,42710.97101449275,,
140,41911.794117647056,,
141,40683.880597014926,,
142,39122.181818181816,,
143,38108.67692307692,,
144,37790.578125,,
145,37975.09523809524,,
146,38420.645161290326,,
147,39095.65573770492,,
148,39844.083333333336,,
149,40627.38983050847,,
150,41416.56896551724,,
151,42233.087719298244,,
152,42849.75,,
153,43354.145454545454,,
154,43323.75925925926,,
155,43138.698113207545,,
156,42540.903846153844,,
157,42285.74509803922,,
158,42287.04,,
159,42636.4081632653,,
160,43176.895833333336,,
161,43936.936170212764,,
162,44907.82608695652,,
163,45955.26666666667,,
164,47075.25,,
165,47823.348837209305,,
166,48452.54761904762,,
167,48971.78048780488,,
168,49470.025,,
169,49944.256410256414,,
170,50263.10526315789,,
171,50471.10810810811,,
172,50409.083333333336,,
173,50218.94285714286,,
174,49977.91176470588,,
175,49749.48484848485,,
176,49447.59375,,
177,49003.354838709674,,
178,48585.6,,
179,48233.68965517241,,
180,47792.96428571428,,
181,47357.48148148148,,
182,46878.57692307692,,
183,46370.76,,
184,45878.125,,
185,45450.95652173913,,
186,45413.0,,
187,45685.95238095238,,
188,46653.65,,
189,47568.31578947369,,
190,49220.61111111111,,
191,51730.82352941176,,
192,54281.3125,,
193,56438.26666666667,,
194,59641.21428571428,,
195,62304.61538461538,,
196,64656.75,,
197,70658.09090909091,,
198,73080.6,,
199,73765.66666666667,,
200,74417.25,,
201,74692.57142857143,,
202,74983.66666666667,,
203,75411.2,,
204,75740.75,,
205,76238.0,,
206,76427.0,,
207,76616.0,,
