Start,Memory,Lead,Forecast,Buffer,Capacity,Top,Power,ARIMA,SVR,MODEL,Succeeded,Failed,Lost,Arrived,Remaining,Time
1,15,1,0,100,None,1,5,None,None,True,67387,9229,0,68200,813,0:14
1,10,1,0,100,None,1,5,None,None,True,66033,10583,0,66851,818,0:09
1,15,1,0,100,None,3,5,None,None,True,64993,11623,0,65591,598,0:15
1,15,1,0,100,None,1,4,None,None,True,64238,12378,0,64734,496,0:12
1,15,1,0,100,None,5,5,None,None,True,63794,12822,0,64264,470,0:14
1,10,1,0,100,None,3,5,None,None,True,63278,13338,0,63879,601,0:09
1,15,1,0,100,None,3,4,None,None,True,62780,13836,0,63015,235,0:12
1,10,1,0,100,None,1,4,None,None,True,62374,14242,0,62869,495,0:08
1,15,1,0,100,None,1,3,None,None,True,62286,14330,0,62436,150,0:10
1,15,1,0,100,None,10,5,None,None,True,62153,14463,0,62386,233,0:14
1,10,1,0,100,None,5,5,None,None,True,61935,14681,0,62426,491,0:09
1,15,1,0,100,None,5,4,None,None,True,61918,14698,0,62047,129,0:13
1,15,1,0,100,None,3,3,None,None,True,61193,15423,0,61205,12,0:10
1,10,1,0,100,None,3,4,None,None,True,60871,15745,0,61093,222,0:08
1,15,1,0,100,None,10,4,None,None,True,60383,16233,0,60398,15,0:12
1,15,1,0,100,None,5,3,None,None,True,60346,16270,0,60346,0,0:10
1,10,1,0,100,None,1,3,None,None,True,60329,16287,0,60454,125,0:07
1,10,1,0,100,None,5,4,None,None,True,59977,16639,0,60092,115,0:08
1,10,1,0,100,None,10,5,None,None,True,59904,16712,0,60130,226,0:09
1,15,1,0,100,None,1,2,None,None,True,59783,16833,0,59783,0,0:08
1,5,1,0,100,None,1,4,None,None,True,59714,16902,0,60210,496,0:03
1,5,1,0,100,None,1,5,None,None,True,59714,16902,0,60210,496,0:03
1,10,1,0,100,None,3,3,None,None,True,59107,17509,0,59107,0,0:07
1,15,1,0,100,None,3,2,None,None,True,59045,17571,0,59045,0,0:08
1,15,1,0,100,None,10,3,None,None,True,59038,17578,0,59038,0,0:10
1,10,1,0,100,None,1,2,None,None,True,58649,17967,0,58649,0,0:05
1,15,1,0,100,None,5,2,None,None,True,58465,18151,0,58465,0,0:08
1,10,1,0,100,None,5,3,None,None,True,58296,18320,0,58296,0,0:07
1,10,1,0,100,None,10,4,None,None,True,58080,18536,0,58085,5,0:08
1,5,1,0,100,None,1,3,None,None,True,57753,18863,0,57878,125,0:03
1,10,1,0,100,None,3,2,None,None,True,57724,18892,0,57724,0,0:05
1,5,1,0,100,None,3,4,None,None,True,57433,19183,0,57588,155,0:03
1,5,1,0,100,None,3,5,None,None,True,57433,19183,0,57588,155,0:03
1,15,1,0,100,None,1,1,None,None,True,57313,19303,0,57313,0,0:06
1,15,1,0,100,None,10,2,None,None,True,57142,19474,0,57142,0,0:08
1,10,1,0,100,None,5,2,None,None,True,56941,19675,0,56941,0,0:06
1,10,1,0,100,None,10,3,None,None,True,56711,19905,0,56711,0,0:07
1,15,1,0,100,None,3,1,None,None,True,56595,20021,0,56595,0,0:06
1,10,1,0,100,None,1,1,None,None,True,56508,20108,0,56508,0,0:04
1,5,1,0,100,None,1,2,None,None,True,56252,20364,0,56252,0,0:02
1,5,1,0,100,None,3,3,None,None,True,55960,20656,0,55960,0,0:03
1,15,1,0,100,None,5,1,None,None,True,55719,20897,0,55719,0,0:06
1,10,1,0,100,None,3,1,None,None,True,55510,21106,0,55510,0,0:04
1,5,1,0,100,None,5,4,None,None,True,55404,21212,0,55445,41,0:03
1,5,1,0,100,None,5,5,None,None,True,55404,21212,0,55445,41,0:03
1,10,1,0,100,None,10,2,None,None,True,55207,21409,0,55207,0,0:06
1,5,1,0,100,None,3,2,None,None,True,54772,21844,0,54772,0,0:03
1,5,1,0,100,None,1,1,None,None,True,54439,22177,0,54439,0,0:02
1,10,1,0,100,None,5,1,None,None,True,54422,22194,0,54422,0,0:04
1,5,1,0,100,None,5,3,None,None,True,54419,22197,0,54419,0,0:03
1,15,1,0,100,None,10,1,None,None,True,53594,23022,0,53594,0,0:06
1,5,1,0,100,None,5,2,None,None,True,53429,23187,0,53429,0,0:02
1,5,1,0,100,None,3,1,None,None,True,52985,23631,0,52985,0,0:02
1,10,1,0,100,None,10,1,None,None,True,51821,24795,0,51821,0,0:04
1,5,1,0,100,None,10,4,None,None,True,51558,25058,0,51558,0,0:03
1,5,1,0,100,None,10,5,None,None,True,51558,25058,0,51558,0,0:03
1,5,1,0,100,None,5,1,None,None,True,51296,25320,0,51296,0,0:02
1,5,1,0,100,None,10,3,None,None,True,50815,25801,0,50815,0,0:03
1,5,1,0,100,None,10,2,None,None,True,49168,27448,0,49168,0,0:03
1,5,1,0,100,None,10,1,None,None,True,47083,29533,0,47083,0,0:02
