Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,11,0,11,0,0,0,0
2,11,0,11,0,0,0,0
3,11,0,11,5,5,0,0
4,6,0,6,6,6,0,0
5,0,89,89,5,5,0,0
6,84,0,84,9,9,0,0
7,75,0,75,6,6,0,0
8,69,0,69,7,7,0,0
9,62,1051,1113,25,25,0,0
10,1088,0,1088,32,32,0,0
11,1056,1722,2778,134,134,0,0
12,2644,0,2644,377,377,0,0
13,2267,0,2267,581,581,0,0
14,1686,2585,4271,534,534,0,0
15,3737,0,3737,465,465,0,0
16,3272,0,3272,519,519,0,0
17,2753,24242,26995,461,461,0,0
18,26534,0,26534,332,332,0,0
19,26202,0,26202,274,274,0,0
20,25928,0,25928,214,214,0,0
21,25714,45760,71474,230,230,0,0
22,71244,0,71244,158,158,0,0
23,71086,0,71086,122,122,0,0
24,70964,0,70964,70,70,0,0
25,70894,0,70894,55,55,0,0
26,70839,0,70839,47,47,0,0
27,70792,0,70792,46,46,0,0
28,70746,0,70746,47,47,0,0
29,70699,0,70699,40,40,0,0
30,70659,0,70659,49,49,0,0
31,70610,0,70610,32,32,0,0
32,70578,0,70578,20,20,0,0
33,70558,0,70558,39,39,0,0
34,70519,0,70519,48,48,0,0
35,70471,0,70471,41,41,0,0
36,70430,0,70430,47,47,0,0
37,70383,0,70383,71,71,0,0
38,70312,0,70312,129,129,0,0
39,70183,0,70183,156,156,0,0
40,70027,0,70027,196,196,0,0
41,69831,0,69831,207,207,0,0
42,69624,0,69624,218,218,0,0
43,69406,0,69406,253,253,0,0
44,69153,0,69153,293,293,0,0
45,68860,0,68860,405,405,0,0
46,68455,0,68455,399,399,0,0
47,68056,0,68056,464,464,0,0
48,67592,0,67592,514,514,0,0
49,67078,0,67078,572,572,0,0
50,66506,0,66506,625,625,0,0
51,65881,0,65881,733,733,0,0
52,65148,0,65148,818,818,0,0
53,64330,17698,82028,940,940,0,0
54,81088,0,81088,806,806,0,0
55,80282,0,80282,757,757,0,0
56,79525,0,79525,565,565,0,0
57,78960,0,78960,518,518,0,0
58,78442,0,78442,434,434,0,0
59,78008,0,78008,383,383,0,0
60,77625,0,77625,391,391,0,0
61,77234,55161,132395,386,386,0,0
62,132009,0,132009,459,459,0,0
63,131550,1116,132666,553,553,0,0
64,132113,0,132113,669,669,0,0
65,131444,0,131444,899,899,0,0
66,130545,0,130545,1229,1229,0,0
67,129316,0,129316,1511,1511,0,0
68,127805,0,127805,1380,1380,0,0
69,126425,0,126425,1197,1197,0,0
70,125228,0,125228,998,998,0,0
71,124230,0,124230,739,739,0,0
72,123491,0,123491,625,625,0,0
73,122866,0,122866,408,408,0,0
74,122458,0,122458,320,320,0,0
75,122138,9294,131432,255,255,0,0
76,131177,0,131177,190,190,0,0
77,130987,0,130987,160,160,0,0
78,130827,0,130827,117,117,0,0
79,130710,0,130710,103,103,0,0
80,130607,0,130607,80,80,0,0
81,130527,0,130527,63,63,0,0
82,130464,0,130464,55,55,0,0
83,130409,0,130409,93,93,0,0
84,130316,0,130316,112,112,0,0
85,130204,0,130204,179,179,0,0
86,130025,0,130025,224,224,0,0
87,129801,0,129801,261,261,0,0
88,129540,0,129540,226,226,0,0
89,129314,0,129314,213,213,0,0
90,129101,0,129101,212,212,0,0
91,128889,0,128889,180,180,0,0
92,128709,0,128709,178,178,0,0
93,128531,0,128531,164,164,0,0
94,128367,0,128367,164,164,0,0
95,128203,0,128203,125,125,0,0
96,128078,0,128078,170,170,0,0
97,127908,0,127908,205,205,0,0
98,127703,0,127703,199,199,0,0
99,127504,0,127504,206,206,0,0
100,127298,0,127298,238,238,0,0
101,127060,0,127060,280,280,0,0
102,126780,0,126780,317,317,0,0
103,126463,0,126463,405,405,0,0
104,126058,0,126058,953,953,0,0
105,125105,0,125105,1542,1542,0,0
106,123563,0,123563,1890,1890,0,0
107,121673,0,121673,1769,1769,0,0
108,119904,0,119904,1240,1240,0,0
109,118664,0,118664,910,910,0,0
110,117754,0,117754,633,633,0,0
111,117121,0,117121,467,467,0,0
112,116654,0,116654,387,387,0,0
113,116267,0,116267,355,355,0,0
114,115912,0,115912,340,340,0,0
115,115572,0,115572,352,352,0,0
116,115220,0,115220,432,432,0,0
117,114788,0,114788,526,526,0,0
118,114262,0,114262,685,685,0,0
119,113577,0,113577,810,810,0,0
120,112767,0,112767,783,783,0,0
121,111984,0,111984,658,658,0,0
122,111326,0,111326,566,566,0,0
123,110760,0,110760,445,445,0,0
124,110315,0,110315,409,409,0,0
125,109906,0,109906,283,283,0,0
126,109623,0,109623,247,247,0,0
127,109376,0,109376,209,209,0,0
128,109167,0,109167,221,221,0,0
129,108946,0,108946,279,279,0,0
130,108667,0,108667,374,374,0,0
131,108293,0,108293,458,458,0,0
132,107835,0,107835,639,639,0,0
133,107196,0,107196,618,618,0,0
134,106578,0,106578,550,550,0,0
135,106028,0,106028,553,553,0,0
136,105475,0,105475,459,459,0,0
137,105016,0,105016,548,548,0,0
138,104468,0,104468,469,469,0,0
139,103999,0,103999,478,478,0,0
140,103521,0,103521,459,459,0,0
141,103062,0,103062,428,428,0,0
142,102634,0,102634,521,521,0,0
143,102113,0,102113,574,574,0,0
144,101539,0,101539,612,612,0,0
145,100927,47286,148213,757,757,0,0
146,147456,0,147456,697,697,0,0
147,146759,0,146759,690,690,0,0
148,146069,0,146069,660,660,0,0
149,145409,0,145409,535,535,0,0
150,144874,0,144874,403,403,0,0
151,144471,0,144471,415,415,0,0
152,144056,0,144056,387,387,0,0
153,143669,0,143669,385,385,0,0
154,143284,0,143284,444,444,0,0
155,142840,0,142840,481,481,0,0
156,142359,0,142359,569,569,0,0
157,141790,0,141790,553,553,0,0
158,141237,0,141237,380,380,0,0
159,140857,0,140857,354,354,0,0
160,140503,0,140503,332,332,0,0
161,140171,0,140171,337,337,0,0
162,139834,0,139834,339,339,0,0
163,139495,0,139495,318,318,0,0
164,139177,0,139177,318,318,0,0
165,138859,0,138859,336,336,0,0
166,138523,0,138523,286,286,0,0
167,138237,0,138237,265,265,0,0
168,137972,0,137972,288,288,0,0
169,137684,0,137684,261,261,0,0
170,137423,0,137423,237,237,0,0
171,137186,0,137186,266,266,0,0
172,136920,0,136920,205,205,0,0
173,136715,0,136715,170,170,0,0
174,136545,0,136545,167,167,0,0
175,136378,0,136378,134,134,0,0
176,136244,0,136244,128,128,0,0
177,136116,0,136116,119,119,0,0
178,135997,0,135997,129,129,0,0
179,135868,0,135868,85,85,0,0
180,135783,0,135783,90,90,0,0
181,135693,0,135693,63,63,0,0
182,135630,0,135630,59,59,0,0
183,135571,0,135571,59,59,0,0
184,135512,0,135512,55,55,0,0
185,135457,0,135457,65,65,0,0
186,135392,0,135392,62,62,0,0
187,135330,0,135330,68,68,0,0
188,135262,0,135262,78,78,0,0
189,135184,0,135184,86,86,0,0
190,135098,0,135098,126,126,0,0
191,134972,0,134972,164,164,0,0
192,134808,0,134808,177,177,0,0
193,134631,0,134631,187,187,0,0
194,134444,0,134444,284,284,0,0
195,134160,0,134160,300,300,0,0
196,133860,0,133860,275,275,0,0
197,133585,0,133585,246,246,0,0
198,133339,0,133339,293,293,0,0
199,133046,0,133046,317,317,0,0
200,132729,0,132729,271,271,0,0
201,132458,0,132458,320,320,0,0
202,132138,0,132138,377,377,0,0
203,131761,0,131761,423,423,0,0
204,131338,0,131338,441,441,0,0
205,130897,0,130897,365,365,0,0
206,130532,0,130532,387,387,0,0
207,130145,0,130145,368,368,0,0
208,129777,0,129777,378,378,0,0
