Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,100,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,0,89,5,5,0,0
6,84,0,84,9,9,0,0
7,75,191,266,6,6,0,0
8,260,0,260,7,7,0,0
9,253,0,253,25,25,0,0
10,228,85,313,32,32,0,0
11,281,0,281,134,134,0,0
12,147,0,147,377,147,230,0
13,0,427,427,581,427,154,0
14,0,0,0,534,0,534,0
15,0,1000,1000,465,465,0,0
16,535,1000,1535,519,519,0,0
17,1016,1000,2016,461,461,0,0
18,1555,0,1555,332,332,0,0
19,1223,1000,2223,274,274,0,0
20,1949,1000,2949,214,214,0,0
21,2735,0,2735,230,230,0,0
22,2505,0,2505,158,158,0,0
23,2347,1000,3347,122,122,0,0
24,3225,0,3225,70,70,0,0
25,3155,0,3155,55,55,0,0
26,3100,0,3100,47,47,0,0
27,3053,0,3053,46,46,0,0
28,3007,0,3007,47,47,0,0
29,2960,0,2960,40,40,0,0
30,2920,0,2920,49,49,0,0
31,2871,0,2871,32,32,0,0
32,2839,0,2839,20,20,0,0
33,2819,0,2819,39,39,0,0
34,2780,0,2780,48,48,0,0
35,2732,0,2732,41,41,0,0
36,2691,0,2691,47,47,0,0
37,2644,0,2644,71,71,0,0
38,2573,0,2573,129,129,0,0
39,2444,0,2444,156,156,0,0
40,2288,0,2288,196,196,0,0
41,2092,0,2092,207,207,0,0
42,1885,0,1885,218,218,0,0
43,1667,0,1667,253,253,0,0
44,1414,0,1414,293,293,0,0
45,1121,0,1121,405,405,0,0
46,716,0,716,399,399,0,0
47,317,507,824,464,464,0,0
48,360,12,372,514,372,142,0
49,0,1000,1000,572,572,0,0
50,428,0,428,625,428,197,0
51,0,1000,1000,733,733,0,0
52,267,1000,1267,818,818,0,0
53,449,835,1284,940,940,0,0
54,344,0,344,806,344,462,0
55,0,1000,1000,757,757,0,0
56,243,1000,1243,565,565,0,0
57,678,1000,1678,518,518,0,0
58,1160,137,1297,434,434,0,0
59,863,1000,1863,383,383,0,0
60,1480,0,1480,391,391,0,0
61,1089,1000,2089,386,386,0,0
62,1703,0,1703,459,459,0,0
63,1244,793,2037,553,553,0,0
64,1484,83,1567,669,669,0,0
65,898,0,898,899,898,1,0
66,0,1000,1000,1229,1000,229,0
67,0,519,519,1511,519,992,0
68,0,1000,1000,1380,1000,380,0
69,0,1000,1000,1197,1000,197,0
70,0,1000,1000,998,998,0,0
71,2,1000,1002,739,739,0,0
72,263,1000,1263,625,625,0,0
73,638,1000,1638,408,408,0,0
74,1230,1000,2230,320,320,0,0
75,1910,972,2882,255,255,0,0
76,2627,1000,3627,190,190,0,0
77,3437,0,3437,160,160,0,0
78,3277,1000,4277,117,117,0,0
79,4160,0,4160,103,103,0,0
80,4057,0,4057,80,80,0,0
81,3977,0,3977,63,63,0,0
82,3914,0,3914,55,55,0,0
83,3859,0,3859,93,93,0,0
84,3766,0,3766,112,112,0,0
85,3654,0,3654,179,179,0,0
86,3475,0,3475,224,224,0,0
87,3251,0,3251,261,261,0,0
88,2990,0,2990,226,226,0,0
89,2764,0,2764,213,213,0,0
90,2551,0,2551,212,212,0,0
91,2339,0,2339,180,180,0,0
92,2159,0,2159,178,178,0,0
93,1981,9,1990,164,164,0,0
94,1826,0,1826,164,164,0,0
95,1662,0,1662,125,125,0,0
96,1537,0,1537,170,170,0,0
97,1367,0,1367,205,205,0,0
98,1162,0,1162,199,199,0,0
99,963,0,963,206,206,0,0
100,757,1000,1757,238,238,0,0
101,1519,0,1519,280,280,0,0
102,1239,0,1239,317,317,0,0
103,922,285,1207,405,405,0,0
104,802,318,1120,953,953,0,0
105,167,22,189,1542,189,1353,0
106,0,0,0,1890,0,1890,0
107,0,1000,1000,1769,1000,769,0
108,0,1000,1000,1240,1000,240,0
109,0,1000,1000,910,910,0,0
110,90,1000,1090,633,633,0,0
111,457,1000,1457,467,467,0,0
112,990,1000,1990,387,387,0,0
113,1603,1000,2603,355,355,0,0
114,2248,1000,3248,340,340,0,0
115,2908,1000,3908,352,352,0,0
116,3556,0,3556,432,432,0,0
117,3124,0,3124,526,526,0,0
118,2598,0,2598,685,685,0,0
119,1913,0,1913,810,810,0,0
120,1103,438,1541,783,783,0,0
121,758,0,758,658,658,0,0
122,100,1000,1100,566,566,0,0
123,534,1000,1534,445,445,0,0
124,1089,516,1605,409,409,0,0
125,1196,601,1797,283,283,0,0
126,1514,1000,2514,247,247,0,0
127,2267,0,2267,209,209,0,0
128,2058,1000,3058,221,221,0,0
129,2837,0,2837,279,279,0,0
130,2558,988,3546,374,374,0,0
131,3172,0,3172,458,458,0,0
132,2714,0,2714,639,639,0,0
133,2075,0,2075,618,618,0,0
134,1457,0,1457,550,550,0,0
135,907,0,907,553,553,0,0
136,354,1000,1354,459,459,0,0
137,895,301,1196,548,548,0,0
138,648,1000,1648,469,469,0,0
139,1179,1000,2179,478,478,0,0
140,1701,0,1701,459,459,0,0
141,1242,1000,2242,428,428,0,0
142,1814,0,1814,521,521,0,0
143,1293,1000,2293,574,574,0,0
144,1719,0,1719,612,612,0,0
145,1107,0,1107,757,757,0,0
146,350,1000,1350,697,697,0,0
147,653,332,985,690,690,0,0
148,295,908,1203,660,660,0,0
149,543,1000,1543,535,535,0,0
150,1008,0,1008,403,403,0,0
151,605,1000,1605,415,415,0,0
152,1190,1000,2190,387,387,0,0
153,1803,0,1803,385,385,0,0
154,1418,161,1579,444,444,0,0
155,1135,1000,2135,481,481,0,0
156,1654,0,1654,569,569,0,0
157,1085,761,1846,553,553,0,0
158,1293,629,1922,380,380,0,0
159,1542,0,1542,354,354,0,0
160,1188,1000,2188,332,332,0,0
161,1856,0,1856,337,337,0,0
162,1519,0,1519,339,339,0,0
163,1180,1000,2180,318,318,0,0
164,1862,1000,2862,318,318,0,0
165,2544,0,2544,336,336,0,0
166,2208,0,2208,286,286,0,0
167,1922,0,1922,265,265,0,0
168,1657,0,1657,288,288,0,0
169,1369,0,1369,261,261,0,0
170,1108,0,1108,237,237,0,0
171,871,1000,1871,266,266,0,0
172,1605,421,2026,205,205,0,0
173,1821,0,1821,170,170,0,0
174,1651,0,1651,167,167,0,0
175,1484,894,2378,134,134,0,0
176,2244,0,2244,128,128,0,0
177,2116,65,2181,119,119,0,0
178,2062,0,2062,129,129,0,0
179,1933,0,1933,85,85,0,0
180,1848,0,1848,90,90,0,0
181,1758,0,1758,63,63,0,0
182,1695,0,1695,59,59,0,0
183,1636,0,1636,59,59,0,0
184,1577,805,2382,55,55,0,0
185,2327,0,2327,65,65,0,0
186,2262,0,2262,62,62,0,0
187,2200,0,2200,68,68,0,0
188,2132,0,2132,78,78,0,0
189,2054,0,2054,86,86,0,0
190,1968,0,1968,126,126,0,0
191,1842,0,1842,164,164,0,0
192,1678,0,1678,177,177,0,0
193,1501,0,1501,187,187,0,0
194,1314,0,1314,284,284,0,0
195,1030,0,1030,300,300,0,0
196,730,0,730,275,275,0,0
197,455,0,455,246,246,0,0
198,209,1000,1209,293,293,0,0
199,916,0,916,317,317,0,0
200,599,570,1169,271,271,0,0
201,898,0,898,320,320,0,0
202,578,1000,1578,377,377,0,0
203,1201,2,1203,423,423,0,0
204,780,0,780,441,441,0,0
205,339,1000,1339,365,365,0,0
206,974,938,1912,387,387,0,0
207,1525,0,1525,368,368,0,0
208,1157,0,1157,378,378,0,0
