Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,281,756,6,6,0,0
8,750,0,750,7,7,0,0
9,743,0,743,25,25,0,0
10,718,25,743,32,32,0,0
11,711,0,711,134,134,0,0
12,577,0,577,377,377,0,0
13,200,748,948,581,581,0,0
14,367,0,367,534,367,167,0
15,0,4700,4700,465,465,0,0
16,4235,5317,9552,519,519,0,0
17,9033,0,9033,461,461,0,0
18,8572,0,8572,332,332,0,0
19,8240,0,8240,274,274,0,0
20,7966,0,7966,214,214,0,0
21,7752,0,7752,230,230,0,0
22,7522,0,7522,158,158,0,0
23,7364,0,7364,122,122,0,0
24,7242,0,7242,70,70,0,0
25,7172,0,7172,55,55,0,0
26,7117,0,7117,47,47,0,0
27,7070,0,7070,46,46,0,0
28,7024,0,7024,47,47,0,0
29,6977,0,6977,40,40,0,0
30,6937,0,6937,49,49,0,0
31,6888,0,6888,32,32,0,0
32,6856,0,6856,20,20,0,0
33,6836,0,6836,39,39,0,0
34,6797,0,6797,48,48,0,0
35,6749,0,6749,41,41,0,0
36,6708,0,6708,47,47,0,0
37,6661,0,6661,71,71,0,0
38,6590,0,6590,129,129,0,0
39,6461,0,6461,156,156,0,0
40,6305,0,6305,196,196,0,0
41,6109,0,6109,207,207,0,0
42,5902,0,5902,218,218,0,0
43,5684,0,5684,253,253,0,0
44,5431,0,5431,293,293,0,0
45,5138,0,5138,405,405,0,0
46,4733,0,4733,399,399,0,0
47,4334,0,4334,464,464,0,0
48,3870,0,3870,514,514,0,0
49,3356,1993,5349,572,572,0,0
50,4777,0,4777,625,625,0,0
51,4152,417,4569,733,733,0,0
52,3836,0,3836,818,818,0,0
53,3018,0,3018,940,940,0,0
54,2078,425,2503,806,806,0,0
55,1697,3449,5146,757,757,0,0
56,4389,0,4389,565,565,0,0
57,3824,2373,6197,518,518,0,0
58,5679,0,5679,434,434,0,0
59,5245,0,5245,383,383,0,0
60,4862,0,4862,391,391,0,0
61,4471,1782,6253,386,386,0,0
62,5867,0,5867,459,459,0,0
63,5408,0,5408,553,553,0,0
64,4855,0,4855,669,669,0,0
65,4186,0,4186,899,899,0,0
66,3287,1213,4500,1229,1229,0,0
67,3271,525,3796,1511,1511,0,0
68,2285,1190,3475,1380,1380,0,0
69,2095,6221,8316,1197,1197,0,0
70,7119,4179,11298,998,998,0,0
71,10300,1670,11970,739,739,0,0
72,11231,0,11231,625,625,0,0
73,10606,0,10606,408,408,0,0
74,10198,0,10198,320,320,0,0
75,9878,0,9878,255,255,0,0
76,9623,0,9623,190,190,0,0
77,9433,0,9433,160,160,0,0
78,9273,0,9273,117,117,0,0
79,9156,0,9156,103,103,0,0
80,9053,0,9053,80,80,0,0
81,8973,0,8973,63,63,0,0
82,8910,0,8910,55,55,0,0
83,8855,0,8855,93,93,0,0
84,8762,0,8762,112,112,0,0
85,8650,0,8650,179,179,0,0
86,8471,0,8471,224,224,0,0
87,8247,0,8247,261,261,0,0
88,7986,0,7986,226,226,0,0
89,7760,0,7760,213,213,0,0
90,7547,0,7547,212,212,0,0
91,7335,0,7335,180,180,0,0
92,7155,0,7155,178,178,0,0
93,6977,0,6977,164,164,0,0
94,6813,0,6813,164,164,0,0
95,6649,0,6649,125,125,0,0
96,6524,0,6524,170,170,0,0
97,6354,0,6354,205,205,0,0
98,6149,0,6149,199,199,0,0
99,5950,0,5950,206,206,0,0
100,5744,0,5744,238,238,0,0
101,5506,0,5506,280,280,0,0
102,5226,0,5226,317,317,0,0
103,4909,0,4909,405,405,0,0
104,4504,0,4504,953,953,0,0
105,3551,0,3551,1542,1542,0,0
106,2009,0,2009,1890,1890,0,0
107,119,1126,1245,1769,1245,524,0
108,0,24909,24909,1240,1240,0,0
109,23669,0,23669,910,910,0,0
110,22759,0,22759,633,633,0,0
111,22126,0,22126,467,467,0,0
112,21659,0,21659,387,387,0,0
113,21272,0,21272,355,355,0,0
114,20917,0,20917,340,340,0,0
115,20577,0,20577,352,352,0,0
116,20225,0,20225,432,432,0,0
117,19793,0,19793,526,526,0,0
118,19267,0,19267,685,685,0,0
119,18582,0,18582,810,810,0,0
120,17772,0,17772,783,783,0,0
121,16989,0,16989,658,658,0,0
122,16331,0,16331,566,566,0,0
123,15765,0,15765,445,445,0,0
124,15320,0,15320,409,409,0,0
125,14911,0,14911,283,283,0,0
126,14628,0,14628,247,247,0,0
127,14381,0,14381,209,209,0,0
128,14172,0,14172,221,221,0,0
129,13951,0,13951,279,279,0,0
130,13672,0,13672,374,374,0,0
131,13298,0,13298,458,458,0,0
132,12840,0,12840,639,639,0,0
133,12201,0,12201,618,618,0,0
134,11583,0,11583,550,550,0,0
135,11033,0,11033,553,553,0,0
136,10480,0,10480,459,459,0,0
137,10021,0,10021,548,548,0,0
138,9473,0,9473,469,469,0,0
139,9004,0,9004,478,478,0,0
140,8526,0,8526,459,459,0,0
141,8067,1508,9575,428,428,0,0
142,9147,0,9147,521,521,0,0
143,8626,0,8626,574,574,0,0
144,8052,0,8052,612,612,0,0
145,7440,0,7440,757,757,0,0
146,6683,214,6897,697,697,0,0
147,6200,0,6200,690,690,0,0
148,5510,0,5510,660,660,0,0
149,4850,3309,8159,535,535,0,0
150,7624,0,7624,403,403,0,0
151,7221,0,7221,415,415,0,0
152,6806,0,6806,387,387,0,0
153,6419,0,6419,385,385,0,0
154,6034,0,6034,444,444,0,0
155,5590,989,6579,481,481,0,0
156,6098,0,6098,569,569,0,0
157,5529,0,5529,553,553,0,0
158,4976,0,4976,380,380,0,0
159,4596,0,4596,354,354,0,0
160,4242,921,5163,332,332,0,0
161,4831,0,4831,337,337,0,0
162,4494,0,4494,339,339,0,0
163,4155,1863,6018,318,318,0,0
164,5700,0,5700,318,318,0,0
165,5382,0,5382,336,336,0,0
166,5046,0,5046,286,286,0,0
167,4760,0,4760,265,265,0,0
168,4495,0,4495,288,288,0,0
169,4207,0,4207,261,261,0,0
170,3946,0,3946,237,237,0,0
171,3709,0,3709,266,266,0,0
172,3443,0,3443,205,205,0,0
173,3238,0,3238,170,170,0,0
174,3068,0,3068,167,167,0,0
175,2901,678,3579,134,134,0,0
176,3445,0,3445,128,128,0,0
177,3317,0,3317,119,119,0,0
178,3198,0,3198,129,129,0,0
179,3069,0,3069,85,85,0,0
180,2984,0,2984,90,90,0,0
181,2894,0,2894,63,63,0,0
182,2831,0,2831,59,59,0,0
183,2772,0,2772,59,59,0,0
184,2713,0,2713,55,55,0,0
185,2658,0,2658,65,65,0,0
186,2593,0,2593,62,62,0,0
187,2531,0,2531,68,68,0,0
188,2463,0,2463,78,78,0,0
189,2385,0,2385,86,86,0,0
190,2299,0,2299,126,126,0,0
191,2173,0,2173,164,164,0,0
192,2009,0,2009,177,177,0,0
193,1832,0,1832,187,187,0,0
194,1645,678,2323,284,284,0,0
195,2039,0,2039,300,300,0,0
196,1739,0,1739,275,275,0,0
197,1464,0,1464,246,246,0,0
198,1218,4381,5599,293,293,0,0
199,5306,0,5306,317,317,0,0
200,4989,0,4989,271,271,0,0
201,4718,0,4718,320,320,0,0
202,4398,24,4422,377,377,0,0
203,4045,0,4045,423,423,0,0
204,3622,0,3622,441,441,0,0
205,3181,1739,4920,365,365,0,0
206,4555,0,4555,387,387,0,0
207,4168,0,4168,368,368,0,0
208,3800,0,3800,378,378,0,0
