Start,Memory,Lead,Forecast,Buffer,Capacity,Top,Power,ARIMA,SVR,MODEL,Succeeded,Failed,Lost,Arrived,Remaining,Time
1,8,2,2,500,None,5,None,None,[C-[10]_Gamma-['auto']_Epsilon-[0.01]],False,62024,14592,0,62290,266,0:03
1,8,2,2,500,None,5,None,None,[C-[10]_Gamma-['auto']_Epsilon-[0.1]],False,62024,14592,0,62290,266,0:03
1,8,2,2,500,None,5,None,None,[C-[10]_Gamma-['auto']_Epsilon-[0.5]],False,62024,14592,0,62290,266,0:03
1,8,2,2,500,None,5,None,None,[C-[10]_Gamma-['scale']_Epsilon-[0.01]],False,62017,14599,0,62283,266,0:03
1,8,2,2,500,None,5,None,None,[C-[10]_Gamma-['scale']_Epsilon-[0.1]],False,62017,14599,0,62283,266,0:03
1,8,2,2,500,None,5,None,None,[C-[10]_Gamma-['scale']_Epsilon-[0.5]],False,62016,14600,0,62282,266,0:03
1,8,2,2,500,None,5,None,None,[C-[1]_Gamma-['scale']_Epsilon-[0.01]],False,61998,14618,0,62269,271,0:03
1,8,2,2,500,None,5,None,None,[C-[1]_Gamma-['scale']_Epsilon-[0.1]],False,61998,14618,0,62269,271,0:03
1,8,2,2,500,None,5,None,None,[C-[1]_Gamma-['scale']_Epsilon-[0.5]],False,61998,14618,0,62269,271,0:03
1,8,2,2,500,None,5,None,None,[C-[1]_Gamma-['auto']_Epsilon-[0.01]],False,61997,14619,0,62267,270,0:03
1,8,2,2,500,None,5,None,None,[C-[1]_Gamma-['auto']_Epsilon-[0.1]],False,61997,14619,0,62267,270,0:03
1,8,2,2,500,None,5,None,None,[C-[1]_Gamma-['auto']_Epsilon-[0.5]],False,61997,14619,0,62267,270,0:03
1,8,2,2,500,None,5,None,None,[C-[0.1]_Gamma-['auto']_Epsilon-[0.01]],False,61996,14620,0,62267,271,0:03
1,8,2,2,500,None,5,None,None,[C-[0.1]_Gamma-['auto']_Epsilon-[0.1]],False,61996,14620,0,62267,271,0:03
1,8,2,2,500,None,5,None,None,[C-[0.1]_Gamma-['auto']_Epsilon-[0.5]],False,61996,14620,0,62267,271,0:03
1,8,2,2,500,None,5,None,None,[C-[0.1]_Gamma-['scale']_Epsilon-[0.01]],False,61996,14620,0,62267,271,0:03
1,8,2,2,500,None,5,None,None,[C-[0.1]_Gamma-['scale']_Epsilon-[0.1]],False,61996,14620,0,62267,271,0:03
1,8,2,2,500,None,5,None,None,[C-[0.1]_Gamma-['scale']_Epsilon-[0.5]],False,61996,14620,0,62267,271,0:03
