Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,8,97,5,5,0,0
6,92,9,101,9,9,0,0
7,92,5,97,6,6,0,0
8,91,11,102,7,7,0,0
9,95,6,101,25,25,0,0
10,76,7,83,32,32,0,0
11,51,34,85,134,85,49,0
12,0,43,43,377,43,334,0
13,0,140,140,581,140,441,0
14,0,203,203,534,203,331,0
15,0,354,354,465,354,111,0
16,0,283,283,519,283,236,0
17,0,330,330,461,330,131,0
18,0,293,293,332,293,39,0
19,0,310,310,274,274,0,0
20,36,265,301,214,214,0,0
21,87,260,347,230,230,0,0
22,117,182,299,158,158,0,0
23,141,162,303,122,122,0,0
24,181,98,279,70,70,0,0
25,209,71,280,55,55,0,0
26,225,31,256,47,47,0,0
27,209,10,219,46,46,0,0
28,173,12,185,47,47,0,0
29,138,10,148,40,40,0,0
30,108,24,132,49,49,0,0
31,83,25,108,32,32,0,0
32,76,44,120,20,20,0,0
33,100,28,128,39,39,0,0
34,89,16,105,48,48,0,0
35,57,36,93,41,41,0,0
36,52,51,103,47,47,0,0
37,56,40,96,71,71,0,0
38,25,50,75,129,75,54,0
39,0,84,84,156,84,72,0
40,0,113,113,196,113,83,0
41,0,126,126,207,126,81,0
42,0,148,148,218,148,70,0
43,0,151,151,253,151,102,0
44,0,161,161,293,161,132,0
45,0,173,173,405,173,232,0
46,0,197,197,399,197,202,0
47,0,246,246,464,246,218,0
48,0,248,248,514,248,266,0
49,0,284,284,572,284,288,0
50,0,300,300,625,300,325,0
51,0,339,339,733,339,394,0
52,0,355,355,818,355,463,0
53,0,418,418,940,418,522,0
54,0,448,448,806,448,358,0
55,0,522,522,757,522,235,0
56,0,427,427,565,427,138,0
57,0,492,492,518,492,26,0
58,0,392,392,434,392,42,0
59,0,463,463,383,383,0,0
60,80,350,430,391,391,0,0
61,39,288,327,386,327,59,0
62,0,317,317,459,317,142,0
63,0,259,259,553,259,294,0
64,0,297,297,669,297,372,0
65,0,302,302,899,302,597,0
66,0,400,400,1229,400,829,0
67,0,469,469,1511,469,1042,0
68,0,670,670,1380,670,710,0
69,0,769,769,1197,769,428,0
70,0,737,737,998,737,261,0
71,0,697,697,739,697,42,0
72,0,657,657,625,625,0,0
73,32,633,665,408,408,0,0
74,257,548,805,320,320,0,0
75,485,291,776,255,255,0,0
76,521,131,652,190,190,0,0
77,462,99,561,160,160,0,0
78,401,28,429,117,117,0,0
79,312,43,355,103,103,0,0
80,252,32,284,80,80,0,0
81,204,36,240,63,63,0,0
82,177,34,211,55,55,0,0
83,156,24,180,93,93,0,0
84,87,30,117,112,112,0,0
85,5,81,86,179,86,93,0
86,0,117,117,224,117,107,0
87,0,126,126,261,126,135,0
