Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,9,98,5,5,0,0
6,93,8,101,9,9,0,0
7,92,5,97,6,6,0,0
8,91,11,102,7,7,0,0
9,95,6,101,25,25,0,0
10,76,7,83,32,32,0,0
11,51,36,87,134,87,47,0
12,0,41,41,377,41,336,0
13,0,143,143,581,143,438,0
14,0,200,200,534,200,334,0
15,0,358,358,465,358,107,0
16,0,278,278,519,278,241,0
17,0,332,332,461,332,129,0
18,0,292,292,332,292,40,0
19,0,310,310,274,274,0,0
20,36,263,299,214,214,0,0
21,85,257,342,230,230,0,0
22,112,183,295,158,158,0,0
23,137,164,301,122,122,0,0
24,179,98,277,70,70,0,0
25,207,74,281,55,55,0,0
26,226,26,252,47,47,0,0
27,205,12,217,46,46,0,0
28,171,12,183,47,47,0,0
29,136,11,147,40,40,0,0
30,107,25,132,49,49,0,0
31,83,26,109,32,32,0,0
32,77,45,122,20,20,0,0
33,102,24,126,39,39,0,0
34,87,14,101,48,48,0,0
35,53,40,93,41,41,0,0
36,52,53,105,47,47,0,0
37,58,38,96,71,71,0,0
38,25,51,76,129,76,53,0
39,0,85,85,156,85,71,0
40,0,114,114,196,114,82,0
41,0,126,126,207,126,81,0
42,0,149,149,218,149,69,0
43,0,152,152,253,152,101,0
44,0,161,161,293,161,132,0
45,0,175,175,405,175,230,0
46,0,196,196,399,196,203,0
47,0,249,249,464,249,215,0
48,0,244,244,514,244,270,0
49,0,290,290,572,290,282,0
50,0,295,295,625,295,330,0
51,0,345,345,733,345,388,0
52,0,350,350,818,350,468,0
53,0,424,424,940,424,516,0
54,0,444,444,806,444,362,0
55,0,527,527,757,527,230,0
56,0,420,420,565,420,145,0
57,0,498,498,518,498,20,0
58,0,383,383,434,383,51,0
59,0,470,470,383,383,0,0
60,87,341,428,391,391,0,0
61,37,288,325,386,325,61,0
62,0,318,318,459,318,141,0
63,0,257,257,553,257,296,0
64,0,300,300,669,300,369,0
65,0,300,300,899,300,599,0
66,0,403,403,1229,403,826,0
67,0,468,468,1511,468,1043,0
68,0,672,672,1380,672,708,0
69,0,769,769,1197,769,428,0
70,0,735,735,998,735,263,0
71,0,697,697,739,697,42,0
72,0,654,654,625,625,0,0
73,29,634,663,408,408,0,0
74,255,548,803,320,320,0,0
75,483,292,775,255,255,0,0
76,520,130,650,190,190,0,0
77,460,100,560,160,160,0,0
78,400,28,428,117,117,0,0
79,311,43,354,103,103,0,0
80,251,32,283,80,80,0,0
81,203,36,239,63,63,0,0
82,176,33,209,55,55,0,0
83,154,25,179,93,93,0,0
84,86,30,116,112,112,0,0
85,4,83,87,179,87,92,0
86,0,118,118,224,118,106,0
87,0,126,126,261,126,135,0
