Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,100,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,0,89,5,5,0,0
6,84,0,84,9,9,0,0
7,75,11,86,6,6,0,0
8,80,14,94,7,7,0,0
9,87,8,95,25,25,0,0
10,70,13,83,32,32,0,0
11,51,6,57,134,57,77,0
12,0,7,7,377,7,370,0
13,0,45,45,581,45,536,0
14,0,64,64,534,64,470,0
15,0,179,179,465,179,286,0
16,0,394,394,519,394,125,0
17,0,652,652,461,461,0,0
18,191,437,628,332,332,0,0
19,296,153,449,274,274,0,0
20,175,416,591,214,214,0,0
21,377,410,787,230,230,0,0
22,557,248,805,158,158,0,0
23,647,234,881,122,122,0,0
24,759,117,876,70,70,0,0
25,806,26,832,55,55,0,0
26,777,0,777,47,47,0,0
27,730,0,730,46,46,0,0
28,684,0,684,47,47,0,0
29,637,0,637,40,40,0,0
30,597,0,597,49,49,0,0
31,548,0,548,32,32,0,0
32,516,0,516,20,20,0,0
33,496,0,496,39,39,0,0
34,457,0,457,48,48,0,0
35,409,0,409,41,41,0,0
36,368,0,368,47,47,0,0
37,321,0,321,71,71,0,0
38,250,0,250,129,129,0,0
39,121,0,121,156,121,35,0
40,0,0,0,196,0,196,0
41,0,14,14,207,14,193,0
42,0,221,221,218,218,0,0
43,3,246,249,253,249,4,0
44,0,106,106,293,106,187,0
45,0,105,105,405,105,300,0
46,0,265,265,399,265,134,0
47,0,305,305,464,305,159,0
48,0,204,204,514,204,310,0
49,0,287,287,572,287,285,0
50,0,453,453,625,453,172,0
51,0,413,413,733,413,320,0
52,0,356,356,818,356,462,0
53,0,442,442,940,442,498,0
54,0,620,620,806,620,186,0
55,0,625,625,757,625,132,0
56,0,632,632,565,565,0,0
57,67,735,802,518,518,0,0
58,284,654,938,434,434,0,0
59,504,536,1040,383,383,0,0
60,657,458,1115,391,391,0,0
61,724,433,1157,386,386,0,0
62,771,305,1076,459,459,0,0
63,617,98,715,553,553,0,0
64,162,171,333,669,333,336,0
65,0,182,182,899,182,717,0
66,0,379,379,1229,379,850,0
67,0,646,646,1511,646,865,0
68,0,605,605,1380,605,775,0
69,0,624,624,1197,624,573,0
70,0,1000,1000,998,998,0,0
71,2,1000,1002,739,739,0,0
72,263,1000,1263,625,625,0,0
73,638,1000,1638,408,408,0,0
74,1230,858,2088,320,320,0,0
75,1768,548,2316,255,255,0,0
76,2061,395,2456,190,190,0,0
77,2266,56,2322,160,160,0,0
78,2162,0,2162,117,117,0,0
79,2045,0,2045,103,103,0,0
80,1942,0,1942,80,80,0,0
81,1862,0,1862,63,63,0,0
82,1799,0,1799,55,55,0,0
83,1744,0,1744,93,93,0,0
84,1651,0,1651,112,112,0,0
85,1539,0,1539,179,179,0,0
86,1360,0,1360,224,224,0,0
87,1136,0,1136,261,261,0,0
88,875,0,875,226,226,0,0
89,649,0,649,213,213,0,0
90,436,0,436,212,212,0,0
91,224,0,224,180,180,0,0
92,44,157,201,178,178,0,0
93,23,191,214,164,164,0,0
94,50,199,249,164,164,0,0
95,85,160,245,125,125,0,0
96,120,166,286,170,170,0,0
97,116,145,261,205,205,0,0
98,56,116,172,199,172,27,0
99,0,86,86,206,86,120,0
100,0,153,153,238,153,85,0
101,0,226,226,280,226,54,0
102,0,223,223,317,223,94,0
103,0,108,108,405,108,297,0
104,0,190,190,953,190,763,0
105,0,317,317,1542,317,1225,0
106,0,335,335,1890,335,1555,0
107,0,269,269,1769,269,1500,0
108,0,886,886,1240,886,354,0
109,0,1000,1000,910,910,0,0
110,90,1000,1090,633,633,0,0
111,457,1000,1457,467,467,0,0
112,990,1000,1990,387,387,0,0
113,1603,1000,2603,355,355,0,0
114,2248,560,2808,340,340,0,0
115,2468,73,2541,352,352,0,0
116,2189,0,2189,432,432,0,0
117,1757,0,1757,526,526,0,0
118,1231,0,1231,685,685,0,0
119,546,0,546,810,546,264,0
120,0,0,0,783,0,783,0
121,0,228,228,658,228,430,0
122,0,997,997,566,566,0,0
123,431,956,1387,445,445,0,0
124,942,241,1183,409,409,0,0
125,774,140,914,283,283,0,0
126,631,422,1053,247,247,0,0
127,806,334,1140,209,209,0,0
128,931,300,1231,221,221,0,0
129,1010,122,1132,279,279,0,0
130,853,0,853,374,374,0,0
131,479,0,479,458,458,0,0
132,21,0,21,639,21,618,0
133,0,128,128,618,128,490,0
134,0,419,419,550,419,131,0
135,0,678,678,553,553,0,0
136,125,366,491,459,459,0,0
137,32,428,460,548,460,88,0
138,0,412,412,469,412,57,0
139,0,489,489,478,478,0,0
140,11,402,413,459,413,46,0
141,0,455,455,428,428,0,0
142,27,401,428,521,428,93,0
143,0,436,436,574,436,138,0
144,0,318,318,612,318,294,0
145,0,360,360,757,360,397,0
146,0,428,428,697,428,269,0
147,0,567,567,690,567,123,0
148,0,472,472,660,472,188,0
149,0,581,581,535,535,0,0
150,46,580,626,403,403,0,0
151,223,563,786,415,415,0,0
152,371,451,822,387,387,0,0
153,435,481,916,385,385,0,0
154,531,335,866,444,444,0,0
155,422,313,735,481,481,0,0
156,254,190,444,569,444,125,0
157,0,161,161,553,161,392,0
158,0,349,349,380,349,31,0
159,0,509,509,354,354,0,0
160,155,581,736,332,332,0,0
161,404,297,701,337,337,0,0
162,364,245,609,339,339,0,0
163,270,228,498,318,318,0,0
164,180,252,432,318,318,0,0
165,114,263,377,336,336,0,0
166,41,246,287,286,286,0,0
167,1,240,241,265,241,24,0
168,0,267,267,288,267,21,0
169,0,316,316,261,261,0,0
170,55,263,318,237,237,0,0
171,81,212,293,266,266,0,0
172,27,244,271,205,205,0,0
173,66,215,281,170,170,0,0
174,111,204,315,167,167,0,0
175,148,232,380,134,134,0,0
176,246,177,423,128,128,0,0
177,295,134,429,119,119,0,0
178,310,110,420,129,129,0,0
179,291,60,351,85,85,0,0
180,266,53,319,90,90,0,0
181,229,70,299,63,63,0,0
182,236,72,308,59,59,0,0
183,249,39,288,59,59,0,0
184,229,69,298,55,55,0,0
185,243,26,269,65,65,0,0
186,204,7,211,62,62,0,0
187,149,28,177,68,68,0,0
188,109,17,126,78,78,0,0
189,48,46,94,86,86,0,0
190,8,54,62,126,62,64,0
191,0,70,70,164,70,94,0
192,0,94,94,177,94,83,0
193,0,111,111,187,111,76,0
194,0,116,116,284,116,168,0
195,0,173,173,300,173,127,0
196,0,184,184,275,184,91,0
197,0,160,160,246,160,86,0
198,0,230,230,293,230,63,0
199,0,344,344,317,317,0,0
200,27,222,249,271,249,22,0
201,0,132,132,320,132,188,0
202,0,246,246,377,246,131,0
203,0,365,365,423,365,58,0
204,0,233,233,441,233,208,0
205,0,169,169,365,169,196,0
206,0,330,330,387,330,57,0
207,0,508,508,368,368,0,0
208,140,354,494,378,378,0,0
