Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,11,486,6,6,0,0
8,480,14,494,7,7,0,0
9,487,8,495,25,25,0,0
10,470,13,483,32,32,0,0
11,451,6,457,134,134,0,0
12,323,8,331,377,331,46,0
13,0,44,44,581,44,537,0
14,0,64,64,534,64,470,0
15,0,256,256,465,256,209,0
16,0,718,718,519,519,0,0
17,199,651,850,461,461,0,0
18,389,437,826,332,332,0,0
19,494,230,724,274,274,0,0
20,450,541,991,214,214,0,0
21,777,410,1187,230,230,0,0
22,957,246,1203,158,158,0,0
23,1045,233,1278,122,122,0,0
24,1156,119,1275,70,70,0,0
25,1205,26,1231,55,55,0,0
26,1176,0,1176,47,47,0,0
27,1129,0,1129,46,46,0,0
28,1083,0,1083,47,47,0,0
29,1036,0,1036,40,40,0,0
30,996,0,996,49,49,0,0
31,947,0,947,32,32,0,0
32,915,0,915,20,20,0,0
33,895,0,895,39,39,0,0
34,856,0,856,48,48,0,0
35,808,0,808,41,41,0,0
36,767,0,767,47,47,0,0
37,720,0,720,71,71,0,0
38,649,0,649,129,129,0,0
39,520,0,520,156,156,0,0
40,364,0,364,196,196,0,0
41,168,15,183,207,183,24,0
42,0,221,221,218,218,0,0
43,3,281,284,253,253,0,0
44,31,303,334,293,293,0,0
45,41,273,314,405,314,91,0
46,0,265,265,399,265,134,0
47,0,309,309,464,309,155,0
48,0,391,391,514,391,123,0
49,0,496,496,572,496,76,0
50,0,453,453,625,453,172,0
51,0,417,417,733,417,316,0
52,0,543,543,818,543,275,0
53,0,651,651,940,651,289,0
54,0,620,620,806,620,186,0
55,0,629,629,757,629,128,0
56,0,819,819,565,565,0,0
57,254,944,1198,518,518,0,0
58,680,654,1334,434,434,0,0
59,900,539,1439,383,383,0,0
60,1056,459,1515,391,391,0,0
61,1124,432,1556,386,386,0,0
62,1170,305,1475,459,459,0,0
63,1016,99,1115,553,553,0,0
64,562,170,732,669,669,0,0
65,63,182,245,899,245,654,0
66,0,381,381,1229,381,848,0
67,0,645,645,1511,645,866,0
68,0,941,941,1380,941,439,0
69,0,687,687,1197,687,510,0
70,0,1106,1106,998,998,0,0
71,108,1522,1630,739,739,0,0
72,891,1355,2246,625,625,0,0
73,1621,516,2137,408,408,0,0
74,1729,757,2486,320,320,0,0
75,2166,549,2715,255,255,0,0
76,2460,395,2855,190,190,0,0
77,2665,57,2722,160,160,0,0
78,2562,0,2562,117,117,0,0
79,2445,0,2445,103,103,0,0
80,2342,0,2342,80,80,0,0
81,2262,0,2262,63,63,0,0
82,2199,0,2199,55,55,0,0
83,2144,0,2144,93,93,0,0
84,2051,0,2051,112,112,0,0
85,1939,0,1939,179,179,0,0
86,1760,0,1760,224,224,0,0
87,1536,0,1536,261,261,0,0
88,1275,0,1275,226,226,0,0
89,1049,0,1049,213,213,0,0
90,836,0,836,212,212,0,0
91,624,0,624,180,180,0,0
92,444,157,601,178,178,0,0
93,423,191,614,164,164,0,0
94,450,199,649,164,164,0,0
95,485,159,644,125,125,0,0
96,519,166,685,170,170,0,0
97,515,145,660,205,205,0,0
98,455,116,571,199,199,0,0
99,372,87,459,206,206,0,0
100,253,154,407,238,238,0,0
101,169,226,395,280,280,0,0
102,115,249,364,317,317,0,0
103,47,228,275,405,275,130,0
104,0,275,275,953,275,678,0
105,0,371,371,1542,371,1171,0
106,0,429,429,1890,429,1461,0
107,0,436,436,1769,436,1333,0
108,0,971,971,1240,971,269,0
109,0,1796,1796,910,910,0,0
110,886,1908,2794,633,633,0,0
111,2161,1116,3277,467,467,0,0
112,2810,606,3416,387,387,0,0
113,3029,399,3428,355,355,0,0
114,3073,134,3207,340,340,0,0
115,2867,73,2940,352,352,0,0
116,2588,0,2588,432,432,0,0
117,2156,0,2156,526,526,0,0
118,1630,0,1630,685,685,0,0
119,945,0,945,810,810,0,0
120,135,0,135,783,135,648,0
121,0,229,229,658,229,429,0
122,0,997,997,566,566,0,0
123,431,1220,1651,445,445,0,0
124,1206,376,1582,409,409,0,0
125,1173,140,1313,283,283,0,0
126,1030,422,1452,247,247,0,0
127,1205,335,1540,209,209,0,0
128,1331,299,1630,221,221,0,0
129,1409,122,1531,279,279,0,0
130,1252,0,1252,374,374,0,0
131,878,0,878,458,458,0,0
132,420,0,420,639,420,219,0
133,0,129,129,618,129,489,0
134,0,419,419,550,419,131,0
135,0,678,678,553,553,0,0
136,125,765,890,459,459,0,0
137,431,429,860,548,548,0,0
138,312,412,724,469,469,0,0
139,255,489,744,478,478,0,0
140,266,402,668,459,459,0,0
141,209,541,750,428,428,0,0
142,322,459,781,521,521,0,0
143,260,437,697,574,574,0,0
144,123,364,487,612,487,125,0
145,0,360,360,757,360,397,0
146,0,521,521,697,521,176,0
147,0,705,705,690,690,0,0
148,15,641,656,660,656,4,0
149,0,581,581,535,535,0,0
150,46,673,719,403,403,0,0
151,316,686,1002,415,415,0,0
152,587,635,1222,387,387,0,0
153,835,481,1316,385,385,0,0
154,931,334,1265,444,444,0,0
155,821,313,1134,481,481,0,0
156,653,191,844,569,569,0,0
157,275,161,436,553,436,117,0
158,0,351,351,380,351,29,0
159,0,507,507,354,354,0,0
160,153,706,859,332,332,0,0
161,527,572,1099,337,337,0,0
162,762,247,1009,339,339,0,0
163,670,227,897,318,318,0,0
164,579,252,831,318,318,0,0
165,513,263,776,336,336,0,0
166,440,247,687,286,286,0,0
167,401,241,642,265,265,0,0
168,377,266,643,288,288,0,0
169,355,317,672,261,261,0,0
170,411,261,672,237,237,0,0
171,435,235,670,266,266,0,0
172,404,264,668,205,205,0,0
173,463,219,682,170,170,0,0
174,512,202,714,167,167,0,0
175,547,233,780,134,134,0,0
176,646,176,822,128,128,0,0
177,694,133,827,119,119,0,0
178,708,109,817,129,129,0,0
179,688,62,750,85,85,0,0
180,665,53,718,90,90,0,0
181,628,71,699,63,63,0,0
182,636,72,708,59,59,0,0
183,649,40,689,59,59,0,0
184,630,66,696,55,55,0,0
185,641,25,666,65,65,0,0
186,601,10,611,62,62,0,0
187,549,27,576,68,68,0,0
188,508,17,525,78,78,0,0
189,447,48,495,86,86,0,0
190,409,53,462,126,126,0,0
191,336,70,406,164,164,0,0
192,242,94,336,177,177,0,0
193,159,111,270,187,187,0,0
194,83,180,263,284,263,21,0
195,0,267,267,300,267,33,0
196,0,267,267,275,267,8,0
197,0,237,237,246,237,9,0
198,0,376,376,293,293,0,0
199,83,438,521,317,317,0,0
200,204,304,508,271,271,0,0
201,237,210,447,320,320,0,0
202,127,309,436,377,377,0,0
203,59,365,424,423,423,0,0
204,1,255,256,441,256,185,0
205,0,357,357,365,357,8,0
206,0,461,461,387,387,0,0
207,74,566,640,368,368,0,0
208,272,377,649,378,378,0,0
