Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,50,0,50,5,5,0,0
2,45,0,45,10,10,0,0
3,35,0,35,15,15,0,0
4,20,142,162,5,5,0,0
5,86,0,86,10,10,0,0
6,76,0,76,10,10,0,0
7,66,388,454,8,8,0,0
8,252,0,252,7,7,0,0
9,245,0,245,12,12,0,0
10,233,0,233,15,15,0,0
11,218,0,218,20,20,0,0
12,198,0,198,25,25,0,0
13,173,0,173,30,30,0,0
14,143,0,143,40,40,0,0
15,103,0,103,50,50,0,0
16,53,154,207,70,70,0,0
17,60,78,138,60,60,0,0
18,39,432,471,45,45,0,0
19,210,0,210,30,30,0,0
20,180,0,180,20,20,0,0
21,160,0,160,18,18,0,0
22,142,0,142,12,12,0,0
23,130,0,130,15,15,0,0
24,115,0,115,18,18,0,0
25,97,100,197,14,14,0,0
26,133,0,133,10,10,0,0
27,123,0,123,12,12,0,0
28,111,0,111,8,8,0,0
29,103,4,107,10,10,0,0
30,95,0,95,10,10,0,0
