Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,50,0,50,5,5,0,0
2,45,0,45,10,10,0,0
3,35,0,35,15,15,0,0
4,20,0,20,5,5,0,0
5,15,0,15,10,10,0,0
6,5,32,37,10,10,0,0
7,11,58,69,8,8,0,0
8,32,48,80,7,7,0,0
9,49,130,179,12,12,0,0
10,102,20,122,15,15,0,0
11,97,0,97,20,20,0,0
12,77,0,77,25,25,0,0
13,52,0,52,30,30,0,0
14,22,0,22,40,22,18,0
15,0,0,0,50,0,50,0
16,0,12,12,70,6,64,0
17,0,80,80,60,40,20,0
18,0,172,172,45,45,0,0
19,41,166,207,30,30,0,0
20,94,192,286,20,20,0,0
21,170,32,202,18,18,0,0
22,168,0,168,12,12,0,0
23,156,0,156,15,15,0,0
24,141,0,141,18,18,0,0
25,123,0,123,14,14,0,0
26,109,0,109,10,10,0,0
27,99,0,99,12,12,0,0
28,87,0,87,8,8,0,0
29,79,0,79,10,10,0,0
30,69,0,69,10,10,0,0
