Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,46,521,6,6,0,0
8,515,2,517,7,7,0,0
9,510,0,510,25,25,0,0
10,485,24,509,32,32,0,0
11,477,0,477,134,134,0,0
12,343,0,343,377,343,34,0
13,0,160,160,581,160,421,0
14,0,37,37,534,37,497,0
15,0,906,906,465,465,0,0
16,441,2025,2466,519,519,0,0
17,1947,811,2758,461,461,0,0
18,2297,0,2297,332,332,0,0
19,1965,0,1965,274,274,0,0
20,1691,0,1691,214,214,0,0
21,1477,0,1477,230,230,0,0
22,1247,0,1247,158,158,0,0
23,1089,0,1089,122,122,0,0
24,967,0,967,70,70,0,0
25,897,273,1170,55,55,0,0
26,1115,0,1115,47,47,0,0
27,1068,0,1068,46,46,0,0
28,1022,0,1022,47,47,0,0
29,975,0,975,40,40,0,0
30,935,0,935,49,49,0,0
31,886,0,886,32,32,0,0
32,854,0,854,20,20,0,0
33,834,0,834,39,39,0,0
34,795,0,795,48,48,0,0
35,747,0,747,41,41,0,0
36,706,0,706,47,47,0,0
37,659,0,659,71,71,0,0
38,588,0,588,129,129,0,0
39,459,0,459,156,156,0,0
40,303,32,335,196,196,0,0
41,139,226,365,207,207,0,0
42,158,523,681,218,218,0,0
43,463,163,626,253,253,0,0
44,373,327,700,293,293,0,0
45,407,152,559,405,405,0,0
46,154,188,342,399,342,57,0
47,0,411,411,464,411,53,0
48,0,455,455,514,455,59,0
49,0,1154,1154,572,572,0,0
50,582,51,633,625,625,0,0
51,8,640,648,733,648,85,0
52,0,540,540,818,540,278,0
53,0,755,755,940,755,185,0
54,0,771,771,806,771,35,0
55,0,1247,1247,757,757,0,0
56,490,781,1271,565,565,0,0
57,706,1277,1983,518,518,0,0
58,1465,58,1523,434,434,0,0
59,1089,496,1585,383,383,0,0
60,1202,152,1354,391,391,0,0
61,963,364,1327,386,386,0,0
62,941,105,1046,459,459,0,0
63,587,153,740,553,553,0,0
64,187,427,614,669,614,55,0
65,0,303,303,899,303,596,0
66,0,925,925,1229,925,304,0
67,0,1021,1021,1511,1021,490,0
68,0,1108,1108,1380,1108,272,0
69,0,1602,1602,1197,1197,0,0
70,405,2578,2983,998,998,0,0
71,1985,1810,3795,739,739,0,0
72,3056,0,3056,625,625,0,0
73,2431,77,2508,408,408,0,0
74,2100,356,2456,320,320,0,0
75,2136,59,2195,255,255,0,0
76,1940,212,2152,190,190,0,0
77,1962,0,1962,160,160,0,0
78,1802,0,1802,117,117,0,0
79,1685,0,1685,103,103,0,0
80,1582,0,1582,80,80,0,0
81,1502,0,1502,63,63,0,0
82,1439,0,1439,55,55,0,0
83,1384,0,1384,93,93,0,0
84,1291,0,1291,112,112,0,0
85,1179,0,1179,179,179,0,0
86,1000,0,1000,224,224,0,0
87,776,0,776,261,261,0,0
88,515,0,515,226,226,0,0
89,289,462,751,213,213,0,0
90,538,318,856,212,212,0,0
91,644,305,949,180,180,0,0
92,769,0,769,178,178,0,0
93,591,108,699,164,164,0,0
94,535,171,706,164,164,0,0
95,542,78,620,125,125,0,0
96,495,167,662,170,170,0,0
97,492,101,593,205,205,0,0
98,388,160,548,199,199,0,0
99,349,40,389,206,206,0,0
100,183,412,595,238,238,0,0
101,357,379,736,280,280,0,0
102,456,76,532,317,317,0,0
103,215,188,403,405,403,2,0
104,0,391,391,953,391,562,0
105,0,482,482,1542,482,1060,0
106,0,436,436,1890,436,1454,0
107,0,939,939,1769,939,830,0
108,0,4760,4760,1240,1240,0,0
109,3520,3050,6570,910,910,0,0
110,5660,754,6414,633,633,0,0
111,5781,0,5781,467,467,0,0
112,5314,0,5314,387,387,0,0
113,4927,0,4927,355,355,0,0
114,4572,0,4572,340,340,0,0
115,4232,0,4232,352,352,0,0
116,3880,0,3880,432,432,0,0
117,3448,0,3448,526,526,0,0
118,2922,0,2922,685,685,0,0
119,2237,0,2237,810,810,0,0
120,1427,0,1427,783,783,0,0
121,644,0,644,658,644,14,0
122,0,1408,1408,566,566,0,0
123,842,1076,1918,445,445,0,0
124,1473,332,1805,409,409,0,0
125,1396,62,1458,283,283,0,0
126,1175,254,1429,247,247,0,0
127,1182,114,1296,209,209,0,0
128,1087,285,1372,221,221,0,0
129,1151,0,1151,279,279,0,0
130,872,50,922,374,374,0,0
131,548,0,548,458,458,0,0
132,90,248,338,639,338,301,0
133,0,631,631,618,618,0,0
134,13,915,928,550,550,0,0
135,378,693,1071,553,553,0,0
136,518,1329,1847,459,459,0,0
137,1388,45,1433,548,548,0,0
138,885,71,956,469,469,0,0
139,487,467,954,478,478,0,0
140,476,164,640,459,459,0,0
141,181,983,1164,428,428,0,0
142,736,0,736,521,521,0,0
143,215,486,701,574,574,0,0
144,127,352,479,612,479,133,0
145,0,317,317,757,317,440,0
146,0,1129,1129,697,697,0,0
147,432,753,1185,690,690,0,0
148,495,542,1037,660,660,0,0
149,377,1198,1575,535,535,0,0
150,1040,73,1113,403,403,0,0
151,710,519,1229,415,415,0,0
152,814,483,1297,387,387,0,0
153,910,294,1204,385,385,0,0
154,819,102,921,444,444,0,0
155,477,529,1006,481,481,0,0
156,525,144,669,569,569,0,0
157,100,320,420,553,420,133,0
158,0,807,807,380,380,0,0
159,427,540,967,354,354,0,0
160,613,1041,1654,332,332,0,0
161,1322,82,1404,337,337,0,0
162,1067,0,1067,339,339,0,0
163,728,201,929,318,318,0,0
164,611,146,757,318,318,0,0
165,439,347,786,336,336,0,0
166,450,291,741,286,286,0,0
167,455,213,668,265,265,0,0
168,403,264,667,288,288,0,0
169,379,393,772,261,261,0,0
170,511,155,666,237,237,0,0
171,429,180,609,266,266,0,0
172,343,407,750,205,205,0,0
173,545,118,663,170,170,0,0
174,493,153,646,167,167,0,0
175,479,425,904,134,134,0,0
176,770,20,790,128,128,0,0
177,662,44,706,119,119,0,0
178,587,174,761,129,129,0,0
179,632,5,637,85,85,0,0
180,552,108,660,90,90,0,0
181,570,63,633,63,63,0,0
182,570,183,753,59,59,0,0
183,694,0,694,59,59,0,0
184,635,57,692,55,55,0,0
185,637,0,637,65,65,0,0
186,572,2,574,62,62,0,0
187,512,44,556,68,68,0,0
188,488,25,513,78,78,0,0
189,435,126,561,86,86,0,0
190,475,14,489,126,126,0,0
191,363,94,457,164,164,0,0
192,293,128,421,177,177,0,0
193,244,107,351,187,187,0,0
194,164,409,573,284,284,0,0
195,289,321,610,300,300,0,0
196,310,147,457,275,275,0,0
197,182,161,343,246,246,0,0
198,97,931,1028,293,293,0,0
199,735,175,910,317,317,0,0
200,593,71,664,271,271,0,0
201,393,84,477,320,320,0,0
202,157,547,704,377,377,0,0
203,327,351,678,423,423,0,0
204,255,39,294,441,294,147,0
205,0,575,575,365,365,0,0
206,210,692,902,387,387,0,0
207,515,560,1075,368,368,0,0
208,707,262,969,378,378,0,0
