Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,34,509,6,6,0,0
8,503,6,509,7,7,0,0
9,502,3,505,25,25,0,0
10,480,21,501,32,32,0,0
11,469,0,469,134,134,0,0
12,335,4,339,377,339,38,0
13,0,109,109,581,109,472,0
14,0,60,60,534,60,474,0
15,0,612,612,465,465,0,0
16,147,1489,1636,519,519,0,0
17,1117,1033,2150,461,461,0,0
18,1689,0,1689,332,332,0,0
19,1357,49,1406,274,274,0,0
20,1132,389,1521,214,214,0,0
21,1307,106,1413,230,230,0,0
22,1183,40,1223,158,158,0,0
23,1065,119,1184,122,122,0,0
24,1062,81,1143,70,70,0,0
25,1073,102,1175,55,55,0,0
26,1120,36,1156,47,47,0,0
27,1109,0,1109,46,46,0,0
28,1063,0,1063,47,47,0,0
29,1016,0,1016,40,40,0,0
30,976,0,976,49,49,0,0
31,927,0,927,32,32,0,0
32,895,0,895,20,20,0,0
33,875,0,875,39,39,0,0
34,836,0,836,48,48,0,0
35,788,0,788,41,41,0,0
36,747,0,747,47,47,0,0
37,700,0,700,71,71,0,0
38,629,0,629,129,129,0,0
39,500,0,500,156,156,0,0
40,344,0,344,196,196,0,0
41,148,142,290,207,207,0,0
42,83,397,480,218,218,0,0
43,262,274,536,253,253,0,0
44,283,346,629,293,293,0,0
45,336,232,568,405,405,0,0
46,163,239,402,399,399,0,0
47,3,331,334,464,334,130,0
48,0,422,422,514,422,92,0
49,0,890,890,572,572,0,0
50,318,382,700,625,625,0,0
51,75,518,593,733,593,140,0
52,0,570,570,818,570,248,0
53,0,752,752,940,752,188,0
54,0,787,787,806,787,19,0
55,0,1014,1014,757,757,0,0
56,257,879,1136,565,565,0,0
57,571,1215,1786,518,518,0,0
58,1268,429,1697,434,434,0,0
59,1263,421,1684,383,383,0,0
60,1301,186,1487,391,391,0,0
61,1096,346,1442,386,386,0,0
62,1056,271,1327,459,459,0,0
63,868,200,1068,553,553,0,0
64,515,181,696,669,669,0,0
65,27,215,242,899,242,657,0
66,0,584,584,1229,584,645,0
67,0,948,948,1511,948,563,0
68,0,1207,1207,1380,1207,173,0
69,0,1258,1258,1197,1197,0,0
70,61,2026,2087,998,998,0,0
71,1089,2069,3158,739,739,0,0
72,2419,833,3252,625,625,0,0
73,2627,418,3045,408,408,0,0
74,2637,163,2800,320,320,0,0
75,2480,131,2611,255,255,0,0
76,2356,366,2722,190,190,0,0
77,2532,70,2602,160,160,0,0
78,2442,0,2442,117,117,0,0
79,2325,0,2325,103,103,0,0
80,2222,0,2222,80,80,0,0
81,2142,0,2142,63,63,0,0
82,2079,0,2079,55,55,0,0
83,2024,0,2024,93,93,0,0
84,1931,0,1931,112,112,0,0
85,1819,0,1819,179,179,0,0
86,1640,0,1640,224,224,0,0
87,1416,0,1416,261,261,0,0
88,1155,0,1155,226,226,0,0
89,929,0,929,213,213,0,0
90,716,11,727,212,212,0,0
91,515,381,896,180,180,0,0
92,716,140,856,178,178,0,0
93,678,91,769,164,164,0,0
94,605,122,727,164,164,0,0
95,563,90,653,125,125,0,0
96,528,150,678,170,170,0,0
97,508,124,632,205,205,0,0
98,427,146,573,199,199,0,0
99,374,63,437,206,206,0,0
100,231,255,486,238,238,0,0
101,248,331,579,280,280,0,0
102,299,167,466,317,317,0,0
103,149,220,369,405,369,36,0
104,0,357,357,953,357,596,0
105,0,451,451,1542,451,1091,0
106,0,464,464,1890,464,1426,0
107,0,750,750,1769,750,1019,0
108,0,2914,2914,1240,1240,0,0
109,1674,3195,4869,910,910,0,0
110,3959,1818,5777,633,633,0,0
111,5144,396,5540,467,467,0,0
112,5073,0,5073,387,387,0,0
113,4686,0,4686,355,355,0,0
114,4331,0,4331,340,340,0,0
115,3991,0,3991,352,352,0,0
116,3639,0,3639,432,432,0,0
117,3207,0,3207,526,526,0,0
118,2681,0,2681,685,685,0,0
119,1996,0,1996,810,810,0,0
120,1186,0,1186,783,783,0,0
121,403,0,403,658,403,255,0
122,0,1125,1125,566,566,0,0
123,559,1322,1881,445,445,0,0
124,1436,688,2124,409,409,0,0
125,1715,0,1715,283,283,0,0
126,1432,153,1585,247,247,0,0
127,1338,156,1494,209,209,0,0
128,1285,268,1553,221,221,0,0
129,1332,107,1439,279,279,0,0
130,1160,44,1204,374,374,0,0
131,830,0,830,458,458,0,0
132,372,0,372,639,372,267,0
133,0,338,338,618,338,280,0
134,0,720,720,550,550,0,0
135,170,843,1013,553,553,0,0
136,460,1166,1626,459,459,0,0
137,1167,256,1423,548,548,0,0
138,875,310,1185,469,469,0,0
139,716,331,1047,478,478,0,0
140,569,174,743,459,459,0,0
141,284,630,914,428,428,0,0
142,486,253,739,521,521,0,0
143,218,444,662,574,574,0,0
144,88,382,470,612,470,142,0
145,0,372,372,757,372,385,0
146,0,796,796,697,697,0,0
147,99,793,892,690,690,0,0
148,202,636,838,660,660,0,0
149,178,1007,1185,535,535,0,0
150,650,491,1141,403,403,0,0
151,738,590,1328,415,415,0,0
152,913,471,1384,387,387,0,0
153,997,281,1278,385,385,0,0
154,893,244,1137,444,444,0,0
155,693,287,980,481,481,0,0
156,499,276,775,569,569,0,0
157,206,247,453,553,453,100,0
158,0,519,519,380,380,0,0
159,139,560,699,354,354,0,0
160,345,969,1314,332,332,0,0
161,982,397,1379,337,337,0,0
162,1042,0,1042,339,339,0,0
163,703,171,874,318,318,0,0
164,556,260,816,318,318,0,0
165,498,274,772,336,336,0,0
166,436,270,706,286,286,0,0
167,420,231,651,265,265,0,0
168,386,263,649,288,288,0,0
169,361,358,719,261,261,0,0
170,458,193,651,237,237,0,0
171,414,229,643,266,266,0,0
172,377,313,690,205,205,0,0
173,485,180,665,170,170,0,0
174,495,198,693,167,167,0,0
175,526,317,843,134,134,0,0
176,709,85,794,128,128,0,0
177,666,110,776,119,119,0,0
178,657,121,778,129,129,0,0
179,649,70,719,85,85,0,0
180,634,74,708,90,90,0,0
181,618,55,673,63,63,0,0
182,610,122,732,59,59,0,0
183,673,0,673,59,59,0,0
184,614,66,680,55,55,0,0
185,625,10,635,65,65,0,0
186,570,31,601,62,62,0,0
187,539,26,565,68,68,0,0
188,497,27,524,78,78,0,0
189,446,84,530,86,86,0,0
190,444,26,470,126,126,0,0
191,344,92,436,164,164,0,0
192,272,118,390,177,177,0,0
193,213,120,333,187,187,0,0
194,146,307,453,284,284,0,0
195,169,336,505,300,300,0,0
196,205,217,422,275,275,0,0
197,147,214,361,246,246,0,0
198,115,665,780,293,293,0,0
199,487,358,845,317,317,0,0
200,528,210,738,271,271,0,0
201,467,99,566,320,320,0,0
202,246,351,597,377,377,0,0
203,220,383,603,423,423,0,0
204,180,117,297,441,297,144,0
205,0,436,436,365,365,0,0
206,71,635,706,387,387,0,0
207,319,624,943,368,368,0,0
208,575,351,926,378,378,0,0
