Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,59,534,6,6,0,0
8,528,10,538,7,7,0,0
9,531,0,531,25,25,0,0
10,506,31,537,32,32,0,0
11,505,0,505,134,134,0,0
12,371,0,371,377,371,6,0
13,0,195,195,581,195,386,0
14,0,77,77,534,77,457,0
15,0,1155,1155,465,465,0,0
16,690,2980,3670,519,519,0,0
17,3151,1655,4806,461,461,0,0
18,4345,0,4345,332,332,0,0
19,4013,0,4013,274,274,0,0
20,3739,0,3739,214,214,0,0
21,3525,0,3525,230,230,0,0
22,3295,0,3295,158,158,0,0
23,3137,0,3137,122,122,0,0
24,3015,0,3015,70,70,0,0
25,2945,0,2945,55,55,0,0
26,2890,0,2890,47,47,0,0
27,2843,0,2843,46,46,0,0
28,2797,0,2797,47,47,0,0
29,2750,0,2750,40,40,0,0
30,2710,0,2710,49,49,0,0
31,2661,0,2661,32,32,0,0
32,2629,0,2629,20,20,0,0
33,2609,0,2609,39,39,0,0
34,2570,0,2570,48,48,0,0
35,2522,0,2522,41,41,0,0
36,2481,0,2481,47,47,0,0
37,2434,0,2434,71,71,0,0
38,2363,0,2363,129,129,0,0
39,2234,0,2234,156,156,0,0
40,2078,0,2078,196,196,0,0
41,1882,0,1882,207,207,0,0
42,1675,0,1675,218,218,0,0
43,1457,0,1457,253,253,0,0
44,1204,148,1352,293,293,0,0
45,1059,216,1275,405,405,0,0
46,870,231,1101,399,399,0,0
47,702,390,1092,464,464,0,0
48,628,530,1158,514,514,0,0
49,644,1442,2086,572,572,0,0
50,1514,224,1738,625,625,0,0
51,1113,794,1907,733,733,0,0
52,1174,755,1929,818,818,0,0
53,1111,884,1995,940,940,0,0
54,1055,894,1949,806,806,0,0
55,1143,1551,2694,757,757,0,0
56,1937,1360,3297,565,565,0,0
57,2732,1804,4536,518,518,0,0
58,4018,0,4018,434,434,0,0
59,3584,15,3599,383,383,0,0
60,3216,0,3216,391,391,0,0
61,2825,66,2891,386,386,0,0
62,2505,182,2687,459,459,0,0
63,2228,93,2321,553,553,0,0
64,1768,34,1802,669,669,0,0
65,1133,86,1219,899,899,0,0
66,320,793,1113,1229,1113,116,0
67,0,1445,1445,1511,1445,66,0
68,0,1628,1628,1380,1380,0,0
69,248,2974,3222,1197,1197,0,0
70,2025,3870,5895,998,998,0,0
71,4897,3463,8360,739,739,0,0
72,7621,356,7977,625,625,0,0
73,7352,0,7352,408,408,0,0
74,6944,0,6944,320,320,0,0
75,6624,0,6624,255,255,0,0
76,6369,0,6369,190,190,0,0
77,6179,0,6179,160,160,0,0
78,6019,0,6019,117,117,0,0
79,5902,0,5902,103,103,0,0
80,5799,0,5799,80,80,0,0
81,5719,0,5719,63,63,0,0
82,5656,0,5656,55,55,0,0
83,5601,0,5601,93,93,0,0
84,5508,0,5508,112,112,0,0
85,5396,0,5396,179,179,0,0
86,5217,0,5217,224,224,0,0
87,4993,0,4993,261,261,0,0
88,4732,0,4732,226,226,0,0
89,4506,0,4506,213,213,0,0
90,4293,0,4293,212,212,0,0
91,4081,0,4081,180,180,0,0
92,3901,0,3901,178,178,0,0
93,3723,0,3723,164,164,0,0
94,3559,0,3559,164,164,0,0
95,3395,0,3395,125,125,0,0
96,3270,0,3270,170,170,0,0
97,3100,0,3100,205,205,0,0
98,2895,0,2895,199,199,0,0
99,2696,0,2696,206,206,0,0
100,2490,0,2490,238,238,0,0
101,2252,0,2252,280,280,0,0
102,1972,0,1972,317,317,0,0
103,1655,0,1655,405,405,0,0
104,1250,0,1250,953,953,0,0
105,297,336,633,1542,633,909,0
106,0,578,578,1890,578,1312,0
107,0,1184,1184,1769,1184,585,0
108,0,7421,7421,1240,1240,0,0
109,6181,5001,11182,910,910,0,0
110,10272,2621,12893,633,633,0,0
111,12260,79,12339,467,467,0,0
112,11872,0,11872,387,387,0,0
113,11485,0,11485,355,355,0,0
114,11130,0,11130,340,340,0,0
115,10790,0,10790,352,352,0,0
116,10438,0,10438,432,432,0,0
117,10006,0,10006,526,526,0,0
118,9480,0,9480,685,685,0,0
119,8795,0,8795,810,810,0,0
120,7985,0,7985,783,783,0,0
121,7202,0,7202,658,658,0,0
122,6544,0,6544,566,566,0,0
123,5978,0,5978,445,445,0,0
124,5533,0,5533,409,409,0,0
125,5124,0,5124,283,283,0,0
126,4841,0,4841,247,247,0,0
127,4594,0,4594,209,209,0,0
128,4385,0,4385,221,221,0,0
129,4164,0,4164,279,279,0,0
130,3885,0,3885,374,374,0,0
131,3511,0,3511,458,458,0,0
132,3053,0,3053,639,639,0,0
133,2414,0,2414,618,618,0,0
134,1796,0,1796,550,550,0,0
135,1246,766,2012,553,553,0,0
136,1459,2240,3699,459,459,0,0
137,3240,275,3515,548,548,0,0
138,2967,0,2967,469,469,0,0
139,2498,42,2540,478,478,0,0
140,2062,0,2062,459,459,0,0
141,1603,650,2253,428,428,0,0
142,1825,41,1866,521,521,0,0
143,1345,381,1726,574,574,0,0
144,1152,339,1491,612,612,0,0
145,879,313,1192,757,757,0,0
146,435,1100,1535,697,697,0,0
147,838,1039,1877,690,690,0,0
148,1187,883,2070,660,660,0,0
149,1410,2073,3483,535,535,0,0
150,2948,136,3084,403,403,0,0
151,2681,442,3123,415,415,0,0
152,2708,256,2964,387,387,0,0
153,2577,40,2617,385,385,0,0
154,2232,137,2369,444,444,0,0
155,1925,206,2131,481,481,0,0
156,1650,218,1868,569,569,0,0
157,1299,156,1455,553,553,0,0
158,902,620,1522,380,380,0,0
159,1142,674,1816,354,354,0,0
160,1462,1421,2883,332,332,0,0
161,2551,320,2871,337,337,0,0
162,2534,0,2534,339,339,0,0
163,2195,0,2195,318,318,0,0
164,1877,0,1877,318,318,0,0
165,1559,59,1618,336,336,0,0
166,1282,234,1516,286,286,0,0
167,1230,164,1394,265,265,0,0
168,1129,218,1347,288,288,0,0
169,1059,393,1452,261,261,0,0
170,1191,145,1336,237,237,0,0
171,1099,163,1262,266,266,0,0
172,996,351,1347,205,205,0,0
173,1142,120,1262,170,170,0,0
174,1092,162,1254,167,167,0,0
175,1087,370,1457,134,134,0,0
176,1323,7,1330,128,128,0,0
177,1202,44,1246,119,119,0,0
178,1127,100,1227,129,129,0,0
179,1098,30,1128,85,85,0,0
180,1043,40,1083,90,90,0,0
181,993,16,1009,63,63,0,0
182,946,116,1062,59,59,0,0
183,1003,0,1003,59,59,0,0
184,944,0,944,55,55,0,0
185,889,0,889,65,65,0,0
186,824,0,824,62,62,0,0
187,762,0,762,68,68,0,0
188,694,0,694,78,78,0,0
189,616,81,697,86,86,0,0
190,611,0,611,126,126,0,0
191,485,112,597,164,164,0,0
192,433,168,601,177,177,0,0
193,424,145,569,187,187,0,0
194,382,510,892,284,284,0,0
195,608,482,1090,300,300,0,0
196,790,223,1013,275,275,0,0
197,738,215,953,246,246,0,0
198,707,1092,1799,293,293,0,0
199,1506,323,1829,317,317,0,0
200,1512,103,1615,271,271,0,0
201,1344,0,1344,320,320,0,0
202,1024,344,1368,377,377,0,0
203,991,432,1423,423,423,0,0
204,1000,0,1000,441,441,0,0
205,559,489,1048,365,365,0,0
206,683,942,1625,387,387,0,0
207,1238,763,2001,368,368,0,0
208,1633,500,2133,378,378,0,0
