Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,368,843,6,6,0,0
8,837,0,837,7,7,0,0
9,830,0,830,25,25,0,0
10,805,26,831,32,32,0,0
11,799,0,799,134,134,0,0
12,665,0,665,377,377,0,0
13,288,987,1275,581,581,0,0
14,694,0,694,534,534,0,0
15,160,5856,6016,465,465,0,0
16,5551,6539,12090,519,519,0,0
17,11571,0,11571,461,461,0,0
18,11110,0,11110,332,332,0,0
19,10778,0,10778,274,274,0,0
20,10504,1372,11876,214,214,0,0
21,11662,0,11662,230,230,0,0
22,11432,0,11432,158,158,0,0
23,11274,0,11274,122,122,0,0
24,11152,0,11152,70,70,0,0
25,11082,0,11082,55,55,0,0
26,11027,0,11027,47,47,0,0
27,10980,0,10980,46,46,0,0
28,10934,0,10934,47,47,0,0
29,10887,0,10887,40,40,0,0
30,10847,0,10847,49,49,0,0
31,10798,0,10798,32,32,0,0
32,10766,0,10766,20,20,0,0
33,10746,0,10746,39,39,0,0
34,10707,0,10707,48,48,0,0
35,10659,0,10659,41,41,0,0
36,10618,0,10618,47,47,0,0
37,10571,0,10571,71,71,0,0
38,10500,0,10500,129,129,0,0
39,10371,0,10371,156,156,0,0
40,10215,0,10215,196,196,0,0
41,10019,0,10019,207,207,0,0
42,9812,0,9812,218,218,0,0
43,9594,0,9594,253,253,0,0
44,9341,0,9341,293,293,0,0
45,9048,0,9048,405,405,0,0
46,8643,0,8643,399,399,0,0
47,8244,0,8244,464,464,0,0
48,7780,0,7780,514,514,0,0
49,7266,0,7266,572,572,0,0
50,6694,0,6694,625,625,0,0
51,6069,0,6069,733,733,0,0
52,5336,0,5336,818,818,0,0
53,4518,0,4518,940,940,0,0
54,3578,0,3578,806,806,0,0
55,2772,3405,6177,757,757,0,0
56,5420,0,5420,565,565,0,0
57,4855,1883,6738,518,518,0,0
58,6220,0,6220,434,434,0,0
59,5786,3332,9118,383,383,0,0
60,8735,0,8735,391,391,0,0
61,8344,1437,9781,386,386,0,0
62,9395,0,9395,459,459,0,0
63,8936,0,8936,553,553,0,0
64,8383,0,8383,669,669,0,0
65,7714,0,7714,899,899,0,0
66,6815,0,6815,1229,1229,0,0
67,5586,0,5586,1511,1511,0,0
68,4075,0,4075,1380,1380,0,0
69,2695,6878,9573,1197,1197,0,0
70,8376,4492,12868,998,998,0,0
71,11870,3,11873,739,739,0,0
72,11134,0,11134,625,625,0,0
73,10509,258,10767,408,408,0,0
74,10359,0,10359,320,320,0,0
75,10039,0,10039,255,255,0,0
76,9784,1412,11196,190,190,0,0
77,11006,0,11006,160,160,0,0
78,10846,0,10846,117,117,0,0
79,10729,0,10729,103,103,0,0
80,10626,0,10626,80,80,0,0
81,10546,0,10546,63,63,0,0
82,10483,0,10483,55,55,0,0
83,10428,0,10428,93,93,0,0
84,10335,0,10335,112,112,0,0
85,10223,0,10223,179,179,0,0
86,10044,0,10044,224,224,0,0
87,9820,0,9820,261,261,0,0
88,9559,0,9559,226,226,0,0
89,9333,0,9333,213,213,0,0
90,9120,0,9120,212,212,0,0
91,8908,0,8908,180,180,0,0
92,8728,0,8728,178,178,0,0
93,8550,0,8550,164,164,0,0
94,8386,0,8386,164,164,0,0
95,8222,0,8222,125,125,0,0
96,8097,0,8097,170,170,0,0
97,7927,0,7927,205,205,0,0
98,7722,0,7722,199,199,0,0
99,7523,0,7523,206,206,0,0
100,7317,0,7317,238,238,0,0
101,7079,0,7079,280,280,0,0
102,6799,0,6799,317,317,0,0
103,6482,0,6482,405,405,0,0
104,6077,0,6077,953,953,0,0
105,5124,0,5124,1542,1542,0,0
106,3582,0,3582,1890,1890,0,0
107,1692,224,1916,1769,1769,0,0
108,147,32275,32422,1240,1240,0,0
109,31182,0,31182,910,910,0,0
110,30272,0,30272,633,633,0,0
111,29639,0,29639,467,467,0,0
112,29172,0,29172,387,387,0,0
113,28785,0,28785,355,355,0,0
114,28430,0,28430,340,340,0,0
115,28090,0,28090,352,352,0,0
116,27738,0,27738,432,432,0,0
117,27306,0,27306,526,526,0,0
118,26780,0,26780,685,685,0,0
119,26095,0,26095,810,810,0,0
120,25285,0,25285,783,783,0,0
121,24502,0,24502,658,658,0,0
122,23844,0,23844,566,566,0,0
123,23278,0,23278,445,445,0,0
124,22833,0,22833,409,409,0,0
125,22424,0,22424,283,283,0,0
126,22141,0,22141,247,247,0,0
127,21894,0,21894,209,209,0,0
128,21685,0,21685,221,221,0,0
129,21464,0,21464,279,279,0,0
130,21185,0,21185,374,374,0,0
131,20811,0,20811,458,458,0,0
132,20353,0,20353,639,639,0,0
133,19714,0,19714,618,618,0,0
134,19096,0,19096,550,550,0,0
135,18546,0,18546,553,553,0,0
136,17993,0,17993,459,459,0,0
137,17534,0,17534,548,548,0,0
138,16986,0,16986,469,469,0,0
139,16517,0,16517,478,478,0,0
140,16039,0,16039,459,459,0,0
141,15580,0,15580,428,428,0,0
142,15152,0,15152,521,521,0,0
143,14631,0,14631,574,574,0,0
144,14057,0,14057,612,612,0,0
145,13445,0,13445,757,757,0,0
146,12688,0,12688,697,697,0,0
147,11991,0,11991,690,690,0,0
148,11301,0,11301,660,660,0,0
149,10641,0,10641,535,535,0,0
150,10106,0,10106,403,403,0,0
151,9703,0,9703,415,415,0,0
152,9288,0,9288,387,387,0,0
153,8901,0,8901,385,385,0,0
154,8516,0,8516,444,444,0,0
155,8072,1900,9972,481,481,0,0
156,9491,0,9491,569,569,0,0
157,8922,0,8922,553,553,0,0
158,8369,0,8369,380,380,0,0
159,7989,0,7989,354,354,0,0
160,7635,0,7635,332,332,0,0
161,7303,0,7303,337,337,0,0
162,6966,0,6966,339,339,0,0
163,6627,3108,9735,318,318,0,0
164,9417,0,9417,318,318,0,0
165,9099,0,9099,336,336,0,0
166,8763,0,8763,286,286,0,0
167,8477,0,8477,265,265,0,0
168,8212,0,8212,288,288,0,0
169,7924,0,7924,261,261,0,0
170,7663,0,7663,237,237,0,0
171,7426,0,7426,266,266,0,0
172,7160,0,7160,205,205,0,0
173,6955,0,6955,170,170,0,0
174,6785,0,6785,167,167,0,0
175,6618,0,6618,134,134,0,0
176,6484,0,6484,128,128,0,0
177,6356,0,6356,119,119,0,0
178,6237,0,6237,129,129,0,0
179,6108,0,6108,85,85,0,0
180,6023,0,6023,90,90,0,0
181,5933,0,5933,63,63,0,0
182,5870,0,5870,59,59,0,0
183,5811,0,5811,59,59,0,0
184,5752,0,5752,55,55,0,0
185,5697,0,5697,65,65,0,0
186,5632,0,5632,62,62,0,0
187,5570,0,5570,68,68,0,0
188,5502,0,5502,78,78,0,0
189,5424,0,5424,86,86,0,0
190,5338,0,5338,126,126,0,0
191,5212,0,5212,164,164,0,0
192,5048,0,5048,177,177,0,0
193,4871,0,4871,187,187,0,0
194,4684,0,4684,284,284,0,0
195,4400,0,4400,300,300,0,0
196,4100,0,4100,275,275,0,0
197,3825,0,3825,246,246,0,0
198,3579,3649,7228,293,293,0,0
199,6935,0,6935,317,317,0,0
200,6618,0,6618,271,271,0,0
201,6347,0,6347,320,320,0,0
202,6027,487,6514,377,377,0,0
203,6137,0,6137,423,423,0,0
204,5714,0,5714,441,441,0,0
205,5273,1067,6340,365,365,0,0
206,5975,0,5975,387,387,0,0
207,5588,0,5588,368,368,0,0
208,5220,0,5220,378,378,0,0
