Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,27,502,6,6,0,0
8,496,10,506,7,7,0,0
9,499,5,504,25,25,0,0
10,479,26,505,32,32,0,0
11,473,0,473,134,134,0,0
12,339,7,346,377,346,31,0
13,0,96,96,581,96,485,0
14,0,64,64,534,64,470,0
15,0,517,517,465,465,0,0
16,52,1249,1301,519,519,0,0
17,782,1044,1826,461,461,0,0
18,1365,249,1614,332,332,0,0
19,1282,302,1584,274,274,0,0
20,1310,668,1978,214,214,0,0
21,1764,235,1999,230,230,0,0
22,1769,0,1769,158,158,0,0
23,1611,0,1611,122,122,0,0
24,1489,0,1489,70,70,0,0
25,1419,0,1419,55,55,0,0
26,1364,0,1364,47,47,0,0
27,1317,0,1317,46,46,0,0
28,1271,0,1271,47,47,0,0
29,1224,0,1224,40,40,0,0
30,1184,0,1184,49,49,0,0
31,1135,0,1135,32,32,0,0
32,1103,0,1103,20,20,0,0
33,1083,0,1083,39,39,0,0
34,1044,0,1044,48,48,0,0
35,996,0,996,41,41,0,0
36,955,0,955,47,47,0,0
37,908,0,908,71,71,0,0
38,837,0,837,129,129,0,0
39,708,0,708,156,156,0,0
40,552,0,552,196,196,0,0
41,356,0,356,207,207,0,0
42,149,347,496,218,218,0,0
43,278,307,585,253,253,0,0
44,332,386,718,293,293,0,0
45,425,294,719,405,405,0,0
46,314,288,602,399,399,0,0
47,203,396,599,464,464,0,0
48,135,471,606,514,514,0,0
49,92,827,919,572,572,0,0
50,347,503,850,625,625,0,0
51,225,730,955,733,733,0,0
52,222,770,992,818,818,0,0
53,174,841,1015,940,940,0,0
54,75,891,966,806,806,0,0
55,160,1167,1327,757,757,0,0
56,570,1238,1808,565,565,0,0
57,1243,1481,2724,518,518,0,0
58,2206,461,2667,434,434,0,0
59,2233,517,2750,383,383,0,0
60,2367,0,2367,391,391,0,0
61,1976,0,1976,386,386,0,0
62,1590,0,1590,459,459,0,0
63,1131,19,1150,553,553,0,0
64,597,340,937,669,669,0,0
65,268,364,632,899,632,267,0
66,0,759,759,1229,759,470,0
67,0,964,964,1511,964,547,0
68,0,1181,1181,1380,1181,199,0
69,0,1547,1547,1197,1197,0,0
70,350,2117,2467,998,998,0,0
71,1469,2337,3806,739,739,0,0
72,3067,1239,4306,625,625,0,0
73,3681,587,4268,408,408,0,0
74,3860,105,3965,320,320,0,0
75,3645,0,3645,255,255,0,0
76,3390,0,3390,190,190,0,0
77,3200,0,3200,160,160,0,0
78,3040,0,3040,117,117,0,0
79,2923,0,2923,103,103,0,0
80,2820,0,2820,80,80,0,0
81,2740,0,2740,63,63,0,0
82,2677,0,2677,55,55,0,0
83,2622,0,2622,93,93,0,0
84,2529,0,2529,112,112,0,0
85,2417,0,2417,179,179,0,0
86,2238,0,2238,224,224,0,0
87,2014,0,2014,261,261,0,0
88,1753,0,1753,226,226,0,0
89,1527,0,1527,213,213,0,0
90,1314,0,1314,212,212,0,0
91,1102,0,1102,180,180,0,0
92,922,98,1020,178,178,0,0
93,842,161,1003,164,164,0,0
94,839,182,1021,164,164,0,0
95,857,35,892,125,125,0,0
96,767,151,918,170,170,0,0
97,748,91,839,205,205,0,0
98,634,159,793,199,199,0,0
99,594,0,594,206,206,0,0
100,388,290,678,238,238,0,0
101,440,356,796,280,280,0,0
102,516,205,721,317,317,0,0
103,404,256,660,405,405,0,0
104,255,367,622,953,622,331,0
105,0,461,461,1542,461,1081,0
106,0,494,494,1890,494,1396,0
107,0,756,756,1769,756,1013,0
108,0,2495,2495,1240,1240,0,0
109,1255,2918,4173,910,910,0,0
110,3263,2506,5769,633,633,0,0
111,5136,1192,6328,467,467,0,0
112,5861,0,5861,387,387,0,0
113,5474,0,5474,355,355,0,0
114,5119,0,5119,340,340,0,0
115,4779,0,4779,352,352,0,0
116,4427,0,4427,432,432,0,0
117,3995,0,3995,526,526,0,0
118,3469,0,3469,685,685,0,0
119,2784,0,2784,810,810,0,0
120,1974,0,1974,783,783,0,0
121,1191,0,1191,658,658,0,0
122,533,757,1290,566,566,0,0
123,724,1435,2159,445,445,0,0
124,1714,909,2623,409,409,0,0
125,2214,216,2430,283,283,0,0
126,2147,127,2274,247,247,0,0
127,2027,0,2027,209,209,0,0
128,1818,0,1818,221,221,0,0
129,1597,0,1597,279,279,0,0
130,1318,0,1318,374,374,0,0
131,944,0,944,458,458,0,0
132,486,0,486,639,486,153,0
133,0,437,437,618,437,181,0
134,0,775,775,550,550,0,0
135,225,868,1093,553,553,0,0
136,540,1210,1750,459,459,0,0
137,1291,594,1885,548,548,0,0
138,1337,360,1697,469,469,0,0
139,1228,531,1759,478,478,0,0
140,1281,62,1343,459,459,0,0
141,884,807,1691,428,428,0,0
142,1263,186,1449,521,521,0,0
143,928,472,1400,574,574,0,0
144,826,370,1196,612,612,0,0
145,584,298,882,757,757,0,0
146,125,862,987,697,697,0,0
147,290,824,1114,690,690,0,0
148,424,825,1249,660,660,0,0
149,589,1305,1894,535,535,0,0
150,1359,647,2006,403,403,0,0
151,1603,668,2271,415,415,0,0
152,1856,526,2382,387,387,0,0
153,1995,51,2046,385,385,0,0
154,1661,0,1661,444,444,0,0
155,1217,85,1302,481,481,0,0
156,821,239,1060,569,569,0,0
157,491,342,833,553,553,0,0
158,280,675,955,380,380,0,0
159,575,665,1240,354,354,0,0
160,886,941,1827,332,332,0,0
161,1495,596,2091,337,337,0,0
162,1754,0,1754,339,339,0,0
163,1415,0,1415,318,318,0,0
164,1097,41,1138,318,318,0,0
165,820,306,1126,336,336,0,0
166,790,331,1121,286,286,0,0
167,835,248,1083,265,265,0,0
168,818,324,1142,288,288,0,0
169,854,410,1264,261,261,0,0
170,1003,98,1101,237,237,0,0
171,864,164,1028,266,266,0,0
172,762,351,1113,205,205,0,0
173,908,151,1059,170,170,0,0
174,889,136,1025,167,167,0,0
175,858,363,1221,134,134,0,0
176,1087,0,1087,128,128,0,0
177,959,0,959,119,119,0,0
178,840,97,937,129,129,0,0
179,808,0,808,85,85,0,0
180,723,69,792,90,90,0,0
181,702,65,767,63,63,0,0
182,704,168,872,59,59,0,0
183,813,0,813,59,59,0,0
184,754,8,762,55,55,0,0
185,707,0,707,65,65,0,0
186,642,0,642,62,62,0,0
187,580,18,598,68,68,0,0
188,530,37,567,78,78,0,0
189,489,108,597,86,86,0,0
190,511,51,562,126,126,0,0
191,436,100,536,164,164,0,0
192,372,118,490,177,177,0,0
193,313,126,439,187,187,0,0
194,252,291,543,284,284,0,0
195,259,337,596,300,300,0,0
196,296,264,560,275,275,0,0
197,285,254,539,246,246,0,0
198,293,638,931,293,293,0,0
199,638,455,1093,317,317,0,0
200,776,220,996,271,271,0,0
201,725,136,861,320,320,0,0
202,541,448,989,377,377,0,0
203,612,415,1027,423,423,0,0
204,604,112,716,441,441,0,0
205,275,499,774,365,365,0,0
206,409,614,1023,387,387,0,0
207,636,650,1286,368,368,0,0
208,918,561,1479,378,378,0,0
