Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,28,503,6,6,0,0
8,497,14,511,7,7,0,0
9,504,2,506,25,25,0,0
10,481,26,507,32,32,0,0
11,475,0,475,134,134,0,0
12,341,4,345,377,345,32,0
13,0,116,116,581,116,465,0
14,0,63,63,534,63,471,0
15,0,648,648,465,465,0,0
16,183,1841,2024,519,519,0,0
17,1505,1011,2516,461,461,0,0
18,2055,0,2055,332,332,0,0
19,1723,0,1723,274,274,0,0
20,1449,633,2082,214,214,0,0
21,1868,120,1988,230,230,0,0
22,1758,0,1758,158,158,0,0
23,1600,0,1600,122,122,0,0
24,1478,0,1478,70,70,0,0
25,1408,0,1408,55,55,0,0
26,1353,0,1353,47,47,0,0
27,1306,0,1306,46,46,0,0
28,1260,0,1260,47,47,0,0
29,1213,0,1213,40,40,0,0
30,1173,0,1173,49,49,0,0
31,1124,0,1124,32,32,0,0
32,1092,0,1092,20,20,0,0
33,1072,0,1072,39,39,0,0
34,1033,0,1033,48,48,0,0
35,985,0,985,41,41,0,0
36,944,0,944,47,47,0,0
37,897,0,897,71,71,0,0
38,826,0,826,129,129,0,0
39,697,0,697,156,156,0,0
40,541,0,541,196,196,0,0
41,345,36,381,207,207,0,0
42,174,462,636,218,218,0,0
43,418,246,664,253,253,0,0
44,411,445,856,293,293,0,0
45,563,242,805,405,405,0,0
46,400,268,668,399,399,0,0
47,269,431,700,464,464,0,0
48,236,489,725,514,514,0,0
49,211,1028,1239,572,572,0,0
50,667,305,972,625,625,0,0
51,347,769,1116,733,733,0,0
52,383,781,1164,818,818,0,0
53,346,882,1228,940,940,0,0
54,288,885,1173,806,806,0,0
55,367,1296,1663,757,757,0,0
56,906,1229,2135,565,565,0,0
57,1570,1590,3160,518,518,0,0
58,2642,115,2757,434,434,0,0
59,2323,424,2747,383,383,0,0
60,2364,0,2364,391,391,0,0
61,1973,0,1973,386,386,0,0
62,1587,0,1587,459,459,0,0
63,1128,0,1128,553,553,0,0
64,575,233,808,669,669,0,0
65,139,413,552,899,552,347,0
66,0,857,857,1229,857,372,0
67,0,1119,1119,1511,1119,392,0
68,0,1375,1375,1380,1375,5,0
69,0,1896,1896,1197,1197,0,0
70,699,2647,3346,998,998,0,0
71,2348,2421,4769,739,739,0,0
72,4030,383,4413,625,625,0,0
73,3788,441,4229,408,408,0,0
74,3821,0,3821,320,320,0,0
75,3501,0,3501,255,255,0,0
76,3246,0,3246,190,190,0,0
77,3056,0,3056,160,160,0,0
78,2896,0,2896,117,117,0,0
79,2779,0,2779,103,103,0,0
80,2676,0,2676,80,80,0,0
81,2596,0,2596,63,63,0,0
82,2533,0,2533,55,55,0,0
83,2478,0,2478,93,93,0,0
84,2385,0,2385,112,112,0,0
85,2273,0,2273,179,179,0,0
86,2094,0,2094,224,224,0,0
87,1870,0,1870,261,261,0,0
88,1609,0,1609,226,226,0,0
89,1383,0,1383,213,213,0,0
90,1170,0,1170,212,212,0,0
91,958,255,1213,180,180,0,0
92,1033,18,1051,178,178,0,0
93,873,140,1013,164,164,0,0
94,849,175,1024,164,164,0,0
95,860,0,860,125,125,0,0
96,735,149,884,170,170,0,0
97,714,84,798,205,205,0,0
98,593,165,758,199,199,0,0
99,559,0,559,206,206,0,0
100,353,289,642,238,238,0,0
101,404,416,820,280,280,0,0
102,540,194,734,317,317,0,0
103,417,255,672,405,405,0,0
104,267,407,674,953,674,279,0
105,0,510,510,1542,510,1032,0
106,0,511,511,1890,511,1379,0
107,0,896,896,1769,896,873,0
108,0,3819,3819,1240,1240,0,0
109,2579,3344,5923,910,910,0,0
110,5013,2290,7303,633,633,0,0
111,6670,0,6670,467,467,0,0
112,6203,0,6203,387,387,0,0
113,5816,0,5816,355,355,0,0
114,5461,0,5461,340,340,0,0
115,5121,0,5121,352,352,0,0
116,4769,0,4769,432,432,0,0
117,4337,0,4337,526,526,0,0
118,3811,0,3811,685,685,0,0
119,3126,0,3126,810,810,0,0
120,2316,0,2316,783,783,0,0
121,1533,0,1533,658,658,0,0
122,875,937,1812,566,566,0,0
123,1246,1399,2645,445,445,0,0
124,2200,508,2708,409,409,0,0
125,2299,7,2306,283,283,0,0
126,2023,105,2128,247,247,0,0
127,1881,0,1881,209,209,0,0
128,1672,0,1672,221,221,0,0
129,1451,0,1451,279,279,0,0
130,1172,0,1172,374,374,0,0
131,798,0,798,458,458,0,0
132,340,0,340,639,340,299,0
133,0,622,622,618,618,0,0
134,4,935,939,550,550,0,0
135,389,915,1304,553,553,0,0
136,751,1409,2160,459,459,0,0
137,1701,409,2110,548,548,0,0
138,1562,170,1732,469,469,0,0
139,1263,525,1788,478,478,0,0
140,1310,0,1310,459,459,0,0
141,851,795,1646,428,428,0,0
142,1218,239,1457,521,521,0,0
143,936,410,1346,574,574,0,0
144,772,419,1191,612,612,0,0
145,579,248,827,757,757,0,0
146,70,875,945,697,697,0,0
147,248,923,1171,690,690,0,0
148,481,879,1360,660,660,0,0
149,700,1562,2262,535,535,0,0
150,1727,372,2099,403,403,0,0
151,1696,627,2323,415,415,0,0
152,1908,487,2395,387,387,0,0
153,2008,0,2008,385,385,0,0
154,1623,0,1623,444,444,0,0
155,1179,40,1219,481,481,0,0
156,738,166,904,569,569,0,0
157,335,419,754,553,553,0,0
158,201,730,931,380,380,0,0
159,551,741,1292,354,354,0,0
160,938,1110,2048,332,332,0,0
161,1716,455,2171,337,337,0,0
162,1834,0,1834,339,339,0,0
163,1495,0,1495,318,318,0,0
164,1177,0,1177,318,318,0,0
165,859,217,1076,336,336,0,0
166,740,340,1080,286,286,0,0
167,794,251,1045,265,265,0,0
168,780,339,1119,288,288,0,0
169,831,430,1261,261,261,0,0
170,1000,128,1128,237,237,0,0
171,891,93,984,266,266,0,0
172,718,374,1092,205,205,0,0
173,887,156,1043,170,170,0,0
174,873,109,982,167,167,0,0
175,815,388,1203,134,134,0,0
176,1069,0,1069,128,128,0,0
177,941,0,941,119,119,0,0
178,822,62,884,129,129,0,0
179,755,0,755,85,85,0,0
180,670,59,729,90,90,0,0
181,639,80,719,63,63,0,0
182,656,190,846,59,59,0,0
183,787,0,787,59,59,0,0
184,728,0,728,55,55,0,0
185,673,0,673,65,65,0,0
186,608,0,608,62,62,0,0
187,546,32,578,68,68,0,0
188,510,40,550,78,78,0,0
189,472,112,584,86,86,0,0
190,498,64,562,126,126,0,0
191,436,95,531,164,164,0,0
192,367,139,506,177,177,0,0
193,329,131,460,187,187,0,0
194,273,334,607,284,284,0,0
195,323,372,695,300,300,0,0
196,395,226,621,275,275,0,0
197,346,251,597,246,246,0,0
198,351,774,1125,293,293,0,0
199,832,376,1208,317,317,0,0
200,891,165,1056,271,271,0,0
201,785,50,835,320,320,0,0
202,515,483,998,377,377,0,0
203,621,438,1059,423,423,0,0
204,636,86,722,441,441,0,0
205,281,461,742,365,365,0,0
206,377,719,1096,387,387,0,0
207,709,699,1408,368,368,0,0
208,1040,513,1553,378,378,0,0
