Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,27,502,6,6,0,0
8,496,11,507,7,7,0,0
9,500,5,505,25,25,0,0
10,480,25,505,32,32,0,0
11,473,0,473,134,134,0,0
12,339,6,345,377,345,32,0
13,0,107,107,581,107,474,0
14,0,57,57,534,57,477,0
15,0,571,571,465,465,0,0
16,106,1553,1659,519,519,0,0
17,1140,929,2069,461,461,0,0
18,1608,0,1608,332,332,0,0
19,1276,305,1581,274,274,0,0
20,1307,697,2004,214,214,0,0
21,1790,204,1994,230,230,0,0
22,1764,0,1764,158,158,0,0
23,1606,0,1606,122,122,0,0
24,1484,0,1484,70,70,0,0
25,1414,0,1414,55,55,0,0
26,1359,0,1359,47,47,0,0
27,1312,0,1312,46,46,0,0
28,1266,0,1266,47,47,0,0
29,1219,0,1219,40,40,0,0
30,1179,0,1179,49,49,0,0
31,1130,0,1130,32,32,0,0
32,1098,0,1098,20,20,0,0
33,1078,0,1078,39,39,0,0
34,1039,0,1039,48,48,0,0
35,991,0,991,41,41,0,0
36,950,0,950,47,47,0,0
37,903,0,903,71,71,0,0
38,832,0,832,129,129,0,0
39,703,0,703,156,156,0,0
40,547,0,547,196,196,0,0
41,351,13,364,207,207,0,0
42,157,411,568,218,218,0,0
43,350,254,604,253,253,0,0
44,351,422,773,293,293,0,0
45,480,260,740,405,405,0,0
46,335,285,620,399,399,0,0
47,221,421,642,464,464,0,0
48,178,482,660,514,514,0,0
49,146,926,1072,572,572,0,0
50,500,386,886,625,625,0,0
51,261,744,1005,733,733,0,0
52,272,783,1055,818,818,0,0
53,237,867,1104,940,940,0,0
54,164,892,1056,806,806,0,0
55,250,1229,1479,757,757,0,0
56,722,1223,1945,565,565,0,0
57,1380,1532,2912,518,518,0,0
58,2394,304,2698,434,434,0,0
59,2264,500,2764,383,383,0,0
60,2381,0,2381,391,391,0,0
61,1990,0,1990,386,386,0,0
62,1604,0,1604,459,459,0,0
63,1145,0,1145,553,553,0,0
64,592,360,952,669,669,0,0
65,283,365,648,899,648,251,0
66,0,786,786,1229,786,443,0
67,0,1019,1019,1511,1019,492,0
68,0,1265,1265,1380,1265,115,0
69,0,1761,1761,1197,1197,0,0
70,564,2307,2871,998,998,0,0
71,1873,2263,4136,739,739,0,0
72,3397,770,4167,625,625,0,0
73,3542,666,4208,408,408,0,0
74,3800,0,3800,320,320,0,0
75,3480,0,3480,255,255,0,0
76,3225,0,3225,190,190,0,0
77,3035,0,3035,160,160,0,0
78,2875,0,2875,117,117,0,0
79,2758,0,2758,103,103,0,0
80,2655,0,2655,80,80,0,0
81,2575,0,2575,63,63,0,0
82,2512,0,2512,55,55,0,0
83,2457,0,2457,93,93,0,0
84,2364,0,2364,112,112,0,0
85,2252,0,2252,179,179,0,0
86,2073,0,2073,224,224,0,0
87,1849,0,1849,261,261,0,0
88,1588,0,1588,226,226,0,0
89,1362,0,1362,213,213,0,0
90,1149,0,1149,212,212,0,0
91,937,182,1119,180,180,0,0
92,939,71,1010,178,178,0,0
93,832,171,1003,164,164,0,0
94,839,188,1027,164,164,0,0
95,863,20,883,125,125,0,0
96,758,163,921,170,170,0,0
97,751,85,836,205,205,0,0
98,631,163,794,199,199,0,0
99,595,0,595,206,206,0,0
100,389,278,667,238,238,0,0
101,429,381,810,280,280,0,0
102,530,191,721,317,317,0,0
103,404,260,664,405,405,0,0
104,259,388,647,953,647,306,0
105,0,485,485,1542,485,1057,0
106,0,497,497,1890,497,1393,0
107,0,826,826,1769,826,943,0
108,0,3128,3128,1240,1240,0,0
109,1888,2913,4801,910,910,0,0
110,3891,2303,6194,633,633,0,0
111,5561,585,6146,467,467,0,0
112,5679,0,5679,387,387,0,0
113,5292,0,5292,355,355,0,0
114,4937,0,4937,340,340,0,0
115,4597,0,4597,352,352,0,0
116,4245,0,4245,432,432,0,0
117,3813,0,3813,526,526,0,0
118,3287,0,3287,685,685,0,0
119,2602,0,2602,810,810,0,0
120,1792,0,1792,783,783,0,0
121,1009,0,1009,658,658,0,0
122,351,1199,1550,566,566,0,0
123,984,1365,2349,445,445,0,0
124,1904,684,2588,409,409,0,0
125,2179,141,2320,283,283,0,0
126,2037,183,2220,247,247,0,0
127,1973,0,1973,209,209,0,0
128,1764,37,1801,221,221,0,0
129,1580,0,1580,279,279,0,0
130,1301,0,1301,374,374,0,0
131,927,0,927,458,458,0,0
132,469,0,469,639,469,170,0
133,0,520,520,618,520,98,0
134,0,831,831,550,550,0,0
135,281,858,1139,553,553,0,0
136,586,1351,1937,459,459,0,0
137,1478,462,1940,548,548,0,0
138,1392,284,1676,469,469,0,0
139,1207,564,1771,478,478,0,0
140,1293,40,1333,459,459,0,0
141,874,817,1691,428,428,0,0
142,1263,252,1515,521,521,0,0
143,994,420,1414,574,574,0,0
144,840,397,1237,612,612,0,0
145,625,264,889,757,757,0,0
146,132,840,972,697,697,0,0
147,275,867,1142,690,690,0,0
148,452,853,1305,660,660,0,0
149,645,1418,2063,535,535,0,0
150,1528,504,2032,403,403,0,0
151,1629,661,2290,415,415,0,0
152,1875,525,2400,387,387,0,0
153,2013,0,2013,385,385,0,0
154,1628,0,1628,444,444,0,0
155,1184,177,1361,481,481,0,0
156,880,177,1057,569,569,0,0
157,488,369,857,553,553,0,0
158,304,675,979,380,380,0,0
159,599,683,1282,354,354,0,0
160,928,1016,1944,332,332,0,0
161,1612,506,2118,337,337,0,0
162,1781,0,1781,339,339,0,0
163,1442,0,1442,318,318,0,0
164,1124,0,1124,318,318,0,0
165,806,348,1154,336,336,0,0
166,818,321,1139,286,286,0,0
167,853,244,1097,265,265,0,0
168,832,326,1158,288,288,0,0
169,870,411,1281,261,261,0,0
170,1020,129,1149,237,237,0,0
171,912,122,1034,266,266,0,0
172,768,359,1127,205,205,0,0
173,922,153,1075,170,170,0,0
174,905,123,1028,167,167,0,0
175,861,371,1232,134,134,0,0
176,1098,1,1099,128,128,0,0
177,971,0,971,119,119,0,0
178,852,89,941,129,129,0,0
179,812,0,812,85,85,0,0
180,727,60,787,90,90,0,0
181,697,66,763,63,63,0,0
182,700,178,878,59,59,0,0
183,819,0,819,59,59,0,0
184,760,1,761,55,55,0,0
185,706,0,706,65,65,0,0
186,641,0,641,62,62,0,0
187,579,23,602,68,68,0,0
188,534,35,569,78,78,0,0
189,491,106,597,86,86,0,0
190,511,54,565,126,126,0,0
191,439,96,535,164,164,0,0
192,371,128,499,177,177,0,0
193,322,127,449,187,187,0,0
194,262,312,574,284,284,0,0
195,290,349,639,300,300,0,0
196,339,235,574,275,275,0,0
197,299,257,556,246,246,0,0
198,310,698,1008,293,293,0,0
199,715,412,1127,317,317,0,0
200,810,201,1011,271,271,0,0
201,740,101,841,320,320,0,0
202,521,471,992,377,377,0,0
203,615,425,1040,423,423,0,0
204,617,111,728,441,441,0,0
205,287,467,754,365,365,0,0
206,389,669,1058,387,387,0,0
207,671,671,1342,368,368,0,0
208,974,526,1500,378,378,0,0
