Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,115,590,6,6,0,0
8,584,0,584,7,7,0,0
9,577,0,577,25,25,0,0
10,552,19,571,32,32,0,0
11,539,0,539,134,134,0,0
12,405,0,405,377,377,0,0
13,28,352,380,581,380,201,0
14,0,0,0,534,0,534,0
15,0,2032,2032,465,465,0,0
16,1567,3328,4895,519,519,0,0
17,4376,0,4376,461,461,0,0
18,3915,0,3915,332,332,0,0
19,3583,0,3583,274,274,0,0
20,3309,101,3410,214,214,0,0
21,3196,0,3196,230,230,0,0
22,2966,0,2966,158,158,0,0
23,2808,0,2808,122,122,0,0
24,2686,0,2686,70,70,0,0
25,2616,0,2616,55,55,0,0
26,2561,0,2561,47,47,0,0
27,2514,0,2514,46,46,0,0
28,2468,0,2468,47,47,0,0
29,2421,0,2421,40,40,0,0
30,2381,0,2381,49,49,0,0
31,2332,0,2332,32,32,0,0
32,2300,0,2300,20,20,0,0
33,2280,0,2280,39,39,0,0
34,2241,0,2241,48,48,0,0
35,2193,0,2193,41,41,0,0
36,2152,0,2152,47,47,0,0
37,2105,0,2105,71,71,0,0
38,2034,0,2034,129,129,0,0
39,1905,0,1905,156,156,0,0
40,1749,0,1749,196,196,0,0
41,1553,0,1553,207,207,0,0
42,1346,45,1391,218,218,0,0
43,1173,0,1173,253,253,0,0
44,920,197,1117,293,293,0,0
45,824,0,824,405,405,0,0
46,419,190,609,399,399,0,0
47,210,895,1105,464,464,0,0
48,641,456,1097,514,514,0,0
49,583,2077,2660,572,572,0,0
50,2088,0,2088,625,625,0,0
51,1463,415,1878,733,733,0,0
52,1145,344,1489,818,818,0,0
53,671,964,1635,940,940,0,0
54,695,745,1440,806,806,0,0
55,634,2180,2814,757,757,0,0
56,2057,510,2567,565,565,0,0
57,2002,2178,4180,518,518,0,0
58,3662,0,3662,434,434,0,0
59,3228,0,3228,383,383,0,0
60,2845,0,2845,391,391,0,0
61,2454,328,2782,386,386,0,0
62,2396,0,2396,459,459,0,0
63,1937,0,1937,553,553,0,0
64,1384,277,1661,669,669,0,0
65,992,0,992,899,899,0,0
66,93,1736,1829,1229,1229,0,0
67,600,855,1455,1511,1455,56,0
68,0,1303,1303,1380,1303,77,0
69,0,3692,3692,1197,1197,0,0
70,2495,3717,6212,998,998,0,0
71,5214,1135,6349,739,739,0,0
72,5610,0,5610,625,625,0,0
73,4985,0,4985,408,408,0,0
74,4577,0,4577,320,320,0,0
75,4257,0,4257,255,255,0,0
76,4002,0,4002,190,190,0,0
77,3812,0,3812,160,160,0,0
78,3652,0,3652,117,117,0,0
79,3535,0,3535,103,103,0,0
80,3432,0,3432,80,80,0,0
81,3352,0,3352,63,63,0,0
82,3289,0,3289,55,55,0,0
83,3234,0,3234,93,93,0,0
84,3141,0,3141,112,112,0,0
85,3029,0,3029,179,179,0,0
86,2850,0,2850,224,224,0,0
87,2626,0,2626,261,261,0,0
88,2365,0,2365,226,226,0,0
89,2139,0,2139,213,213,0,0
90,1926,0,1926,212,212,0,0
91,1714,0,1714,180,180,0,0
92,1534,0,1534,178,178,0,0
93,1356,0,1356,164,164,0,0
94,1192,0,1192,164,164,0,0
95,1028,0,1028,125,125,0,0
96,903,243,1146,170,170,0,0
97,976,0,976,205,205,0,0
98,771,140,911,199,199,0,0
99,712,0,712,206,206,0,0
100,506,1220,1726,238,238,0,0
101,1488,0,1488,280,280,0,0
102,1208,0,1208,317,317,0,0
103,891,0,891,405,405,0,0
104,486,599,1085,953,953,0,0
105,132,545,677,1542,677,865,0
106,0,319,319,1890,319,1571,0
107,0,1641,1641,1769,1641,128,0
108,0,11026,11026,1240,1240,0,0
109,9786,1644,11430,910,910,0,0
110,10520,0,10520,633,633,0,0
111,9887,0,9887,467,467,0,0
112,9420,0,9420,387,387,0,0
113,9033,0,9033,355,355,0,0
114,8678,0,8678,340,340,0,0
115,8338,0,8338,352,352,0,0
116,7986,0,7986,432,432,0,0
117,7554,0,7554,526,526,0,0
118,7028,0,7028,685,685,0,0
119,6343,0,6343,810,810,0,0
120,5533,0,5533,783,783,0,0
121,4750,0,4750,658,658,0,0
122,4092,0,4092,566,566,0,0
123,3526,0,3526,445,445,0,0
124,3081,0,3081,409,409,0,0
125,2672,0,2672,283,283,0,0
126,2389,0,2389,247,247,0,0
127,2142,0,2142,209,209,0,0
128,1933,618,2551,221,221,0,0
129,2330,0,2330,279,279,0,0
130,2051,0,2051,374,374,0,0
131,1677,0,1677,458,458,0,0
132,1219,0,1219,639,639,0,0
133,580,791,1371,618,618,0,0
134,753,1036,1789,550,550,0,0
135,1239,286,1525,553,553,0,0
136,972,3102,4074,459,459,0,0
137,3615,0,3615,548,548,0,0
138,3067,0,3067,469,469,0,0
139,2598,0,2598,478,478,0,0
140,2120,0,2120,459,459,0,0
141,1661,2405,4066,428,428,0,0
142,3638,0,3638,521,521,0,0
143,3117,0,3117,574,574,0,0
144,2543,0,2543,612,612,0,0
145,1931,0,1931,757,757,0,0
146,1174,1721,2895,697,697,0,0
147,2198,0,2198,690,690,0,0
148,1508,62,1570,660,660,0,0
149,910,3177,4087,535,535,0,0
150,3552,0,3552,403,403,0,0
151,3149,0,3149,415,415,0,0
152,2734,0,2734,387,387,0,0
153,2347,0,2347,385,385,0,0
154,1962,0,1962,444,444,0,0
155,1518,1205,2723,481,481,0,0
156,2242,0,2242,569,569,0,0
157,1673,0,1673,553,553,0,0
158,1120,937,2057,380,380,0,0
159,1677,0,1677,354,354,0,0
160,1323,1724,3047,332,332,0,0
161,2715,0,2715,337,337,0,0
162,2378,0,2378,339,339,0,0
163,2039,246,2285,318,318,0,0
164,1967,0,1967,318,318,0,0
165,1649,205,1854,336,336,0,0
166,1518,0,1518,286,286,0,0
167,1232,0,1232,265,265,0,0
168,967,275,1242,288,288,0,0
169,954,659,1613,261,261,0,0
170,1352,0,1352,237,237,0,0
171,1115,0,1115,266,266,0,0
172,849,880,1729,205,205,0,0
173,1524,0,1524,170,170,0,0
174,1354,0,1354,167,167,0,0
175,1187,719,1906,134,134,0,0
176,1772,0,1772,128,128,0,0
177,1644,0,1644,119,119,0,0
178,1525,0,1525,129,129,0,0
179,1396,0,1396,85,85,0,0
180,1311,0,1311,90,90,0,0
181,1221,0,1221,63,63,0,0
182,1158,0,1158,59,59,0,0
183,1099,0,1099,59,59,0,0
184,1040,75,1115,55,55,0,0
185,1060,0,1060,65,65,0,0
186,995,0,995,62,62,0,0
187,933,0,933,68,68,0,0
188,865,0,865,78,78,0,0
189,787,9,796,86,86,0,0
190,710,0,710,126,126,0,0
191,584,46,630,164,164,0,0
192,466,159,625,177,177,0,0
193,448,61,509,187,187,0,0
194,322,859,1181,284,284,0,0
195,897,149,1046,300,300,0,0
196,746,0,746,275,275,0,0
197,471,77,548,246,246,0,0
198,302,2247,2549,293,293,0,0
199,2256,0,2256,317,317,0,0
200,1939,0,1939,271,271,0,0
201,1668,0,1668,320,320,0,0
202,1348,665,2013,377,377,0,0
203,1636,0,1636,423,423,0,0
204,1213,0,1213,441,441,0,0
205,772,1044,1816,365,365,0,0
206,1451,448,1899,387,387,0,0
207,1512,292,1804,368,368,0,0
208,1436,16,1452,378,378,0,0
