Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,50,0,50,5,5,0,0
1,45,0,45,10,10,0,0
1,35,0,35,15,15,0,0
1,20,0,20,5,5,0,0
1,15,0,15,10,10,0,0
1,5,362,367,10,10,0,0
1,176,0,176,8,8,0,0
1,168,0,168,7,7,0,0
1,161,998,1159,12,12,0,0
1,648,0,648,15,15,0,0
1,633,0,633,20,20,0,0
1,613,0,613,25,25,0,0
1,588,0,588,30,30,0,0
1,558,0,558,40,40,0,0
1,518,0,518,50,50,0,0
1,468,0,468,70,70,0,0
1,398,0,398,60,60,0,0
1,338,0,338,45,45,0,0
1,293,0,293,30,30,0,0
1,263,414,677,20,20,0,0
1,450,0,450,18,18,0,0
1,432,0,432,12,12,0,0
1,420,0,420,15,15,0,0
1,405,0,405,18,18,0,0
1,387,0,387,14,14,0,0
1,373,0,373,10,10,0,0
1,363,0,363,12,12,0,0
1,351,0,351,8,8,0,0
1,343,0,343,10,10,0,0
1,333,0,333,10,10,0,0
