Forecast,Baseline,Unmasked,Masked
1,6438.00,10993.00,9982.00
2,17628.00,18804.00,20482.00
3,32549.00,34214.00,39124.00
4,51103.00,52980.00,56316.00
5,72313.00,72116.00,73683.00
6,95223.00,94588.00,98184.00
7,119032.00,118520.00,120737.00
8,142161.00,136040.00,141613.00
9,165092.00,163279.00,164625.00
10,187308.00,184376.00,189856.00
11,209937.00,209248.00,207205.00
12,231326.00,232586.00,232841.00
13,251892.00,,
14,272253.00,,
15,293429.00,,
16,316413.00,,
17,341271.00,,
18,368883.00,,
19,397459.00,,
20,426123.00,,
21,455194.00,,
22,483691.00,,
23,511800.00,,
24,539832.00,,
25,567526.00,,
26,595227.00,,
27,622845.00,,
28,650498.00,,
29,677789.00,,
30,703888.00,,
31,729999.00,,
32,754776.00,,
33,778730.00,,
34,800630.00,,
35,820918.00,,
36,840117.00,,
37,858987.00,,
38,875292.00,,
39,892844.00,,
40,910208.00,,
41,927426.00,,
42,946717.00,,
43,966294.00,,
44,985105.00,,
45,1007124.00,,
46,1028706.00,,
47,1047532.00,,
48,1065301.00,,
49,1081093.00,,
50,1092864.00,,
51,1101374.00,,
52,1099678.00,,
53,1096451.00,,
54,1097964.00,,
55,1102779.00,,
56,1113041.00,,
57,1124476.00,,
58,1136327.00,,
59,1151695.00,,
60,1161178.00,,
61,1163420.00,,
62,1163496.00,,
63,1162367.00,,
64,1156691.00,,
65,1159704.00,,
66,1164660.00,,
67,1172592.00,,
68,1186588.00,,
69,1198447.00,,
70,1209121.00,,
71,1220566.00,,
72,1226438.00,,
73,1238617.00,,
74,1243832.00,,
75,1248748.00,,
76,1247895.00,,
77,1244859.00,,
78,1255290.00,,
79,1271930.00,,
80,1291049.00,,
81,1309927.00,,
82,1328539.00,,
83,1347015.00,,
84,1365237.00,,
85,1376800.00,,
86,1385057.00,,
87,1381909.00,,
88,1368785.00,,
89,1342440.00,,
90,1311415.00,,
91,1290094.00,,
92,1282611.00,,
93,1284186.00,,
94,1295170.00,,
95,1308273.00,,
96,1322579.00,,
97,1334743.00,,
98,1339513.00,,
99,1327930.00,,
100,1288503.00,,
101,1215156.00,,
102,1086906.00,,
103,944904.00,,
104,837685.00,,
105,790996.00,,
106,801055.00,,
107,812069.00,,
108,823988.00,,
109,836791.00,,
110,850213.00,,
111,864042.00,,
112,878248.00,,
113,892637.00,,
114,906947.00,,
115,920999.00,,
116,934846.00,,
117,948729.00,,
118,962733.00,,
119,976809.00,,
120,990994.00,,
121,1005262.00,,
122,1019541.00,,
123,1033839.00,,
124,1048186.00,,
125,1062482.00,,
126,1076533.00,,
127,1090368.00,,
128,1103807.00,,
129,1117095.00,,
130,1129990.00,,
131,1142580.00,,
132,1155028.00,,
133,1167656.00,,
134,1180379.00,,
135,1193195.00,,
136,1200697.00,,
137,1178275.00,,
138,1139409.00,,
139,1063781.00,,
140,959227.00,,
141,827843.00,,
142,677089.00,,
143,565305.00,,
144,500325.00,,
145,468057.00,,
146,452138.00,,
147,449775.00,,
148,454414.00,,
149,459042.00,,
150,463638.00,,
151,464378.00,,
152,452327.00,,
153,432841.00,,
154,383617.00,,
155,326357.00,,
156,248082.00,,
157,188509.00,,
158,142109.00,,
159,112611.00,,
160,91446.00,,
161,79447.00,,
162,75509.00,,
163,77518.00,,
164,79591.00,,
165,81724.00,,
166,83927.00,,
167,86161.00,,
168,88419.00,,
169,90678.00,,
170,92929.00,,
171,95161.00,,
172,97360.00,,
173,99499.00,,
174,101538.00,,
175,103466.00,,
176,105284.00,,
177,106907.00,,
178,108354.00,,
179,109689.00,,
180,110957.00,,
181,112119.00,,
182,113247.00,,
183,114404.00,,
184,115517.00,,
185,116499.00,,
186,117350.00,,
187,118076.00,,
188,118711.00,,
189,119277.00,,
190,119852.00,,
191,120473.00,,
192,106416.00,,
193,81177.00,,
194,66164.00,,
195,37665.00,,
196,0.00,,
197,0.00,,
198,0.00,,
199,0.00,,
200,0.00,,
201,0.00,,
202,0.00,,
203,0.00,,
204,0.00,,
205,0.00,,
206,0.00,,
207,0.00,,
