Forecast,Baseline,Unmasked,Masked
1,6920.00,5265.00,5802.00
2,18846.00,17789.00,16611.00
3,34926.00,35791.00,34239.00
4,54931.00,57805.00,55993.00
5,78334.00,80548.00,81278.00
6,103758.00,106835.00,104770.00
7,130171.00,137979.00,134344.00
8,155821.00,158126.00,158140.00
9,181130.00,186949.00,182488.00
10,206423.00,210196.00,206314.00
11,232045.00,239941.00,232833.00
12,255783.00,258827.00,251847.00
13,278735.00,,
14,301570.00,,
15,324822.00,,
16,348089.00,,
17,372790.00,,
18,399853.00,,
19,427057.00,,
20,453452.00,,
21,479942.00,,
22,505565.00,,
23,530604.00,,
24,555624.00,,
25,580076.00,,
26,604642.00,,
27,629139.00,,
28,653802.00,,
29,678890.00,,
30,702703.00,,
31,727926.00,,
32,751615.00,,
33,774853.00,,
34,796320.00,,
35,817428.00,,
36,837675.00,,
37,858992.00,,
38,880129.00,,
39,901486.00,,
40,923667.00,,
41,946855.00,,
42,971225.00,,
43,996812.00,,
44,1023799.00,,
45,1053135.00,,
46,1081943.00,,
47,1108826.00,,
48,1134392.00,,
49,1157502.00,,
50,1177403.00,,
51,1195026.00,,
52,1210963.00,,
53,1225803.00,,
54,1240404.00,,
55,1255996.00,,
56,1273618.00,,
57,1292406.00,,
58,1313173.00,,
59,1336825.00,,
60,1362530.00,,
61,1388731.00,,
62,1414818.00,,
63,1440304.00,,
64,1465090.00,,
65,1488981.00,,
66,1511693.00,,
67,1532900.00,,
68,1553008.00,,
69,1572340.00,,
70,1591268.00,,
71,1610093.00,,
72,1628828.00,,
73,1647571.00,,
74,1666415.00,,
75,1685061.00,,
76,1703447.00,,
77,1721642.00,,
78,1739750.00,,
79,1757777.00,,
80,1770994.00,,
81,1779505.00,,
82,1786949.00,,
83,1797516.00,,
84,1810984.00,,
85,1828633.00,,
86,1846235.00,,
87,1863178.00,,
88,1878602.00,,
89,1892326.00,,
90,1904316.00,,
91,1915312.00,,
92,1925982.00,,
93,1937332.00,,
94,1950875.00,,
95,1965633.00,,
96,1983205.00,,
97,2001889.00,,
98,2021275.00,,
99,2041069.00,,
100,2061147.00,,
101,2081360.00,,
102,2101352.00,,
103,2121180.00,,
104,2140402.00,,
105,2158618.00,,
106,2174509.00,,
107,2180596.00,,
108,2182697.00,,
109,2180472.00,,
110,2174952.00,,
111,2168801.00,,
112,2163510.00,,
113,2154266.00,,
114,2139693.00,,
115,2129103.00,,
116,2118046.00,,
117,2108288.00,,
118,2098403.00,,
119,2091746.00,,
120,2084754.00,,
121,2078990.00,,
122,2077121.00,,
123,2070559.00,,
124,2058242.00,,
125,2037428.00,,
126,2013817.00,,
127,1985087.00,,
128,1956823.00,,
129,1930383.00,,
130,1906240.00,,
131,1883295.00,,
132,1865355.00,,
133,1851143.00,,
134,1845388.00,,
135,1848217.00,,
136,1857647.00,,
137,1866668.00,,
138,1875245.00,,
139,1883276.00,,
140,1890775.00,,
141,1897977.00,,
142,1904975.00,,
143,1911759.00,,
144,1918272.00,,
145,1924374.00,,
146,1929942.00,,
147,1935060.00,,
148,1936231.00,,
149,1937974.00,,
150,1938523.00,,
151,1942908.00,,
152,1947259.00,,
153,1951637.00,,
154,1955866.00,,
155,1959994.00,,
156,1964045.00,,
157,1968064.00,,
158,1972243.00,,
159,1976573.00,,
160,1981045.00,,
161,1985589.00,,
162,1990251.00,,
163,1990469.00,,
164,1991720.00,,
165,1974680.00,,
166,1951080.00,,
167,1921682.00,,
168,1890382.00,,
169,1857148.00,,
170,1817069.00,,
171,1772270.00,,
172,1717367.00,,
173,1658164.00,,
174,1597711.00,,
175,1538267.00,,
176,1477039.00,,
177,1412197.00,,
178,1349214.00,,
179,1289088.00,,
180,1227246.00,,
181,1166533.00,,
182,1105596.00,,
183,1044865.00,,
184,985558.00,,
185,928873.00,,
186,881736.00,,
187,841329.00,,
188,814362.00,,
189,784521.00,,
190,766119.00,,
191,758951.00,,
192,762085.00,,
193,765397.00,,
194,768813.00,,
195,772295.00,,
196,775881.00,,
197,777239.00,,
198,730806.00,,
199,663891.00,,
200,595338.00,,
201,522848.00,,
202,449902.00,,
203,377056.00,,
204,302963.00,,
205,228714.00,,
206,152854.00,,
207,76616.00,,
