Date,1,2,3,4,5,6,7,8,9,10,11,12
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,3,10,0,10,0,0,0,0,0,0,0,0
2020-02-01,7,8,23,15,8,23,23,34,0,63,4,4
2020-02-08,3,8,8,15,8,15,35,35,34,8,4,4
2020-02-15,7,15,24,35,34,34,13,13,4,4,4,107
2020-02-22,4,10,15,23,23,38,34,44,44,4,4,78
2020-02-29,4,10,15,23,34,34,44,34,61,64,4,83
2020-03-07,17,35,75,35,124,35,174,199,0,249,0,0
2020-03-14,35,41,105,105,159,191,215,235,287,0,0,381
2020-03-21,121,235,401,547,669,1023,937,1071,1205,1339,1473,1607
2020-03-28,375,751,1129,1503,1878,2250,2630,3000,3382,3757,4133,4509
2020-04-04,625,1025,1739,2319,2899,3479,4059,4639,5219,5799,6379,6959
2020-04-11,625,1068,1302,2136,2350,3204,3738,4272,3906,5340,5874,6408
2020-04-18,565,1050,1173,1861,2326,2792,3257,3722,4188,4653,5118,5584
2020-04-25,527,1035,1556,2074,2593,3112,3631,4149,4668,5187,5706,6224
2020-05-02,546,1024,1241,1845,2306,2767,3229,3690,4151,4612,5074,5535
2020-05-09,375,625,1045,1328,1640,1992,2324,2656,2988,3320,3652,3984
2020-05-16,343,547,822,1096,1370,1644,1918,2192,2466,2740,3014,3288
2020-05-23,235,429,729,857,1070,1175,1200,1714,1928,2143,2357,2571
2020-05-30,235,432,729,1023,1149,1379,1243,1839,2069,2300,2461,2759
2020-06-06,235,375,775,1023,1023,1020,1023,1023,1420,1583,1741,1900
2020-06-13,222,235,375,888,625,1020,1023,1020,1098,1020,1342,1464
2020-06-20,105,155,220,310,420,540,432,625,625,750,1020,1050
2020-06-27,123,115,175,235,275,340,421,432,547,547,625,625
2020-07-04,64,105,145,235,235,235,329,375,423,441,625,547
2020-07-11,63,105,123,235,230,343,343,375,413,432,506,547
2020-07-18,63,105,145,235,235,881,1020,375,1020,547,1021,1021
2020-07-25,45,75,105,150,220,220,250,340,374,420,420,420
2020-08-01,43,105,117,175,235,235,343,391,413,547,538,547
2020-08-08,35,75,102,105,105,235,235,102,1020,420,1020,1023
2020-08-15,15,35,45,75,75,105,120,120,150,150,220,235
2020-08-22,43,105,121,155,235,235,235,343,350,1023,1023,463
2020-08-29,43,105,121,191,245,287,335,413,431,441,527,547
2020-09-05,43,83,123,123,235,235,287,374,374,420,1020,1020
2020-09-12,63,105,155,235,235,235,1020,420,531,531,547,625
2020-09-19,75,117,235,235,343,375,1020,1023,1023,625,1023,1050
2020-09-26,137,245,417,531,531,1023,1050,1031,1050,1050,1245,1547
2020-10-03,173,343,531,625,1023,1050,1091,1050,1245,1558,1714,1870
2020-10-10,235,417,625,1021,1050,1174,1370,1566,1762,1957,2153,2349
2020-10-17,247,441,750,1021,1030,1050,1050,1750,1860,2069,1550,2461
2020-10-24,245,547,729,1050,1247,1475,1625,1743,1961,2179,2461,2615
2020-10-31,235,546,1023,1015,1249,1510,1773,2029,2345,2533,2780,3030
2020-11-07,235,625,1050,1245,1463,1756,2049,2342,2635,2920,3220,3513
2020-11-14,403,1008,1213,1617,2024,2426,2831,3235,3639,4044,4448,4853
2020-11-21,441,998,1050,1596,2350,2461,2793,3192,3591,3990,4321,4321
2020-11-28,547,1021,1547,1854,2318,2782,3245,3709,4173,4630,5100,5564
2020-12-05,547,1029,1541,2054,2460,3082,3596,4109,4623,5137,5651,6164
2020-12-12,625,1143,1715,2286,2858,3430,4001,4573,5141,5717,6288,6860
2020-12-19,625,1249,1874,2498,3123,3748,4373,4997,5622,6247,6872,7496
2020-12-26,750,1264,2197,2921,3431,4391,5121,5471,6592,7324,8057,8789
2021-01-02,817,1435,2452,3270,4200,4305,5723,6540,7358,8175,10093,10500
2021-01-09,1039,1878,2818,4157,4696,5636,6575,7515,9354,9393,10333,11200
2021-01-16,906,1613,2350,3120,4030,5440,5646,6250,7290,8060,9973,10500
2021-01-23,657,1314,1971,2628,3286,3943,5300,6057,5915,6572,8329,7886
